Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
609¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":113,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Program
620¿Identifier¿¿0¿path¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
621¿VariableDeclarator¿¿1097¿res¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
622¿ArrayExpression¿¿1097¿¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ArrayExpression
623¿VariableDeclarator¿¿1097¿level¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
624¿Literal¿number¿1097¿¿0¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
625¿VariableDeclarator¿¿1097¿key¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
626¿Literal¿string¿1097¿¿''¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
627¿VariableDeclarator¿¿1097¿i¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
628¿Literal¿number¿1097¿¿0¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
629¿VariableDeclarator¿¿1097¿v62¿¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
630¿MemberExpression¿¿1097¿¿¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿MemberExpression
631¿Identifier¿¿1097¿path¿¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
632¿Identifier¿¿1097¿length¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
633¿VariableDeclarator¿¿1097¿v63¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
634¿BinaryExpression¿<¿1097¿¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
635¿Identifier¿¿1097¿i¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
636¿Identifier¿¿1097¿v62¿¿¿¿¿Identifier
637¿WhileStatement¿¿1097¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿WhileStatement
638¿Identifier¿¿1097¿v63¿¿¿¿¿Identifier
639¿VariableDeclarator¿¿1097¿c¿¿¿{"start":{"line":13,"column":10},"end":{"line":13,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
640¿CallExpression¿¿1097¿¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿CallExpression
641¿MemberExpression¿¿1097¿¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿MemberExpression
642¿Identifier¿¿1097¿path¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
643¿Identifier¿¿1097¿substr¿¿¿{"start":{"line":13,"column":19},"end":{"line":13,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
644¿Identifier¿¿1097¿i¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
645¿Literal¿number¿1097¿¿1¿¿{"start":{"line":13,"column":29},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
646¿VariableDeclarator¿¿1097¿v65¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
647¿BinaryExpression¿===¿1097¿¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
648¿Identifier¿¿1097¿level¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
649¿Literal¿number¿1097¿¿0¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
650¿VariableDeclarator¿¿1097¿v66¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
651¿BinaryExpression¿===¿1097¿¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
652¿Identifier¿¿1097¿c¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
653¿Literal¿string¿1097¿¿'.'¿¿{"start":{"line":15,"column":32},"end":{"line":15,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
654¿VariableDeclarator¿¿1097¿v67¿¿¿{"start":{"line":15,"column":39},"end":{"line":15,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
655¿BinaryExpression¿===¿1097¿¿¿¿{"start":{"line":15,"column":39},"end":{"line":15,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
656¿Identifier¿¿1097¿c¿¿¿{"start":{"line":15,"column":39},"end":{"line":15,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
657¿Literal¿string¿1097¿¿'['¿¿{"start":{"line":15,"column":45},"end":{"line":15,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
658¿VariableDeclarator¿¿1097¿v68¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
659¿LogicalExpression¿||¿1097¿¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿LogicalExpression
660¿Identifier¿¿1097¿v66¿¿¿¿¿Identifier
661¿Identifier¿¿1097¿v67¿¿¿¿¿Identifier
662¿VariableDeclarator¿¿1097¿v69¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
663¿LogicalExpression¿&&¿1097¿¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿LogicalExpression
664¿Identifier¿¿1097¿v65¿¿¿¿¿Identifier
665¿Identifier¿¿1097¿v68¿¿¿¿¿Identifier
666¿IfStatement¿¿1097¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":27,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿IfStatement
667¿Identifier¿¿1097¿v69¿¿¿¿¿Identifier
668¿VariableDeclarator¿¿1097¿v70¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
669¿BinaryExpression¿===¿1097¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
670¿Identifier¿¿1097¿c¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
671¿Literal¿string¿1097¿¿'['¿¿{"start":{"line":16,"column":18},"end":{"line":16,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
672¿IfStatement¿¿1097¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":20,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿IfStatement
673¿Identifier¿¿1097¿v70¿¿¿¿¿Identifier
674¿VariableDeclarator¿¿1097¿v71¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
675¿UpdateExpression¿¿1097¿¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿UpdateExpression
676¿Identifier¿¿1097¿level¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
677¿ExpressionStatement¿¿1097¿¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
678¿Identifier¿¿1097¿v71¿¿¿¿¿Identifier
679¿VariableDeclarator¿¿1097¿v72¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
680¿UpdateExpression¿¿1097¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿UpdateExpression
681¿Identifier¿¿1097¿i¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
682¿ExpressionStatement¿¿1097¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
683¿Identifier¿¿1097¿v72¿¿¿¿¿Identifier
684¿ExpressionStatement¿¿1097¿¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
685¿AssignmentExpression¿=¿1097¿¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿AssignmentExpression
686¿Identifier¿¿1097¿c¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
687¿CallExpression¿¿1097¿¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿CallExpression
688¿MemberExpression¿¿1097¿¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿MemberExpression
689¿Identifier¿¿1097¿path¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
690¿Identifier¿¿1097¿substr¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
691¿Identifier¿¿1097¿i¿¿¿{"start":{"line":19,"column":26},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
692¿Literal¿number¿1097¿¿1¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
693¿BlockStatement¿¿1097¿¿¿¿{"start":{"line":16,"column":23},"end":{"line":20,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BlockStatement
694¿IfStatement¿¿1097¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":24,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿IfStatement
695¿Identifier¿¿1097¿key¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
696¿VariableDeclarator¿¿1097¿v73¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
697¿CallExpression¿¿1097¿¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿CallExpression
698¿MemberExpression¿¿1097¿¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿MemberExpression
699¿Identifier¿¿1097¿res¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
700¿Identifier¿¿1097¿push¿¿¿{"start":{"line":23,"column":14},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
701¿Identifier¿¿1097¿key¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
702¿ExpressionStatement¿¿1097¿¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
703¿Identifier¿¿1097¿v73¿¿¿¿¿Identifier
704¿BlockStatement¿¿1097¿¿¿¿{"start":{"line":22,"column":17},"end":{"line":24,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BlockStatement
705¿ExpressionStatement¿¿1097¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
706¿AssignmentExpression¿=¿1097¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿AssignmentExpression
707¿Identifier¿¿1097¿key¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
708¿Literal¿string¿1097¿¿''¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
709¿ContinueStatement¿¿1097¿¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ContinueStatement
710¿BlockStatement¿¿1097¿¿¿¿{"start":{"line":15,"column":51},"end":{"line":27,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BlockStatement
711¿VariableDeclarator¿¿1097¿v74¿¿¿{"start":{"line":29,"column":10},"end":{"line":29,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
712¿BinaryExpression¿===¿1097¿¿¿¿{"start":{"line":29,"column":10},"end":{"line":29,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
713¿Identifier¿¿1097¿c¿¿¿{"start":{"line":29,"column":10},"end":{"line":29,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
714¿Literal¿string¿1097¿¿']'¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
715¿IfStatement¿¿1097¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":33,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿IfStatement
716¿Identifier¿¿1097¿v74¿¿¿¿¿Identifier
717¿VariableDeclarator¿¿1097¿v75¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
718¿UpdateExpression¿¿1097¿¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿UpdateExpression
719¿Identifier¿¿1097¿level¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
720¿ExpressionStatement¿¿1097¿¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
721¿Identifier¿¿1097¿v75¿¿¿¿¿Identifier
722¿VariableDeclarator¿¿1097¿v76¿¿¿{"start":{"line":31,"column":27},"end":{"line":31,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
723¿UnaryExpression¿-¿1097¿¿¿¿{"start":{"line":31,"column":27},"end":{"line":31,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿UnaryExpression
724¿Literal¿number¿1097¿¿1¿¿{"start":{"line":31,"column":28},"end":{"line":31,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
725¿ExpressionStatement¿¿1097¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
726¿AssignmentExpression¿=¿1097¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿AssignmentExpression
727¿Identifier¿¿1097¿key¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
728¿CallExpression¿¿1097¿¿¿¿{"start":{"line":31,"column":14},"end":{"line":31,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿CallExpression
729¿MemberExpression¿¿1097¿¿¿¿{"start":{"line":31,"column":14},"end":{"line":31,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿MemberExpression
730¿Identifier¿¿1097¿key¿¿¿{"start":{"line":31,"column":14},"end":{"line":31,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
731¿Identifier¿¿1097¿slice¿¿¿{"start":{"line":31,"column":18},"end":{"line":31,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
732¿Literal¿number¿1097¿¿0¿¿{"start":{"line":31,"column":24},"end":{"line":31,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
733¿Identifier¿¿1097¿v76¿¿¿¿¿Identifier
734¿ContinueStatement¿¿1097¿¿¿¿{"start":{"line":32,"column":8},"end":{"line":32,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ContinueStatement
735¿BlockStatement¿¿1097¿¿¿¿{"start":{"line":29,"column":21},"end":{"line":33,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BlockStatement
736¿ExpressionStatement¿¿1097¿¿¿¿{"start":{"line":35,"column":6},"end":{"line":35,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
737¿AssignmentExpression¿+=¿1097¿¿¿¿{"start":{"line":35,"column":6},"end":{"line":35,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿AssignmentExpression
738¿Identifier¿¿1097¿key¿¿¿{"start":{"line":35,"column":6},"end":{"line":35,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
739¿Identifier¿¿1097¿c¿¿¿{"start":{"line":35,"column":13},"end":{"line":35,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
740¿VariableDeclarator¿¿1097¿v64¿¿¿{"start":{"line":12,"column":37},"end":{"line":12,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
741¿UpdateExpression¿¿1097¿¿¿¿{"start":{"line":12,"column":37},"end":{"line":12,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿UpdateExpression
742¿Identifier¿¿1097¿i¿¿¿{"start":{"line":12,"column":37},"end":{"line":12,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
