Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
661¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":83,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Program
698¿MemberExpression¿¿1131¿¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿MemberExpression
699¿Identifier¿¿1131¿pkgInfo¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
700¿Identifier¿¿1131¿name¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
701¿ReturnStatement¿¿1131¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ReturnStatement
702¿Identifier¿¿1131¿v57¿¿¿¿¿Identifier
703¿BlockStatement¿¿1131¿¿¿¿{"start":{"line":16,"column":14},"end":{"line":18,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿BlockStatement
704¿VariableDeclarator¿¿1127¿v60¿¿¿{"start":{"line":19,"column":7},"end":{"line":22,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
705¿ArrowFunctionExpression¿¿1127¿¿¿¿{"start":{"line":19,"column":7},"end":{"line":22,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ArrowFunctionExpression
706¿RestElement¿¿0¿¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿RestElement
707¿Identifier¿¿0¿params¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
708¿VariableDeclarator¿¿1133¿v59¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
709¿CallExpression¿¿1133¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿CallExpression
710¿MemberExpression¿¿1133¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿MemberExpression
711¿Identifier¿¿1133¿console¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
712¿Identifier¿¿1133¿log¿¿¿{"start":{"line":20,"column":12},"end":{"line":20,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
713¿SpreadElement¿¿1133¿¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿SpreadElement
714¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ExpressionStatement
715¿Identifier¿¿1133¿v59¿¿¿¿¿Identifier
716¿ReturnStatement¿¿1133¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ReturnStatement
717¿Identifier¿¿1133¿params¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
718¿BlockStatement¿¿1133¿¿¿¿{"start":{"line":19,"column":22},"end":{"line":22,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿BlockStatement
719¿VariableDeclarator¿¿1127¿v64¿¿¿{"start":{"line":23,"column":8},"end":{"line":26,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
720¿ArrowFunctionExpression¿¿1127¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":26,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ArrowFunctionExpression
721¿RestElement¿¿0¿¿¿¿{"start":{"line":23,"column":9},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿RestElement
722¿Identifier¿¿0¿params¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
723¿VariableDeclarator¿¿1135¿v61¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
724¿MemberExpression¿¿1135¿¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿MemberExpression
725¿Identifier¿¿1135¿chalk¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
726¿Identifier¿¿1135¿cyan¿¿¿{"start":{"line":24,"column":22},"end":{"line":24,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
727¿VariableDeclarator¿¿1135¿v62¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":57},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
728¿CallExpression¿¿1135¿¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":57},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿CallExpression
729¿MemberExpression¿¿1135¿¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿MemberExpression
730¿Identifier¿¿1135¿v61¿¿¿¿¿Identifier
731¿Identifier¿¿1135¿bold¿¿¿{"start":{"line":24,"column":27},"end":{"line":24,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
732¿Identifier¿¿1135¿CLI_ICON_NOTE¿¿¿{"start":{"line":24,"column":32},"end":{"line":24,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
733¿SpreadElement¿¿1135¿¿¿¿{"start":{"line":24,"column":47},"end":{"line":24,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿SpreadElement
734¿VariableDeclarator¿¿1135¿v63¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":58},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
735¿CallExpression¿¿1135¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":58},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿CallExpression
736¿MemberExpression¿¿1135¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿MemberExpression
737¿Identifier¿¿1135¿console¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
738¿Identifier¿¿1135¿log¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
739¿Identifier¿¿1135¿v62¿¿¿¿¿Identifier
740¿ExpressionStatement¿¿1135¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":59},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ExpressionStatement
741¿Identifier¿¿1135¿v63¿¿¿¿¿Identifier
742¿ReturnStatement¿¿1135¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ReturnStatement
743¿Identifier¿¿1135¿params¿¿¿{"start":{"line":25,"column":11},"end":{"line":25,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
744¿BlockStatement¿¿1135¿¿¿¿{"start":{"line":23,"column":23},"end":{"line":26,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿BlockStatement
745¿VariableDeclarator¿¿1127¿v66¿¿¿{"start":{"line":27,"column":8},"end":{"line":31,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
746¿ArrowFunctionExpression¿¿1127¿¿¿¿{"start":{"line":27,"column":8},"end":{"line":31,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ArrowFunctionExpression
747¿Identifier¿¿0¿msg¿¿¿{"start":{"line":27,"column":9},"end":{"line":27,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
748¿RestElement¿¿0¿¿¿¿{"start":{"line":27,"column":14},"end":{"line":27,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿RestElement
749¿Identifier¿¿0¿params¿¿¿{"start":{"line":27,"column":17},"end":{"line":27,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
750¿VariableDeclarator¿¿1137¿v65¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
751¿CallExpression¿¿1137¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿CallExpression
752¿MemberExpression¿¿1137¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿MemberExpression
753¿Identifier¿¿1137¿console¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
754¿Identifier¿¿1137¿log¿¿¿{"start":{"line":29,"column":12},"end":{"line":29,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
755¿Identifier¿¿1137¿msg¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
756¿SpreadElement¿¿1137¿¿¿¿{"start":{"line":29,"column":21},"end":{"line":29,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿SpreadElement
757¿ExpressionStatement¿¿1137¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ExpressionStatement
758¿Identifier¿¿1137¿v65¿¿¿¿¿Identifier
759¿ReturnStatement¿¿1137¿¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ReturnStatement
760¿Identifier¿¿1137¿params¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
761¿BlockStatement¿¿1137¿¿¿¿{"start":{"line":27,"column":28},"end":{"line":31,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿BlockStatement
762¿VariableDeclarator¿¿1127¿v70¿¿¿{"start":{"line":32,"column":11},"end":{"line":35,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
763¿ArrowFunctionExpression¿¿1127¿¿¿¿{"start":{"line":32,"column":11},"end":{"line":35,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ArrowFunctionExpression
764¿RestElement¿¿0¿¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿RestElement
765¿Identifier¿¿0¿params¿¿¿{"start":{"line":32,"column":15},"end":{"line":32,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
766¿VariableDeclarator¿¿1139¿v67¿¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
767¿MemberExpression¿¿1139¿¿¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿MemberExpression
768¿Identifier¿¿1139¿chalk¿¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
769¿Identifier¿¿1139¿green¿¿¿{"start":{"line":33,"column":22},"end":{"line":33,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
770¿VariableDeclarator¿¿1139¿v68¿¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":58},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
771¿CallExpression¿¿1139¿¿¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":58},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿CallExpression
772¿MemberExpression¿¿1139¿¿¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿MemberExpression
773¿Identifier¿¿1139¿v67¿¿¿¿¿Identifier
774¿Identifier¿¿1139¿bold¿¿¿{"start":{"line":33,"column":28},"end":{"line":33,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
775¿Identifier¿¿1139¿CLI_ICON_PASS¿¿¿{"start":{"line":33,"column":33},"end":{"line":33,"column":46},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
776¿SpreadElement¿¿1139¿¿¿¿{"start":{"line":33,"column":48},"end":{"line":33,"column":57},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿SpreadElement
777¿VariableDeclarator¿¿1139¿v69¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":59},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
778¿CallExpression¿¿1139¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":59},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿CallExpression
779¿MemberExpression¿¿1139¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿MemberExpression
780¿Identifier¿¿1139¿console¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
781¿Identifier¿¿1139¿log¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
782¿Identifier¿¿1139¿v68¿¿¿¿¿Identifier
783¿ExpressionStatement¿¿1139¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":60},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ExpressionStatement
784¿Identifier¿¿1139¿v69¿¿¿¿¿Identifier
785¿ReturnStatement¿¿1139¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ReturnStatement
786¿Identifier¿¿1139¿params¿¿¿{"start":{"line":34,"column":11},"end":{"line":34,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿Identifier
787¿BlockStatement¿¿1139¿¿¿¿{"start":{"line":32,"column":26},"end":{"line":35,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿BlockStatement
788¿VariableDeclarator¿¿1127¿v74¿¿¿{"start":{"line":36,"column":11},"end":{"line":39,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿VariableDeclarator
789¿ArrowFunctionExpression¿¿1127¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":39,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/cd-messenger_2.7.24/src/messenger-node.js"}¿¿ArrowFunctionExpression
