Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2036¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":292,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Program
2066¿Identifier¿¿3556¿v217¿¿¿¿¿Identifier
2067¿VariableDeclarator¿¿3556¿v218¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2068¿CallExpression¿¿3556¿¿¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿CallExpression
2069¿Identifier¿¿3556¿factory¿¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2070¿ExpressionStatement¿¿3556¿¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿ExpressionStatement
2071¿AssignmentExpression¿=¿3556¿¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿AssignmentExpression
2072¿MemberExpression¿¿3556¿¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿MemberExpression
2073¿Identifier¿¿3556¿module¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2074¿Identifier¿¿3556¿exports¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2075¿Identifier¿¿3556¿v218¿¿¿¿¿Identifier
2076¿BlockStatement¿¿3556¿¿¿¿{"start":{"line":5,"column":72},"end":{"line":7,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿BlockStatement
2077¿VariableDeclarator¿¿3556¿v219¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2078¿UnaryExpression¿typeof¿3556¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿UnaryExpression
2079¿Identifier¿¿3556¿define¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2080¿VariableDeclarator¿¿3556¿v220¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2081¿BinaryExpression¿===¿3556¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿BinaryExpression
2082¿Identifier¿¿3556¿v219¿¿¿¿¿Identifier
2083¿Literal¿string¿3556¿¿'function'¿¿{"start":{"line":7,"column":31},"end":{"line":7,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Literal
2084¿VariableDeclarator¿¿3556¿v221¿¿¿{"start":{"line":7,"column":45},"end":{"line":7,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2085¿MemberExpression¿¿3556¿¿¿¿{"start":{"line":7,"column":45},"end":{"line":7,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿MemberExpression
2086¿Identifier¿¿3556¿define¿¿¿{"start":{"line":7,"column":45},"end":{"line":7,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2087¿Identifier¿¿3556¿amd¿¿¿{"start":{"line":7,"column":52},"end":{"line":7,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2088¿VariableDeclarator¿¿3556¿v222¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2089¿LogicalExpression¿&&¿3556¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿LogicalExpression
2090¿Identifier¿¿3556¿v220¿¿¿¿¿Identifier
2091¿Identifier¿¿3556¿v221¿¿¿¿¿Identifier
2092¿IfStatement¿¿3556¿¿¿¿{"start":{"line":7,"column":9},"end":{"line":13,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿IfStatement
2093¿Identifier¿¿3556¿v222¿¿¿¿¿Identifier
2094¿VariableDeclarator¿¿3556¿v223¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2095¿ArrayExpression¿¿3556¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿ArrayExpression
2096¿VariableDeclarator¿¿3556¿v224¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2097¿CallExpression¿¿3556¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿CallExpression
2098¿Identifier¿¿3556¿define¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2099¿Identifier¿¿3556¿v223¿¿¿¿¿Identifier
2100¿Identifier¿¿3556¿factory¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2101¿ExpressionStatement¿¿3556¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿ExpressionStatement
2102¿Identifier¿¿3556¿v224¿¿¿¿¿Identifier
2103¿BlockStatement¿¿3556¿¿¿¿{"start":{"line":7,"column":57},"end":{"line":10,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿BlockStatement
2104¿VariableDeclarator¿¿3556¿v225¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2105¿CallExpression¿¿3556¿¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿CallExpression
2106¿Identifier¿¿3556¿factory¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2107¿ExpressionStatement¿¿3556¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿ExpressionStatement
2108¿AssignmentExpression¿=¿3556¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿AssignmentExpression
2109¿MemberExpression¿¿3556¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿MemberExpression
2110¿Identifier¿¿3556¿root¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":8},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2111¿Identifier¿¿3556¿objectPath¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2112¿Identifier¿¿3556¿v225¿¿¿¿¿Identifier
2113¿BlockStatement¿¿3556¿¿¿¿{"start":{"line":10,"column":9},"end":{"line":13,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿BlockStatement
2114¿BlockStatement¿¿3556¿¿¿¿¿¿BlockStatement
2115¿BlockStatement¿¿3556¿¿¿¿{"start":{"line":1,"column":25},"end":{"line":14,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿BlockStatement
2116¿VariableDeclarator¿¿3554¿v421¿¿¿{"start":{"line":14,"column":9},"end":{"line":292,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2117¿FunctionExpression¿¿3554¿anon¿¿¿{"start":{"line":14,"column":9},"end":{"line":292,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿FunctionExpression
2118¿ExpressionStatement¿¿3560¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿ExpressionStatement
2119¿Literal¿string¿3560¿¿'use strict'¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Literal
2120¿VariableDeclarator¿¿3560¿v227¿¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2121¿MemberExpression¿¿3560¿¿¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿MemberExpression
2122¿Identifier¿¿3560¿Object¿¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2123¿Identifier¿¿3560¿prototype¿¿¿{"start":{"line":17,"column":21},"end":{"line":17,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2124¿VariableDeclarator¿¿3560¿toStr¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2125¿MemberExpression¿¿3560¿¿¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿MemberExpression
2126¿Identifier¿¿3560¿v227¿¿¿¿¿Identifier
2127¿Identifier¿¿3560¿toString¿¿¿{"start":{"line":17,"column":31},"end":{"line":17,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2128¿VariableDeclarator¿¿3560¿hasOwnProperty¿¿¿{"start":{"line":18,"column":2},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2129¿FunctionExpression¿¿3560¿anon¿¿¿{"start":{"line":18,"column":2},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿FunctionExpression
2130¿Identifier¿¿0¿obj¿¿¿{"start":{"line":18,"column":26},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2131¿Identifier¿¿0¿prop¿¿¿{"start":{"line":18,"column":31},"end":{"line":18,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2132¿VariableDeclarator¿¿3562¿v228¿¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2133¿BinaryExpression¿==¿3562¿¿¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿BinaryExpression
2134¿Identifier¿¿3562¿obj¿¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2135¿Literal¿object¿3562¿¿null¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Literal
2136¿IfStatement¿¿3562¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":21,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿IfStatement
2137¿Identifier¿¿3562¿v228¿¿¿¿¿Identifier
2138¿ReturnStatement¿¿3562¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿ReturnStatement
2139¿Literal¿boolean¿3562¿¿false¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Literal
2140¿BlockStatement¿¿3562¿¿¿¿{"start":{"line":19,"column":20},"end":{"line":21,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿BlockStatement
2141¿VariableDeclarator¿¿3562¿v229¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2142¿MemberExpression¿¿3562¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿MemberExpression
2143¿Identifier¿¿3562¿Object¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2144¿Identifier¿¿3562¿prototype¿¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2145¿VariableDeclarator¿¿3562¿v230¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2146¿MemberExpression¿¿3562¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿MemberExpression
2147¿Identifier¿¿3562¿v229¿¿¿¿¿Identifier
2148¿Identifier¿¿3562¿hasOwnProperty¿¿¿{"start":{"line":23,"column":28},"end":{"line":23,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2149¿VariableDeclarator¿¿3562¿v231¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2150¿CallExpression¿¿3562¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿CallExpression
2151¿MemberExpression¿¿3562¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿MemberExpression
2152¿Identifier¿¿3562¿v230¿¿¿¿¿Identifier
2153¿Identifier¿¿3562¿call¿¿¿{"start":{"line":23,"column":43},"end":{"line":23,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2154¿Identifier¿¿3562¿obj¿¿¿{"start":{"line":23,"column":48},"end":{"line":23,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2155¿Identifier¿¿3562¿prop¿¿¿{"start":{"line":23,"column":53},"end":{"line":23,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2156¿ReturnStatement¿¿3562¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿ReturnStatement
2157¿Identifier¿¿3562¿v231¿¿¿¿¿Identifier
2158¿BlockStatement¿¿3562¿¿¿¿{"start":{"line":18,"column":37},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿BlockStatement
2159¿VariableDeclarator¿¿3560¿isEmpty¿¿¿{"start":{"line":26,"column":2},"end":{"line":41,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2160¿FunctionExpression¿¿3560¿anon¿¿¿{"start":{"line":26,"column":2},"end":{"line":41,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿FunctionExpression
2161¿Identifier¿¿0¿value¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2162¿VariableDeclarator¿¿3565¿v232¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2163¿UnaryExpression¿!¿3565¿¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿UnaryExpression
2164¿Identifier¿¿3565¿value¿¿¿{"start":{"line":27,"column":9},"end":{"line":27,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2165¿IfStatement¿¿3565¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":29,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿IfStatement
2166¿Identifier¿¿3565¿v232¿¿¿¿¿Identifier
2167¿ReturnStatement¿¿3565¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿ReturnStatement
2168¿Literal¿boolean¿3565¿¿true¿¿{"start":{"line":28,"column":13},"end":{"line":28,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Literal
2169¿BlockStatement¿¿3565¿¿¿¿{"start":{"line":27,"column":16},"end":{"line":29,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿BlockStatement
2170¿VariableDeclarator¿¿3565¿v233¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2171¿CallExpression¿¿3565¿¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿CallExpression
2172¿Identifier¿¿3565¿isArray¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2173¿Identifier¿¿3565¿value¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2174¿VariableDeclarator¿¿3565¿v234¿¿¿{"start":{"line":30,"column":26},"end":{"line":30,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2175¿MemberExpression¿¿3565¿¿¿¿{"start":{"line":30,"column":26},"end":{"line":30,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿MemberExpression
2176¿Identifier¿¿3565¿value¿¿¿{"start":{"line":30,"column":26},"end":{"line":30,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2177¿Identifier¿¿3565¿length¿¿¿{"start":{"line":30,"column":32},"end":{"line":30,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿Identifier
2178¿VariableDeclarator¿¿3565¿v235¿¿¿{"start":{"line":30,"column":26},"end":{"line":30,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿VariableDeclarator
2179¿BinaryExpression¿===¿3565¿¿¿¿{"start":{"line":30,"column":26},"end":{"line":30,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/object-path_0.11.4/src/index.js"}¿¿BinaryExpression
