Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2491¿Program¿¿-1¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":606,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Program
2502¿Identifier¿¿4362¿Gel¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2503¿Identifier¿¿4362¿Token¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2504¿VariableDeclarator¿¿4362¿paths¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2505¿CallExpression¿¿4362¿¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿CallExpression
2506¿Identifier¿¿4362¿require¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2507¿Literal¿string¿4362¿¿'gedi-paths'¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Literal
2508¿VariableDeclarator¿¿4362¿pathConstants¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2509¿MemberExpression¿¿4362¿¿¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
2510¿Identifier¿¿4362¿paths¿¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2511¿Identifier¿¿4362¿constants¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2512¿VariableDeclarator¿¿4362¿createSpec¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2513¿CallExpression¿¿4362¿¿¿¿{"start":{"line":14,"column":17},"end":{"line":14,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿CallExpression
2514¿Identifier¿¿4362¿require¿¿¿{"start":{"line":14,"column":17},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2515¿Literal¿string¿4362¿¿'spec-js'¿¿{"start":{"line":14,"column":25},"end":{"line":14,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Literal
2516¿VariableDeclarator¿¿4362¿createEvents¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2517¿CallExpression¿¿4362¿¿¿¿{"start":{"line":15,"column":19},"end":{"line":15,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿CallExpression
2518¿Identifier¿¿4362¿require¿¿¿{"start":{"line":15,"column":19},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2519¿Literal¿string¿4362¿¿'./events'¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Literal
2520¿VariableDeclarator¿¿4362¿modelOperations¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2521¿CallExpression¿¿4362¿¿¿¿{"start":{"line":16,"column":22},"end":{"line":16,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿CallExpression
2522¿Identifier¿¿4362¿require¿¿¿{"start":{"line":16,"column":22},"end":{"line":16,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2523¿Literal¿string¿4362¿¿'./modelOperations'¿¿{"start":{"line":16,"column":30},"end":{"line":16,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Literal
2524¿VariableDeclarator¿¿4362¿get¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2525¿MemberExpression¿¿4362¿¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
2526¿Identifier¿¿4362¿modelOperations¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2527¿Identifier¿¿4362¿get¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2528¿VariableDeclarator¿¿4362¿set¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2529¿MemberExpression¿¿4362¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
2530¿Identifier¿¿4362¿modelOperations¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2531¿Identifier¿¿4362¿set¿¿¿{"start":{"line":18,"column":26},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2532¿VariableDeclarator¿¿4362¿gediConstructor¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2533¿Identifier¿¿4362¿newGedi¿¿¿{"start":{"line":21,"column":22},"end":{"line":21,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2534¿VariableDeclarator¿¿4362¿exceptions¿¿¿{"start":{"line":23,"column":4},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2535¿ObjectExpression¿¿4362¿¿¿¿¿¿ObjectExpression
2536¿ExpressionStatement¿¿4362¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ExpressionStatement
2537¿AssignmentExpression¿=¿4362¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿AssignmentExpression
2538¿MemberExpression¿¿4362¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
2539¿Identifier¿¿4362¿exceptions¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2540¿Identifier¿¿4362¿invalidPath¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2541¿Literal¿string¿4362¿¿'Invalid path syntax'¿¿{"start":{"line":24,"column":17},"end":{"line":24,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Literal
2542¿VariableDeclarator¿¿4362¿arrayProto¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2543¿ArrayExpression¿¿4362¿¿¿¿{"start":{"line":27,"column":17},"end":{"line":27,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ArrayExpression
2544¿VariableDeclarator¿¿4362¿newGedi¿¿¿{"start":{"line":37,"column":0},"end":{"line":604,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2545¿FunctionExpression¿¿4362¿anon¿¿¿{"start":{"line":37,"column":0},"end":{"line":604,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿FunctionExpression
2546¿Identifier¿¿0¿model¿¿¿{"start":{"line":37,"column":17},"end":{"line":37,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2547¿VariableDeclarator¿¿4364¿v205¿¿¿{"start":{"line":40,"column":21},"end":{"line":40,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2548¿ObjectExpression¿¿4364¿¿¿¿{"start":{"line":40,"column":21},"end":{"line":40,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ObjectExpression
2549¿ExpressionStatement¿¿4364¿¿¿¿{"start":{"line":40,"column":4},"end":{"line":40,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ExpressionStatement
2550¿AssignmentExpression¿=¿4364¿¿¿¿{"start":{"line":40,"column":4},"end":{"line":40,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿AssignmentExpression
2551¿Identifier¿¿4364¿model¿¿¿{"start":{"line":40,"column":4},"end":{"line":40,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2552¿LogicalExpression¿||¿4364¿¿¿¿{"start":{"line":40,"column":12},"end":{"line":40,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿LogicalExpression
2553¿Identifier¿¿4364¿model¿¿¿{"start":{"line":40,"column":12},"end":{"line":40,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2554¿Identifier¿¿4364¿v205¿¿¿¿¿Identifier
2555¿VariableDeclarator¿¿4364¿gel¿¿¿{"start":{"line":44,"column":8},"end":{"line":44,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2556¿NewExpression¿¿4364¿¿¿¿{"start":{"line":44,"column":14},"end":{"line":44,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿NewExpression
2557¿Identifier¿¿4364¿Gel¿¿¿{"start":{"line":44,"column":18},"end":{"line":44,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2558¿VariableDeclarator¿¿4364¿dirtyModel¿¿¿{"start":{"line":47,"column":8},"end":{"line":47,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2559¿ObjectExpression¿¿4364¿¿¿¿¿¿ObjectExpression
2560¿VariableDeclarator¿¿4364¿PathToken¿¿¿{"start":{"line":49,"column":8},"end":{"line":49,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2561¿CallExpression¿¿4364¿¿¿¿{"start":{"line":49,"column":20},"end":{"line":49,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿CallExpression
2562¿Identifier¿¿4364¿createPathToken¿¿¿{"start":{"line":49,"column":20},"end":{"line":49,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2563¿Identifier¿¿4364¿get¿¿¿{"start":{"line":49,"column":36},"end":{"line":49,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2564¿Identifier¿¿4364¿model¿¿¿{"start":{"line":49,"column":41},"end":{"line":49,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2565¿VariableDeclarator¿¿4364¿events¿¿¿{"start":{"line":52,"column":8},"end":{"line":52,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2566¿CallExpression¿¿4364¿¿¿¿{"start":{"line":52,"column":17},"end":{"line":52,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿CallExpression
2567¿Identifier¿¿4364¿createEvents¿¿¿{"start":{"line":52,"column":17},"end":{"line":52,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2568¿Identifier¿¿4364¿modelGet¿¿¿{"start":{"line":52,"column":30},"end":{"line":52,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2569¿Identifier¿¿4364¿gel¿¿¿{"start":{"line":52,"column":40},"end":{"line":52,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2570¿Identifier¿¿4364¿PathToken¿¿¿{"start":{"line":52,"column":45},"end":{"line":52,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2571¿VariableDeclarator¿¿4364¿v206¿¿¿{"start":{"line":56,"column":4},"end":{"line":56,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2572¿CallExpression¿¿4364¿¿¿¿{"start":{"line":56,"column":4},"end":{"line":56,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿CallExpression
2573¿MemberExpression¿¿4364¿¿¿¿{"start":{"line":56,"column":4},"end":{"line":56,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
2574¿Identifier¿¿4364¿events¿¿¿{"start":{"line":56,"column":4},"end":{"line":56,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2575¿Identifier¿¿4364¿addModelReference¿¿¿{"start":{"line":56,"column":11},"end":{"line":56,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2576¿Literal¿string¿4364¿¿'[/]'¿¿{"start":{"line":56,"column":29},"end":{"line":56,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Literal
2577¿Identifier¿¿4364¿model¿¿¿{"start":{"line":56,"column":36},"end":{"line":56,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2578¿ExpressionStatement¿¿4364¿¿¿¿{"start":{"line":56,"column":4},"end":{"line":56,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ExpressionStatement
2579¿Identifier¿¿4364¿v206¿¿¿¿¿Identifier
2580¿VariableDeclarator¿¿4364¿v207¿¿¿{"start":{"line":68,"column":4},"end":{"line":68,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2581¿MemberExpression¿¿4364¿¿¿¿{"start":{"line":68,"column":4},"end":{"line":68,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
2582¿Identifier¿¿4364¿Array¿¿¿{"start":{"line":68,"column":4},"end":{"line":68,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2583¿Identifier¿¿4364¿prototype¿¿¿{"start":{"line":68,"column":10},"end":{"line":68,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2584¿VariableDeclarator¿¿4364¿v208¿¿¿{"start":{"line":68,"column":30},"end":{"line":68,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2585¿MemberExpression¿¿4364¿¿¿¿{"start":{"line":68,"column":30},"end":{"line":68,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
2586¿Identifier¿¿4364¿Array¿¿¿{"start":{"line":68,"column":30},"end":{"line":68,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2587¿Identifier¿¿4364¿prototype¿¿¿{"start":{"line":68,"column":36},"end":{"line":68,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2588¿VariableDeclarator¿¿4364¿v209¿¿¿{"start":{"line":68,"column":30},"end":{"line":68,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2589¿MemberExpression¿¿4364¿¿¿¿{"start":{"line":68,"column":30},"end":{"line":68,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
2590¿Identifier¿¿4364¿v208¿¿¿¿¿Identifier
2591¿Identifier¿¿4364¿indexOf¿¿¿{"start":{"line":68,"column":46},"end":{"line":68,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2592¿VariableDeclarator¿¿4364¿v214¿¿¿{"start":{"line":68,"column":57},"end":{"line":74,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2593¿FunctionExpression¿¿4364¿anon¿¿¿{"start":{"line":68,"column":57},"end":{"line":74,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿FunctionExpression
2594¿Identifier¿¿0¿object¿¿¿{"start":{"line":68,"column":67},"end":{"line":68,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2595¿VariableDeclarator¿¿4366¿i¿¿¿{"start":{"line":69,"column":17},"end":{"line":69,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2596¿Literal¿number¿4366¿¿0¿¿{"start":{"line":69,"column":21},"end":{"line":69,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Literal
2597¿VariableDeclarator¿¿4366¿v210¿¿¿{"start":{"line":69,"column":28},"end":{"line":69,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2598¿MemberExpression¿¿4366¿¿¿¿{"start":{"line":69,"column":28},"end":{"line":69,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
2599¿ThisExpression¿¿4366¿¿¿¿{"start":{"line":69,"column":28},"end":{"line":69,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ThisExpression
2600¿Identifier¿¿4366¿length¿¿¿{"start":{"line":69,"column":33},"end":{"line":69,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2601¿VariableDeclarator¿¿4366¿v211¿¿¿{"start":{"line":69,"column":24},"end":{"line":69,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2602¿BinaryExpression¿<¿4366¿¿¿¿{"start":{"line":69,"column":24},"end":{"line":69,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BinaryExpression
2603¿Identifier¿¿4366¿i¿¿¿{"start":{"line":69,"column":24},"end":{"line":69,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2604¿Identifier¿¿4366¿v210¿¿¿¿¿Identifier
2605¿WhileStatement¿¿4366¿¿¿¿{"start":{"line":69,"column":8},"end":{"line":73,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿WhileStatement
2606¿Identifier¿¿4366¿v211¿¿¿¿¿Identifier
2607¿VariableDeclarator¿¿4366¿v213¿¿¿{"start":{"line":70,"column":16},"end":{"line":70,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2608¿BinaryExpression¿===¿4366¿¿¿¿{"start":{"line":70,"column":16},"end":{"line":70,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BinaryExpression
2609¿ThisExpression¿¿4366¿¿¿¿{"start":{"line":70,"column":16},"end":{"line":70,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ThisExpression
2610¿Identifier¿¿4366¿object¿¿¿{"start":{"line":70,"column":25},"end":{"line":70,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2611¿IfStatement¿¿4366¿¿¿¿{"start":{"line":70,"column":12},"end":{"line":72,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿IfStatement
2612¿Identifier¿¿4366¿v213¿¿¿¿¿Identifier
2613¿ReturnStatement¿¿4366¿¿¿¿{"start":{"line":71,"column":16},"end":{"line":71,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ReturnStatement
2614¿Identifier¿¿4366¿i¿¿¿{"start":{"line":71,"column":23},"end":{"line":71,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2615¿BlockStatement¿¿4366¿¿¿¿{"start":{"line":70,"column":32},"end":{"line":72,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BlockStatement
2616¿VariableDeclarator¿¿4366¿v212¿¿¿{"start":{"line":69,"column":41},"end":{"line":69,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
2617¿UpdateExpression¿¿4366¿¿¿¿{"start":{"line":69,"column":41},"end":{"line":69,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿UpdateExpression
2618¿Identifier¿¿4366¿i¿¿¿{"start":{"line":69,"column":41},"end":{"line":69,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2619¿ExpressionStatement¿¿4366¿¿¿¿{"start":{"line":69,"column":8},"end":{"line":73,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ExpressionStatement
2620¿AssignmentExpression¿=¿4366¿¿¿¿{"start":{"line":69,"column":8},"end":{"line":73,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿AssignmentExpression
2621¿Identifier¿¿4366¿v211¿¿¿{"start":{"line":69,"column":8},"end":{"line":73,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
2622¿BinaryExpression¿<¿4366¿¿¿¿{"start":{"line":69,"column":24},"end":{"line":69,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BinaryExpression
