Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
652¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":135,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Program
686¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
687¿Literal¿string¿1133¿¿'.htm'¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
688¿Literal¿string¿1133¿¿'text/html'¿¿{"start":{"line":14,"column":10},"end":{"line":14,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
689¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
690¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
691¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
692¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
693¿Literal¿string¿1133¿¿'.html'¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
694¿Literal¿string¿1133¿¿'text/html'¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
695¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
696¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
697¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
698¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
699¿Literal¿string¿1133¿¿'.ico'¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
700¿Literal¿string¿1133¿¿'image/x-icon'¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
701¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
702¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
703¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
704¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
705¿Literal¿string¿1133¿¿'.jpg'¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
706¿Literal¿string¿1133¿¿'image/jpeg'¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
707¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
708¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
709¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
710¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
711¿Literal¿string¿1133¿¿'.jpeg'¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
712¿Literal¿string¿1133¿¿'image/jpeg'¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
713¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
714¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
715¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
716¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
717¿Literal¿string¿1133¿¿'.js'¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
718¿Literal¿string¿1133¿¿'text/javascript'¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
719¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
720¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
721¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
722¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
723¿Literal¿string¿1133¿¿'.json'¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
724¿Literal¿string¿1133¿¿'application/json'¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
725¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
726¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
727¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
728¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
729¿Literal¿string¿1133¿¿'.mp3'¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
730¿Literal¿string¿1133¿¿'audio/mpeg'¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
731¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
732¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
733¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
734¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
735¿Literal¿string¿1133¿¿'.png'¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
736¿Literal¿string¿1133¿¿'image/png'¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
737¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
738¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
739¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
740¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
741¿Literal¿string¿1133¿¿'.pdf'¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
742¿Literal¿string¿1133¿¿'application/pdf'¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
743¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
744¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
745¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
746¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
747¿Literal¿string¿1133¿¿'.svg'¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
748¿Literal¿string¿1133¿¿'image/svg+xml'¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
749¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
750¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
751¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
752¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
753¿Literal¿string¿1133¿¿'.swf'¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
754¿Literal¿string¿1133¿¿'application/x-shockwave-flash'¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
755¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
756¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
757¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
758¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
759¿Literal¿string¿1133¿¿'.tiff'¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
760¿Literal¿string¿1133¿¿'image/tiff'¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
761¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
762¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
763¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
764¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
765¿Literal¿string¿1133¿¿'.txt'¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
766¿Literal¿string¿1133¿¿'text/plain'¿¿{"start":{"line":27,"column":10},"end":{"line":27,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
767¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
768¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
769¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
770¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
771¿Literal¿string¿1133¿¿'.wav'¿¿{"start":{"line":28,"column":2},"end":{"line":28,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
772¿Literal¿string¿1133¿¿'audio/wav'¿¿{"start":{"line":28,"column":10},"end":{"line":28,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Literal
773¿ExpressionStatement¿¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿ExpressionStatement
774¿AssignmentExpression¿=¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿AssignmentExpression
775¿MemberExpression¿computed¿1133¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":30,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿MemberExpression
776¿Identifier¿¿1133¿MIME_TYPE_MAP¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/pico-static-server_2.3.4/src/index.js"}¿¿Identifier
