Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
6996¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":848,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Program
7007¿Identifier¿¿12225¿require¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7008¿Literal¿string¿12225¿¿'./git_file_operations'¿¿{"start":{"line":3,"column":32},"end":{"line":3,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Literal
7009¿VariableDeclarator¿¿12225¿GitFileOperations¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":74},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7010¿MemberExpression¿¿12225¿¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":74},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿MemberExpression
7011¿Identifier¿¿12225¿v680¿¿¿¿¿Identifier
7012¿Identifier¿¿12225¿GitFileOperations¿¿¿{"start":{"line":3,"column":57},"end":{"line":3,"column":74},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7013¿VariableDeclarator¿¿12225¿v681¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7014¿CallExpression¿¿12225¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿CallExpression
7015¿Identifier¿¿12225¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7016¿Literal¿string¿12225¿¿'child_process'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Literal
7017¿VariableDeclarator¿¿12225¿exec¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7018¿MemberExpression¿¿12225¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿MemberExpression
7019¿Identifier¿¿12225¿v681¿¿¿¿¿Identifier
7020¿Identifier¿¿12225¿exec¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7021¿VariableDeclarator¿¿12225¿v682¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7022¿CallExpression¿¿12225¿¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿CallExpression
7023¿Identifier¿¿12225¿require¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7024¿Literal¿string¿12225¿¿'./file_index'¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Literal
7025¿VariableDeclarator¿¿12225¿FileIndex¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7026¿MemberExpression¿¿12225¿¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿MemberExpression
7027¿Identifier¿¿12225¿v682¿¿¿¿¿Identifier
7028¿Identifier¿¿12225¿FileIndex¿¿¿{"start":{"line":5,"column":40},"end":{"line":5,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7029¿VariableDeclarator¿¿12225¿v683¿¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7030¿CallExpression¿¿12225¿¿¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿CallExpression
7031¿Identifier¿¿12225¿require¿¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7032¿Literal¿string¿12225¿¿'./repository'¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Literal
7033¿VariableDeclarator¿¿12225¿Repository¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7034¿MemberExpression¿¿12225¿¿¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿MemberExpression
7035¿Identifier¿¿12225¿v683¿¿¿¿¿Identifier
7036¿Identifier¿¿12225¿Repository¿¿¿{"start":{"line":6,"column":41},"end":{"line":6,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7037¿VariableDeclarator¿¿12225¿v684¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7038¿CallExpression¿¿12225¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿CallExpression
7039¿Identifier¿¿12225¿require¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7040¿Literal¿string¿12225¿¿'../diff/diff'¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Literal
7041¿VariableDeclarator¿¿12225¿Difference¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7042¿MemberExpression¿¿12225¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿MemberExpression
7043¿Identifier¿¿12225¿v684¿¿¿¿¿Identifier
7044¿Identifier¿¿12225¿Difference¿¿¿{"start":{"line":7,"column":41},"end":{"line":7,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7045¿VariableDeclarator¿exported¿12225¿v698¿¿¿{"start":{"line":9,"column":10},"end":{"line":16,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7046¿FunctionExpression¿¿12225¿anon¿¿¿{"start":{"line":9,"column":24},"end":{"line":16,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿FunctionExpression
7047¿Identifier¿¿0¿git_directory¿¿¿{"start":{"line":9,"column":33},"end":{"line":9,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7048¿VariableDeclarator¿¿12227¿_git_diretory¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7049¿Identifier¿¿12227¿git_directory¿¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7050¿VariableDeclarator¿¿12227¿_git_file_index¿¿¿{"start":{"line":10,"column":37},"end":{"line":10,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7051¿VariableDeclarator¿¿12227¿v685¿¿¿{"start":{"line":11,"column":50},"end":{"line":11,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7052¿ObjectExpression¿¿12227¿¿¿¿{"start":{"line":11,"column":50},"end":{"line":11,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿ObjectExpression
7053¿VariableDeclarator¿¿12227¿_repository¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7054¿NewExpression¿¿12227¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿NewExpression
7055¿Identifier¿¿12227¿Repository¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7056¿Identifier¿¿12227¿_git_diretory¿¿¿{"start":{"line":11,"column":35},"end":{"line":11,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7057¿Identifier¿¿12227¿v685¿¿¿¿¿Identifier
7058¿VariableDeclarator¿¿12227¿v686¿¿¿{"start":{"line":13,"column":54},"end":{"line":13,"column":90},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7059¿FunctionExpression¿¿12227¿anon¿¿¿{"start":{"line":13,"column":54},"end":{"line":13,"column":90},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿FunctionExpression
7060¿ReturnStatement¿¿12229¿¿¿¿{"start":{"line":13,"column":67},"end":{"line":13,"column":88},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿ReturnStatement
7061¿Identifier¿¿12229¿_git_diretory¿¿¿{"start":{"line":13,"column":74},"end":{"line":13,"column":87},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7062¿BlockStatement¿¿12229¿¿¿¿{"start":{"line":13,"column":65},"end":{"line":13,"column":90},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿BlockStatement
7063¿VariableDeclarator¿¿12227¿v687¿¿¿{"start":{"line":13,"column":97},"end":{"line":13,"column":139},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7064¿FunctionExpression¿¿12227¿anon¿¿¿{"start":{"line":13,"column":97},"end":{"line":13,"column":139},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿FunctionExpression
7065¿Identifier¿¿0¿value¿¿¿{"start":{"line":13,"column":106},"end":{"line":13,"column":111},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7066¿ExpressionStatement¿¿12231¿¿¿¿{"start":{"line":13,"column":115},"end":{"line":13,"column":137},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿ExpressionStatement
7067¿AssignmentExpression¿=¿12231¿¿¿¿{"start":{"line":13,"column":115},"end":{"line":13,"column":136},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿AssignmentExpression
7068¿Identifier¿¿12231¿_git_diretory¿¿¿{"start":{"line":13,"column":115},"end":{"line":13,"column":128},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7069¿Identifier¿¿12231¿value¿¿¿{"start":{"line":13,"column":131},"end":{"line":13,"column":136},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7070¿BlockStatement¿¿12231¿¿¿¿{"start":{"line":13,"column":113},"end":{"line":13,"column":139},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿BlockStatement
7071¿VariableDeclarator¿¿12227¿v688¿¿¿{"start":{"line":13,"column":47},"end":{"line":13,"column":158},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7072¿ObjectExpression¿¿12227¿¿¿¿{"start":{"line":13,"column":47},"end":{"line":13,"column":158},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿ObjectExpression
7073¿Property¿¿12227¿¿¿¿{"start":{"line":13,"column":49},"end":{"line":13,"column":90},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Property
7074¿Identifier¿¿12227¿get¿¿¿{"start":{"line":13,"column":49},"end":{"line":13,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7075¿Identifier¿¿12227¿v686¿¿¿¿¿Identifier
7076¿Property¿¿12227¿¿¿¿{"start":{"line":13,"column":92},"end":{"line":13,"column":139},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Property
7077¿Identifier¿¿12227¿set¿¿¿{"start":{"line":13,"column":92},"end":{"line":13,"column":95},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7078¿Identifier¿¿12227¿v687¿¿¿¿¿Identifier
7079¿Property¿¿12227¿¿¿¿{"start":{"line":13,"column":141},"end":{"line":13,"column":157},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Property
7080¿Identifier¿¿12227¿enumerable¿¿¿{"start":{"line":13,"column":141},"end":{"line":13,"column":151},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7081¿Literal¿boolean¿12227¿¿true¿¿{"start":{"line":13,"column":153},"end":{"line":13,"column":157},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Literal
7082¿VariableDeclarator¿¿12227¿v689¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":159},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7083¿CallExpression¿¿12227¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":159},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿CallExpression
7084¿MemberExpression¿¿12227¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿MemberExpression
7085¿Identifier¿¿12227¿Object¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":8},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7086¿Identifier¿¿12227¿defineProperty¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7087¿ThisExpression¿¿12227¿¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿ThisExpression
7088¿Literal¿string¿12227¿¿'git_directory'¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Literal
7089¿Identifier¿¿12227¿v688¿¿¿¿¿Identifier
7090¿ExpressionStatement¿¿12227¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":160},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿ExpressionStatement
7091¿Identifier¿¿12227¿v689¿¿¿¿¿Identifier
7092¿VariableDeclarator¿¿12227¿v690¿¿¿{"start":{"line":14,"column":55},"end":{"line":14,"column":93},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7093¿FunctionExpression¿¿12227¿anon¿¿¿{"start":{"line":14,"column":55},"end":{"line":14,"column":93},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿FunctionExpression
7094¿ReturnStatement¿¿12233¿¿¿¿{"start":{"line":14,"column":68},"end":{"line":14,"column":91},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿ReturnStatement
7095¿Identifier¿¿12233¿_git_file_index¿¿¿{"start":{"line":14,"column":75},"end":{"line":14,"column":90},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7096¿BlockStatement¿¿12233¿¿¿¿{"start":{"line":14,"column":66},"end":{"line":14,"column":93},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿BlockStatement
7097¿VariableDeclarator¿¿12227¿v691¿¿¿{"start":{"line":14,"column":100},"end":{"line":14,"column":144},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7098¿FunctionExpression¿¿12227¿anon¿¿¿{"start":{"line":14,"column":100},"end":{"line":14,"column":144},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿FunctionExpression
7099¿Identifier¿¿0¿value¿¿¿{"start":{"line":14,"column":109},"end":{"line":14,"column":114},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7100¿ExpressionStatement¿¿12235¿¿¿¿{"start":{"line":14,"column":118},"end":{"line":14,"column":142},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿ExpressionStatement
7101¿AssignmentExpression¿=¿12235¿¿¿¿{"start":{"line":14,"column":118},"end":{"line":14,"column":141},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿AssignmentExpression
7102¿Identifier¿¿12235¿_git_file_index¿¿¿{"start":{"line":14,"column":118},"end":{"line":14,"column":133},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7103¿Identifier¿¿12235¿value¿¿¿{"start":{"line":14,"column":136},"end":{"line":14,"column":141},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7104¿BlockStatement¿¿12235¿¿¿¿{"start":{"line":14,"column":116},"end":{"line":14,"column":144},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿BlockStatement
7105¿VariableDeclarator¿¿12227¿v692¿¿¿{"start":{"line":14,"column":48},"end":{"line":14,"column":163},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7106¿ObjectExpression¿¿12227¿¿¿¿{"start":{"line":14,"column":48},"end":{"line":14,"column":163},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿ObjectExpression
7107¿Property¿¿12227¿¿¿¿{"start":{"line":14,"column":50},"end":{"line":14,"column":93},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Property
7108¿Identifier¿¿12227¿get¿¿¿{"start":{"line":14,"column":50},"end":{"line":14,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7109¿Identifier¿¿12227¿v690¿¿¿¿¿Identifier
7110¿Property¿¿12227¿¿¿¿{"start":{"line":14,"column":95},"end":{"line":14,"column":144},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Property
7111¿Identifier¿¿12227¿set¿¿¿{"start":{"line":14,"column":95},"end":{"line":14,"column":98},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7112¿Identifier¿¿12227¿v691¿¿¿¿¿Identifier
7113¿Property¿¿12227¿¿¿¿{"start":{"line":14,"column":146},"end":{"line":14,"column":162},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Property
7114¿Identifier¿¿12227¿enumerable¿¿¿{"start":{"line":14,"column":146},"end":{"line":14,"column":156},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7115¿Literal¿boolean¿12227¿¿true¿¿{"start":{"line":14,"column":158},"end":{"line":14,"column":162},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Literal
7116¿VariableDeclarator¿¿12227¿v693¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":164},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿VariableDeclarator
7117¿CallExpression¿¿12227¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":164},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿CallExpression
7118¿MemberExpression¿¿12227¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿MemberExpression
7119¿Identifier¿¿12227¿Object¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":8},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7120¿Identifier¿¿12227¿defineProperty¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Identifier
7121¿ThisExpression¿¿12227¿¿¿¿{"start":{"line":14,"column":24},"end":{"line":14,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿ThisExpression
7122¿Literal¿string¿12227¿¿'git_file_index'¿¿{"start":{"line":14,"column":30},"end":{"line":14,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿Literal
7123¿Identifier¿¿12227¿v692¿¿¿¿¿Identifier
7124¿ExpressionStatement¿¿12227¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":165},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9gqr-xp86-f87h/src/git.js"}¿¿ExpressionStatement
