Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
600¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":80,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Program
640¿Literal¿number¿1052¿¿8080¿¿{"start":{"line":10,"column":35},"end":{"line":10,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Literal
641¿VariableDeclarator¿¿1052¿v89¿¿¿{"start":{"line":12,"column":36},"end":{"line":75,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
642¿FunctionExpression¿¿1052¿anon¿¿¿{"start":{"line":12,"column":36},"end":{"line":75,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿FunctionExpression
643¿Identifier¿¿0¿request¿¿¿{"start":{"line":12,"column":46},"end":{"line":12,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
644¿Identifier¿¿0¿response¿¿¿{"start":{"line":12,"column":55},"end":{"line":12,"column":63},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
645¿VariableDeclarator¿¿1054¿v52¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
646¿MemberExpression¿¿1054¿¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿MemberExpression
647¿Identifier¿¿1054¿request¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
648¿Identifier¿¿1054¿url¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
649¿VariableDeclarator¿¿1054¿match¿¿¿{"start":{"line":13,"column":10},"end":{"line":13,"column":50},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
650¿CallExpression¿¿1054¿¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":50},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿CallExpression
651¿MemberExpression¿¿1054¿¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿MemberExpression
652¿Identifier¿¿1054¿v52¿¿¿¿¿Identifier
653¿Identifier¿¿1054¿match¿¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
654¿Literal¿object¿1054¿¿/(^[^\?]*).*/¿¿{"start":{"line":13,"column":36},"end":{"line":13,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Literal
655¿VariableDeclarator¿¿1054¿v53¿¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
656¿MemberExpression¿computed¿1054¿¿¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿MemberExpression
657¿Identifier¿¿1054¿match¿¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
658¿Literal¿number¿1054¿¿1¿¿{"start":{"line":14,"column":33},"end":{"line":14,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Literal
659¿VariableDeclarator¿¿1054¿filePath¿¿¿{"start":{"line":14,"column":10},"end":{"line":14,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
660¿BinaryExpression¿+¿1054¿¿¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿BinaryExpression
661¿Identifier¿¿1054¿cwd¿¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
662¿Identifier¿¿1054¿v53¿¿¿¿¿Identifier
663¿VariableDeclarator¿¿1054¿v54¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
664¿CallExpression¿¿1054¿¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿CallExpression
665¿MemberExpression¿¿1054¿¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿MemberExpression
666¿Identifier¿¿1054¿filePath¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
667¿Identifier¿¿1054¿match¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
668¿Literal¿object¿1054¿¿/\.[^\/]+$/¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Literal
669¿VariableDeclarator¿¿1054¿v55¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
670¿UnaryExpression¿!¿1054¿¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿UnaryExpression
671¿Identifier¿¿1054¿v54¿¿¿¿¿Identifier
672¿IfStatement¿¿1054¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":21,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿IfStatement
673¿Identifier¿¿1054¿v55¿¿¿¿¿Identifier
674¿VariableDeclarator¿¿1054¿v56¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
675¿MemberExpression¿¿1054¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿MemberExpression
676¿Identifier¿¿1054¿request¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
677¿Identifier¿¿1054¿method¿¿¿{"start":{"line":16,"column":20},"end":{"line":16,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
678¿VariableDeclarator¿¿1054¿v57¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
679¿BinaryExpression¿===¿1054¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿BinaryExpression
680¿Identifier¿¿1054¿v56¿¿¿¿¿Identifier
681¿Literal¿string¿1054¿¿'GET'¿¿{"start":{"line":16,"column":31},"end":{"line":16,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Literal
682¿IfStatement¿¿1054¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":20,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿IfStatement
683¿Identifier¿¿1054¿v57¿¿¿¿¿Identifier
684¿ExpressionStatement¿¿1054¿¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿ExpressionStatement
685¿AssignmentExpression¿+=¿1054¿¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿AssignmentExpression
686¿Identifier¿¿1054¿filePath¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
687¿Literal¿string¿1054¿¿'.json'¿¿{"start":{"line":17,"column":22},"end":{"line":17,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Literal
688¿BlockStatement¿¿1054¿¿¿¿{"start":{"line":16,"column":38},"end":{"line":18,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿BlockStatement
689¿VariableDeclarator¿¿1054¿v58¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
690¿MemberExpression¿¿1054¿¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿MemberExpression
691¿Identifier¿¿1054¿request¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
692¿Identifier¿¿1054¿method¿¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
693¿VariableDeclarator¿¿1054¿v59¿¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
694¿BinaryExpression¿+¿1054¿¿¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿BinaryExpression
695¿Literal¿string¿1054¿¿'_'¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Literal
696¿Identifier¿¿1054¿v58¿¿¿¿¿Identifier
697¿ExpressionStatement¿¿1054¿¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":55},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿ExpressionStatement
698¿AssignmentExpression¿+=¿1054¿¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":54},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿AssignmentExpression
699¿Identifier¿¿1054¿filePath¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
700¿BinaryExpression¿+¿1054¿¿¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿BinaryExpression
701¿Identifier¿¿1054¿v59¿¿¿¿¿Identifier
702¿Literal¿string¿1054¿¿'.json'¿¿{"start":{"line":19,"column":46},"end":{"line":19,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Literal
703¿BlockStatement¿¿1054¿¿¿¿{"start":{"line":18,"column":15},"end":{"line":20,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿BlockStatement
704¿BlockStatement¿¿1054¿¿¿¿{"start":{"line":15,"column":40},"end":{"line":21,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿BlockStatement
705¿VariableDeclarator¿¿1054¿v60¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
706¿CallExpression¿¿1054¿¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿CallExpression
707¿MemberExpression¿¿1054¿¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿MemberExpression
708¿Identifier¿¿1054¿fs¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
709¿Identifier¿¿1054¿existsSync¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
710¿Identifier¿¿1054¿filePath¿¿¿{"start":{"line":23,"column":24},"end":{"line":23,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
711¿IfStatement¿¿1054¿¿¿¿{"start":{"line":23,"column":6},"end":{"line":74,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿IfStatement
712¿Identifier¿¿1054¿v60¿¿¿¿¿Identifier
713¿VariableDeclarator¿¿1054¿stat¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
714¿CallExpression¿¿1054¿¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿CallExpression
715¿MemberExpression¿¿1054¿¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿MemberExpression
716¿Identifier¿¿1054¿fs¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
717¿Identifier¿¿1054¿statSync¿¿¿{"start":{"line":24,"column":22},"end":{"line":24,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
718¿Identifier¿¿1054¿filePath¿¿¿{"start":{"line":24,"column":31},"end":{"line":24,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
719¿VariableDeclarator¿¿1054¿v61¿¿¿{"start":{"line":27,"column":28},"end":{"line":27,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
720¿MemberExpression¿¿1054¿¿¿¿{"start":{"line":27,"column":28},"end":{"line":27,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿MemberExpression
721¿Identifier¿¿1054¿stat¿¿¿{"start":{"line":27,"column":28},"end":{"line":27,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
722¿Identifier¿¿1054¿size¿¿¿{"start":{"line":27,"column":33},"end":{"line":27,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿Identifier
723¿VariableDeclarator¿¿1054¿headers¿¿¿{"start":{"line":25,"column":12},"end":{"line":28,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿VariableDeclarator
724¿ObjectExpression¿¿1054¿¿¿¿¿¿ObjectExpression
725¿ExpressionStatement¿¿1054¿¿¿¿{"start":{"line":25,"column":12},"end":{"line":28,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿ExpressionStatement
726¿AssignmentExpression¿=¿1054¿¿¿¿{"start":{"line":25,"column":12},"end":{"line":28,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿AssignmentExpression
727¿MemberExpression¿computed¿1054¿¿¿¿{"start":{"line":25,"column":12},"end":{"line":28,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/simple-mock-server_0.2.1/src/simple-mock-server.js"}¿¿MemberExpression
