Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
905¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":132,"column":237},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Program
944¿Identifier¿¿1565¿Schema¿¿¿{"start":{"line":6,"column":27},"end":{"line":6,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
945¿ExpressionStatement¿¿1565¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿ExpressionStatement
946¿AssignmentExpression¿=¿1565¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿AssignmentExpression
947¿MemberExpression¿¿1565¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿MemberExpression
948¿Identifier¿¿1565¿exports¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
949¿Identifier¿¿1565¿handler¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
950¿Identifier¿¿1565¿handler¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
951¿ExpressionStatement¿¿1565¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿ExpressionStatement
952¿AssignmentExpression¿=¿1565¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿AssignmentExpression
953¿MemberExpression¿¿1565¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿MemberExpression
954¿Identifier¿¿1565¿exports¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
955¿Identifier¿¿1565¿parser¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
956¿Identifier¿¿1565¿parser¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
957¿ExpressionStatement¿¿1565¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿ExpressionStatement
958¿AssignmentExpression¿=¿1565¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿AssignmentExpression
959¿MemberExpression¿¿1565¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿MemberExpression
960¿Identifier¿¿1565¿exports¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
961¿Identifier¿¿1565¿formatter¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
962¿Identifier¿¿1565¿formatter¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
963¿ExpressionStatement¿¿1565¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿ExpressionStatement
964¿AssignmentExpression¿=¿1565¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿AssignmentExpression
965¿MemberExpression¿¿1565¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿MemberExpression
966¿Identifier¿¿1565¿exports¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
967¿Identifier¿¿1565¿validator¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
968¿Identifier¿¿1565¿validator¿¿¿{"start":{"line":10,"column":20},"end":{"line":10,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
969¿ExpressionStatement¿¿1565¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿ExpressionStatement
970¿AssignmentExpression¿=¿1565¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿AssignmentExpression
971¿MemberExpression¿¿1565¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿MemberExpression
972¿Identifier¿¿1565¿exports¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
973¿Identifier¿¿1565¿middleware¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
974¿Identifier¿¿1565¿middleware¿¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
975¿ExpressionStatement¿¿1565¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿ExpressionStatement
976¿AssignmentExpression¿=¿1565¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿AssignmentExpression
977¿MemberExpression¿¿1565¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿MemberExpression
978¿Identifier¿¿1565¿exports¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
979¿Identifier¿¿1565¿errorHandler¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
980¿Identifier¿¿1565¿errorHandler¿¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
981¿VariableDeclarator¿¿1565¿_lodash¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿VariableDeclarator
982¿CallExpression¿¿1565¿¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿CallExpression
983¿Identifier¿¿1565¿require¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
984¿Literal¿string¿1565¿¿'lodash'¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Literal
985¿VariableDeclarator¿¿1565¿_lodash2¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿VariableDeclarator
986¿CallExpression¿¿1565¿¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿CallExpression
987¿Identifier¿¿1565¿_interopRequireDefault¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
988¿Identifier¿¿1565¿_lodash¿¿¿{"start":{"line":16,"column":38},"end":{"line":16,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
989¿VariableDeclarator¿¿1565¿_querymenParam¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿VariableDeclarator
990¿CallExpression¿¿1565¿¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿CallExpression
991¿Identifier¿¿1565¿require¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
992¿Literal¿string¿1565¿¿'./querymen-param'¿¿{"start":{"line":18,"column":29},"end":{"line":18,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Literal
993¿VariableDeclarator¿¿1565¿_querymenParam2¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿VariableDeclarator
994¿CallExpression¿¿1565¿¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿CallExpression
995¿Identifier¿¿1565¿_interopRequireDefault¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
996¿Identifier¿¿1565¿_querymenParam¿¿¿{"start":{"line":20,"column":45},"end":{"line":20,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
997¿VariableDeclarator¿¿1565¿_querymenSchema¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿VariableDeclarator
998¿CallExpression¿¿1565¿¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿CallExpression
999¿Identifier¿¿1565¿require¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
1000¿Literal¿string¿1565¿¿'./querymen-schema'¿¿{"start":{"line":22,"column":30},"end":{"line":22,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Literal
1001¿VariableDeclarator¿¿1565¿_querymenSchema2¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿VariableDeclarator
1002¿CallExpression¿¿1565¿¿¿¿{"start":{"line":24,"column":23},"end":{"line":24,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿CallExpression
1003¿Identifier¿¿1565¿_interopRequireDefault¿¿¿{"start":{"line":24,"column":23},"end":{"line":24,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
1004¿Identifier¿¿1565¿_querymenSchema¿¿¿{"start":{"line":24,"column":46},"end":{"line":24,"column":61},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
1005¿VariableDeclarator¿¿1565¿_interopRequireDefault¿¿¿{"start":{"line":26,"column":0},"end":{"line":26,"column":95},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿VariableDeclarator
1006¿FunctionExpression¿¿1565¿anon¿¿¿{"start":{"line":26,"column":0},"end":{"line":26,"column":95},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿FunctionExpression
1007¿Identifier¿¿0¿obj¿¿¿{"start":{"line":26,"column":32},"end":{"line":26,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
1008¿VariableDeclarator¿¿1567¿v78¿¿¿{"start":{"line":26,"column":53},"end":{"line":26,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿VariableDeclarator
1009¿MemberExpression¿¿1567¿¿¿¿{"start":{"line":26,"column":53},"end":{"line":26,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿MemberExpression
1010¿Identifier¿¿1567¿obj¿¿¿{"start":{"line":26,"column":53},"end":{"line":26,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
1011¿Identifier¿¿1567¿__esModule¿¿¿{"start":{"line":26,"column":57},"end":{"line":26,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
1012¿VariableDeclarator¿¿1567¿v79¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿VariableDeclarator
1013¿LogicalExpression¿&&¿1567¿¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿LogicalExpression
1014¿Identifier¿¿1567¿obj¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
1015¿Identifier¿¿1567¿v78¿¿¿¿¿Identifier
1016¿VariableDeclarator¿¿1567¿v80¿¿¿{"start":{"line":26,"column":76},"end":{"line":26,"column":92},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿VariableDeclarator
1017¿ObjectExpression¿¿1567¿¿¿¿{"start":{"line":26,"column":76},"end":{"line":26,"column":92},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿ObjectExpression
1018¿Property¿¿1567¿¿¿¿{"start":{"line":26,"column":78},"end":{"line":26,"column":90},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Property
1019¿Identifier¿¿1567¿default¿¿¿{"start":{"line":26,"column":78},"end":{"line":26,"column":85},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
1020¿Identifier¿¿1567¿obj¿¿¿{"start":{"line":26,"column":87},"end":{"line":26,"column":90},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
1021¿VariableDeclarator¿¿1567¿v81¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":92},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿VariableDeclarator
1022¿IfStatement¿¿1567¿¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":92},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿IfStatement
1023¿Identifier¿¿1567¿v79¿¿¿¿¿Identifier
1024¿ExpressionStatement¿¿1567¿¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":92},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿ExpressionStatement
1025¿AssignmentExpression¿=¿1567¿¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":92},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿AssignmentExpression
1026¿Identifier¿¿1567¿v81¿¿¿¿¿Identifier
1027¿Identifier¿¿1567¿obj¿¿¿{"start":{"line":26,"column":70},"end":{"line":26,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
1028¿BlockStatement¿¿1567¿¿¿¿¿¿BlockStatement
1029¿ExpressionStatement¿¿1567¿¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":92},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿ExpressionStatement
1030¿AssignmentExpression¿=¿1567¿¿¿¿{"start":{"line":26,"column":46},"end":{"line":26,"column":92},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿AssignmentExpression
1031¿Identifier¿¿1567¿v81¿¿¿¿¿Identifier
1032¿Identifier¿¿1567¿v80¿¿¿¿¿Identifier
1033¿BlockStatement¿¿1567¿¿¿¿¿¿BlockStatement
1034¿ReturnStatement¿¿1567¿¿¿¿{"start":{"line":26,"column":39},"end":{"line":26,"column":93},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿ReturnStatement
1035¿Identifier¿¿1567¿v81¿¿¿¿¿Identifier
1036¿BlockStatement¿¿1567¿¿¿¿{"start":{"line":26,"column":37},"end":{"line":26,"column":95},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿BlockStatement
1037¿VariableDeclarator¿¿1565¿v82¿¿¿{"start":{"line":28,"column":0},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿VariableDeclarator
1038¿MemberExpression¿¿1565¿¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿MemberExpression
1039¿Identifier¿¿1565¿_querymenParam2¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
1040¿Identifier¿¿1565¿default¿¿¿{"start":{"line":28,"column":32},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿Identifier
1041¿ExpressionStatement¿¿1565¿¿¿¿{"start":{"line":28,"column":0},"end":{"line":28,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/querymen_2.1.3/src/index.js"}¿¿ExpressionStatement
