Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
983¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":139,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Program
1009¿CallExpression¿¿1700¿¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿CallExpression
1010¿Identifier¿¿1700¿require¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1011¿Literal¿string¿1700¿¿'commander'¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1012¿VariableDeclarator¿¿1700¿v89¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":57},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1013¿CallExpression¿¿1700¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":57},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿CallExpression
1014¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿MemberExpression
1015¿Identifier¿¿1700¿program¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1016¿Identifier¿¿1700¿usage¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1017¿Literal¿string¿1700¿¿'[options] <entries> -- [bundler options]'¿¿{"start":{"line":11,"column":14},"end":{"line":11,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1018¿ExpressionStatement¿¿1700¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":58},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿ExpressionStatement
1019¿Identifier¿¿1700¿v89¿¿¿¿¿Identifier
1020¿VariableDeclarator¿¿1700¿v90¿¿¿{"start":{"line":12,"column":73},"end":{"line":12,"column":86},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1021¿CallExpression¿¿1700¿¿¿¿{"start":{"line":12,"column":73},"end":{"line":12,"column":86},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿CallExpression
1022¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":12,"column":73},"end":{"line":12,"column":84},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿MemberExpression
1023¿Identifier¿¿1700¿process¿¿¿{"start":{"line":12,"column":73},"end":{"line":12,"column":80},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1024¿Identifier¿¿1700¿cwd¿¿¿{"start":{"line":12,"column":81},"end":{"line":12,"column":84},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1025¿VariableDeclarator¿¿1700¿v91¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":87},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1026¿CallExpression¿¿1700¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":87},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿CallExpression
1027¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿MemberExpression
1028¿Identifier¿¿1700¿program¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1029¿Identifier¿¿1700¿option¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1030¿Literal¿string¿1700¿¿'-C, --directory <path>'¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1031¿Literal¿string¿1700¿¿'change the working directory'¿¿{"start":{"line":12,"column":41},"end":{"line":12,"column":71},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1032¿Identifier¿¿1700¿v90¿¿¿¿¿Identifier
1033¿ExpressionStatement¿¿1700¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":88},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿ExpressionStatement
1034¿Identifier¿¿1700¿v91¿¿¿¿¿Identifier
1035¿VariableDeclarator¿¿1700¿v92¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1036¿CallExpression¿¿1700¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿CallExpression
1037¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿MemberExpression
1038¿Identifier¿¿1700¿program¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1039¿Identifier¿¿1700¿option¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1040¿Literal¿string¿1700¿¿'-W, --watch <glob>'¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1041¿Literal¿string¿1700¿¿'specify the file watcher glob pattern'¿¿{"start":{"line":13,"column":37},"end":{"line":13,"column":76},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1042¿Literal¿string¿1700¿¿'*/**'¿¿{"start":{"line":13,"column":78},"end":{"line":13,"column":84},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1043¿ExpressionStatement¿¿1700¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":86},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿ExpressionStatement
1044¿Identifier¿¿1700¿v92¿¿¿¿¿Identifier
1045¿VariableDeclarator¿¿1700¿v93¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":81},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1046¿CallExpression¿¿1700¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":81},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿CallExpression
1047¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿MemberExpression
1048¿Identifier¿¿1700¿program¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1049¿Identifier¿¿1700¿option¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1050¿Literal¿string¿1700¿¿'-b, --bundler <cmd>'¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1051¿Literal¿string¿1700¿¿'specify the bundle command'¿¿{"start":{"line":14,"column":38},"end":{"line":14,"column":66},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1052¿Literal¿string¿1700¿¿'browserify'¿¿{"start":{"line":14,"column":68},"end":{"line":14,"column":80},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1053¿ExpressionStatement¿¿1700¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":82},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿ExpressionStatement
1054¿Identifier¿¿1700¿v93¿¿¿¿¿Identifier
1055¿VariableDeclarator¿¿1700¿v94¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":66},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1056¿CallExpression¿¿1700¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":66},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿CallExpression
1057¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿MemberExpression
1058¿Identifier¿¿1700¿program¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1059¿Identifier¿¿1700¿option¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1060¿Literal¿string¿1700¿¿'-p, --port <port>'¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1061¿Literal¿string¿1700¿¿'specify the http port'¿¿{"start":{"line":15,"column":36},"end":{"line":15,"column":59},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1062¿Literal¿number¿1700¿¿4000¿¿{"start":{"line":15,"column":61},"end":{"line":15,"column":65},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1063¿ExpressionStatement¿¿1700¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":67},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿ExpressionStatement
1064¿Identifier¿¿1700¿v94¿¿¿¿¿Identifier
1065¿VariableDeclarator¿¿1700¿v95¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":75},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1066¿CallExpression¿¿1700¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":75},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿CallExpression
1067¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿MemberExpression
1068¿Identifier¿¿1700¿program¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1069¿Identifier¿¿1700¿option¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1070¿Literal¿string¿1700¿¿'-h, --host <host>'¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1071¿Literal¿string¿1700¿¿'specify the http hostname'¿¿{"start":{"line":16,"column":36},"end":{"line":16,"column":63},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1072¿Identifier¿¿1700¿undefined¿¿¿{"start":{"line":16,"column":65},"end":{"line":16,"column":74},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1073¿ExpressionStatement¿¿1700¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":76},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿ExpressionStatement
1074¿Identifier¿¿1700¿v95¿¿¿¿¿Identifier
1075¿VariableDeclarator¿¿1700¿pkg¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1076¿CallExpression¿¿1700¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿CallExpression
1077¿Identifier¿¿1700¿require¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1078¿Literal¿string¿1700¿¿'./package.json'¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1079¿VariableDeclarator¿¿1700¿v96¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1080¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿MemberExpression
1081¿Identifier¿¿1700¿pkg¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1082¿Identifier¿¿1700¿version¿¿¿{"start":{"line":19,"column":20},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1083¿VariableDeclarator¿¿1700¿v97¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1084¿CallExpression¿¿1700¿¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿CallExpression
1085¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿MemberExpression
1086¿Identifier¿¿1700¿program¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1087¿Identifier¿¿1700¿version¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1088¿Identifier¿¿1700¿v96¿¿¿¿¿Identifier
1089¿ExpressionStatement¿¿1700¿¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿ExpressionStatement
1090¿Identifier¿¿1700¿v97¿¿¿¿¿Identifier
1091¿VariableDeclarator¿¿1700¿v98¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1092¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿MemberExpression
1093¿Identifier¿¿1700¿process¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1094¿Identifier¿¿1700¿argv¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1095¿VariableDeclarator¿¿1700¿sub¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1096¿CallExpression¿¿1700¿¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿CallExpression
1097¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿MemberExpression
1098¿Identifier¿¿1700¿v98¿¿¿¿¿Identifier
1099¿Identifier¿¿1700¿indexOf¿¿¿{"start":{"line":21,"column":23},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1100¿Literal¿string¿1700¿¿'--'¿¿{"start":{"line":21,"column":31},"end":{"line":21,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1101¿VariableDeclarator¿¿1700¿v99¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1102¿UnaryExpression¿-¿1700¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿UnaryExpression
1103¿Literal¿number¿1700¿¿1¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1104¿VariableDeclarator¿¿1700¿v100¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1105¿BinaryExpression¿>¿1700¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿BinaryExpression
1106¿Identifier¿¿1700¿index¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1107¿Identifier¿¿1700¿v99¿¿¿¿¿Identifier
1108¿IfStatement¿¿1700¿¿¿¿{"start":{"line":22,"column":0},"end":{"line":27,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿IfStatement
1109¿Identifier¿¿1700¿v100¿¿¿¿¿Identifier
1110¿VariableDeclarator¿¿1700¿v101¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1111¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿MemberExpression
1112¿Identifier¿¿1700¿process¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1113¿Identifier¿¿1700¿argv¿¿¿{"start":{"line":23,"column":24},"end":{"line":23,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1114¿VariableDeclarator¿¿1700¿v102¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
1115¿CallExpression¿¿1700¿¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿CallExpression
1116¿MemberExpression¿¿1700¿¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿MemberExpression
1117¿Identifier¿¿1700¿v101¿¿¿¿¿Identifier
1118¿Identifier¿¿1700¿slice¿¿¿{"start":{"line":23,"column":29},"end":{"line":23,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1119¿Literal¿number¿1700¿¿0¿¿{"start":{"line":23,"column":35},"end":{"line":23,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Literal
1120¿Identifier¿¿1700¿sub¿¿¿{"start":{"line":23,"column":38},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿Identifier
1121¿VariableDeclarator¿¿1700¿v103¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/bitty_0.1.0/src/index.js"}¿¿VariableDeclarator
