Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
753¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":173,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Program
769¿BinaryExpression¿*¿1294¿¿¿¿{"start":{"line":20,"column":17},"end":{"line":20,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BinaryExpression
770¿Literal¿number¿1294¿¿2¿¿{"start":{"line":20,"column":17},"end":{"line":20,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
771¿Identifier¿¿1294¿UNIT_MB¿¿¿{"start":{"line":20,"column":21},"end":{"line":20,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
772¿VariableDeclarator¿¿1294¿v65¿¿¿{"start":{"line":19,"column":17},"end":{"line":22,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
773¿ObjectExpression¿¿1294¿¿¿¿{"start":{"line":19,"column":17},"end":{"line":22,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ObjectExpression
774¿Property¿¿1294¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Property
775¿Identifier¿¿1294¿maxBuffer¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
776¿Identifier¿¿1294¿v64¿¿¿¿¿Identifier
777¿Property¿¿1294¿¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Property
778¿Identifier¿¿1294¿windowsHide¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
779¿Literal¿boolean¿1294¿¿true¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
780¿VariableDeclarator¿¿1294¿v66¿¿¿{"start":{"line":19,"column":4},"end":{"line":22,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
781¿CallExpression¿¿1294¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":22,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
782¿MemberExpression¿¿1294¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
783¿Identifier¿¿1294¿cp¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
784¿Identifier¿¿1294¿exec¿¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
785¿Identifier¿¿1294¿cmd¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
786¿Identifier¿¿1294¿v65¿¿¿¿¿Identifier
787¿Identifier¿¿1294¿callback¿¿¿{"start":{"line":22,"column":7},"end":{"line":22,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
788¿ExpressionStatement¿¿1294¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":22,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ExpressionStatement
789¿Identifier¿¿1294¿v66¿¿¿¿¿Identifier
790¿BlockStatement¿¿1294¿¿¿¿{"start":{"line":18,"column":23},"end":{"line":23,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BlockStatement
791¿VariableDeclarator¿exported¿1292¿v69¿¿¿{"start":{"line":27,"column":8},"end":{"line":29,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
792¿FunctionExpression¿¿1292¿anon¿¿¿{"start":{"line":27,"column":8},"end":{"line":29,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿FunctionExpression
793¿Identifier¿¿0¿cmd¿¿¿{"start":{"line":27,"column":9},"end":{"line":27,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
794¿Identifier¿¿0¿args¿¿¿{"start":{"line":27,"column":14},"end":{"line":27,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
795¿Identifier¿¿0¿options¿¿¿{"start":{"line":27,"column":20},"end":{"line":27,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
796¿VariableDeclarator¿¿1296¿v68¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
797¿CallExpression¿¿1296¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
798¿MemberExpression¿¿1296¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
799¿Identifier¿¿1296¿cp¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
800¿Identifier¿¿1296¿spawn¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
801¿Identifier¿¿1296¿cmd¿¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
802¿Identifier¿¿1296¿args¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
803¿Identifier¿¿1296¿options¿¿¿{"start":{"line":28,"column":31},"end":{"line":28,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
804¿ReturnStatement¿¿1296¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ReturnStatement
805¿Identifier¿¿1296¿v68¿¿¿¿¿Identifier
806¿BlockStatement¿¿1296¿¿¿¿{"start":{"line":27,"column":29},"end":{"line":29,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BlockStatement
807¿VariableDeclarator¿exported¿1292¿v76¿¿¿{"start":{"line":37,"column":12},"end":{"line":48,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
808¿FunctionExpression¿¿1292¿anon¿¿¿{"start":{"line":37,"column":12},"end":{"line":48,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿FunctionExpression
809¿Identifier¿¿0¿text¿¿¿{"start":{"line":37,"column":13},"end":{"line":37,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
810¿Identifier¿¿0¿num¿¿¿{"start":{"line":37,"column":19},"end":{"line":37,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
811¿VariableDeclarator¿¿1298¿idx¿¿¿{"start":{"line":38,"column":8},"end":{"line":38,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
812¿Literal¿number¿1298¿¿0¿¿{"start":{"line":38,"column":14},"end":{"line":38,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
813¿VariableDeclarator¿¿1298¿v70¿¿¿{"start":{"line":40,"column":11},"end":{"line":40,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
814¿UpdateExpression¿¿1298¿¿¿¿{"start":{"line":40,"column":11},"end":{"line":40,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿UpdateExpression
815¿Identifier¿¿1298¿num¿¿¿{"start":{"line":40,"column":11},"end":{"line":40,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
816¿VariableDeclarator¿¿1298¿v71¿¿¿{"start":{"line":40,"column":11},"end":{"line":40,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
817¿BinaryExpression¿>¿1298¿¿¿¿{"start":{"line":40,"column":11},"end":{"line":40,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BinaryExpression
818¿Identifier¿¿1298¿v70¿¿¿¿¿Identifier
819¿Literal¿number¿1298¿¿0¿¿{"start":{"line":40,"column":19},"end":{"line":40,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
820¿WhileStatement¿¿1298¿¿¿¿{"start":{"line":40,"column":4},"end":{"line":45,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿WhileStatement
821¿Identifier¿¿1298¿v71¿¿¿¿¿Identifier
822¿VariableDeclarator¿¿1298¿nIdx¿¿¿{"start":{"line":41,"column":12},"end":{"line":41,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
823¿CallExpression¿¿1298¿¿¿¿{"start":{"line":41,"column":19},"end":{"line":41,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
824¿MemberExpression¿¿1298¿¿¿¿{"start":{"line":41,"column":19},"end":{"line":41,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
825¿Identifier¿¿1298¿text¿¿¿{"start":{"line":41,"column":19},"end":{"line":41,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
826¿Identifier¿¿1298¿indexOf¿¿¿{"start":{"line":41,"column":24},"end":{"line":41,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
827¿Literal¿string¿1298¿¿'\n'¿¿{"start":{"line":41,"column":32},"end":{"line":41,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
828¿Identifier¿¿1298¿idx¿¿¿{"start":{"line":41,"column":38},"end":{"line":41,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
829¿VariableDeclarator¿¿1298¿v72¿¿¿{"start":{"line":42,"column":10},"end":{"line":42,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
830¿BinaryExpression¿>=¿1298¿¿¿¿{"start":{"line":42,"column":10},"end":{"line":42,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BinaryExpression
831¿Identifier¿¿1298¿nIdx¿¿¿{"start":{"line":42,"column":10},"end":{"line":42,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
832¿Literal¿number¿1298¿¿0¿¿{"start":{"line":42,"column":18},"end":{"line":42,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
833¿IfStatement¿¿1298¿¿¿¿{"start":{"line":42,"column":6},"end":{"line":44,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿IfStatement
834¿Identifier¿¿1298¿v72¿¿¿¿¿Identifier
835¿ExpressionStatement¿¿1298¿¿¿¿{"start":{"line":43,"column":8},"end":{"line":43,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ExpressionStatement
836¿AssignmentExpression¿=¿1298¿¿¿¿{"start":{"line":43,"column":8},"end":{"line":43,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿AssignmentExpression
837¿Identifier¿¿1298¿idx¿¿¿{"start":{"line":43,"column":8},"end":{"line":43,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
838¿BinaryExpression¿+¿1298¿¿¿¿{"start":{"line":43,"column":14},"end":{"line":43,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BinaryExpression
839¿Identifier¿¿1298¿nIdx¿¿¿{"start":{"line":43,"column":14},"end":{"line":43,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
840¿Literal¿number¿1298¿¿1¿¿{"start":{"line":43,"column":21},"end":{"line":43,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
841¿BlockStatement¿¿1298¿¿¿¿{"start":{"line":42,"column":21},"end":{"line":44,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BlockStatement
842¿ExpressionStatement¿¿1298¿¿¿¿{"start":{"line":40,"column":4},"end":{"line":45,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ExpressionStatement
843¿AssignmentExpression¿=¿1298¿¿¿¿{"start":{"line":40,"column":4},"end":{"line":45,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿AssignmentExpression
844¿Identifier¿¿1298¿v71¿¿¿{"start":{"line":40,"column":4},"end":{"line":45,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
845¿BinaryExpression¿>¿1298¿¿¿¿{"start":{"line":40,"column":11},"end":{"line":40,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BinaryExpression
846¿Identifier¿¿1298¿v70¿¿¿¿¿Identifier
847¿Literal¿number¿1298¿¿0¿¿{"start":{"line":40,"column":19},"end":{"line":40,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
848¿BlockStatement¿¿1298¿¿¿¿{"start":{"line":40,"column":22},"end":{"line":45,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BlockStatement
849¿VariableDeclarator¿¿1298¿v73¿¿¿{"start":{"line":47,"column":11},"end":{"line":47,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
850¿BinaryExpression¿>¿1298¿¿¿¿{"start":{"line":47,"column":11},"end":{"line":47,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BinaryExpression
851¿Identifier¿¿1298¿idx¿¿¿{"start":{"line":47,"column":11},"end":{"line":47,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
852¿Literal¿number¿1298¿¿0¿¿{"start":{"line":47,"column":17},"end":{"line":47,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
853¿VariableDeclarator¿¿1298¿v74¿¿¿{"start":{"line":47,"column":21},"end":{"line":47,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
854¿CallExpression¿¿1298¿¿¿¿{"start":{"line":47,"column":21},"end":{"line":47,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
855¿MemberExpression¿¿1298¿¿¿¿{"start":{"line":47,"column":21},"end":{"line":47,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
856¿Identifier¿¿1298¿text¿¿¿{"start":{"line":47,"column":21},"end":{"line":47,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
857¿Identifier¿¿1298¿substring¿¿¿{"start":{"line":47,"column":26},"end":{"line":47,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
858¿Identifier¿¿1298¿idx¿¿¿{"start":{"line":47,"column":36},"end":{"line":47,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
859¿VariableDeclarator¿¿1298¿v75¿¿¿{"start":{"line":47,"column":11},"end":{"line":47,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
860¿IfStatement¿¿1298¿¿¿¿{"start":{"line":47,"column":11},"end":{"line":47,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿IfStatement
861¿Identifier¿¿1298¿v73¿¿¿¿¿Identifier
862¿ExpressionStatement¿¿1298¿¿¿¿{"start":{"line":47,"column":11},"end":{"line":47,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ExpressionStatement
863¿AssignmentExpression¿=¿1298¿¿¿¿{"start":{"line":47,"column":11},"end":{"line":47,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿AssignmentExpression
864¿Identifier¿¿1298¿v75¿¿¿¿¿Identifier
865¿Identifier¿¿1298¿v74¿¿¿¿¿Identifier
866¿BlockStatement¿¿1298¿¿¿¿¿¿BlockStatement
867¿ExpressionStatement¿¿1298¿¿¿¿{"start":{"line":47,"column":11},"end":{"line":47,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ExpressionStatement
868¿AssignmentExpression¿=¿1298¿¿¿¿{"start":{"line":47,"column":11},"end":{"line":47,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿AssignmentExpression
869¿Identifier¿¿1298¿v75¿¿¿¿¿Identifier
870¿Identifier¿¿1298¿text¿¿¿{"start":{"line":47,"column":43},"end":{"line":47,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
871¿BlockStatement¿¿1298¿¿¿¿¿¿BlockStatement
872¿ReturnStatement¿¿1298¿¿¿¿{"start":{"line":47,"column":4},"end":{"line":47,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ReturnStatement
873¿Identifier¿¿1298¿v75¿¿¿¿¿Identifier
874¿BlockStatement¿¿1298¿¿¿¿{"start":{"line":37,"column":24},"end":{"line":48,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BlockStatement
875¿VariableDeclarator¿exported¿1292¿v84¿¿¿{"start":{"line":57,"column":8},"end":{"line":65,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
876¿FunctionExpression¿¿1292¿anon¿¿¿{"start":{"line":57,"column":8},"end":{"line":65,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿FunctionExpression
877¿Identifier¿¿0¿line¿¿¿{"start":{"line":57,"column":9},"end":{"line":57,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
878¿Identifier¿¿0¿max¿¿¿{"start":{"line":57,"column":15},"end":{"line":57,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
879¿VariableDeclarator¿¿1303¿v77¿¿¿{"start":{"line":58,"column":17},"end":{"line":58,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
880¿CallExpression¿¿1303¿¿¿¿{"start":{"line":58,"column":17},"end":{"line":58,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
881¿MemberExpression¿¿1303¿¿¿¿{"start":{"line":58,"column":17},"end":{"line":58,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
882¿Identifier¿¿1303¿line¿¿¿{"start":{"line":58,"column":17},"end":{"line":58,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
883¿Identifier¿¿1303¿trim¿¿¿{"start":{"line":58,"column":22},"end":{"line":58,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
884¿VariableDeclarator¿¿1303¿cols¿¿¿{"start":{"line":58,"column":10},"end":{"line":58,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
885¿CallExpression¿¿1303¿¿¿¿{"start":{"line":58,"column":17},"end":{"line":58,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
886¿MemberExpression¿¿1303¿¿¿¿{"start":{"line":58,"column":17},"end":{"line":58,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
887¿Identifier¿¿1303¿v77¿¿¿¿¿Identifier
888¿Identifier¿¿1303¿split¿¿¿{"start":{"line":58,"column":29},"end":{"line":58,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
889¿Literal¿object¿1303¿¿/\s+/¿¿{"start":{"line":58,"column":35},"end":{"line":58,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
890¿VariableDeclarator¿¿1303¿v78¿¿¿{"start":{"line":60,"column":8},"end":{"line":60,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
891¿MemberExpression¿¿1303¿¿¿¿{"start":{"line":60,"column":8},"end":{"line":60,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
892¿Identifier¿¿1303¿cols¿¿¿{"start":{"line":60,"column":8},"end":{"line":60,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
893¿Identifier¿¿1303¿length¿¿¿{"start":{"line":60,"column":13},"end":{"line":60,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
