Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
8590¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":1387,"column":4},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Program
8720¿VariableDeclarator¿¿15331¿hint¿¿¿{"start":{"line":44,"column":12},"end":{"line":44,"column":16},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8721¿AssignmentExpression¿=¿15331¿¿¿¿{"start":{"line":45,"column":13},"end":{"line":45,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿AssignmentExpression
8722¿Identifier¿¿15331¿i¿¿¿{"start":{"line":45,"column":13},"end":{"line":45,"column":14},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8723¿Literal¿number¿15331¿¿0¿¿{"start":{"line":45,"column":17},"end":{"line":45,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Literal
8724¿VariableDeclarator¿¿15331¿v997¿¿¿{"start":{"line":45,"column":24},"end":{"line":45,"column":35},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8725¿MemberExpression¿¿15331¿¿¿¿{"start":{"line":45,"column":24},"end":{"line":45,"column":35},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿MemberExpression
8726¿Identifier¿¿15331¿typed¿¿¿{"start":{"line":45,"column":24},"end":{"line":45,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8727¿Identifier¿¿15331¿types¿¿¿{"start":{"line":45,"column":30},"end":{"line":45,"column":35},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8728¿VariableDeclarator¿¿15331¿v998¿¿¿{"start":{"line":45,"column":24},"end":{"line":45,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8729¿MemberExpression¿¿15331¿¿¿¿{"start":{"line":45,"column":24},"end":{"line":45,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿MemberExpression
8730¿Identifier¿¿15331¿v997¿¿¿¿¿Identifier
8731¿Identifier¿¿15331¿length¿¿¿{"start":{"line":45,"column":36},"end":{"line":45,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8732¿VariableDeclarator¿¿15331¿v999¿¿¿{"start":{"line":45,"column":20},"end":{"line":45,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8733¿BinaryExpression¿<¿15331¿¿¿¿{"start":{"line":45,"column":20},"end":{"line":45,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿BinaryExpression
8734¿Identifier¿¿15331¿i¿¿¿{"start":{"line":45,"column":20},"end":{"line":45,"column":21},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8735¿Identifier¿¿15331¿v998¿¿¿¿¿Identifier
8736¿WhileStatement¿¿15331¿¿¿¿{"start":{"line":45,"column":8},"end":{"line":51,"column":9},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿WhileStatement
8737¿Identifier¿¿15331¿v999¿¿¿¿¿Identifier
8738¿VariableDeclarator¿¿15331¿v1001¿¿¿{"start":{"line":46,"column":18},"end":{"line":46,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8739¿MemberExpression¿¿15331¿¿¿¿{"start":{"line":46,"column":18},"end":{"line":46,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿MemberExpression
