Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1006¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":123,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Program
1028¿VariableDeclarator¿¿1741¿v95¿¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1029¿MemberExpression¿¿1741¿¿¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿MemberExpression
1030¿Identifier¿¿1741¿process¿¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1031¿Identifier¿¿1741¿pid¿¿¿{"start":{"line":6,"column":31},"end":{"line":6,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1032¿ExpressionStatement¿¿1741¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿ExpressionStatement
1033¿AssignmentExpression¿=¿1741¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿AssignmentExpression
1034¿Identifier¿¿1741¿pid¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1035¿CallExpression¿¿1741¿¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿CallExpression
1036¿Identifier¿¿1741¿parseInt¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1037¿Identifier¿¿1741¿v95¿¿¿¿¿Identifier
1038¿BlockStatement¿¿1741¿¿¿¿{"start":{"line":4,"column":35},"end":{"line":7,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿BlockStatement
1039¿VariableDeclarator¿¿1741¿v96¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1040¿BinaryExpression¿+¿1741¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿BinaryExpression
1041¿Literal¿string¿1741¿¿'lsof -p '¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Literal
1042¿Identifier¿¿1741¿pid¿¿¿{"start":{"line":9,"column":25},"end":{"line":9,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1043¿VariableDeclarator¿¿1741¿v116¿¿¿{"start":{"line":9,"column":30},"end":{"line":33,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1044¿FunctionExpression¿¿1741¿anon¿¿¿{"start":{"line":9,"column":30},"end":{"line":33,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿FunctionExpression
1045¿Identifier¿¿0¿err¿¿¿{"start":{"line":9,"column":39},"end":{"line":9,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1046¿Identifier¿¿0¿d¿¿¿{"start":{"line":9,"column":44},"end":{"line":9,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1047¿ExpressionStatement¿¿1744¿¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿ExpressionStatement
1048¿AssignmentExpression¿=¿1744¿¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿AssignmentExpression
1049¿Identifier¿¿1744¿d¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1050¿CallExpression¿¿1744¿¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿CallExpression
1051¿MemberExpression¿¿1744¿¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿MemberExpression
1052¿Identifier¿¿1744¿d¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1053¿Identifier¿¿1744¿split¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1054¿Literal¿string¿1744¿¿'\n'¿¿{"start":{"line":10,"column":20},"end":{"line":10,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Literal
1055¿VariableDeclarator¿¿1744¿data¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1056¿ArrayExpression¿¿1744¿¿¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿ArrayExpression
1057¿VariableDeclarator¿¿1744¿v97¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1058¿MemberExpression¿computed¿1744¿¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿MemberExpression
1059¿Identifier¿¿1744¿d¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1060¿Literal¿number¿1744¿¿0¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Literal
1061¿VariableDeclarator¿¿1744¿v98¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1062¿CallExpression¿¿1744¿¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿CallExpression
1063¿MemberExpression¿¿1744¿¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿MemberExpression
1064¿Identifier¿¿1744¿v97¿¿¿¿¿Identifier
1065¿Identifier¿¿1744¿toLowerCase¿¿¿{"start":{"line":12,"column":27},"end":{"line":12,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1066¿VariableDeclarator¿¿1744¿headers¿¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1067¿CallExpression¿¿1744¿¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿CallExpression
1068¿MemberExpression¿¿1744¿¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿MemberExpression
1069¿Identifier¿¿1744¿v98¿¿¿¿¿Identifier
1070¿Identifier¿¿1744¿split¿¿¿{"start":{"line":12,"column":41},"end":{"line":12,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1071¿Literal¿object¿1744¿¿/\s+/¿¿{"start":{"line":12,"column":47},"end":{"line":12,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Literal
1072¿VariableDeclarator¿¿1744¿v102¿¿¿{"start":{"line":13,"column":24},"end":{"line":18,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1073¿FunctionExpression¿¿1744¿anon¿¿¿{"start":{"line":13,"column":24},"end":{"line":18,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿FunctionExpression
1074¿Identifier¿¿0¿v¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1075¿Identifier¿¿0¿k¿¿¿{"start":{"line":13,"column":36},"end":{"line":13,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1076¿VariableDeclarator¿¿1746¿v99¿¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1077¿BinaryExpression¿===¿1746¿¿¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿BinaryExpression
1078¿Identifier¿¿1746¿v¿¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1079¿Literal¿string¿1746¿¿''¿¿{"start":{"line":15,"column":22},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Literal
1080¿IfStatement¿¿1746¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":17,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿IfStatement
1081¿Identifier¿¿1746¿v99¿¿¿¿¿Identifier
1082¿VariableDeclarator¿¿1746¿v100¿¿¿{"start":{"line":16,"column":23},"end":{"line":16,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1083¿MemberExpression¿computed¿1746¿¿¿¿{"start":{"line":16,"column":23},"end":{"line":16,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿MemberExpression
1084¿Identifier¿¿1746¿headers¿¿¿{"start":{"line":16,"column":23},"end":{"line":16,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1085¿Identifier¿¿1746¿k¿¿¿{"start":{"line":16,"column":31},"end":{"line":16,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1086¿VariableDeclarator¿¿1746¿v101¿¿¿{"start":{"line":16,"column":16},"end":{"line":16,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1087¿UnaryExpression¿delete¿1746¿¿¿¿{"start":{"line":16,"column":16},"end":{"line":16,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿UnaryExpression
1088¿Identifier¿¿1746¿v100¿¿¿¿¿Identifier
1089¿ExpressionStatement¿¿1746¿¿¿¿{"start":{"line":16,"column":16},"end":{"line":16,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿ExpressionStatement
1090¿Identifier¿¿1746¿v101¿¿¿¿¿Identifier
1091¿BlockStatement¿¿1746¿¿¿¿{"start":{"line":15,"column":26},"end":{"line":17,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿BlockStatement
1092¿BlockStatement¿¿1746¿¿¿¿{"start":{"line":13,"column":39},"end":{"line":18,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿BlockStatement
1093¿VariableDeclarator¿¿1744¿v103¿¿¿{"start":{"line":13,"column":8},"end":{"line":18,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1094¿CallExpression¿¿1744¿¿¿¿{"start":{"line":13,"column":8},"end":{"line":18,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿CallExpression
1095¿MemberExpression¿¿1744¿¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿MemberExpression
1096¿Identifier¿¿1744¿headers¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1097¿Identifier¿¿1744¿forEach¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1098¿Identifier¿¿1744¿v102¿¿¿¿¿Identifier
1099¿ExpressionStatement¿¿1744¿¿¿¿{"start":{"line":13,"column":8},"end":{"line":18,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿ExpressionStatement
1100¿Identifier¿¿1744¿v103¿¿¿¿¿Identifier
1101¿VariableDeclarator¿¿1744¿v104¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1102¿MemberExpression¿computed¿1744¿¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿MemberExpression
1103¿Identifier¿¿1744¿d¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1104¿Literal¿number¿1744¿¿0¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Literal
1105¿VariableDeclarator¿¿1744¿v105¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1106¿UnaryExpression¿delete¿1744¿¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿UnaryExpression
1107¿Identifier¿¿1744¿v104¿¿¿¿¿Identifier
1108¿ExpressionStatement¿¿1744¿¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿ExpressionStatement
1109¿Identifier¿¿1744¿v105¿¿¿¿¿Identifier
1110¿VariableDeclarator¿¿1744¿v106¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1111¿CallExpression¿¿1744¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿CallExpression
1112¿MemberExpression¿¿1744¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿MemberExpression
1113¿Identifier¿¿1744¿d¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1114¿Identifier¿¿1744¿pop¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1115¿ExpressionStatement¿¿1744¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿ExpressionStatement
1116¿Identifier¿¿1744¿v106¿¿¿¿¿Identifier
1117¿VariableDeclarator¿¿1744¿v113¿¿¿{"start":{"line":21,"column":18},"end":{"line":31,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1118¿FunctionExpression¿¿1744¿anon¿¿¿{"start":{"line":21,"column":18},"end":{"line":31,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿FunctionExpression
1119¿Identifier¿¿0¿v¿¿¿{"start":{"line":21,"column":27},"end":{"line":21,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1120¿ExpressionStatement¿¿1749¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿ExpressionStatement
1121¿AssignmentExpression¿=¿1749¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿AssignmentExpression
1122¿Identifier¿¿1749¿v¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1123¿CallExpression¿¿1749¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿CallExpression
1124¿MemberExpression¿¿1749¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿MemberExpression
1125¿Identifier¿¿1749¿v¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1126¿Identifier¿¿1749¿split¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1127¿Literal¿object¿1749¿¿/\s+/¿¿{"start":{"line":22,"column":24},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Literal
1128¿VariableDeclarator¿¿1749¿v107¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1129¿MemberExpression¿computed¿1749¿¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿MemberExpression
1130¿Identifier¿¿1749¿v¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Identifier
1131¿Literal¿number¿1749¿¿4¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Literal
1132¿VariableDeclarator¿¿1749¿v108¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1133¿BinaryExpression¿===¿1749¿¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿BinaryExpression
1134¿Identifier¿¿1749¿v107¿¿¿¿¿Identifier
1135¿Literal¿string¿1749¿¿'KQUEUE'¿¿{"start":{"line":23,"column":25},"end":{"line":23,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿Literal
1136¿IfStatement¿¿1749¿¿¿¿{"start":{"line":23,"column":12},"end":{"line":25,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿IfStatement
1137¿Identifier¿¿1749¿v108¿¿¿¿¿Identifier
1138¿ReturnStatement¿¿1749¿¿¿¿{"start":{"line":24,"column":16},"end":{"line":24,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿ReturnStatement
1139¿BlockStatement¿¿1749¿¿¿¿{"start":{"line":23,"column":35},"end":{"line":25,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿BlockStatement
1140¿VariableDeclarator¿¿1749¿k¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1141¿ObjectExpression¿¿1749¿¿¿¿¿¿ObjectExpression
1142¿VariableDeclarator¿¿1749¿v110¿¿¿{"start":{"line":27,"column":22},"end":{"line":29,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿VariableDeclarator
1143¿FunctionExpression¿¿1749¿anon¿¿¿{"start":{"line":27,"column":22},"end":{"line":29,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/lsof_0.1.0/src/lsof.js"}¿¿FunctionExpression
