Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1698¿Program¿¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":203,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Program
1763¿Identifier¿¿process¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1764¿Identifier¿¿title¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1765¿Literal¿string¿¿'pi_video_recording'¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1766¿VariableDeclarator¿¿router¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1767¿CallExpression¿¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1768¿MemberExpression¿¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1769¿Identifier¿¿express¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1770¿Identifier¿¿Router¿¿¿{"start":{"line":23,"column":23},"end":{"line":23,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1771¿VariableDeclarator¿¿state¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1772¿Literal¿number¿¿0¿¿{"start":{"line":27,"column":12},"end":{"line":27,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1773¿VariableDeclarator¿¿video¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1774¿ObjectExpression¿¿¿¿¿¿¿ObjectExpression
1775¿VariableDeclarator¿¿recordTimer¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1776¿VariableDeclarator¿¿recordTimeout¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1777¿MemberExpression¿¿¿¿¿{"start":{"line":31,"column":22},"end":{"line":31,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1778¿Identifier¿¿globalConf¿¿¿{"start":{"line":31,"column":22},"end":{"line":31,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1779¿Identifier¿¿recordTimeout¿¿¿{"start":{"line":31,"column":33},"end":{"line":31,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1780¿VariableDeclarator¿¿allowedOrigins¿¿¿{"start":{"line":32,"column":6},"end":{"line":32,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1781¿MemberExpression¿¿¿¿¿{"start":{"line":32,"column":23},"end":{"line":32,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1782¿Identifier¿¿globalConf¿¿¿{"start":{"line":32,"column":23},"end":{"line":32,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1783¿Identifier¿¿allowedOrigins¿¿¿{"start":{"line":32,"column":34},"end":{"line":32,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1784¿VariableDeclarator¿¿videoFolderPath¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1785¿MemberExpression¿¿¿¿¿{"start":{"line":33,"column":24},"end":{"line":33,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1786¿Identifier¿¿globalConf¿¿¿{"start":{"line":33,"column":24},"end":{"line":33,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1787¿Identifier¿¿writePath¿¿¿{"start":{"line":33,"column":35},"end":{"line":33,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1788¿VariableDeclarator¿¿v178¿¿¿¿¿VariableDeclarator
1789¿FunctionExpression¿¿anon¿¿¿{"start":{"line":36,"column":11},"end":{"line":52,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿FunctionExpression
1790¿Identifier¿¿req¿¿¿{"start":{"line":36,"column":21},"end":{"line":36,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1791¿Identifier¿¿res¿¿¿{"start":{"line":36,"column":26},"end":{"line":36,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1792¿Identifier¿¿next¿¿¿{"start":{"line":36,"column":31},"end":{"line":36,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1793¿VariableDeclarator¿¿v161¿¿¿¿¿VariableDeclarator
1794¿MemberExpression¿¿¿¿¿{"start":{"line":38,"column":15},"end":{"line":38,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1795¿Identifier¿¿req¿¿¿{"start":{"line":38,"column":15},"end":{"line":38,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1796¿Identifier¿¿headers¿¿¿{"start":{"line":38,"column":19},"end":{"line":38,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1797¿VariableDeclarator¿¿v162¿¿¿¿¿VariableDeclarator
1798¿MemberExpression¿¿¿¿¿{"start":{"line":38,"column":15},"end":{"line":38,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1799¿Identifier¿¿v161¿¿¿¿¿Identifier
1800¿Identifier¿¿host¿¿¿{"start":{"line":38,"column":27},"end":{"line":38,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1801¿VariableDeclarator¿¿v163¿¿¿¿¿VariableDeclarator
1802¿CallExpression¿¿¿¿¿{"start":{"line":38,"column":15},"end":{"line":38,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1803¿MemberExpression¿¿¿¿¿{"start":{"line":38,"column":15},"end":{"line":38,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1804¿Identifier¿¿v162¿¿¿¿¿Identifier
1805¿Identifier¿¿split¿¿¿{"start":{"line":38,"column":32},"end":{"line":38,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1806¿Literal¿string¿¿':'¿¿{"start":{"line":38,"column":38},"end":{"line":38,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1807¿VariableDeclarator¿¿host¿¿¿{"start":{"line":38,"column":8},"end":{"line":38,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1808¿MemberExpression¿computed¿¿¿¿{"start":{"line":38,"column":15},"end":{"line":38,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1809¿Identifier¿¿v163¿¿¿¿¿Identifier
1810¿Literal¿number¿¿0¿¿{"start":{"line":38,"column":43},"end":{"line":38,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1811¿VariableDeclarator¿¿v164¿¿¿¿¿VariableDeclarator
1812¿MemberExpression¿¿¿¿¿{"start":{"line":39,"column":13},"end":{"line":39,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1813¿Identifier¿¿req¿¿¿{"start":{"line":39,"column":13},"end":{"line":39,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1814¿Identifier¿¿connection¿¿¿{"start":{"line":39,"column":17},"end":{"line":39,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1815¿VariableDeclarator¿¿v165¿¿¿¿¿VariableDeclarator
1816¿MemberExpression¿¿¿¿¿{"start":{"line":39,"column":13},"end":{"line":39,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1817¿Identifier¿¿v164¿¿¿¿¿Identifier
1818¿Identifier¿¿remoteAddress¿¿¿{"start":{"line":39,"column":28},"end":{"line":39,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1819¿VariableDeclarator¿¿ip¿¿¿{"start":{"line":39,"column":8},"end":{"line":39,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿VariableDeclarator
1820¿CallExpression¿¿¿¿¿{"start":{"line":39,"column":13},"end":{"line":39,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1821¿MemberExpression¿¿¿¿¿{"start":{"line":39,"column":13},"end":{"line":39,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1822¿Identifier¿¿v165¿¿¿¿¿Identifier
1823¿Identifier¿¿replace¿¿¿{"start":{"line":39,"column":42},"end":{"line":39,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1824¿Literal¿object¿¿/^.*:/¿¿{"start":{"line":39,"column":50},"end":{"line":39,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1825¿Literal¿string¿¿''¿¿{"start":{"line":39,"column":58},"end":{"line":39,"column":60},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1826¿VariableDeclarator¿¿v166¿¿¿¿¿VariableDeclarator
1827¿TemplateLiteral¿¿¿¿¿{"start":{"line":40,"column":14},"end":{"line":40,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿TemplateLiteral
1828¿Identifier¿¿host¿¿¿{"start":{"line":40,"column":39},"end":{"line":40,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1829¿Identifier¿¿ip¿¿¿{"start":{"line":40,"column":50},"end":{"line":40,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1830¿VariableDeclarator¿¿v167¿¿¿¿¿VariableDeclarator
1831¿CallExpression¿¿¿¿¿{"start":{"line":40,"column":2},"end":{"line":40,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1832¿MemberExpression¿¿¿¿¿{"start":{"line":40,"column":2},"end":{"line":40,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1833¿Identifier¿¿console¿¿¿{"start":{"line":40,"column":2},"end":{"line":40,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1834¿Identifier¿¿log¿¿¿{"start":{"line":40,"column":10},"end":{"line":40,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1835¿Identifier¿¿v166¿¿¿¿¿Identifier
1836¿ExpressionStatement¿¿¿¿¿{"start":{"line":40,"column":2},"end":{"line":40,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿ExpressionStatement
1837¿Identifier¿¿v167¿¿¿¿¿Identifier
1838¿VariableDeclarator¿¿v168¿¿¿¿¿VariableDeclarator
1839¿MemberExpression¿computed¿¿¿¿{"start":{"line":43,"column":6},"end":{"line":43,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1840¿Identifier¿¿allowedOrigins¿¿¿{"start":{"line":43,"column":6},"end":{"line":43,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1841¿Literal¿number¿¿0¿¿{"start":{"line":43,"column":21},"end":{"line":43,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1842¿VariableDeclarator¿¿v169¿¿¿¿¿VariableDeclarator
1843¿BinaryExpression¿==¿¿¿¿{"start":{"line":43,"column":6},"end":{"line":43,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿BinaryExpression
1844¿Identifier¿¿v168¿¿¿¿¿Identifier
1845¿Literal¿string¿¿'*'¿¿{"start":{"line":43,"column":27},"end":{"line":43,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1846¿IfStatement¿¿¿¿¿{"start":{"line":43,"column":2},"end":{"line":47,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿IfStatement
1847¿Identifier¿¿v169¿¿¿¿¿Identifier
1848¿VariableDeclarator¿¿v170¿¿¿¿¿VariableDeclarator
1849¿CallExpression¿¿¿¿¿{"start":{"line":44,"column":4},"end":{"line":44,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1850¿MemberExpression¿¿¿¿¿{"start":{"line":44,"column":4},"end":{"line":44,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1851¿Identifier¿¿res¿¿¿{"start":{"line":44,"column":4},"end":{"line":44,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1852¿Identifier¿¿header¿¿¿{"start":{"line":44,"column":8},"end":{"line":44,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1853¿Literal¿string¿¿'Access-Control-Allow-Origin'¿¿{"start":{"line":44,"column":15},"end":{"line":44,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Literal
1854¿Identifier¿¿host¿¿¿{"start":{"line":44,"column":46},"end":{"line":44,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1855¿ExpressionStatement¿¿¿¿¿{"start":{"line":44,"column":4},"end":{"line":44,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿ExpressionStatement
1856¿Identifier¿¿v170¿¿¿¿¿Identifier
1857¿BlockStatement¿¿¿¿¿{"start":{"line":43,"column":32},"end":{"line":45,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿BlockStatement
1858¿VariableDeclarator¿¿v171¿¿¿¿¿VariableDeclarator
1859¿CallExpression¿¿¿¿¿{"start":{"line":45,"column":13},"end":{"line":45,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿CallExpression
1860¿MemberExpression¿¿¿¿¿{"start":{"line":45,"column":13},"end":{"line":45,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿MemberExpression
1861¿Identifier¿¿allowedOrigins¿¿¿{"start":{"line":45,"column":13},"end":{"line":45,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1862¿Identifier¿¿indexOf¿¿¿{"start":{"line":45,"column":28},"end":{"line":45,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1863¿Identifier¿¿host¿¿¿{"start":{"line":45,"column":36},"end":{"line":45,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿Identifier
1864¿VariableDeclarator¿¿v172¿¿¿¿¿VariableDeclarator
1865¿UnaryExpression¿-¿¿¿¿{"start":{"line":45,"column":44},"end":{"line":45,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/773/src/server.js"}¿¿UnaryExpression
