Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
622¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":104,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Program
685¿AssignmentExpression¿=¿1118¿¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿AssignmentExpression
686¿Identifier¿¿1118¿bin¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
687¿Literal¿string¿1118¿¿'gm '¿¿{"start":{"line":28,"column":35},"end":{"line":28,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Literal
688¿BlockStatement¿¿1118¿¿¿¿¿¿BlockStatement
689¿VariableDeclarator¿¿1118¿v65¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
690¿BinaryExpression¿+¿1118¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿BinaryExpression
691¿Identifier¿¿1118¿bin¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
692¿Literal¿string¿1118¿¿'compare -metric mse '¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Literal
693¿VariableDeclarator¿¿1118¿v66¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
694¿BinaryExpression¿+¿1118¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿BinaryExpression
695¿Identifier¿¿1118¿v65¿¿¿¿¿Identifier
696¿Identifier¿¿1118¿orig¿¿¿{"start":{"line":29,"column":49},"end":{"line":29,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
697¿VariableDeclarator¿¿1118¿v67¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":59},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
698¿BinaryExpression¿+¿1118¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":59},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿BinaryExpression
699¿Identifier¿¿1118¿v66¿¿¿¿¿Identifier
700¿Literal¿string¿1118¿¿' '¿¿{"start":{"line":29,"column":56},"end":{"line":29,"column":59},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Literal
701¿VariableDeclarator¿¿1118¿execCmd¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":71},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
702¿BinaryExpression¿+¿1118¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":71},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿BinaryExpression
703¿Identifier¿¿1118¿v67¿¿¿¿¿Identifier
704¿Identifier¿¿1118¿compareTo¿¿¿{"start":{"line":29,"column":62},"end":{"line":29,"column":71},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
705¿VariableDeclarator¿¿1118¿tolerance¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
706¿Literal¿number¿1118¿¿0.4¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Literal
707¿VariableDeclarator¿¿1118¿v68¿¿¿{"start":{"line":32,"column":8},"end":{"line":32,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
708¿UnaryExpression¿typeof¿1118¿¿¿¿{"start":{"line":32,"column":8},"end":{"line":32,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿UnaryExpression
709¿Identifier¿¿1118¿options¿¿¿{"start":{"line":32,"column":15},"end":{"line":32,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
710¿VariableDeclarator¿¿1118¿v69¿¿¿{"start":{"line":32,"column":8},"end":{"line":32,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
711¿BinaryExpression¿===¿1118¿¿¿¿{"start":{"line":32,"column":8},"end":{"line":32,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿BinaryExpression
712¿Identifier¿¿1118¿v68¿¿¿¿¿Identifier
713¿Literal¿string¿1118¿¿'object'¿¿{"start":{"line":32,"column":27},"end":{"line":32,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Literal
714¿IfStatement¿¿1118¿¿¿¿{"start":{"line":32,"column":4},"end":{"line":70,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿IfStatement
715¿Identifier¿¿1118¿v69¿¿¿¿¿Identifier
716¿VariableDeclarator¿¿1118¿v70¿¿¿{"start":{"line":34,"column":10},"end":{"line":34,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
717¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":34,"column":10},"end":{"line":34,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿MemberExpression
718¿Identifier¿¿1118¿options¿¿¿{"start":{"line":34,"column":10},"end":{"line":34,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
719¿Identifier¿¿1118¿highlightColor¿¿¿{"start":{"line":34,"column":18},"end":{"line":34,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
720¿VariableDeclarator¿¿1118¿v71¿¿¿{"start":{"line":34,"column":36},"end":{"line":34,"column":58},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
721¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":34,"column":36},"end":{"line":34,"column":58},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿MemberExpression
722¿Identifier¿¿1118¿options¿¿¿{"start":{"line":34,"column":36},"end":{"line":34,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
723¿Identifier¿¿1118¿highlightColor¿¿¿{"start":{"line":34,"column":44},"end":{"line":34,"column":58},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
724¿VariableDeclarator¿¿1118¿v72¿¿¿{"start":{"line":34,"column":36},"end":{"line":34,"column":71},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
725¿CallExpression¿¿1118¿¿¿¿{"start":{"line":34,"column":36},"end":{"line":34,"column":71},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿CallExpression
726¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":34,"column":36},"end":{"line":34,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿MemberExpression
727¿Identifier¿¿1118¿v71¿¿¿¿¿Identifier
728¿Identifier¿¿1118¿indexOf¿¿¿{"start":{"line":34,"column":59},"end":{"line":34,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
729¿Literal¿string¿1118¿¿'''¿¿{"start":{"line":34,"column":67},"end":{"line":34,"column":70},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Literal
730¿VariableDeclarator¿¿1118¿v73¿¿¿{"start":{"line":34,"column":36},"end":{"line":34,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
731¿BinaryExpression¿<¿1118¿¿¿¿{"start":{"line":34,"column":36},"end":{"line":34,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿BinaryExpression
732¿Identifier¿¿1118¿v72¿¿¿¿¿Identifier
733¿Literal¿number¿1118¿¿0¿¿{"start":{"line":34,"column":74},"end":{"line":34,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Literal
734¿VariableDeclarator¿¿1118¿v74¿¿¿{"start":{"line":34,"column":10},"end":{"line":34,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
735¿LogicalExpression¿&&¿1118¿¿¿¿{"start":{"line":34,"column":10},"end":{"line":34,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿LogicalExpression
736¿Identifier¿¿1118¿v70¿¿¿¿¿Identifier
737¿Identifier¿¿1118¿v73¿¿¿¿¿Identifier
738¿IfStatement¿¿1118¿¿¿¿{"start":{"line":34,"column":6},"end":{"line":36,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿IfStatement
739¿Identifier¿¿1118¿v74¿¿¿¿¿Identifier
740¿VariableDeclarator¿¿1118¿v75¿¿¿{"start":{"line":35,"column":39},"end":{"line":35,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
741¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":35,"column":39},"end":{"line":35,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿MemberExpression
742¿Identifier¿¿1118¿options¿¿¿{"start":{"line":35,"column":39},"end":{"line":35,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
743¿Identifier¿¿1118¿highlightColor¿¿¿{"start":{"line":35,"column":47},"end":{"line":35,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
744¿VariableDeclarator¿¿1118¿v76¿¿¿{"start":{"line":35,"column":33},"end":{"line":35,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
745¿BinaryExpression¿+¿1118¿¿¿¿{"start":{"line":35,"column":33},"end":{"line":35,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿BinaryExpression
746¿Literal¿string¿1118¿¿'''¿¿{"start":{"line":35,"column":33},"end":{"line":35,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Literal
747¿Identifier¿¿1118¿v75¿¿¿¿¿Identifier
748¿ExpressionStatement¿¿1118¿¿¿¿{"start":{"line":35,"column":8},"end":{"line":35,"column":68},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿ExpressionStatement
749¿AssignmentExpression¿=¿1118¿¿¿¿{"start":{"line":35,"column":8},"end":{"line":35,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿AssignmentExpression
750¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":35,"column":8},"end":{"line":35,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿MemberExpression
751¿Identifier¿¿1118¿options¿¿¿{"start":{"line":35,"column":8},"end":{"line":35,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
752¿Identifier¿¿1118¿highlightColor¿¿¿{"start":{"line":35,"column":16},"end":{"line":35,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
753¿BinaryExpression¿+¿1118¿¿¿¿{"start":{"line":35,"column":33},"end":{"line":35,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿BinaryExpression
754¿Identifier¿¿1118¿v76¿¿¿¿¿Identifier
755¿Literal¿string¿1118¿¿'''¿¿{"start":{"line":35,"column":64},"end":{"line":35,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Literal
756¿BlockStatement¿¿1118¿¿¿¿{"start":{"line":34,"column":77},"end":{"line":36,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿BlockStatement
757¿VariableDeclarator¿¿1118¿v77¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
758¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿MemberExpression
759¿Identifier¿¿1118¿options¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
760¿Identifier¿¿1118¿file¿¿¿{"start":{"line":38,"column":18},"end":{"line":38,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
761¿IfStatement¿¿1118¿¿¿¿{"start":{"line":38,"column":6},"end":{"line":53,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿IfStatement
762¿Identifier¿¿1118¿v77¿¿¿¿¿Identifier
763¿VariableDeclarator¿¿1118¿v78¿¿¿{"start":{"line":39,"column":19},"end":{"line":39,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
764¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":39,"column":19},"end":{"line":39,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿MemberExpression
765¿Identifier¿¿1118¿options¿¿¿{"start":{"line":39,"column":19},"end":{"line":39,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
766¿Identifier¿¿1118¿file¿¿¿{"start":{"line":39,"column":27},"end":{"line":39,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Identifier
767¿VariableDeclarator¿¿1118¿v79¿¿¿{"start":{"line":39,"column":12},"end":{"line":39,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
768¿UnaryExpression¿typeof¿1118¿¿¿¿{"start":{"line":39,"column":12},"end":{"line":39,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿UnaryExpression
769¿Identifier¿¿1118¿v78¿¿¿¿¿Identifier
770¿VariableDeclarator¿¿1118¿v80¿¿¿{"start":{"line":39,"column":12},"end":{"line":39,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿VariableDeclarator
771¿BinaryExpression¿!==¿1118¿¿¿¿{"start":{"line":39,"column":12},"end":{"line":39,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿BinaryExpression
772¿Identifier¿¿1118¿v79¿¿¿¿¿Identifier
773¿Literal¿string¿1118¿¿'string'¿¿{"start":{"line":39,"column":36},"end":{"line":39,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿Literal
774¿IfStatement¿¿1118¿¿¿¿{"start":{"line":39,"column":8},"end":{"line":41,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/54/src/compare.js"}¿¿IfStatement
