Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
10852¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1019,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Program
10884¿ArrayExpression¿¿¿¿¿{"start":{"line":80,"column":14},"end":{"line":80,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10885¿Literal¿number¿¿1¿¿{"start":{"line":80,"column":15},"end":{"line":80,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10886¿Literal¿number¿¿5¿¿{"start":{"line":80,"column":18},"end":{"line":80,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10887¿VariableDeclarator¿¿$V1¿¿¿{"start":{"line":81,"column":8},"end":{"line":81,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10888¿ArrayExpression¿¿¿¿¿{"start":{"line":81,"column":14},"end":{"line":81,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10889¿Literal¿number¿¿1¿¿{"start":{"line":81,"column":15},"end":{"line":81,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10890¿Literal¿number¿¿8¿¿{"start":{"line":81,"column":18},"end":{"line":81,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10891¿VariableDeclarator¿¿$V2¿¿¿{"start":{"line":82,"column":8},"end":{"line":82,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10892¿ArrayExpression¿¿¿¿¿{"start":{"line":82,"column":14},"end":{"line":82,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10893¿Literal¿number¿¿1¿¿{"start":{"line":82,"column":15},"end":{"line":82,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10894¿Literal¿number¿¿6¿¿{"start":{"line":82,"column":18},"end":{"line":82,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10895¿VariableDeclarator¿¿$V3¿¿¿{"start":{"line":83,"column":8},"end":{"line":83,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10896¿ArrayExpression¿¿¿¿¿{"start":{"line":83,"column":14},"end":{"line":83,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10897¿Literal¿number¿¿1¿¿{"start":{"line":83,"column":15},"end":{"line":83,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10898¿Literal¿number¿¿7¿¿{"start":{"line":83,"column":18},"end":{"line":83,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10899¿VariableDeclarator¿¿$V4¿¿¿{"start":{"line":84,"column":8},"end":{"line":84,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10900¿ArrayExpression¿¿¿¿¿{"start":{"line":84,"column":14},"end":{"line":84,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10901¿Literal¿number¿¿1¿¿{"start":{"line":84,"column":15},"end":{"line":84,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10902¿Literal¿number¿¿9¿¿{"start":{"line":84,"column":18},"end":{"line":84,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10903¿VariableDeclarator¿¿$V5¿¿¿{"start":{"line":85,"column":8},"end":{"line":85,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10904¿ArrayExpression¿¿¿¿¿{"start":{"line":85,"column":14},"end":{"line":85,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10905¿Literal¿number¿¿1¿¿{"start":{"line":85,"column":15},"end":{"line":85,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10906¿Literal¿number¿¿14¿¿{"start":{"line":85,"column":18},"end":{"line":85,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10907¿VariableDeclarator¿¿$V6¿¿¿{"start":{"line":86,"column":8},"end":{"line":86,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10908¿ArrayExpression¿¿¿¿¿{"start":{"line":86,"column":14},"end":{"line":86,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10909¿Literal¿number¿¿1¿¿{"start":{"line":86,"column":15},"end":{"line":86,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10910¿Literal¿number¿¿15¿¿{"start":{"line":86,"column":18},"end":{"line":86,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10911¿VariableDeclarator¿¿$V7¿¿¿{"start":{"line":87,"column":8},"end":{"line":87,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10912¿ArrayExpression¿¿¿¿¿{"start":{"line":87,"column":14},"end":{"line":87,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10913¿Literal¿number¿¿1¿¿{"start":{"line":87,"column":15},"end":{"line":87,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10914¿Literal¿number¿¿16¿¿{"start":{"line":87,"column":18},"end":{"line":87,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10915¿VariableDeclarator¿¿$V8¿¿¿{"start":{"line":88,"column":8},"end":{"line":88,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10916¿ArrayExpression¿¿¿¿¿{"start":{"line":88,"column":14},"end":{"line":88,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10917¿Literal¿number¿¿1¿¿{"start":{"line":88,"column":15},"end":{"line":88,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10918¿Literal¿number¿¿12¿¿{"start":{"line":88,"column":18},"end":{"line":88,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10919¿VariableDeclarator¿¿$V9¿¿¿{"start":{"line":89,"column":8},"end":{"line":89,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10920¿ArrayExpression¿¿¿¿¿{"start":{"line":89,"column":14},"end":{"line":89,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10921¿Literal¿number¿¿1¿¿{"start":{"line":89,"column":15},"end":{"line":89,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10922¿Literal¿number¿¿13¿¿{"start":{"line":89,"column":18},"end":{"line":89,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10923¿VariableDeclarator¿¿$Va¿¿¿{"start":{"line":90,"column":8},"end":{"line":90,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10924¿ArrayExpression¿¿¿¿¿{"start":{"line":90,"column":14},"end":{"line":90,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10925¿Literal¿number¿¿1¿¿{"start":{"line":90,"column":15},"end":{"line":90,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10926¿Literal¿number¿¿17¿¿{"start":{"line":90,"column":18},"end":{"line":90,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10927¿VariableDeclarator¿¿$Vb¿¿¿{"start":{"line":91,"column":8},"end":{"line":91,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10928¿ArrayExpression¿¿¿¿¿{"start":{"line":91,"column":14},"end":{"line":91,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10929¿Literal¿number¿¿1¿¿{"start":{"line":91,"column":15},"end":{"line":91,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10930¿Literal¿number¿¿19¿¿{"start":{"line":91,"column":18},"end":{"line":91,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10931¿VariableDeclarator¿¿$Vc¿¿¿{"start":{"line":92,"column":8},"end":{"line":92,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10932¿ArrayExpression¿¿¿¿¿{"start":{"line":92,"column":14},"end":{"line":92,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10933¿Literal¿number¿¿1¿¿{"start":{"line":92,"column":15},"end":{"line":92,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10934¿Literal¿number¿¿20¿¿{"start":{"line":92,"column":18},"end":{"line":92,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10935¿VariableDeclarator¿¿$Vd¿¿¿{"start":{"line":93,"column":8},"end":{"line":93,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10936¿ArrayExpression¿¿¿¿¿{"start":{"line":93,"column":14},"end":{"line":93,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10937¿Literal¿number¿¿1¿¿{"start":{"line":93,"column":15},"end":{"line":93,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10938¿Literal¿number¿¿21¿¿{"start":{"line":93,"column":18},"end":{"line":93,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10939¿VariableDeclarator¿¿$Ve¿¿¿{"start":{"line":94,"column":8},"end":{"line":94,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10940¿ArrayExpression¿¿¿¿¿{"start":{"line":94,"column":14},"end":{"line":94,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10941¿Literal¿number¿¿1¿¿{"start":{"line":94,"column":15},"end":{"line":94,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10942¿Literal¿number¿¿22¿¿{"start":{"line":94,"column":18},"end":{"line":94,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10943¿VariableDeclarator¿¿$Vf¿¿¿{"start":{"line":95,"column":8},"end":{"line":95,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10944¿ArrayExpression¿¿¿¿¿{"start":{"line":95,"column":14},"end":{"line":95,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10945¿Literal¿number¿¿1¿¿{"start":{"line":95,"column":15},"end":{"line":95,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10946¿Literal¿number¿¿23¿¿{"start":{"line":95,"column":18},"end":{"line":95,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10947¿VariableDeclarator¿¿$Vg¿¿¿{"start":{"line":96,"column":8},"end":{"line":96,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10948¿ArrayExpression¿¿¿¿¿{"start":{"line":96,"column":14},"end":{"line":96,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10949¿Literal¿number¿¿1¿¿{"start":{"line":96,"column":15},"end":{"line":96,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10950¿Literal¿number¿¿24¿¿{"start":{"line":96,"column":18},"end":{"line":96,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10951¿VariableDeclarator¿¿$Vh¿¿¿{"start":{"line":97,"column":8},"end":{"line":97,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10952¿ArrayExpression¿¿¿¿¿{"start":{"line":97,"column":14},"end":{"line":97,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10953¿Literal¿number¿¿1¿¿{"start":{"line":97,"column":15},"end":{"line":97,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10954¿Literal¿number¿¿25¿¿{"start":{"line":97,"column":18},"end":{"line":97,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10955¿VariableDeclarator¿¿$Vi¿¿¿{"start":{"line":98,"column":8},"end":{"line":98,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10956¿ArrayExpression¿¿¿¿¿{"start":{"line":98,"column":14},"end":{"line":98,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10957¿Literal¿number¿¿1¿¿{"start":{"line":98,"column":15},"end":{"line":98,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10958¿Literal¿number¿¿26¿¿{"start":{"line":98,"column":18},"end":{"line":98,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10959¿VariableDeclarator¿¿$Vj¿¿¿{"start":{"line":99,"column":8},"end":{"line":99,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10960¿ArrayExpression¿¿¿¿¿{"start":{"line":99,"column":14},"end":{"line":99,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10961¿Literal¿number¿¿1¿¿{"start":{"line":99,"column":15},"end":{"line":99,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10962¿Literal¿number¿¿27¿¿{"start":{"line":99,"column":18},"end":{"line":99,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10963¿VariableDeclarator¿¿$Vk¿¿¿{"start":{"line":100,"column":8},"end":{"line":100,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10964¿ArrayExpression¿¿¿¿¿{"start":{"line":100,"column":14},"end":{"line":100,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10965¿Literal¿number¿¿1¿¿{"start":{"line":100,"column":15},"end":{"line":100,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10966¿Literal¿number¿¿28¿¿{"start":{"line":100,"column":18},"end":{"line":100,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10967¿VariableDeclarator¿¿$Vl¿¿¿{"start":{"line":101,"column":8},"end":{"line":101,"column":68},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿VariableDeclarator
10968¿ArrayExpression¿¿¿¿¿{"start":{"line":101,"column":14},"end":{"line":101,"column":68},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿ArrayExpression
10969¿Literal¿number¿¿5¿¿{"start":{"line":101,"column":15},"end":{"line":101,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10970¿Literal¿number¿¿9¿¿{"start":{"line":101,"column":18},"end":{"line":101,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10971¿Literal¿number¿¿10¿¿{"start":{"line":101,"column":21},"end":{"line":101,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10972¿Literal¿number¿¿11¿¿{"start":{"line":101,"column":25},"end":{"line":101,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10973¿Literal¿number¿¿13¿¿{"start":{"line":101,"column":29},"end":{"line":101,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10974¿Literal¿number¿¿14¿¿{"start":{"line":101,"column":33},"end":{"line":101,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10975¿Literal¿number¿¿15¿¿{"start":{"line":101,"column":37},"end":{"line":101,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10976¿Literal¿number¿¿16¿¿{"start":{"line":101,"column":41},"end":{"line":101,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10977¿Literal¿number¿¿17¿¿{"start":{"line":101,"column":45},"end":{"line":101,"column":47},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10978¿Literal¿number¿¿18¿¿{"start":{"line":101,"column":49},"end":{"line":101,"column":51},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
10979¿Literal¿number¿¿19¿¿{"start":{"line":101,"column":53},"end":{"line":101,"column":55},"fname":"/datasets/secbench-dataset/CWE-94/hot-formula-parser_3.0.0/src/grammar-parser.js"}¿¿Literal
