Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1033¿Program¿¿-1¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":111,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Program
1051¿Identifier¿¿1795¿green¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1052¿VariableDeclarator¿¿1795¿red¿¿¿{"start":{"line":7,"column":27},"end":{"line":7,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1053¿MemberExpression¿¿1795¿¿¿¿{"start":{"line":7,"column":27},"end":{"line":7,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿MemberExpression
1054¿Identifier¿¿1795¿v92¿¿¿¿¿Identifier
1055¿Identifier¿¿1795¿red¿¿¿{"start":{"line":7,"column":27},"end":{"line":7,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1056¿VariableDeclarator¿¿1795¿path¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1057¿CallExpression¿¿1795¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CallExpression
1058¿Identifier¿¿1795¿require¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1059¿Literal¿string¿1795¿¿'path'¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Literal
1060¿VariableDeclarator¿¿1795¿semver¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1061¿CallExpression¿¿1795¿¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CallExpression
1062¿Identifier¿¿1795¿require¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1063¿Literal¿string¿1795¿¿'semver'¿¿{"start":{"line":9,"column":23},"end":{"line":9,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Literal
1064¿VariableDeclarator¿¿1795¿v93¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1065¿CallExpression¿¿1795¿¿¿¿{"start":{"line":10,"column":17},"end":{"line":10,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CallExpression
1066¿Identifier¿¿1795¿require¿¿¿{"start":{"line":10,"column":17},"end":{"line":10,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1067¿Literal¿string¿1795¿¿'child_process'¿¿{"start":{"line":10,"column":25},"end":{"line":10,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Literal
1068¿VariableDeclarator¿¿1795¿exec¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1069¿MemberExpression¿¿1795¿¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿MemberExpression
1070¿Identifier¿¿1795¿v93¿¿¿¿¿Identifier
1071¿Identifier¿¿1795¿exec¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1072¿VariableDeclarator¿¿1795¿v94¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1073¿CallExpression¿¿1795¿¿¿¿{"start":{"line":11,"column":22},"end":{"line":11,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CallExpression
1074¿Identifier¿¿1795¿require¿¿¿{"start":{"line":11,"column":22},"end":{"line":11,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1075¿Literal¿string¿1795¿¿'util'¿¿{"start":{"line":11,"column":30},"end":{"line":11,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Literal
1076¿VariableDeclarator¿¿1795¿promisify¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1077¿MemberExpression¿¿1795¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿MemberExpression
1078¿Identifier¿¿1795¿v94¿¿¿¿¿Identifier
1079¿Identifier¿¿1795¿promisify¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1080¿VariableDeclarator¿¿1795¿execAsync¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1081¿CallExpression¿¿1795¿¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CallExpression
1082¿Identifier¿¿1795¿promisify¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1083¿Identifier¿¿1795¿exec¿¿¿{"start":{"line":13,"column":28},"end":{"line":13,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1084¿VariableDeclarator¿¿1795¿getLatestVersions¿¿¿{"start":{"line":15,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1085¿FunctionExpression¿¿1795¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿FunctionExpression
1086¿Identifier¿¿0¿name¿¿¿{"start":{"line":15,"column":33},"end":{"line":15,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1087¿VariableDeclarator¿¿1797¿v96¿¿¿{"start":{"line":16,"column":37},"end":{"line":16,"column":71},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1088¿TemplateLiteral¿¿1797¿¿¿¿{"start":{"line":16,"column":37},"end":{"line":16,"column":71},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿TemplateLiteral
1089¿Identifier¿¿1797¿name¿¿¿{"start":{"line":16,"column":49},"end":{"line":16,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1090¿VariableDeclarator¿¿1797¿v95¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":72},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1091¿AwaitExpression¿¿1797¿¿¿¿{"start":{"line":16,"column":21},"end":{"line":16,"column":72},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿AwaitExpression
1092¿CallExpression¿¿1797¿¿¿¿{"start":{"line":16,"column":27},"end":{"line":16,"column":72},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CallExpression
1093¿Identifier¿¿1797¿execAsync¿¿¿{"start":{"line":16,"column":27},"end":{"line":16,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1094¿Identifier¿¿1797¿v96¿¿¿¿¿Identifier
1095¿VariableDeclarator¿¿1797¿stdout¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1096¿MemberExpression¿¿1797¿¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿MemberExpression
1097¿Identifier¿¿1797¿v95¿¿¿¿¿Identifier
1098¿Identifier¿¿1797¿stdout¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1099¿TryStatement¿¿1797¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":21,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿TryStatement
1100¿VariableDeclarator¿¿1797¿v97¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1101¿CallExpression¿¿1797¿¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CallExpression
1102¿MemberExpression¿¿1797¿¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿MemberExpression
1103¿Identifier¿¿1797¿JSON¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1104¿Identifier¿¿1797¿parse¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1105¿Identifier¿¿1797¿stdout¿¿¿{"start":{"line":18,"column":22},"end":{"line":18,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1106¿ReturnStatement¿¿1797¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿ReturnStatement
1107¿Identifier¿¿1797¿v97¿¿¿¿¿Identifier
1108¿BlockStatement¿¿1797¿¿¿¿{"start":{"line":17,"column":6},"end":{"line":19,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿BlockStatement
1109¿CatchClause¿¿1797¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":21,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CatchClause
1110¿VariableDeclarator¿¿1797¿v98¿¿¿{"start":{"line":20,"column":62},"end":{"line":20,"column":76},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1111¿CallExpression¿¿1797¿¿¿¿{"start":{"line":20,"column":62},"end":{"line":20,"column":76},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CallExpression
1112¿MemberExpression¿¿1797¿¿¿¿{"start":{"line":20,"column":62},"end":{"line":20,"column":74},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿MemberExpression
1113¿Identifier¿¿1797¿err¿¿¿{"start":{"line":20,"column":62},"end":{"line":20,"column":65},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1114¿Identifier¿¿1797¿toString¿¿¿{"start":{"line":20,"column":66},"end":{"line":20,"column":74},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1115¿VariableDeclarator¿¿1797¿v99¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":79},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1116¿NewExpression¿¿1797¿¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":79},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿NewExpression
1117¿Identifier¿¿1797¿Error¿¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1118¿TemplateLiteral¿¿1797¿¿¿¿{"start":{"line":20,"column":20},"end":{"line":20,"column":78},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿TemplateLiteral
1119¿Identifier¿¿1797¿v98¿¿¿¿¿Identifier
1120¿ThrowStatement¿¿1797¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":80},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿ThrowStatement
1121¿Identifier¿¿1797¿v99¿¿¿¿¿Identifier
1122¿BlockStatement¿¿1797¿¿¿¿{"start":{"line":19,"column":16},"end":{"line":21,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿BlockStatement
1123¿Identifier¿¿1797¿err¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1124¿BlockStatement¿¿1797¿¿¿¿{"start":{"line":15,"column":39},"end":{"line":22,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿BlockStatement
1125¿VariableDeclarator¿¿1795¿getLatestVersion¿¿¿{"start":{"line":24,"column":0},"end":{"line":29,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1126¿FunctionExpression¿¿1795¿anon¿¿¿{"start":{"line":24,"column":0},"end":{"line":29,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿FunctionExpression
1127¿Identifier¿¿0¿name¿¿¿{"start":{"line":24,"column":32},"end":{"line":24,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1128¿Identifier¿¿0¿wanted¿¿¿{"start":{"line":24,"column":38},"end":{"line":24,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1129¿VariableDeclarator¿¿1800¿versions¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1130¿AwaitExpression¿¿1800¿¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿AwaitExpression
1131¿CallExpression¿¿1800¿¿¿¿{"start":{"line":25,"column":25},"end":{"line":25,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CallExpression
1132¿Identifier¿¿1800¿getLatestVersions¿¿¿{"start":{"line":25,"column":25},"end":{"line":25,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1133¿Identifier¿¿1800¿name¿¿¿{"start":{"line":25,"column":43},"end":{"line":25,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1134¿VariableDeclarator¿¿1800¿v101¿¿¿{"start":{"line":26,"column":45},"end":{"line":26,"column":77},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1135¿ArrowFunctionExpression¿¿1800¿¿¿¿{"start":{"line":26,"column":45},"end":{"line":26,"column":77},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿ArrowFunctionExpression
1136¿Identifier¿¿0¿i¿¿¿{"start":{"line":26,"column":45},"end":{"line":26,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1137¿VariableDeclarator¿¿1802¿v100¿¿¿{"start":{"line":26,"column":50},"end":{"line":26,"column":77},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1138¿CallExpression¿¿1802¿¿¿¿{"start":{"line":26,"column":50},"end":{"line":26,"column":77},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CallExpression
1139¿MemberExpression¿¿1802¿¿¿¿{"start":{"line":26,"column":50},"end":{"line":26,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿MemberExpression
1140¿Identifier¿¿1802¿semver¿¿¿{"start":{"line":26,"column":50},"end":{"line":26,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1141¿Identifier¿¿1802¿satisfies¿¿¿{"start":{"line":26,"column":57},"end":{"line":26,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1142¿Identifier¿¿1802¿i¿¿¿{"start":{"line":26,"column":67},"end":{"line":26,"column":68},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1143¿Identifier¿¿1802¿wanted¿¿¿{"start":{"line":26,"column":70},"end":{"line":26,"column":76},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1144¿ReturnStatement¿¿1802¿¿¿¿¿¿ReturnStatement
1145¿Identifier¿¿1802¿v100¿¿¿¿¿Identifier
1146¿BlockStatement¿¿1802¿¿¿¿¿¿BlockStatement
1147¿VariableDeclarator¿¿1800¿applicableVersions¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":78},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1148¿CallExpression¿¿1800¿¿¿¿{"start":{"line":26,"column":29},"end":{"line":26,"column":78},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CallExpression
1149¿MemberExpression¿¿1800¿¿¿¿{"start":{"line":26,"column":29},"end":{"line":26,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿MemberExpression
1150¿Identifier¿¿1800¿versions¿¿¿{"start":{"line":26,"column":29},"end":{"line":26,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1151¿Identifier¿¿1800¿filter¿¿¿{"start":{"line":26,"column":38},"end":{"line":26,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1152¿Identifier¿¿1800¿v101¿¿¿¿¿Identifier
1153¿VariableDeclarator¿¿1800¿v103¿¿¿{"start":{"line":27,"column":26},"end":{"line":27,"column":57},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1154¿ArrowFunctionExpression¿¿1800¿¿¿¿{"start":{"line":27,"column":26},"end":{"line":27,"column":57},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿ArrowFunctionExpression
1155¿Identifier¿¿0¿a¿¿¿{"start":{"line":27,"column":27},"end":{"line":27,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1156¿Identifier¿¿0¿b¿¿¿{"start":{"line":27,"column":30},"end":{"line":27,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1157¿VariableDeclarator¿¿1804¿v102¿¿¿{"start":{"line":27,"column":36},"end":{"line":27,"column":57},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿VariableDeclarator
1158¿CallExpression¿¿1804¿¿¿¿{"start":{"line":27,"column":36},"end":{"line":27,"column":57},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿CallExpression
1159¿MemberExpression¿¿1804¿¿¿¿{"start":{"line":27,"column":36},"end":{"line":27,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿MemberExpression
1160¿Identifier¿¿1804¿semver¿¿¿{"start":{"line":27,"column":36},"end":{"line":27,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1161¿Identifier¿¿1804¿rcompare¿¿¿{"start":{"line":27,"column":43},"end":{"line":27,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
1162¿Identifier¿¿1804¿a¿¿¿{"start":{"line":27,"column":52},"end":{"line":27,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-rphm-c8gw-3r38/src/index.js"}¿¿Identifier
