Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
708¿Program¿¿-1¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":144,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Program
734¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
735¿Identifier¿¿1224¿v49¿¿¿¿¿Identifier
736¿Identifier¿¿1224¿darwin¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
737¿Literal¿string¿1224¿¿'com.google.Chrome'¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
738¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
739¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
740¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
741¿Identifier¿¿1224¿v49¿¿¿¿¿Identifier
742¿Identifier¿¿1224¿appName¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
743¿Literal¿string¿1224¿¿'Google Chrome'¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
744¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
745¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
746¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
747¿Identifier¿¿1224¿v49¿¿¿¿¿Identifier
748¿Identifier¿¿1224¿win32¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
749¿Literal¿string¿1224¿¿'chrome.exe'¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
750¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
751¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
752¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
753¿Identifier¿¿1224¿v49¿¿¿¿¿Identifier
754¿Identifier¿¿1224¿linux¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
755¿Literal¿string¿1224¿¿'google-chrome'¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
756¿VariableDeclarator¿¿1224¿v50¿¿¿{"start":{"line":21,"column":13},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿VariableDeclarator
757¿ObjectExpression¿¿1224¿¿¿¿¿¿ObjectExpression
758¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
759¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
760¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
761¿Identifier¿¿1224¿v50¿¿¿¿¿Identifier
762¿Identifier¿¿1224¿darwin¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
763¿Literal¿string¿1224¿¿'org.mozilla.firefox'¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
764¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
765¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
766¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
767¿Identifier¿¿1224¿v50¿¿¿¿¿Identifier
768¿Identifier¿¿1224¿appName¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
769¿Literal¿string¿1224¿¿'firefox'¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
770¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
771¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
772¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
773¿Identifier¿¿1224¿v50¿¿¿¿¿Identifier
774¿Identifier¿¿1224¿win32¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
775¿Literal¿string¿1224¿¿'firefox.exe'¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
776¿VariableDeclarator¿¿1224¿v51¿¿¿{"start":{"line":26,"column":11},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿VariableDeclarator
777¿ObjectExpression¿¿1224¿¿¿¿¿¿ObjectExpression
778¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
779¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
780¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
781¿Identifier¿¿1224¿v51¿¿¿¿¿Identifier
782¿Identifier¿¿1224¿darwin¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
783¿Literal¿string¿1224¿¿'com.operasoftware.Opera'¿¿{"start":{"line":27,"column":12},"end":{"line":27,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
784¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
785¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
786¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
787¿Identifier¿¿1224¿v51¿¿¿¿¿Identifier
788¿Identifier¿¿1224¿appName¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
789¿Literal¿string¿1224¿¿'Opera'¿¿{"start":{"line":28,"column":13},"end":{"line":28,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
790¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
791¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
792¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
793¿Identifier¿¿1224¿v51¿¿¿¿¿Identifier
794¿Identifier¿¿1224¿win32¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
795¿Literal¿string¿1224¿¿'opera.exe'¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
796¿VariableDeclarator¿¿1224¿v52¿¿¿{"start":{"line":31,"column":12},"end":{"line":35,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿VariableDeclarator
797¿ObjectExpression¿¿1224¿¿¿¿¿¿ObjectExpression
798¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":35,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
799¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":35,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
800¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":35,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
801¿Identifier¿¿1224¿v52¿¿¿¿¿Identifier
802¿Identifier¿¿1224¿darwin¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
803¿Literal¿string¿1224¿¿'com.apple.Safari'¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
804¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":35,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
805¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":35,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
806¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":35,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
807¿Identifier¿¿1224¿v52¿¿¿¿¿Identifier
808¿Identifier¿¿1224¿appName¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
809¿Literal¿string¿1224¿¿'Safari'¿¿{"start":{"line":33,"column":13},"end":{"line":33,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
810¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":35,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
811¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":35,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
812¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":35,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
813¿Identifier¿¿1224¿v52¿¿¿¿¿Identifier
814¿Identifier¿¿1224¿win32¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
815¿Literal¿string¿1224¿¿'safari.exe'¿¿{"start":{"line":34,"column":11},"end":{"line":34,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
816¿VariableDeclarator¿¿1224¿browsers¿¿¿{"start":{"line":14,"column":4},"end":{"line":36,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿VariableDeclarator
817¿ObjectExpression¿¿1224¿¿¿¿¿¿ObjectExpression
818¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":36,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
819¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":36,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
820¿MemberExpression¿computed¿1224¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":36,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
821¿Identifier¿¿1224¿browsers¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
822¿Literal¿string¿1224¿¿'chrome'¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
823¿Identifier¿¿1224¿v49¿¿¿¿¿Identifier
824¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":36,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
825¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":36,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
826¿MemberExpression¿computed¿1224¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":36,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
827¿Identifier¿¿1224¿browsers¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
828¿Literal¿string¿1224¿¿'firefox'¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
829¿Identifier¿¿1224¿v50¿¿¿¿¿Identifier
830¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":36,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
831¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":36,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
832¿MemberExpression¿computed¿1224¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":36,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
833¿Identifier¿¿1224¿browsers¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
834¿Literal¿string¿1224¿¿'opera'¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
835¿Identifier¿¿1224¿v51¿¿¿¿¿Identifier
836¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":36,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
837¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":36,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
838¿MemberExpression¿computed¿1224¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":36,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
839¿Identifier¿¿1224¿browsers¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
840¿Literal¿string¿1224¿¿'safari'¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
841¿Identifier¿¿1224¿v52¿¿¿¿¿Identifier
