Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
844¿Program¿¿-1¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":182,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Program
863¿BinaryExpression¿instanceof¿1438¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿BinaryExpression
864¿ThisExpression¿¿1438¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ThisExpression
865¿Identifier¿¿1438¿Git¿¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
866¿VariableDeclarator¿¿1438¿v64¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
867¿UnaryExpression¿!¿1438¿¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿UnaryExpression
868¿Identifier¿¿1438¿v63¿¿¿¿¿Identifier
869¿IfStatement¿¿1438¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿IfStatement
870¿Identifier¿¿1438¿v64¿¿¿¿¿Identifier
871¿VariableDeclarator¿¿1438¿v65¿¿¿{"start":{"line":21,"column":37},"end":{"line":21,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
872¿NewExpression¿¿1438¿¿¿¿{"start":{"line":21,"column":37},"end":{"line":21,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿NewExpression
873¿Identifier¿¿1438¿Git¿¿¿{"start":{"line":21,"column":41},"end":{"line":21,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
874¿Identifier¿¿1438¿opts¿¿¿{"start":{"line":21,"column":45},"end":{"line":21,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
875¿ReturnStatement¿¿1438¿¿¿¿{"start":{"line":21,"column":30},"end":{"line":21,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ReturnStatement
876¿Identifier¿¿1438¿v65¿¿¿¿¿Identifier
877¿BlockStatement¿¿1438¿¿¿¿¿¿BlockStatement
878¿VariableDeclarator¿¿1438¿v66¿¿¿{"start":{"line":22,"column":17},"end":{"line":22,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
879¿ObjectExpression¿¿1438¿¿¿¿{"start":{"line":22,"column":17},"end":{"line":22,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ObjectExpression
880¿ExpressionStatement¿¿1438¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ExpressionStatement
881¿AssignmentExpression¿=¿1438¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿AssignmentExpression
882¿Identifier¿¿1438¿opts¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
883¿LogicalExpression¿||¿1438¿¿¿¿{"start":{"line":22,"column":9},"end":{"line":22,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿LogicalExpression
884¿Identifier¿¿1438¿opts¿¿¿{"start":{"line":22,"column":9},"end":{"line":22,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
885¿Identifier¿¿1438¿v66¿¿¿¿¿Identifier
886¿ExpressionStatement¿¿1438¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ExpressionStatement
887¿AssignmentExpression¿=¿1438¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿AssignmentExpression
888¿MemberExpression¿¿1438¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿MemberExpression
889¿ThisExpression¿¿1438¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ThisExpression
890¿Identifier¿¿1438¿queue¿¿¿{"start":{"line":24,"column":7},"end":{"line":24,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
891¿ArrayExpression¿¿1438¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ArrayExpression
892¿VariableDeclarator¿¿1438¿v67¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
893¿MemberExpression¿¿1438¿¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿MemberExpression
894¿Identifier¿¿1438¿opts¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
895¿Identifier¿¿1438¿base¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
896¿VariableDeclarator¿¿1438¿v68¿¿¿{"start":{"line":25,"column":27},"end":{"line":25,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
897¿CallExpression¿¿1438¿¿¿¿{"start":{"line":25,"column":27},"end":{"line":25,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿CallExpression
898¿MemberExpression¿¿1438¿¿¿¿{"start":{"line":25,"column":27},"end":{"line":25,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿MemberExpression
899¿Identifier¿¿1438¿process¿¿¿{"start":{"line":25,"column":27},"end":{"line":25,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
900¿Identifier¿¿1438¿cwd¿¿¿{"start":{"line":25,"column":35},"end":{"line":25,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
901¿ExpressionStatement¿¿1438¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ExpressionStatement
902¿AssignmentExpression¿=¿1438¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿AssignmentExpression
903¿MemberExpression¿¿1438¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿MemberExpression
904¿ThisExpression¿¿1438¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ThisExpression
905¿Identifier¿¿1438¿base¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
906¿LogicalExpression¿||¿1438¿¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿LogicalExpression
907¿Identifier¿¿1438¿v67¿¿¿¿¿Identifier
908¿Identifier¿¿1438¿v68¿¿¿¿¿Identifier
909¿VariableDeclarator¿¿1438¿v69¿¿¿{"start":{"line":26,"column":23},"end":{"line":26,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
910¿MemberExpression¿¿1438¿¿¿¿{"start":{"line":26,"column":23},"end":{"line":26,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿MemberExpression
911¿Identifier¿¿1438¿opts¿¿¿{"start":{"line":26,"column":23},"end":{"line":26,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
912¿Identifier¿¿1438¿pretty¿¿¿{"start":{"line":26,"column":28},"end":{"line":26,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
913¿VariableDeclarator¿¿1438¿v70¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
914¿UnaryExpression¿typeof¿1438¿¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿UnaryExpression
915¿Identifier¿¿1438¿v69¿¿¿¿¿Identifier
916¿VariableDeclarator¿¿1438¿v71¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
917¿BinaryExpression¿!==¿1438¿¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿BinaryExpression
918¿Identifier¿¿1438¿v70¿¿¿¿¿Identifier
919¿Literal¿string¿1438¿¿'undefined'¿¿{"start":{"line":26,"column":39},"end":{"line":26,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
920¿VariableDeclarator¿¿1438¿v72¿¿¿{"start":{"line":26,"column":53},"end":{"line":26,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
921¿MemberExpression¿¿1438¿¿¿¿{"start":{"line":26,"column":53},"end":{"line":26,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿MemberExpression
922¿Identifier¿¿1438¿opts¿¿¿{"start":{"line":26,"column":53},"end":{"line":26,"column":57},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
923¿Identifier¿¿1438¿pretty¿¿¿{"start":{"line":26,"column":58},"end":{"line":26,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
924¿VariableDeclarator¿¿1438¿v73¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
925¿IfStatement¿¿1438¿¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿IfStatement
926¿Identifier¿¿1438¿v71¿¿¿¿¿Identifier
927¿ExpressionStatement¿¿1438¿¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ExpressionStatement
928¿AssignmentExpression¿=¿1438¿¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿AssignmentExpression
929¿Identifier¿¿1438¿v73¿¿¿¿¿Identifier
930¿Identifier¿¿1438¿v72¿¿¿¿¿Identifier
931¿BlockStatement¿¿1438¿¿¿¿¿¿BlockStatement
932¿ExpressionStatement¿¿1438¿¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ExpressionStatement
933¿AssignmentExpression¿=¿1438¿¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿AssignmentExpression
934¿Identifier¿¿1438¿v73¿¿¿¿¿Identifier
935¿Literal¿boolean¿1438¿¿true¿¿{"start":{"line":26,"column":67},"end":{"line":26,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
936¿BlockStatement¿¿1438¿¿¿¿¿¿BlockStatement
937¿ExpressionStatement¿¿1438¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":72},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ExpressionStatement
938¿AssignmentExpression¿=¿1438¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿AssignmentExpression
939¿MemberExpression¿¿1438¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿MemberExpression
940¿ThisExpression¿¿1438¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ThisExpression
941¿Identifier¿¿1438¿pretty¿¿¿{"start":{"line":26,"column":7},"end":{"line":26,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
942¿Identifier¿¿1438¿v73¿¿¿¿¿Identifier
943¿BlockStatement¿¿1438¿¿¿¿{"start":{"line":20,"column":19},"end":{"line":27,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿BlockStatement
944¿VariableDeclarator¿¿1436¿commands¿¿¿{"start":{"line":33,"column":4},"end":{"line":55,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
945¿ArrayExpression¿¿1436¿¿¿¿{"start":{"line":33,"column":15},"end":{"line":55,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ArrayExpression
946¿Literal¿string¿1436¿¿'add'¿¿{"start":{"line":34,"column":2},"end":{"line":34,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
947¿Literal¿string¿1436¿¿'bisect'¿¿{"start":{"line":35,"column":2},"end":{"line":35,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
948¿Literal¿string¿1436¿¿'branch'¿¿{"start":{"line":36,"column":2},"end":{"line":36,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
949¿Literal¿string¿1436¿¿'checkout'¿¿{"start":{"line":37,"column":2},"end":{"line":37,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
950¿Literal¿string¿1436¿¿'clone'¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
951¿Literal¿string¿1436¿¿'commit'¿¿{"start":{"line":39,"column":2},"end":{"line":39,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
952¿Literal¿string¿1436¿¿'diff'¿¿{"start":{"line":40,"column":2},"end":{"line":40,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
953¿Literal¿string¿1436¿¿'fetch'¿¿{"start":{"line":41,"column":2},"end":{"line":41,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
954¿Literal¿string¿1436¿¿'grep'¿¿{"start":{"line":42,"column":2},"end":{"line":42,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
955¿Literal¿string¿1436¿¿'init'¿¿{"start":{"line":43,"column":2},"end":{"line":43,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
956¿Literal¿string¿1436¿¿'log'¿¿{"start":{"line":44,"column":2},"end":{"line":44,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
957¿Literal¿string¿1436¿¿'merge'¿¿{"start":{"line":45,"column":2},"end":{"line":45,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
958¿Literal¿string¿1436¿¿'mv'¿¿{"start":{"line":46,"column":2},"end":{"line":46,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
959¿Literal¿string¿1436¿¿'pull'¿¿{"start":{"line":47,"column":2},"end":{"line":47,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
960¿Literal¿string¿1436¿¿'push'¿¿{"start":{"line":48,"column":2},"end":{"line":48,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
961¿Literal¿string¿1436¿¿'rebase'¿¿{"start":{"line":49,"column":2},"end":{"line":49,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
962¿Literal¿string¿1436¿¿'reset'¿¿{"start":{"line":50,"column":2},"end":{"line":50,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
963¿Literal¿string¿1436¿¿'rm'¿¿{"start":{"line":51,"column":2},"end":{"line":51,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
964¿Literal¿string¿1436¿¿'show'¿¿{"start":{"line":52,"column":2},"end":{"line":52,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
965¿Literal¿string¿1436¿¿'status'¿¿{"start":{"line":53,"column":2},"end":{"line":53,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
966¿Literal¿string¿1436¿¿'tag'¿¿{"start":{"line":54,"column":2},"end":{"line":54,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
967¿VariableDeclarator¿¿1436¿v74¿¿¿{"start":{"line":63,"column":0},"end":{"line":63,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
968¿MemberExpression¿¿1436¿¿¿¿{"start":{"line":63,"column":0},"end":{"line":63,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿MemberExpression
969¿Identifier¿¿1436¿Git¿¿¿{"start":{"line":63,"column":0},"end":{"line":63,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
970¿Identifier¿¿1436¿prototype¿¿¿{"start":{"line":63,"column":4},"end":{"line":63,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
971¿VariableDeclarator¿¿1436¿v83¿¿¿{"start":{"line":63,"column":0},"end":{"line":74,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
972¿FunctionExpression¿¿1436¿anon¿¿¿{"start":{"line":63,"column":20},"end":{"line":74,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿FunctionExpression
973¿Identifier¿¿0¿cb¿¿¿{"start":{"line":63,"column":29},"end":{"line":63,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
974¿VariableDeclarator¿¿1442¿self¿¿¿{"start":{"line":64,"column":6},"end":{"line":64,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
975¿ThisExpression¿¿1442¿¿¿¿{"start":{"line":64,"column":13},"end":{"line":64,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ThisExpression
976¿VariableDeclarator¿¿1442¿next¿¿¿{"start":{"line":66,"column":2},"end":{"line":71,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
977¿FunctionExpression¿¿1442¿anon¿¿¿{"start":{"line":66,"column":2},"end":{"line":71,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿FunctionExpression
978¿Identifier¿¿0¿err¿¿¿{"start":{"line":66,"column":16},"end":{"line":66,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
979¿Identifier¿¿0¿res¿¿¿{"start":{"line":66,"column":21},"end":{"line":66,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
980¿IfStatement¿¿1444¿¿¿¿{"start":{"line":67,"column":4},"end":{"line":67,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿IfStatement
981¿Identifier¿¿1444¿err¿¿¿{"start":{"line":67,"column":8},"end":{"line":67,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
982¿VariableDeclarator¿¿1444¿v75¿¿¿{"start":{"line":67,"column":26},"end":{"line":67,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
983¿CallExpression¿¿1444¿¿¿¿{"start":{"line":67,"column":26},"end":{"line":67,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿CallExpression
984¿Identifier¿¿1444¿cb¿¿¿{"start":{"line":67,"column":26},"end":{"line":67,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
985¿Identifier¿¿1444¿err¿¿¿{"start":{"line":67,"column":29},"end":{"line":67,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
986¿VariableDeclarator¿¿1444¿v76¿¿¿{"start":{"line":67,"column":20},"end":{"line":67,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
987¿LogicalExpression¿&&¿1444¿¿¿¿{"start":{"line":67,"column":20},"end":{"line":67,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿LogicalExpression
