Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
736¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":127,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Program
763¿Literal¿number¿¿1¿¿{"start":{"line":7,"column":33},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Literal
764¿VariableDeclarator¿¿v96¿¿¿¿¿VariableDeclarator
765¿BinaryExpression¿===¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿BinaryExpression
766¿Identifier¿¿v94¿¿¿¿¿Identifier
767¿Identifier¿¿v95¿¿¿¿¿Identifier
768¿ReturnStatement¿¿¿¿¿¿¿ReturnStatement
769¿Identifier¿¿v96¿¿¿¿¿Identifier
770¿BlockStatement¿¿¿¿¿¿¿BlockStatement
771¿VariableDeclarator¿¿arrayMerge¿¿¿{"start":{"line":9,"column":6},"end":{"line":62,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿VariableDeclarator
772¿ArrowFunctionExpression¿¿¿¿¿{"start":{"line":9,"column":19},"end":{"line":62,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿ArrowFunctionExpression
773¿Identifier¿¿original¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
774¿Identifier¿¿patch¿¿¿{"start":{"line":9,"column":30},"end":{"line":9,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
775¿Identifier¿¿removeMode¿¿¿{"start":{"line":9,"column":37},"end":{"line":9,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
776¿VariableDeclarator¿¿orig_length¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿VariableDeclarator
777¿MemberExpression¿¿¿¿¿{"start":{"line":10,"column":20},"end":{"line":10,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
778¿Identifier¿¿original¿¿¿{"start":{"line":10,"column":20},"end":{"line":10,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
779¿Identifier¿¿length¿¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
780¿VariableDeclarator¿¿patch_length¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿VariableDeclarator
781¿MemberExpression¿¿¿¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
782¿Identifier¿¿patch¿¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
783¿Identifier¿¿length¿¿¿{"start":{"line":11,"column":29},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
784¿VariableDeclarator¿¿i¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿VariableDeclarator
785¿VariableDeclarator¿¿isArr¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿VariableDeclarator
786¿VariableDeclarator¿¿v97¿¿¿¿¿VariableDeclarator
787¿BinaryExpression¿<¿¿¿¿{"start":{"line":14,"column":5},"end":{"line":14,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿BinaryExpression
788¿Identifier¿¿patch_length¿¿¿{"start":{"line":14,"column":5},"end":{"line":14,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
789¿Identifier¿¿orig_length¿¿¿{"start":{"line":14,"column":20},"end":{"line":14,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
790¿IfStatement¿¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":16,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿IfStatement
791¿Identifier¿¿v97¿¿¿¿¿Identifier
792¿VariableDeclarator¿¿v98¿¿¿¿¿VariableDeclarator
793¿NewExpression¿¿¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":79},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿NewExpression
794¿Identifier¿¿Error¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
795¿Literal¿string¿¿'Cannot remove object array elements, only make them null'¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":78},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Literal
796¿ThrowStatement¿¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":80},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿ThrowStatement
797¿Identifier¿¿v98¿¿¿¿¿Identifier
798¿BlockStatement¿¿¿¿¿{"start":{"line":14,"column":33},"end":{"line":16,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿BlockStatement
799¿AssignmentExpression¿=¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿AssignmentExpression
800¿Identifier¿¿i¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
801¿Literal¿number¿¿0¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Literal
802¿VariableDeclarator¿¿v99¿¿¿¿¿VariableDeclarator
803¿BinaryExpression¿<¿¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿BinaryExpression
804¿Identifier¿¿i¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
805¿Identifier¿¿orig_length¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
806¿WhileStatement¿¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":54,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿WhileStatement
807¿Identifier¿¿v99¿¿¿¿¿Identifier
808¿VariableDeclarator¿¿v101¿¿¿¿¿VariableDeclarator
809¿MemberExpression¿computed¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
810¿Identifier¿¿patch¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
811¿Identifier¿¿i¿¿¿{"start":{"line":22,"column":24},"end":{"line":22,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
812¿VariableDeclarator¿¿v102¿¿¿¿¿VariableDeclarator
813¿CallExpression¿¿¿¿¿{"start":{"line":22,"column":9},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿CallExpression
814¿Identifier¿¿isObject¿¿¿{"start":{"line":22,"column":9},"end":{"line":22,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
815¿Identifier¿¿v101¿¿¿¿¿Identifier
816¿VariableDeclarator¿¿v103¿¿¿¿¿VariableDeclarator
817¿UnaryExpression¿!¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿UnaryExpression
818¿Identifier¿¿v102¿¿¿¿¿Identifier
819¿VariableDeclarator¿¿v104¿¿¿¿¿VariableDeclarator
820¿MemberExpression¿computed¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
821¿Identifier¿¿patch¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
822¿Identifier¿¿i¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
823¿VariableDeclarator¿¿v105¿¿¿¿¿VariableDeclarator
824¿BinaryExpression¿===¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿BinaryExpression
825¿Identifier¿¿v104¿¿¿¿¿Identifier
826¿Literal¿object¿¿null¿¿{"start":{"line":25,"column":21},"end":{"line":25,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Literal
827¿VariableDeclarator¿¿v106¿¿¿¿¿VariableDeclarator
828¿LogicalExpression¿||¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":25,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿LogicalExpression
829¿Identifier¿¿v103¿¿¿¿¿Identifier
830¿Identifier¿¿v105¿¿¿¿¿Identifier
831¿VariableDeclarator¿¿v107¿¿¿¿¿VariableDeclarator
832¿MemberExpression¿computed¿¿¿¿{"start":{"line":28,"column":21},"end":{"line":28,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
833¿Identifier¿¿original¿¿¿{"start":{"line":28,"column":21},"end":{"line":28,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
834¿Identifier¿¿i¿¿¿{"start":{"line":28,"column":30},"end":{"line":28,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
835¿VariableDeclarator¿¿v108¿¿¿¿¿VariableDeclarator
836¿CallExpression¿¿¿¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿CallExpression
837¿Identifier¿¿isObject¿¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
838¿Identifier¿¿v107¿¿¿¿¿Identifier
839¿VariableDeclarator¿¿v109¿¿¿¿¿VariableDeclarator
840¿UnaryExpression¿!¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿UnaryExpression
841¿Identifier¿¿v108¿¿¿¿¿Identifier
842¿VariableDeclarator¿¿v110¿¿¿¿¿VariableDeclarator
843¿MemberExpression¿computed¿¿¿¿{"start":{"line":28,"column":37},"end":{"line":28,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
844¿Identifier¿¿original¿¿¿{"start":{"line":28,"column":37},"end":{"line":28,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
845¿Identifier¿¿i¿¿¿{"start":{"line":28,"column":46},"end":{"line":28,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
846¿VariableDeclarator¿¿v111¿¿¿¿¿VariableDeclarator
847¿BinaryExpression¿===¿¿¿¿{"start":{"line":28,"column":37},"end":{"line":28,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿BinaryExpression
848¿Identifier¿¿v110¿¿¿¿¿Identifier
849¿Literal¿object¿¿null¿¿{"start":{"line":28,"column":53},"end":{"line":28,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Literal
850¿VariableDeclarator¿¿v112¿¿¿¿¿VariableDeclarator
851¿LogicalExpression¿||¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿LogicalExpression
852¿Identifier¿¿v109¿¿¿¿¿Identifier
853¿Identifier¿¿v111¿¿¿¿¿Identifier
854¿VariableDeclarator¿¿v113¿¿¿¿¿VariableDeclarator
855¿MemberExpression¿computed¿¿¿¿{"start":{"line":30,"column":37},"end":{"line":30,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
856¿Identifier¿¿patch¿¿¿{"start":{"line":30,"column":37},"end":{"line":30,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
857¿Identifier¿¿i¿¿¿{"start":{"line":30,"column":43},"end":{"line":30,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
858¿VariableDeclarator¿¿v114¿¿¿¿¿VariableDeclarator
859¿CallExpression¿¿¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿CallExpression
860¿MemberExpression¿¿¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
861¿Identifier¿¿Object¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
862¿Identifier¿¿getOwnPropertyNames¿¿¿{"start":{"line":30,"column":17},"end":{"line":30,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
863¿Identifier¿¿v113¿¿¿¿¿Identifier
864¿VariableDeclarator¿¿v115¿¿¿¿¿VariableDeclarator
865¿MemberExpression¿¿¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
866¿Identifier¿¿v114¿¿¿¿¿Identifier
867¿Identifier¿¿length¿¿¿{"start":{"line":30,"column":47},"end":{"line":30,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
868¿VariableDeclarator¿¿v116¿¿¿¿¿VariableDeclarator
869¿LogicalExpression¿&&¿¿¿¿{"start":{"line":28,"column":10},"end":{"line":30,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿LogicalExpression
870¿Identifier¿¿v112¿¿¿¿¿Identifier
871¿Identifier¿¿v115¿¿¿¿¿Identifier
872¿VariableDeclarator¿¿v117¿¿¿¿¿VariableDeclarator
873¿LogicalExpression¿||¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":31,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿LogicalExpression
874¿Identifier¿¿v106¿¿¿¿¿Identifier
875¿Identifier¿¿v116¿¿¿¿¿Identifier
876¿VariableDeclarator¿¿v118¿¿¿¿¿VariableDeclarator
877¿MemberExpression¿computed¿¿¿¿{"start":{"line":35,"column":33},"end":{"line":35,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
878¿Identifier¿¿patch¿¿¿{"start":{"line":35,"column":33},"end":{"line":35,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
879¿Identifier¿¿i¿¿¿{"start":{"line":35,"column":39},"end":{"line":35,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
880¿VariableDeclarator¿¿v119¿¿¿¿¿VariableDeclarator
881¿MemberExpression¿computed¿¿¿¿{"start":{"line":36,"column":24},"end":{"line":36,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
882¿Identifier¿¿original¿¿¿{"start":{"line":36,"column":24},"end":{"line":36,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
883¿Identifier¿¿i¿¿¿{"start":{"line":36,"column":33},"end":{"line":36,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
884¿VariableDeclarator¿¿v120¿¿¿¿¿VariableDeclarator
885¿CallExpression¿¿¿¿¿{"start":{"line":36,"column":10},"end":{"line":36,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿CallExpression
886¿MemberExpression¿¿¿¿¿{"start":{"line":36,"column":10},"end":{"line":36,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
887¿Identifier¿¿Array¿¿¿{"start":{"line":36,"column":10},"end":{"line":36,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
888¿Identifier¿¿isArray¿¿¿{"start":{"line":36,"column":16},"end":{"line":36,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
889¿Identifier¿¿v119¿¿¿¿¿Identifier
890¿VariableDeclarator¿¿v121¿¿¿¿¿VariableDeclarator
891¿BinaryExpression¿!==¿¿¿¿{"start":{"line":35,"column":10},"end":{"line":36,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿BinaryExpression
892¿AssignmentExpression¿=¿¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿AssignmentExpression
893¿Identifier¿¿isArr¿¿¿{"start":{"line":35,"column":11},"end":{"line":35,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
894¿CallExpression¿¿¿¿¿{"start":{"line":35,"column":19},"end":{"line":35,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿CallExpression
895¿MemberExpression¿¿¿¿¿{"start":{"line":35,"column":19},"end":{"line":35,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
896¿Identifier¿¿Array¿¿¿{"start":{"line":35,"column":19},"end":{"line":35,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
897¿Identifier¿¿isArray¿¿¿{"start":{"line":35,"column":25},"end":{"line":35,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
898¿Identifier¿¿v118¿¿¿¿¿Identifier
899¿Identifier¿¿v120¿¿¿¿¿Identifier
900¿VariableDeclarator¿¿v122¿¿¿¿¿VariableDeclarator
901¿LogicalExpression¿||¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":37,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿LogicalExpression
902¿Identifier¿¿v117¿¿¿¿¿Identifier
903¿Identifier¿¿v121¿¿¿¿¿Identifier
904¿VariableDeclarator¿¿v123¿¿¿¿¿VariableDeclarator
905¿MemberExpression¿computed¿¿¿¿{"start":{"line":42,"column":27},"end":{"line":42,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
906¿Identifier¿¿patch¿¿¿{"start":{"line":42,"column":27},"end":{"line":42,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
907¿Identifier¿¿i¿¿¿{"start":{"line":42,"column":33},"end":{"line":42,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
908¿VariableDeclarator¿¿v124¿¿¿¿¿VariableDeclarator
909¿CallExpression¿¿¿¿¿{"start":{"line":42,"column":10},"end":{"line":42,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿CallExpression
910¿Identifier¿¿noObjectsInArray¿¿¿{"start":{"line":42,"column":10},"end":{"line":42,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
911¿Identifier¿¿v123¿¿¿¿¿Identifier
912¿VariableDeclarator¿¿v125¿¿¿¿¿VariableDeclarator
913¿LogicalExpression¿&&¿¿¿¿{"start":{"line":41,"column":10},"end":{"line":42,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿LogicalExpression
914¿Identifier¿¿isArr¿¿¿{"start":{"line":41,"column":10},"end":{"line":41,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
915¿Identifier¿¿v124¿¿¿¿¿Identifier
916¿VariableDeclarator¿¿v126¿¿¿¿¿VariableDeclarator
