Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
914¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":106,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Program
926¿AssignmentExpression¿=¿1561¿¿¿¿{"start":{"line":3,"column":1},"end":{"line":3,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿AssignmentExpression
927¿MemberExpression¿¿1561¿¿¿¿{"start":{"line":3,"column":1},"end":{"line":3,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
928¿ThisExpression¿¿1561¿¿¿¿{"start":{"line":3,"column":1},"end":{"line":3,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ThisExpression
929¿Identifier¿¿1561¿path¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
930¿Identifier¿¿1561¿path¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
931¿BlockStatement¿¿1561¿¿¿¿{"start":{"line":1,"column":41},"end":{"line":4,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿BlockStatement
932¿VariableDeclarator¿¿1559¿v93¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
933¿MemberExpression¿¿1559¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
934¿Identifier¿¿1559¿stat¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
935¿Identifier¿¿1559¿prototype¿¿¿{"start":{"line":6,"column":5},"end":{"line":6,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
936¿VariableDeclarator¿¿1559¿v100¿¿¿{"start":{"line":6,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
937¿FunctionExpression¿¿1559¿anon¿¿¿{"start":{"line":6,"column":32},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿FunctionExpression
938¿Identifier¿¿0¿path¿¿¿{"start":{"line":6,"column":41},"end":{"line":6,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
939¿VariableDeclarator¿¿1563¿v94¿¿¿{"start":{"line":7,"column":5},"end":{"line":7,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
940¿BinaryExpression¿===¿1563¿¿¿¿{"start":{"line":7,"column":5},"end":{"line":7,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿BinaryExpression
941¿Identifier¿¿1563¿path¿¿¿{"start":{"line":7,"column":5},"end":{"line":7,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
942¿Literal¿string¿1563¿¿''¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Literal
943¿IfStatement¿¿1563¿¿¿¿{"start":{"line":7,"column":1},"end":{"line":9,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿IfStatement
944¿Identifier¿¿1563¿v94¿¿¿¿¿Identifier
945¿ReturnStatement¿¿1563¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ReturnStatement
946¿Literal¿string¿1563¿¿''¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Literal
947¿BlockStatement¿¿1563¿¿¿¿{"start":{"line":7,"column":18},"end":{"line":9,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿BlockStatement
948¿VariableDeclarator¿¿1563¿v95¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
949¿MemberExpression¿¿1563¿¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
950¿ThisExpression¿¿1563¿¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ThisExpression
951¿Identifier¿¿1563¿path¿¿¿{"start":{"line":11,"column":10},"end":{"line":11,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
952¿VariableDeclarator¿¿1563¿v96¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
953¿CallExpression¿¿1563¿¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿CallExpression
954¿MemberExpression¿¿1563¿¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
955¿Identifier¿¿1563¿v95¿¿¿¿¿Identifier
956¿Identifier¿¿1563¿isAbsolute¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
957¿Identifier¿¿1563¿path¿¿¿{"start":{"line":11,"column":26},"end":{"line":11,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
958¿IfStatement¿¿1563¿¿¿¿{"start":{"line":11,"column":1},"end":{"line":13,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿IfStatement
959¿Identifier¿¿1563¿v96¿¿¿¿¿Identifier
960¿ReturnStatement¿¿1563¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ReturnStatement
961¿Identifier¿¿1563¿path¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
962¿BlockStatement¿¿1563¿¿¿¿{"start":{"line":11,"column":33},"end":{"line":13,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿BlockStatement
963¿VariableDeclarator¿¿1563¿v97¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
964¿MemberExpression¿¿1563¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
965¿ThisExpression¿¿1563¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ThisExpression
966¿Identifier¿¿1563¿path¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
967¿VariableDeclarator¿¿1563¿v98¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
968¿CallExpression¿¿1563¿¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿CallExpression
969¿MemberExpression¿¿1563¿¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
970¿Identifier¿¿1563¿process¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
971¿Identifier¿¿1563¿cwd¿¿¿{"start":{"line":15,"column":31},"end":{"line":15,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
972¿VariableDeclarator¿¿1563¿v99¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
973¿CallExpression¿¿1563¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿CallExpression
974¿MemberExpression¿¿1563¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
975¿Identifier¿¿1563¿v97¿¿¿¿¿Identifier
976¿Identifier¿¿1563¿join¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
977¿Identifier¿¿1563¿v98¿¿¿¿¿Identifier
978¿Identifier¿¿1563¿path¿¿¿{"start":{"line":15,"column":38},"end":{"line":15,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
979¿ReturnStatement¿¿1563¿¿¿¿{"start":{"line":15,"column":1},"end":{"line":15,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ReturnStatement
980¿Identifier¿¿1563¿v99¿¿¿¿¿Identifier
981¿BlockStatement¿¿1563¿¿¿¿{"start":{"line":6,"column":47},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿BlockStatement
982¿ExpressionStatement¿¿1559¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":16,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ExpressionStatement
983¿AssignmentExpression¿=¿1559¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿AssignmentExpression
984¿MemberExpression¿¿1559¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
985¿Identifier¿¿1559¿v93¿¿¿¿¿Identifier
986¿Identifier¿¿1559¿_ensureAbsPath¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
987¿Identifier¿¿1559¿v100¿¿¿¿¿Identifier
988¿VariableDeclarator¿¿1559¿v101¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
989¿MemberExpression¿¿1559¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
990¿Identifier¿¿1559¿stat¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
991¿Identifier¿¿1559¿prototype¿¿¿{"start":{"line":18,"column":5},"end":{"line":18,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
992¿VariableDeclarator¿¿1559¿v122¿¿¿{"start":{"line":18,"column":0},"end":{"line":40,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
993¿FunctionExpression¿¿1559¿anon¿¿¿{"start":{"line":18,"column":32},"end":{"line":40,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿FunctionExpression
994¿Identifier¿¿0¿response¿¿¿{"start":{"line":18,"column":41},"end":{"line":18,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
995¿VariableDeclarator¿¿1567¿v102¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
996¿CallExpression¿¿1567¿¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿CallExpression
997¿MemberExpression¿¿1567¿¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
998¿Identifier¿¿1567¿response¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
999¿Identifier¿¿1567¿split¿¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1000¿Literal¿string¿1567¿¿'\n'¿¿{"start":{"line":19,"column":30},"end":{"line":19,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Literal
1001¿VariableDeclarator¿¿1567¿lines¿¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
1002¿CallExpression¿¿1567¿¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿CallExpression
1003¿MemberExpression¿¿1567¿¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
1004¿Identifier¿¿1567¿v102¿¿¿¿¿Identifier
1005¿Identifier¿¿1567¿slice¿¿¿{"start":{"line":19,"column":36},"end":{"line":19,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1006¿Literal¿number¿1567¿¿1¿¿{"start":{"line":19,"column":42},"end":{"line":19,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Literal
1007¿VariableDeclarator¿¿1567¿ret¿¿¿{"start":{"line":20,"column":7},"end":{"line":20,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
1008¿ObjectExpression¿¿1567¿¿¿¿¿¿ObjectExpression
1009¿VariableDeclarator¿¿1567¿v120¿¿¿{"start":{"line":22,"column":15},"end":{"line":37,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
1010¿ArrowFunctionExpression¿¿1567¿¿¿¿{"start":{"line":22,"column":15},"end":{"line":37,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ArrowFunctionExpression
1011¿Identifier¿¿0¿line¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1012¿VariableDeclarator¿¿1569¿v103¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
1013¿CallExpression¿¿1569¿¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿CallExpression
1014¿MemberExpression¿¿1569¿¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
1015¿Identifier¿¿1569¿line¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1016¿Identifier¿¿1569¿replace¿¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1017¿Literal¿object¿1569¿¿/  /g¿¿{"start":{"line":23,"column":29},"end":{"line":23,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Literal
1018¿Literal¿string¿1569¿¿' '¿¿{"start":{"line":23,"column":36},"end":{"line":23,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Literal
1019¿VariableDeclarator¿¿1569¿v104¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
1020¿CallExpression¿¿1569¿¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿CallExpression
1021¿MemberExpression¿¿1569¿¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
1022¿Identifier¿¿1569¿v103¿¿¿¿¿Identifier
1023¿Identifier¿¿1569¿trim¿¿¿{"start":{"line":23,"column":41},"end":{"line":23,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1024¿VariableDeclarator¿¿1569¿v105¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":58},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
1025¿CallExpression¿¿1569¿¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":58},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿CallExpression
1026¿MemberExpression¿¿1569¿¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
1027¿Identifier¿¿1569¿v104¿¿¿¿¿Identifier
1028¿Identifier¿¿1569¿split¿¿¿{"start":{"line":23,"column":48},"end":{"line":23,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1029¿Literal¿string¿1569¿¿' '¿¿{"start":{"line":23,"column":54},"end":{"line":23,"column":57},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Literal
1030¿VariableDeclarator¿¿1569¿v108¿¿¿{"start":{"line":23,"column":66},"end":{"line":28,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
1031¿ArrowFunctionExpression¿¿1569¿¿¿¿{"start":{"line":23,"column":66},"end":{"line":28,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ArrowFunctionExpression
1032¿Identifier¿¿0¿sum¿¿¿{"start":{"line":23,"column":67},"end":{"line":23,"column":70},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1033¿Identifier¿¿0¿a¿¿¿{"start":{"line":23,"column":72},"end":{"line":23,"column":73},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1034¿VariableDeclarator¿¿1571¿v106¿¿¿{"start":{"line":24,"column":7},"end":{"line":24,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
1035¿BinaryExpression¿!==¿1571¿¿¿¿{"start":{"line":24,"column":7},"end":{"line":24,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿BinaryExpression
1036¿Identifier¿¿1571¿a¿¿¿{"start":{"line":24,"column":7},"end":{"line":24,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1037¿Literal¿string¿1571¿¿''¿¿{"start":{"line":24,"column":13},"end":{"line":24,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Literal
1038¿IfStatement¿¿1571¿¿¿¿{"start":{"line":24,"column":3},"end":{"line":26,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿IfStatement
1039¿Identifier¿¿1571¿v106¿¿¿¿¿Identifier
1040¿VariableDeclarator¿¿1571¿v107¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
1041¿CallExpression¿¿1571¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿CallExpression
1042¿MemberExpression¿¿1571¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
1043¿Identifier¿¿1571¿sum¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1044¿Identifier¿¿1571¿push¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1045¿Identifier¿¿1571¿a¿¿¿{"start":{"line":25,"column":13},"end":{"line":25,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1046¿ExpressionStatement¿¿1571¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ExpressionStatement
1047¿Identifier¿¿1571¿v107¿¿¿¿¿Identifier
1048¿BlockStatement¿¿1571¿¿¿¿{"start":{"line":24,"column":17},"end":{"line":26,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿BlockStatement
1049¿ReturnStatement¿¿1571¿¿¿¿{"start":{"line":27,"column":3},"end":{"line":27,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ReturnStatement
1050¿Identifier¿¿1571¿sum¿¿¿{"start":{"line":27,"column":10},"end":{"line":27,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
1051¿BlockStatement¿¿1571¿¿¿¿{"start":{"line":23,"column":78},"end":{"line":28,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿BlockStatement
