Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
741¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":100,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Program
752¿CallExpression¿¿1271¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿CallExpression
753¿MemberExpression¿¿1271¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
754¿Identifier¿¿1271¿titleLine¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
755¿Identifier¿¿1271¿split¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
756¿Literal¿object¿1271¿¿/\s+/¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Literal
757¿VariableDeclarator¿¿1271¿v74¿¿¿{"start":{"line":5,"column":33},"end":{"line":11,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
758¿FunctionExpression¿¿1271¿anon¿¿¿{"start":{"line":5,"column":33},"end":{"line":11,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿FunctionExpression
759¿Identifier¿¿0¿title¿¿¿{"start":{"line":5,"column":43},"end":{"line":5,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
760¿VariableDeclarator¿¿1273¿v70¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
761¿CallExpression¿¿1273¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿CallExpression
762¿MemberExpression¿¿1273¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
763¿Identifier¿¿1273¿title¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
764¿Identifier¿¿1273¿trim¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
765¿VariableDeclarator¿¿1273¿v71¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
766¿BinaryExpression¿===¿1273¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿BinaryExpression
767¿Identifier¿¿1273¿v70¿¿¿¿¿Identifier
768¿Literal¿string¿1273¿¿''¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Literal
769¿IfStatement¿¿1273¿¿¿¿{"start":{"line":6,"column":4},"end":{"line":8,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿IfStatement
770¿Identifier¿¿1273¿v71¿¿¿¿¿Identifier
771¿ReturnStatement¿¿1273¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿ReturnStatement
772¿BlockStatement¿¿1273¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":8,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿BlockStatement
773¿VariableDeclarator¿¿1273¿v72¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
774¿CallExpression¿¿1273¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿CallExpression
775¿MemberExpression¿¿1273¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
776¿Identifier¿¿1273¿title¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
777¿Identifier¿¿1273¿trim¿¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
778¿VariableDeclarator¿¿1273¿v73¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
779¿CallExpression¿¿1273¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿CallExpression
780¿MemberExpression¿¿1273¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
781¿Identifier¿¿1273¿titles¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
782¿Identifier¿¿1273¿push¿¿¿{"start":{"line":10,"column":11},"end":{"line":10,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
783¿Identifier¿¿1273¿v72¿¿¿¿¿Identifier
784¿ExpressionStatement¿¿1273¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿ExpressionStatement
785¿Identifier¿¿1273¿v73¿¿¿¿¿Identifier
786¿BlockStatement¿¿1273¿¿¿¿{"start":{"line":5,"column":50},"end":{"line":11,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿BlockStatement
787¿VariableDeclarator¿¿1271¿v75¿¿¿{"start":{"line":5,"column":2},"end":{"line":11,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
788¿CallExpression¿¿1271¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":11,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿CallExpression
789¿MemberExpression¿¿1271¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
790¿Identifier¿¿1271¿v69¿¿¿¿¿Identifier
791¿Identifier¿¿1271¿forEach¿¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
792¿Identifier¿¿1271¿v74¿¿¿¿¿Identifier
793¿ExpressionStatement¿¿1271¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":11,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿ExpressionStatement
794¿Identifier¿¿1271¿v75¿¿¿¿¿Identifier
795¿ReturnStatement¿¿1271¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿ReturnStatement
796¿Identifier¿¿1271¿titles¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
797¿BlockStatement¿¿1271¿¿¿¿{"start":{"line":3,"column":31},"end":{"line":13,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿BlockStatement
798¿VariableDeclarator¿¿1269¿_parse¿¿¿{"start":{"line":15,"column":0},"end":{"line":36,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
799¿FunctionExpression¿¿1269¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":36,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿FunctionExpression
800¿Identifier¿¿0¿input¿¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
801¿VariableDeclarator¿¿1276¿lines¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
802¿CallExpression¿¿1276¿¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿CallExpression
803¿MemberExpression¿¿1276¿¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
804¿Identifier¿¿1276¿input¿¿¿{"start":{"line":16,"column":14},"end":{"line":16,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
805¿Identifier¿¿1276¿split¿¿¿{"start":{"line":16,"column":20},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
806¿Literal¿string¿1276¿¿'\n'¿¿{"start":{"line":16,"column":26},"end":{"line":16,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Literal
807¿VariableDeclarator¿¿1276¿v76¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
808¿CallExpression¿¿1276¿¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿CallExpression
809¿MemberExpression¿¿1276¿¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
810¿Identifier¿¿1276¿lines¿¿¿{"start":{"line":17,"column":26},"end":{"line":17,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
811¿Identifier¿¿1276¿shift¿¿¿{"start":{"line":17,"column":32},"end":{"line":17,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
812¿VariableDeclarator¿¿1276¿titles¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
813¿CallExpression¿¿1276¿¿¿¿{"start":{"line":17,"column":15},"end":{"line":17,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿CallExpression
814¿Identifier¿¿1276¿_getTitles¿¿¿{"start":{"line":17,"column":15},"end":{"line":17,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
815¿Identifier¿¿1276¿v76¿¿¿¿¿Identifier
816¿VariableDeclarator¿¿1276¿v79¿¿¿{"start":{"line":19,"column":26},"end":{"line":21,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
817¿FunctionExpression¿¿1276¿anon¿¿¿{"start":{"line":19,"column":26},"end":{"line":21,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿FunctionExpression
818¿Identifier¿¿0¿line¿¿¿{"start":{"line":19,"column":36},"end":{"line":19,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
819¿VariableDeclarator¿¿1278¿v77¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
820¿CallExpression¿¿1278¿¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿CallExpression
821¿MemberExpression¿¿1278¿¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
822¿Identifier¿¿1278¿line¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
823¿Identifier¿¿1278¿trim¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
824¿VariableDeclarator¿¿1278¿v78¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
825¿BinaryExpression¿!==¿1278¿¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿BinaryExpression
826¿Identifier¿¿1278¿v77¿¿¿¿¿Identifier
827¿Literal¿string¿1278¿¿''¿¿{"start":{"line":20,"column":27},"end":{"line":20,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Literal
828¿ReturnStatement¿¿1278¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿ReturnStatement
829¿Identifier¿¿1278¿v78¿¿¿¿¿Identifier
830¿BlockStatement¿¿1278¿¿¿¿{"start":{"line":19,"column":42},"end":{"line":21,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿BlockStatement
831¿VariableDeclarator¿¿1276¿v80¿¿¿{"start":{"line":19,"column":13},"end":{"line":21,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
832¿CallExpression¿¿1276¿¿¿¿{"start":{"line":19,"column":13},"end":{"line":21,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿CallExpression
833¿MemberExpression¿¿1276¿¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
834¿Identifier¿¿1276¿lines¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
835¿Identifier¿¿1276¿filter¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
836¿Identifier¿¿1276¿v79¿¿¿¿¿Identifier
837¿VariableDeclarator¿¿1276¿v95¿¿¿{"start":{"line":21,"column":9},"end":{"line":33,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
838¿FunctionExpression¿¿1276¿anon¿¿¿{"start":{"line":21,"column":9},"end":{"line":33,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿FunctionExpression
839¿Identifier¿¿0¿line¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
840¿VariableDeclarator¿¿1280¿v81¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
841¿CallExpression¿¿1280¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿CallExpression
842¿MemberExpression¿¿1280¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
843¿Identifier¿¿1280¿line¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
844¿Identifier¿¿1280¿trim¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
845¿VariableDeclarator¿¿1280¿columns¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
846¿CallExpression¿¿1280¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿CallExpression
847¿MemberExpression¿¿1280¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
848¿Identifier¿¿1280¿v81¿¿¿¿¿Identifier
849¿Identifier¿¿1280¿split¿¿¿{"start":{"line":22,"column":30},"end":{"line":22,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
850¿Literal¿object¿1280¿¿/\s+/¿¿{"start":{"line":22,"column":36},"end":{"line":22,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Literal
851¿VariableDeclarator¿¿1280¿obj¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
852¿ObjectExpression¿¿1280¿¿¿¿¿¿ObjectExpression
853¿VariableDeclarator¿¿1280¿i¿¿¿{"start":{"line":24,"column":13},"end":{"line":24,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
854¿Literal¿number¿1280¿¿0¿¿{"start":{"line":24,"column":17},"end":{"line":24,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Literal
855¿VariableDeclarator¿¿1280¿v82¿¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
856¿MemberExpression¿¿1280¿¿¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
857¿Identifier¿¿1280¿titles¿¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
858¿Identifier¿¿1280¿length¿¿¿{"start":{"line":24,"column":31},"end":{"line":24,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
859¿VariableDeclarator¿¿1280¿v83¿¿¿{"start":{"line":24,"column":20},"end":{"line":24,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
860¿BinaryExpression¿<¿1280¿¿¿¿{"start":{"line":24,"column":20},"end":{"line":24,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿BinaryExpression
861¿Identifier¿¿1280¿i¿¿¿{"start":{"line":24,"column":20},"end":{"line":24,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
862¿Identifier¿¿1280¿v82¿¿¿¿¿Identifier
863¿WhileStatement¿¿1280¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":31,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿WhileStatement
864¿Identifier¿¿1280¿v83¿¿¿¿¿Identifier
865¿VariableDeclarator¿¿1280¿v85¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
866¿MemberExpression¿¿1280¿¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
867¿Identifier¿¿1280¿titles¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
868¿Identifier¿¿1280¿length¿¿¿{"start":{"line":25,"column":23},"end":{"line":25,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
869¿VariableDeclarator¿¿1280¿v86¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
870¿BinaryExpression¿-¿1280¿¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿BinaryExpression
871¿Identifier¿¿1280¿v85¿¿¿¿¿Identifier
872¿Literal¿number¿1280¿¿1¿¿{"start":{"line":25,"column":32},"end":{"line":25,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Literal
873¿VariableDeclarator¿¿1280¿v87¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
874¿BinaryExpression¿===¿1280¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿BinaryExpression
875¿Identifier¿¿1280¿i¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
876¿Identifier¿¿1280¿v86¿¿¿¿¿Identifier
877¿VariableDeclarator¿¿1280¿v88¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
878¿MemberExpression¿¿1280¿¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿MemberExpression
879¿Identifier¿¿1280¿columns¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
880¿Identifier¿¿1280¿length¿¿¿{"start":{"line":26,"column":18},"end":{"line":26,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
881¿VariableDeclarator¿¿1280¿v89¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
882¿BinaryExpression¿>¿1280¿¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿BinaryExpression
