Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1207¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":222,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Program
1248¿Identifier¿¿2097¿arguments¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1249¿Identifier¿¿2097¿length¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1250¿VariableDeclarator¿¿2097¿v108¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1251¿BinaryExpression¿===¿2097¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿BinaryExpression
1252¿Identifier¿¿2097¿v107¿¿¿¿¿Identifier
1253¿Literal¿number¿2097¿¿2¿¿{"start":{"line":25,"column":29},"end":{"line":25,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Literal
1254¿IfStatement¿¿2097¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":27,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿IfStatement
1255¿Identifier¿¿2097¿v108¿¿¿¿¿Identifier
1256¿VariableDeclarator¿¿2097¿v109¿¿¿{"start":{"line":26,"column":15},"end":{"line":26,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1257¿CallExpression¿¿2097¿¿¿¿{"start":{"line":26,"column":15},"end":{"line":26,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿CallExpression
1258¿MemberExpression¿¿2097¿¿¿¿{"start":{"line":26,"column":15},"end":{"line":26,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿MemberExpression
1259¿Identifier¿¿2097¿api¿¿¿{"start":{"line":26,"column":15},"end":{"line":26,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1260¿Identifier¿¿2097¿get¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1261¿Identifier¿¿2097¿obj¿¿¿{"start":{"line":26,"column":23},"end":{"line":26,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1262¿Identifier¿¿2097¿pointer¿¿¿{"start":{"line":26,"column":28},"end":{"line":26,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1263¿ReturnStatement¿¿2097¿¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿ReturnStatement
1264¿Identifier¿¿2097¿v109¿¿¿¿¿Identifier
1265¿BlockStatement¿¿2097¿¿¿¿{"start":{"line":25,"column":32},"end":{"line":27,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿BlockStatement
1266¿VariableDeclarator¿¿2097¿wrapped¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1267¿CallExpression¿¿2097¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿CallExpression
1268¿MemberExpression¿¿2097¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿MemberExpression
1269¿Identifier¿¿2097¿api¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1270¿Identifier¿¿2097¿bind¿¿¿{"start":{"line":29,"column":22},"end":{"line":29,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1271¿Identifier¿¿2097¿api¿¿¿{"start":{"line":29,"column":27},"end":{"line":29,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1272¿Identifier¿¿2097¿obj¿¿¿{"start":{"line":29,"column":32},"end":{"line":29,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1273¿VariableDeclarator¿¿2097¿name¿¿¿{"start":{"line":32,"column":13},"end":{"line":32,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1274¿ForInStatement¿¿2097¿¿¿¿{"start":{"line":32,"column":4},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿ForInStatement
1275¿Identifier¿¿2097¿name¿¿¿{"start":{"line":32,"column":13},"end":{"line":32,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1276¿Identifier¿¿2097¿api¿¿¿{"start":{"line":32,"column":21},"end":{"line":32,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1277¿VariableDeclarator¿¿2097¿v110¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1278¿CallExpression¿¿2097¿¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿CallExpression
1279¿MemberExpression¿¿2097¿¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿MemberExpression
1280¿Identifier¿¿2097¿api¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1281¿Identifier¿¿2097¿hasOwnProperty¿¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1282¿Identifier¿¿2097¿name¿¿¿{"start":{"line":33,"column":31},"end":{"line":33,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1283¿IfStatement¿¿2097¿¿¿¿{"start":{"line":33,"column":8},"end":{"line":35,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿IfStatement
1284¿Identifier¿¿2097¿v110¿¿¿¿¿Identifier
1285¿VariableDeclarator¿¿2097¿v111¿¿¿{"start":{"line":34,"column":28},"end":{"line":34,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1286¿MemberExpression¿computed¿2097¿¿¿¿{"start":{"line":34,"column":28},"end":{"line":34,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿MemberExpression
1287¿Identifier¿¿2097¿api¿¿¿{"start":{"line":34,"column":28},"end":{"line":34,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1288¿Identifier¿¿2097¿name¿¿¿{"start":{"line":34,"column":32},"end":{"line":34,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1289¿VariableDeclarator¿¿2097¿v112¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1290¿CallExpression¿¿2097¿¿¿¿{"start":{"line":34,"column":28},"end":{"line":34,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿CallExpression
1291¿MemberExpression¿¿2097¿¿¿¿{"start":{"line":34,"column":28},"end":{"line":34,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿MemberExpression
1292¿Identifier¿¿2097¿v111¿¿¿¿¿Identifier
1293¿Identifier¿¿2097¿bind¿¿¿{"start":{"line":34,"column":38},"end":{"line":34,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1294¿Identifier¿¿2097¿wrapped¿¿¿{"start":{"line":34,"column":43},"end":{"line":34,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1295¿Identifier¿¿2097¿obj¿¿¿{"start":{"line":34,"column":52},"end":{"line":34,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1296¿ExpressionStatement¿¿2097¿¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿ExpressionStatement
1297¿AssignmentExpression¿=¿2097¿¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿AssignmentExpression
1298¿MemberExpression¿computed¿2097¿¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿MemberExpression
1299¿Identifier¿¿2097¿wrapped¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1300¿Identifier¿¿2097¿name¿¿¿{"start":{"line":34,"column":20},"end":{"line":34,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1301¿Identifier¿¿2097¿v112¿¿¿¿¿Identifier
1302¿BlockStatement¿¿2097¿¿¿¿{"start":{"line":33,"column":38},"end":{"line":35,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿BlockStatement
1303¿BlockStatement¿¿2097¿¿¿¿{"start":{"line":32,"column":26},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿BlockStatement
1304¿ReturnStatement¿¿2097¿¿¿¿{"start":{"line":37,"column":4},"end":{"line":37,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿ReturnStatement
1305¿Identifier¿¿2097¿wrapped¿¿¿{"start":{"line":37,"column":11},"end":{"line":37,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1306¿BlockStatement¿¿2097¿¿¿¿{"start":{"line":19,"column":35},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿BlockStatement
1307¿VariableDeclarator¿¿2095¿get¿¿¿{"start":{"line":48,"column":0},"end":{"line":59,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1308¿FunctionExpression¿¿2095¿anon¿¿¿{"start":{"line":48,"column":10},"end":{"line":59,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿FunctionExpression
1309¿Identifier¿¿0¿obj¿¿¿{"start":{"line":48,"column":24},"end":{"line":48,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1310¿Identifier¿¿0¿pointer¿¿¿{"start":{"line":48,"column":29},"end":{"line":48,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1311¿VariableDeclarator¿¿2103¿refTokens¿¿¿{"start":{"line":49,"column":8},"end":{"line":49,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1312¿VariableDeclarator¿¿2103¿v113¿¿¿{"start":{"line":49,"column":20},"end":{"line":49,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1313¿CallExpression¿¿2103¿¿¿¿{"start":{"line":49,"column":20},"end":{"line":49,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿CallExpression
1314¿MemberExpression¿¿2103¿¿¿¿{"start":{"line":49,"column":20},"end":{"line":49,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿MemberExpression
1315¿Identifier¿¿2103¿Array¿¿¿{"start":{"line":49,"column":20},"end":{"line":49,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1316¿Identifier¿¿2103¿isArray¿¿¿{"start":{"line":49,"column":26},"end":{"line":49,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1317¿Identifier¿¿2103¿pointer¿¿¿{"start":{"line":49,"column":34},"end":{"line":49,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1318¿VariableDeclarator¿¿2103¿v114¿¿¿{"start":{"line":49,"column":55},"end":{"line":49,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1319¿CallExpression¿¿2103¿¿¿¿{"start":{"line":49,"column":55},"end":{"line":49,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿CallExpression
1320¿MemberExpression¿¿2103¿¿¿¿{"start":{"line":49,"column":55},"end":{"line":49,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿MemberExpression
1321¿Identifier¿¿2103¿api¿¿¿{"start":{"line":49,"column":55},"end":{"line":49,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1322¿Identifier¿¿2103¿parse¿¿¿{"start":{"line":49,"column":59},"end":{"line":49,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1323¿Identifier¿¿2103¿pointer¿¿¿{"start":{"line":49,"column":65},"end":{"line":49,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1324¿IfStatement¿¿2103¿¿¿¿{"start":{"line":49,"column":20},"end":{"line":49,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿IfStatement
1325¿Identifier¿¿2103¿v113¿¿¿¿¿Identifier
1326¿ExpressionStatement¿¿2103¿¿¿¿{"start":{"line":49,"column":20},"end":{"line":49,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿ExpressionStatement
1327¿AssignmentExpression¿=¿2103¿¿¿¿{"start":{"line":49,"column":20},"end":{"line":49,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿AssignmentExpression
1328¿Identifier¿¿2103¿refTokens¿¿¿{"start":{"line":49,"column":20},"end":{"line":49,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1329¿Identifier¿¿2103¿pointer¿¿¿{"start":{"line":49,"column":45},"end":{"line":49,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1330¿BlockStatement¿¿2103¿¿¿¿¿¿BlockStatement
1331¿ExpressionStatement¿¿2103¿¿¿¿{"start":{"line":49,"column":20},"end":{"line":49,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿ExpressionStatement
1332¿AssignmentExpression¿=¿2103¿¿¿¿{"start":{"line":49,"column":20},"end":{"line":49,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿AssignmentExpression
1333¿Identifier¿¿2103¿refTokens¿¿¿{"start":{"line":49,"column":20},"end":{"line":49,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1334¿Identifier¿¿2103¿v114¿¿¿¿¿Identifier
1335¿BlockStatement¿¿2103¿¿¿¿¿¿BlockStatement
1336¿VariableDeclarator¿¿2103¿i¿¿¿{"start":{"line":51,"column":13},"end":{"line":51,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1337¿Literal¿number¿2103¿¿0¿¿{"start":{"line":51,"column":17},"end":{"line":51,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Literal
1338¿VariableDeclarator¿¿2103¿v115¿¿¿{"start":{"line":51,"column":24},"end":{"line":51,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1339¿MemberExpression¿¿2103¿¿¿¿{"start":{"line":51,"column":24},"end":{"line":51,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿MemberExpression
1340¿Identifier¿¿2103¿refTokens¿¿¿{"start":{"line":51,"column":24},"end":{"line":51,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1341¿Identifier¿¿2103¿length¿¿¿{"start":{"line":51,"column":34},"end":{"line":51,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1342¿VariableDeclarator¿¿2103¿v116¿¿¿{"start":{"line":51,"column":20},"end":{"line":51,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1343¿BinaryExpression¿<¿2103¿¿¿¿{"start":{"line":51,"column":20},"end":{"line":51,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿BinaryExpression
