Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
807¿Program¿¿-1¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":112,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Program
846¿Identifier¿¿1409¿dirname¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
847¿Identifier¿¿1409¿__dirname¿¿¿{"start":{"line":20,"column":24},"end":{"line":20,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
848¿VariableDeclarator¿¿1409¿v73¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
849¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿MemberExpression
850¿Identifier¿¿1409¿process¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
851¿Identifier¿¿1409¿env¿¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
852¿VariableDeclarator¿¿1409¿v74¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
853¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿MemberExpression
854¿Identifier¿¿1409¿v73¿¿¿¿¿Identifier
855¿Identifier¿¿1409¿JSCOVER¿¿¿{"start":{"line":21,"column":30},"end":{"line":21,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
856¿VariableDeclarator¿¿1409¿v75¿¿¿{"start":{"line":21,"column":41},"end":{"line":21,"column":82},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
857¿CallExpression¿¿1409¿¿¿¿{"start":{"line":21,"column":41},"end":{"line":21,"column":82},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿CallExpression
858¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":21,"column":41},"end":{"line":21,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿MemberExpression
859¿Identifier¿¿1409¿path¿¿¿{"start":{"line":21,"column":41},"end":{"line":21,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
860¿Identifier¿¿1409¿join¿¿¿{"start":{"line":21,"column":46},"end":{"line":21,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
861¿Identifier¿¿1409¿root¿¿¿{"start":{"line":21,"column":51},"end":{"line":21,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
862¿Literal¿string¿1409¿¿'bin'¿¿{"start":{"line":21,"column":57},"end":{"line":21,"column":62},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
863¿Literal¿string¿1409¿¿'JSCover-all.jar'¿¿{"start":{"line":21,"column":64},"end":{"line":21,"column":81},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
864¿VariableDeclarator¿¿1409¿JSCoverPath¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":82},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
865¿LogicalExpression¿||¿1409¿¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":82},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿LogicalExpression
866¿Identifier¿¿1409¿v74¿¿¿¿¿Identifier
867¿Identifier¿¿1409¿v75¿¿¿¿¿Identifier
868¿VariableDeclarator¿¿1409¿JSCoverLogging¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":65},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
869¿CallExpression¿¿1409¿¿¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":65},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿CallExpression
870¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿MemberExpression
871¿Identifier¿¿1409¿path¿¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
872¿Identifier¿¿1409¿join¿¿¿{"start":{"line":22,"column":26},"end":{"line":22,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
873¿Identifier¿¿1409¿root¿¿¿{"start":{"line":22,"column":31},"end":{"line":22,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
874¿Literal¿string¿1409¿¿'bin'¿¿{"start":{"line":22,"column":37},"end":{"line":22,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
875¿Literal¿string¿1409¿¿'logging.properties'¿¿{"start":{"line":22,"column":44},"end":{"line":22,"column":64},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
876¿VariableDeclarator¿¿1409¿v76¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
877¿BinaryExpression¿+¿1409¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿BinaryExpression
878¿Literal¿string¿1409¿¿'-Djava.util.logging.config.file=''¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
879¿Identifier¿¿1409¿JSCoverLogging¿¿¿{"start":{"line":25,"column":40},"end":{"line":25,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
880¿VariableDeclarator¿¿1409¿v77¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":60},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
881¿BinaryExpression¿+¿1409¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":60},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿BinaryExpression
882¿Identifier¿¿1409¿v76¿¿¿¿¿Identifier
883¿Literal¿string¿1409¿¿'''¿¿{"start":{"line":25,"column":57},"end":{"line":25,"column":60},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
884¿VariableDeclarator¿¿1409¿v78¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
885¿BinaryExpression¿+¿1409¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿BinaryExpression
886¿Literal¿string¿1409¿¿'-jar ''¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
887¿Identifier¿¿1409¿JSCoverPath¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
888¿VariableDeclarator¿¿1409¿v79¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
889¿BinaryExpression¿+¿1409¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿BinaryExpression
890¿Identifier¿¿1409¿v78¿¿¿¿¿Identifier
891¿Literal¿string¿1409¿¿'''¿¿{"start":{"line":26,"column":27},"end":{"line":26,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
892¿VariableDeclarator¿¿1409¿v80¿¿¿{"start":{"line":23,"column":21},"end":{"line":27,"column":8},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
893¿ArrayExpression¿¿1409¿¿¿¿{"start":{"line":23,"column":21},"end":{"line":27,"column":8},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿ArrayExpression
894¿Literal¿string¿1409¿¿'java'¿¿{"start":{"line":23,"column":22},"end":{"line":23,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
895¿Literal¿string¿1409¿¿'-Dfile.encoding=UTF-8'¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
896¿Identifier¿¿1409¿v77¿¿¿¿¿Identifier
897¿Identifier¿¿1409¿v79¿¿¿¿¿Identifier
898¿Literal¿string¿1409¿¿'-fs'¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
899¿VariableDeclarator¿¿1409¿JSCoverCommand¿¿¿{"start":{"line":23,"column":4},"end":{"line":27,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
900¿CallExpression¿¿1409¿¿¿¿{"start":{"line":23,"column":21},"end":{"line":27,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿CallExpression
901¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":23,"column":21},"end":{"line":27,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿MemberExpression
902¿Identifier¿¿1409¿v80¿¿¿¿¿Identifier
903¿Identifier¿¿1409¿join¿¿¿{"start":{"line":27,"column":9},"end":{"line":27,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
904¿Literal¿string¿1409¿¿' '¿¿{"start":{"line":27,"column":14},"end":{"line":27,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
905¿VariableDeclarator¿¿1409¿PEDDING¿¿¿{"start":{"line":33,"column":4},"end":{"line":35,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
906¿Literal¿string¿1409¿¿'/* ****** automatically generated by jscover - do not edit ******/\n\
if (typeof _$jscoverage === 'undefined') { _$jscoverage = {}; }\n\
/* ****** end - do not edit ******/\n'¿¿{"start":{"line":33,"column":14},"end":{"line":35,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
907¿VariableDeclarator¿exported¿1409¿jscover¿¿¿{"start":{"line":37,"column":0},"end":{"line":112,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
908¿FunctionExpression¿¿1409¿anon¿¿¿{"start":{"line":37,"column":17},"end":{"line":112,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿FunctionExpression
909¿Identifier¿¿0¿source¿¿¿{"start":{"line":37,"column":34},"end":{"line":37,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
910¿Identifier¿¿0¿target¿¿¿{"start":{"line":37,"column":42},"end":{"line":37,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
911¿Identifier¿¿0¿options¿¿¿{"start":{"line":37,"column":50},"end":{"line":37,"column":57},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
912¿Identifier¿¿0¿callback¿¿¿{"start":{"line":37,"column":59},"end":{"line":37,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
913¿ExpressionStatement¿¿1411¿¿¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿ExpressionStatement
914¿AssignmentExpression¿=¿1411¿¿¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿AssignmentExpression
915¿Identifier¿¿1411¿source¿¿¿{"start":{"line":38,"column":2},"end":{"line":38,"column":8},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
916¿LogicalExpression¿||¿1411¿¿¿¿{"start":{"line":38,"column":11},"end":{"line":38,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿LogicalExpression
917¿Identifier¿¿1411¿source¿¿¿{"start":{"line":38,"column":11},"end":{"line":38,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
918¿Literal¿string¿1411¿¿''¿¿{"start":{"line":38,"column":21},"end":{"line":38,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
919¿ExpressionStatement¿¿1411¿¿¿¿{"start":{"line":39,"column":2},"end":{"line":39,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿ExpressionStatement
920¿AssignmentExpression¿=¿1411¿¿¿¿{"start":{"line":39,"column":2},"end":{"line":39,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿AssignmentExpression
921¿Identifier¿¿1411¿target¿¿¿{"start":{"line":39,"column":2},"end":{"line":39,"column":8},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
922¿LogicalExpression¿||¿1411¿¿¿¿{"start":{"line":39,"column":11},"end":{"line":39,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿LogicalExpression
923¿Identifier¿¿1411¿target¿¿¿{"start":{"line":39,"column":11},"end":{"line":39,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
924¿Literal¿string¿1411¿¿''¿¿{"start":{"line":39,"column":21},"end":{"line":39,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
925¿VariableDeclarator¿¿1411¿v81¿¿¿{"start":{"line":40,"column":23},"end":{"line":40,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
926¿ArrayExpression¿¿1411¿¿¿¿{"start":{"line":40,"column":23},"end":{"line":40,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿ArrayExpression
927¿ExpressionStatement¿¿1411¿¿¿¿{"start":{"line":40,"column":2},"end":{"line":40,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿ExpressionStatement
928¿AssignmentExpression¿=¿1411¿¿¿¿{"start":{"line":40,"column":2},"end":{"line":40,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿AssignmentExpression
929¿Identifier¿¿1411¿options¿¿¿{"start":{"line":40,"column":2},"end":{"line":40,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
930¿LogicalExpression¿||¿1411¿¿¿¿{"start":{"line":40,"column":12},"end":{"line":40,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿LogicalExpression
