Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
859¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":182,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Program
891¿VariableDeclarator¿¿1459¿v63¿¿¿{"start":{"line":39,"column":34},"end":{"line":41,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
892¿FunctionExpression¿¿1459¿anon¿¿¿{"start":{"line":39,"column":34},"end":{"line":41,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿FunctionExpression
893¿Identifier¿¿0¿err¿¿¿{"start":{"line":39,"column":44},"end":{"line":39,"column":47},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
894¿Identifier¿¿0¿masked¿¿¿{"start":{"line":39,"column":49},"end":{"line":39,"column":55},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
895¿VariableDeclarator¿¿1461¿v62¿¿¿{"start":{"line":40,"column":20},"end":{"line":40,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
896¿CallExpression¿¿1461¿¿¿¿{"start":{"line":40,"column":20},"end":{"line":40,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿CallExpression
897¿Identifier¿¿1461¿original¿¿¿{"start":{"line":40,"column":20},"end":{"line":40,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
898¿Identifier¿¿1461¿masked¿¿¿{"start":{"line":40,"column":29},"end":{"line":40,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
899¿ExpressionStatement¿¿1461¿¿¿¿{"start":{"line":40,"column":20},"end":{"line":40,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿ExpressionStatement
900¿Identifier¿¿1461¿v62¿¿¿¿¿Identifier
901¿BlockStatement¿¿1461¿¿¿¿{"start":{"line":39,"column":57},"end":{"line":41,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿BlockStatement
902¿VariableDeclarator¿¿1459¿v64¿¿¿{"start":{"line":39,"column":16},"end":{"line":41,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
903¿CallExpression¿¿1459¿¿¿¿{"start":{"line":39,"column":16},"end":{"line":41,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿CallExpression
904¿Identifier¿¿1459¿values¿¿¿{"start":{"line":39,"column":16},"end":{"line":39,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
905¿Identifier¿¿1459¿obj¿¿¿{"start":{"line":39,"column":23},"end":{"line":39,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
906¿Identifier¿¿1459¿mask¿¿¿{"start":{"line":39,"column":28},"end":{"line":39,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
907¿Identifier¿¿1459¿v63¿¿¿¿¿Identifier
908¿ExpressionStatement¿¿1459¿¿¿¿{"start":{"line":39,"column":16},"end":{"line":41,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿ExpressionStatement
909¿Identifier¿¿1459¿v64¿¿¿¿¿Identifier
910¿BlockStatement¿¿1459¿¿¿¿{"start":{"line":38,"column":38},"end":{"line":42,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿BlockStatement
911¿VariableDeclarator¿¿1459¿duplicate¿¿¿{"start":{"line":43,"column":20},"end":{"line":43,"column":49},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
912¿CallExpression¿¿1459¿¿¿¿{"start":{"line":43,"column":32},"end":{"line":43,"column":49},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿CallExpression
913¿Identifier¿¿1459¿mask¿¿¿{"start":{"line":43,"column":32},"end":{"line":43,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
914¿Identifier¿¿1459¿obj¿¿¿{"start":{"line":43,"column":37},"end":{"line":43,"column":40},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
915¿Identifier¿¿1459¿values¿¿¿{"start":{"line":43,"column":42},"end":{"line":43,"column":48},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
916¿VariableDeclarator¿¿1459¿v65¿¿¿{"start":{"line":44,"column":16},"end":{"line":44,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
917¿CallExpression¿¿1459¿¿¿¿{"start":{"line":44,"column":16},"end":{"line":44,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿CallExpression
918¿Identifier¿¿1459¿original¿¿¿{"start":{"line":44,"column":16},"end":{"line":44,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
919¿Identifier¿¿1459¿duplicate¿¿¿{"start":{"line":44,"column":25},"end":{"line":44,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
920¿ExpressionStatement¿¿1459¿¿¿¿{"start":{"line":44,"column":16},"end":{"line":44,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿ExpressionStatement
921¿Identifier¿¿1459¿v65¿¿¿¿¿Identifier
922¿BlockStatement¿¿1459¿¿¿¿{"start":{"line":42,"column":19},"end":{"line":45,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿BlockStatement
923¿BlockStatement¿¿1459¿¿¿¿{"start":{"line":37,"column":30},"end":{"line":46,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿BlockStatement
924¿ReturnStatement¿¿1457¿¿¿¿{"start":{"line":37,"column":8},"end":{"line":46,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿ReturnStatement
925¿Identifier¿¿1457¿v66¿¿¿¿¿Identifier
926¿BlockStatement¿¿1457¿¿¿¿{"start":{"line":36,"column":28},"end":{"line":47,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿BlockStatement
927¿VariableDeclarator¿¿1455¿v74¿¿¿{"start":{"line":49,"column":11},"end":{"line":53,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
928¿FunctionExpression¿¿1455¿anon¿¿¿{"start":{"line":49,"column":11},"end":{"line":53,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿FunctionExpression
929¿Identifier¿¿0¿req¿¿¿{"start":{"line":49,"column":21},"end":{"line":49,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
930¿Identifier¿¿0¿res¿¿¿{"start":{"line":49,"column":26},"end":{"line":49,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
931¿Identifier¿¿0¿next¿¿¿{"start":{"line":49,"column":31},"end":{"line":49,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
932¿VariableDeclarator¿¿1464¿v67¿¿¿{"start":{"line":50,"column":24},"end":{"line":50,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
933¿MemberExpression¿¿1464¿¿¿¿{"start":{"line":50,"column":24},"end":{"line":50,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿MemberExpression
934¿Identifier¿¿1464¿res¿¿¿{"start":{"line":50,"column":24},"end":{"line":50,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
935¿Identifier¿¿1464¿json¿¿¿{"start":{"line":50,"column":28},"end":{"line":50,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
936¿VariableDeclarator¿¿1464¿v68¿¿¿{"start":{"line":50,"column":24},"end":{"line":50,"column":42},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
937¿CallExpression¿¿1464¿¿¿¿{"start":{"line":50,"column":24},"end":{"line":50,"column":42},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿CallExpression
938¿MemberExpression¿¿1464¿¿¿¿{"start":{"line":50,"column":24},"end":{"line":50,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿MemberExpression
939¿Identifier¿¿1464¿v67¿¿¿¿¿Identifier
940¿Identifier¿¿1464¿bind¿¿¿{"start":{"line":50,"column":33},"end":{"line":50,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
941¿Identifier¿¿1464¿res¿¿¿{"start":{"line":50,"column":38},"end":{"line":50,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
942¿VariableDeclarator¿¿1464¿v69¿¿¿{"start":{"line":50,"column":8},"end":{"line":50,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
943¿CallExpression¿¿1464¿¿¿¿{"start":{"line":50,"column":19},"end":{"line":50,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿CallExpression
944¿Identifier¿¿1464¿wrap¿¿¿{"start":{"line":50,"column":19},"end":{"line":50,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
945¿Identifier¿¿1464¿v68¿¿¿¿¿Identifier
946¿ExpressionStatement¿¿1464¿¿¿¿{"start":{"line":50,"column":8},"end":{"line":50,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿ExpressionStatement
947¿AssignmentExpression¿=¿1464¿¿¿¿{"start":{"line":50,"column":8},"end":{"line":50,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿AssignmentExpression
948¿MemberExpression¿¿1464¿¿¿¿{"start":{"line":50,"column":8},"end":{"line":50,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿MemberExpression
949¿Identifier¿¿1464¿res¿¿¿{"start":{"line":50,"column":8},"end":{"line":50,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
950¿Identifier¿¿1464¿json¿¿¿{"start":{"line":50,"column":12},"end":{"line":50,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
951¿Identifier¿¿1464¿v69¿¿¿¿¿Identifier
952¿VariableDeclarator¿¿1464¿v70¿¿¿{"start":{"line":51,"column":25},"end":{"line":51,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
953¿MemberExpression¿¿1464¿¿¿¿{"start":{"line":51,"column":25},"end":{"line":51,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿MemberExpression
954¿Identifier¿¿1464¿res¿¿¿{"start":{"line":51,"column":25},"end":{"line":51,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
955¿Identifier¿¿1464¿jsonp¿¿¿{"start":{"line":51,"column":29},"end":{"line":51,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
956¿VariableDeclarator¿¿1464¿v71¿¿¿{"start":{"line":51,"column":25},"end":{"line":51,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
957¿CallExpression¿¿1464¿¿¿¿{"start":{"line":51,"column":25},"end":{"line":51,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿CallExpression
958¿MemberExpression¿¿1464¿¿¿¿{"start":{"line":51,"column":25},"end":{"line":51,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿MemberExpression
959¿Identifier¿¿1464¿v70¿¿¿¿¿Identifier
960¿Identifier¿¿1464¿bind¿¿¿{"start":{"line":51,"column":35},"end":{"line":51,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
961¿Identifier¿¿1464¿res¿¿¿{"start":{"line":51,"column":40},"end":{"line":51,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
962¿VariableDeclarator¿¿1464¿v72¿¿¿{"start":{"line":51,"column":8},"end":{"line":51,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
963¿CallExpression¿¿1464¿¿¿¿{"start":{"line":51,"column":20},"end":{"line":51,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿CallExpression
964¿Identifier¿¿1464¿wrap¿¿¿{"start":{"line":51,"column":20},"end":{"line":51,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
965¿Identifier¿¿1464¿v71¿¿¿¿¿Identifier
966¿ExpressionStatement¿¿1464¿¿¿¿{"start":{"line":51,"column":8},"end":{"line":51,"column":46},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿ExpressionStatement
967¿AssignmentExpression¿=¿1464¿¿¿¿{"start":{"line":51,"column":8},"end":{"line":51,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿AssignmentExpression
968¿MemberExpression¿¿1464¿¿¿¿{"start":{"line":51,"column":8},"end":{"line":51,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿MemberExpression
969¿Identifier¿¿1464¿res¿¿¿{"start":{"line":51,"column":8},"end":{"line":51,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
970¿Identifier¿¿1464¿jsonp¿¿¿{"start":{"line":51,"column":12},"end":{"line":51,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
971¿Identifier¿¿1464¿v72¿¿¿¿¿Identifier
972¿VariableDeclarator¿¿1464¿v73¿¿¿{"start":{"line":52,"column":8},"end":{"line":52,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
973¿CallExpression¿¿1464¿¿¿¿{"start":{"line":52,"column":8},"end":{"line":52,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿CallExpression
974¿Identifier¿¿1464¿next¿¿¿{"start":{"line":52,"column":8},"end":{"line":52,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
975¿ExpressionStatement¿¿1464¿¿¿¿{"start":{"line":52,"column":8},"end":{"line":52,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿ExpressionStatement
976¿Identifier¿¿1464¿v73¿¿¿¿¿Identifier
977¿BlockStatement¿¿1464¿¿¿¿{"start":{"line":49,"column":37},"end":{"line":53,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿BlockStatement
978¿ReturnStatement¿¿1455¿¿¿¿{"start":{"line":49,"column":4},"end":{"line":53,"column":6},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿ReturnStatement
979¿Identifier¿¿1455¿v74¿¿¿¿¿Identifier
980¿BlockStatement¿¿1455¿¿¿¿{"start":{"line":33,"column":45},"end":{"line":54,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿BlockStatement
981¿ExpressionStatement¿¿1453¿¿¿¿{"start":{"line":33,"column":0},"end":{"line":54,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿ExpressionStatement
982¿AssignmentExpression¿=¿1453¿¿¿¿{"start":{"line":33,"column":0},"end":{"line":54,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿AssignmentExpression
983¿MemberExpression¿¿1453¿¿¿¿{"start":{"line":33,"column":0},"end":{"line":54,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿MemberExpression
984¿Identifier¿¿1453¿module¿¿¿{"start":{"line":33,"column":10},"end":{"line":33,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
985¿Identifier¿¿1453¿exports¿¿¿{"start":{"line":33,"column":17},"end":{"line":33,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
986¿Identifier¿¿1453¿v75¿¿¿¿¿Identifier
987¿ExpressionStatement¿¿1453¿¿¿¿{"start":{"line":33,"column":0},"end":{"line":54,"column":2},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿ExpressionStatement
988¿AssignmentExpression¿=¿1453¿¿¿¿{"start":{"line":33,"column":0},"end":{"line":54,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿AssignmentExpression
989¿Identifier¿¿1453¿exports¿¿¿{"start":{"line":33,"column":0},"end":{"line":33,"column":7},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
990¿MemberExpression¿¿1453¿¿¿¿{"start":{"line":33,"column":10},"end":{"line":33,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿MemberExpression
991¿Identifier¿¿1453¿module¿¿¿{"start":{"line":33,"column":10},"end":{"line":33,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
992¿Identifier¿¿1453¿exports¿¿¿{"start":{"line":33,"column":17},"end":{"line":33,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
993¿VariableDeclarator¿¿1453¿v76¿¿¿{"start":{"line":63,"column":0},"end":{"line":63,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
994¿MemberExpression¿¿1453¿¿¿¿{"start":{"line":63,"column":0},"end":{"line":63,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿MemberExpression
995¿Identifier¿¿1453¿module¿¿¿{"start":{"line":63,"column":0},"end":{"line":63,"column":6},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
996¿Identifier¿¿1453¿exports¿¿¿{"start":{"line":63,"column":7},"end":{"line":63,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
997¿VariableDeclarator¿¿1453¿mask¿¿¿{"start":{"line":63,"column":0},"end":{"line":72,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
