Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2112¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":241,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Program
2126¿VariableDeclarator¿¿3696¿v216¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2127¿CallExpression¿¿3696¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2128¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2129¿Identifier¿¿3696¿yargs¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2130¿Identifier¿¿3696¿usage¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2131¿Literal¿string¿3696¿¿'Usage: $0 <command> [options] <target>'¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2132¿ExpressionStatement¿¿3696¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿ExpressionStatement
2133¿Identifier¿¿3696¿v216¿¿¿¿¿Identifier
2134¿VariableDeclarator¿¿3696¿v217¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2135¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2136¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2137¿Identifier¿¿3696¿yargs¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2138¿Identifier¿¿3696¿command¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2139¿Literal¿string¿3696¿¿'image'¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2140¿Literal¿string¿3696¿¿'convert an image to ascii'¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2141¿VariableDeclarator¿¿3696¿v218¿¿¿{"start":{"line":7,"column":0},"end":{"line":8,"column":60},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2142¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":8,"column":60},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2143¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":8,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2144¿Identifier¿¿3696¿v217¿¿¿¿¿Identifier
2145¿Identifier¿¿3696¿command¿¿¿{"start":{"line":8,"column":5},"end":{"line":8,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2146¿Literal¿string¿3696¿¿'art'¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2147¿Literal¿string¿3696¿¿'get some ascii art from various sites'¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":59},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2148¿VariableDeclarator¿¿3696¿v219¿¿¿{"start":{"line":7,"column":0},"end":{"line":9,"column":64},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2149¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":9,"column":64},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2150¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":9,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2151¿Identifier¿¿3696¿v218¿¿¿¿¿Identifier
2152¿Identifier¿¿3696¿command¿¿¿{"start":{"line":9,"column":5},"end":{"line":9,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2153¿Literal¿string¿3696¿¿'text'¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2154¿Literal¿string¿3696¿¿'add styles and/or font rendering to text'¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":63},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2155¿VariableDeclarator¿¿3696¿v220¿¿¿{"start":{"line":7,"column":0},"end":{"line":10,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2156¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":10,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2157¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":10,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2158¿Identifier¿¿3696¿v219¿¿¿¿¿Identifier
2159¿Identifier¿¿3696¿demand¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2160¿Literal¿number¿3696¿¿2¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2161¿VariableDeclarator¿¿3696¿v221¿¿¿{"start":{"line":7,"column":0},"end":{"line":11,"column":109},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2162¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":11,"column":109},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2163¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":11,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2164¿Identifier¿¿3696¿v220¿¿¿¿¿Identifier
2165¿Identifier¿¿3696¿example¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2166¿Literal¿string¿3696¿¿'$0 art textfiles.com/spock.art '¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2167¿Literal¿string¿3696¿¿'request the file 'spock.art' remotely from 'textfiles.com''¿¿{"start":{"line":11,"column":48},"end":{"line":11,"column":108},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2168¿VariableDeclarator¿¿3696¿v222¿¿¿{"start":{"line":7,"column":0},"end":{"line":12,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2169¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":12,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2170¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":12,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2171¿Identifier¿¿3696¿v221¿¿¿¿¿Identifier
2172¿Identifier¿¿3696¿example¿¿¿{"start":{"line":12,"column":5},"end":{"line":12,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2173¿Literal¿string¿3696¿¿'$0 install Font.flf '¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2174¿Literal¿string¿3696¿¿'install a figlet font'¿¿{"start":{"line":12,"column":37},"end":{"line":12,"column":60},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2175¿VariableDeclarator¿¿3696¿v223¿¿¿{"start":{"line":7,"column":0},"end":{"line":13,"column":89},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2176¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":13,"column":89},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2177¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":13,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2178¿Identifier¿¿3696¿v222¿¿¿¿¿Identifier
2179¿Identifier¿¿3696¿example¿¿¿{"start":{"line":13,"column":5},"end":{"line":13,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2180¿Literal¿string¿3696¿¿'$0 image foo.jpg '¿¿{"start":{"line":13,"column":13},"end":{"line":13,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2181¿Literal¿string¿3696¿¿'output foo.jpg as inline ascii text with ansi colors'¿¿{"start":{"line":13,"column":34},"end":{"line":13,"column":88},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2182¿VariableDeclarator¿¿3696¿v224¿¿¿{"start":{"line":7,"column":0},"end":{"line":14,"column":87},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2183¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":14,"column":87},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2184¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":14,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2185¿Identifier¿¿3696¿v223¿¿¿¿¿Identifier
2186¿Identifier¿¿3696¿example¿¿¿{"start":{"line":14,"column":5},"end":{"line":14,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2187¿Literal¿string¿3696¿¿'$0 text -F Doom 'Some Titles''¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2188¿Literal¿string¿3696¿¿'outputs 'Some Titles' in the Doom font'¿¿{"start":{"line":14,"column":46},"end":{"line":14,"column":86},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2189¿VariableDeclarator¿¿3696¿v225¿¿¿{"start":{"line":7,"column":0},"end":{"line":15,"column":120},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2190¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":15,"column":120},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2191¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":15,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2192¿Identifier¿¿3696¿v224¿¿¿¿¿Identifier
2193¿Identifier¿¿3696¿example¿¿¿{"start":{"line":15,"column":5},"end":{"line":15,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2194¿Literal¿string¿3696¿¿'$0 text -s red+underline 'Some Titles''¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2195¿Literal¿string¿3696¿¿'outputs 'Some Titles' with a red and underlined terminal style'¿¿{"start":{"line":15,"column":55},"end":{"line":15,"column":119},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2196¿VariableDeclarator¿¿3696¿v226¿¿¿{"start":{"line":7,"column":0},"end":{"line":16,"column":87},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2197¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":16,"column":87},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2198¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":16,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2199¿Identifier¿¿3696¿v225¿¿¿¿¿Identifier
2200¿Identifier¿¿3696¿example¿¿¿{"start":{"line":16,"column":5},"end":{"line":16,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2201¿Literal¿string¿3696¿¿'$0 text -F Doom 'Some Titles''¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2202¿Literal¿string¿3696¿¿'outputs 'Some Titles' in the Doom font'¿¿{"start":{"line":16,"column":46},"end":{"line":16,"column":86},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2203¿VariableDeclarator¿¿3696¿v227¿¿¿{"start":{"line":7,"column":0},"end":{"line":17,"column":69},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2204¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":17,"column":69},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2205¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":17,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2206¿Identifier¿¿3696¿v226¿¿¿¿¿Identifier
2207¿Identifier¿¿3696¿example¿¿¿{"start":{"line":17,"column":5},"end":{"line":17,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2208¿Literal¿string¿3696¿¿'$0 list all'¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2209¿Literal¿string¿3696¿¿'show all fonts available at figlet.org'¿¿{"start":{"line":17,"column":28},"end":{"line":17,"column":68},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2210¿VariableDeclarator¿¿3696¿v228¿¿¿{"start":{"line":7,"column":0},"end":{"line":18,"column":87},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2211¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":18,"column":87},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2212¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":18,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2213¿Identifier¿¿3696¿v227¿¿¿¿¿Identifier
2214¿Identifier¿¿3696¿example¿¿¿{"start":{"line":18,"column":5},"end":{"line":18,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2215¿Literal¿string¿3696¿¿'$0 preview weird'¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2216¿Literal¿string¿3696¿¿'visit the prieview page for weird.flf at figlet.org'¿¿{"start":{"line":18,"column":33},"end":{"line":18,"column":86},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2217¿VariableDeclarator¿¿3696¿v229¿¿¿{"start":{"line":7,"column":0},"end":{"line":19,"column":87},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2218¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":19,"column":87},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2219¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":19,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2220¿Identifier¿¿3696¿v228¿¿¿¿¿Identifier
2221¿Identifier¿¿3696¿example¿¿¿{"start":{"line":19,"column":5},"end":{"line":19,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2222¿Literal¿string¿3696¿¿'$0 install weird'¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2223¿Literal¿string¿3696¿¿'install weird.flf into the local '/Fonts' directory'¿¿{"start":{"line":19,"column":33},"end":{"line":19,"column":86},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2224¿VariableDeclarator¿¿3696¿v230¿¿¿{"start":{"line":7,"column":0},"end":{"line":20,"column":104},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2225¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":20,"column":104},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2226¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":20,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2227¿Identifier¿¿3696¿v229¿¿¿¿¿Identifier
2228¿Identifier¿¿3696¿example¿¿¿{"start":{"line":20,"column":5},"end":{"line":20,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2229¿Literal¿string¿3696¿¿'$0 install weird -g'¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2230¿Literal¿string¿3696¿¿'install weird.flf into the currently executing ascii-art instance'¿¿{"start":{"line":20,"column":36},"end":{"line":20,"column":103},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2231¿VariableDeclarator¿¿3696¿v231¿¿¿{"start":{"line":7,"column":0},"end":{"line":21,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2232¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":21,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2233¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":21,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2234¿Identifier¿¿3696¿v230¿¿¿¿¿Identifier
2235¿Identifier¿¿3696¿alias¿¿¿{"start":{"line":21,"column":5},"end":{"line":21,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2236¿Literal¿string¿3696¿¿'s'¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2237¿Literal¿string¿3696¿¿'style'¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2238¿VariableDeclarator¿¿3696¿v232¿¿¿{"start":{"line":7,"column":0},"end":{"line":22,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2239¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":22,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2240¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":22,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2241¿Identifier¿¿3696¿v231¿¿¿¿¿Identifier
2242¿Identifier¿¿3696¿nargs¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2243¿Literal¿string¿3696¿¿'s'¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2244¿Literal¿number¿3696¿¿1¿¿{"start":{"line":22,"column":17},"end":{"line":22,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2245¿VariableDeclarator¿¿3696¿v233¿¿¿{"start":{"line":7,"column":0},"end":{"line":23,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2246¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":23,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2247¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":23,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2248¿Identifier¿¿3696¿v232¿¿¿¿¿Identifier
2249¿Identifier¿¿3696¿describe¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2250¿Literal¿string¿3696¿¿'s'¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2251¿Literal¿string¿3696¿¿'render a ansi style onto a string'¿¿{"start":{"line":23,"column":20},"end":{"line":23,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2252¿VariableDeclarator¿¿3696¿v234¿¿¿{"start":{"line":7,"column":0},"end":{"line":24,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2253¿CallExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":24,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2254¿MemberExpression¿¿3696¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":24,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿MemberExpression
2255¿Identifier¿¿3696¿v233¿¿¿¿¿Identifier
