Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4086¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":766,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Program
4126¿VariableDeclarator¿¿7254¿val¿¿¿{"start":{"line":16,"column":5},"end":{"line":16,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4127¿Literal¿string¿7254¿¿''¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Literal
4128¿VariableDeclarator¿¿7254¿start¿¿¿{"start":{"line":17,"column":5},"end":{"line":17,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4129¿VariableDeclarator¿¿7254¿end¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4130¿VariableDeclarator¿¿7254¿stop¿¿¿{"start":{"line":17,"column":17},"end":{"line":17,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4131¿VariableDeclarator¿¿7254¿c¿¿¿{"start":{"line":18,"column":5},"end":{"line":18,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4132¿MemberExpression¿computed¿7254¿¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿MemberExpression
4133¿Identifier¿¿7254¿source¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4134¿Literal¿number¿7254¿¿0¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Literal
4135¿VariableDeclarator¿¿7254¿defineKey¿¿¿{"start":{"line":19,"column":5},"end":{"line":19,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4136¿Literal¿boolean¿7254¿¿true¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Literal
4137¿VariableDeclarator¿¿7254¿data¿¿¿{"start":{"line":20,"column":5},"end":{"line":20,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4138¿ObjectExpression¿¿7254¿¿¿¿¿¿ObjectExpression
4139¿VariableDeclarator¿¿7254¿mustAssign¿¿¿{"start":{"line":21,"column":5},"end":{"line":21,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4140¿Literal¿boolean¿7254¿¿false¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Literal
4141¿VariableDeclarator¿¿7254¿addKey¿¿¿{"start":{"line":24,"column":7},"end":{"line":38,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4142¿ArrowFunctionExpression¿¿7254¿¿¿¿{"start":{"line":24,"column":16},"end":{"line":38,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿ArrowFunctionExpression
4143¿IfStatement¿¿7257¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":33,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿IfStatement
4144¿Identifier¿¿7257¿defineKey¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4145¿IfStatement¿¿7257¿¿¿¿{"start":{"line":26,"column":3},"end":{"line":27,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿IfStatement
4146¿Identifier¿¿7257¿key¿¿¿{"start":{"line":26,"column":7},"end":{"line":26,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4147¿VariableDeclarator¿¿7257¿v365¿¿¿{"start":{"line":27,"column":25},"end":{"line":27,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4148¿CallExpression¿¿7257¿¿¿¿{"start":{"line":27,"column":25},"end":{"line":27,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿CallExpression
4149¿MemberExpression¿¿7257¿¿¿¿{"start":{"line":27,"column":25},"end":{"line":27,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿MemberExpression
4150¿Identifier¿¿7257¿key¿¿¿{"start":{"line":27,"column":25},"end":{"line":27,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4151¿Identifier¿¿7257¿trimEnd¿¿¿{"start":{"line":27,"column":29},"end":{"line":27,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4152¿VariableDeclarator¿¿7257¿v366¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4153¿CallExpression¿¿7257¿¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿CallExpression
4154¿Identifier¿¿7257¿trueValue¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4155¿Identifier¿¿7257¿v365¿¿¿¿¿Identifier
4156¿VariableDeclarator¿¿7257¿v367¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4157¿CallExpression¿¿7257¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿CallExpression
4158¿MemberExpression¿¿7257¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿MemberExpression
4159¿Identifier¿¿7257¿scope¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4160¿Identifier¿¿7257¿push¿¿¿{"start":{"line":27,"column":10},"end":{"line":27,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4161¿Identifier¿¿7257¿v366¿¿¿¿¿Identifier
4162¿ExpressionStatement¿¿7257¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿ExpressionStatement
4163¿Identifier¿¿7257¿v367¿¿¿¿¿Identifier
4164¿BlockStatement¿¿7257¿¿¿¿¿¿BlockStatement
4165¿BlockStatement¿¿7257¿¿¿¿{"start":{"line":25,"column":17},"end":{"line":28,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿BlockStatement
4166¿VariableDeclarator¿¿7257¿v368¿¿¿{"start":{"line":30,"column":7},"end":{"line":30,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4167¿UnaryExpression¿!¿7257¿¿¿¿{"start":{"line":30,"column":7},"end":{"line":30,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿UnaryExpression
4168¿Identifier¿¿7257¿val¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4169¿IfStatement¿¿7257¿¿¿¿{"start":{"line":30,"column":3},"end":{"line":31,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿IfStatement
4170¿Identifier¿¿7257¿v368¿¿¿¿¿Identifier
4171¿VariableDeclarator¿¿7257¿v369¿¿¿{"start":{"line":31,"column":10},"end":{"line":31,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4172¿CallExpression¿¿7257¿¿¿¿{"start":{"line":31,"column":10},"end":{"line":31,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿CallExpression
4173¿Identifier¿¿7257¿error¿¿¿{"start":{"line":31,"column":10},"end":{"line":31,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4174¿Literal¿string¿7257¿¿'Expecting value after ='¿¿{"start":{"line":31,"column":16},"end":{"line":31,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Literal
4175¿ThrowStatement¿¿7257¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿ThrowStatement
4176¿Identifier¿¿7257¿v369¿¿¿¿¿Identifier
4177¿BlockStatement¿¿7257¿¿¿¿¿¿BlockStatement
4178¿VariableDeclarator¿¿7257¿v370¿¿¿{"start":{"line":32,"column":13},"end":{"line":32,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4179¿CallExpression¿¿7257¿¿¿¿{"start":{"line":32,"column":13},"end":{"line":32,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿CallExpression
4180¿MemberExpression¿¿7257¿¿¿¿{"start":{"line":32,"column":13},"end":{"line":32,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿MemberExpression
4181¿Identifier¿¿7257¿key¿¿¿{"start":{"line":32,"column":13},"end":{"line":32,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4182¿Identifier¿¿7257¿trimEnd¿¿¿{"start":{"line":32,"column":17},"end":{"line":32,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4183¿VariableDeclarator¿¿7257¿v371¿¿¿{"start":{"line":32,"column":38},"end":{"line":32,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4184¿CallExpression¿¿7257¿¿¿¿{"start":{"line":32,"column":38},"end":{"line":32,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿CallExpression
4185¿MemberExpression¿¿7257¿¿¿¿{"start":{"line":32,"column":38},"end":{"line":32,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿MemberExpression
4186¿Identifier¿¿7257¿val¿¿¿{"start":{"line":32,"column":38},"end":{"line":32,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4187¿Identifier¿¿7257¿trimEnd¿¿¿{"start":{"line":32,"column":42},"end":{"line":32,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4188¿VariableDeclarator¿¿7257¿v372¿¿¿{"start":{"line":32,"column":28},"end":{"line":32,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4189¿CallExpression¿¿7257¿¿¿¿{"start":{"line":32,"column":28},"end":{"line":32,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿CallExpression
4190¿Identifier¿¿7257¿trueValue¿¿¿{"start":{"line":32,"column":28},"end":{"line":32,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4191¿Identifier¿¿7257¿v371¿¿¿¿¿Identifier
4192¿VariableDeclarator¿¿7257¿v373¿¿¿{"start":{"line":32,"column":3},"end":{"line":32,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4193¿CallExpression¿¿7257¿¿¿¿{"start":{"line":32,"column":3},"end":{"line":32,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿CallExpression
4194¿MemberExpression¿¿7257¿¿¿¿{"start":{"line":32,"column":3},"end":{"line":32,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿MemberExpression
4195¿Identifier¿¿7257¿scope¿¿¿{"start":{"line":32,"column":3},"end":{"line":32,"column":8},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4196¿Identifier¿¿7257¿set¿¿¿{"start":{"line":32,"column":9},"end":{"line":32,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4197¿Identifier¿¿7257¿v370¿¿¿¿¿Identifier
4198¿Identifier¿¿7257¿v372¿¿¿¿¿Identifier
4199¿ExpressionStatement¿¿7257¿¿¿¿{"start":{"line":32,"column":3},"end":{"line":32,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿ExpressionStatement
4200¿Identifier¿¿7257¿v373¿¿¿¿¿Identifier
4201¿BlockStatement¿¿7257¿¿¿¿{"start":{"line":29,"column":7},"end":{"line":33,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿BlockStatement
4202¿ExpressionStatement¿¿7257¿¿¿¿{"start":{"line":35,"column":2},"end":{"line":35,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿ExpressionStatement
4203¿AssignmentExpression¿=¿7257¿¿¿¿{"start":{"line":35,"column":2},"end":{"line":35,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿AssignmentExpression
4204¿Identifier¿¿7257¿key¿¿¿{"start":{"line":35,"column":2},"end":{"line":35,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4205¿Literal¿string¿7257¿¿''¿¿{"start":{"line":35,"column":8},"end":{"line":35,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Literal
4206¿ExpressionStatement¿¿7257¿¿¿¿{"start":{"line":36,"column":2},"end":{"line":36,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿ExpressionStatement
4207¿AssignmentExpression¿=¿7257¿¿¿¿{"start":{"line":36,"column":2},"end":{"line":36,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿AssignmentExpression
4208¿Identifier¿¿7257¿val¿¿¿{"start":{"line":36,"column":2},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4209¿Literal¿string¿7257¿¿''¿¿{"start":{"line":36,"column":8},"end":{"line":36,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Literal
4210¿ExpressionStatement¿¿7257¿¿¿¿{"start":{"line":37,"column":2},"end":{"line":37,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿ExpressionStatement
4211¿AssignmentExpression¿=¿7257¿¿¿¿{"start":{"line":37,"column":2},"end":{"line":37,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿AssignmentExpression
4212¿Identifier¿¿7257¿defineKey¿¿¿{"start":{"line":37,"column":2},"end":{"line":37,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4213¿Literal¿boolean¿7257¿¿true¿¿{"start":{"line":37,"column":14},"end":{"line":37,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Literal
4214¿BlockStatement¿¿7257¿¿¿¿{"start":{"line":24,"column":22},"end":{"line":38,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿BlockStatement
4215¿VariableDeclarator¿¿7254¿v375¿¿¿{"start":{"line":43,"column":1},"end":{"line":203,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4216¿Literal¿boolean¿7254¿¿true¿¿¿¿Literal
4217¿WhileStatement¿¿7254¿¿¿¿{"start":{"line":43,"column":1},"end":{"line":203,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿WhileStatement
4218¿Identifier¿¿7254¿v375¿¿¿¿¿Identifier
4219¿SwitchStatement¿¿7254¿¿¿¿{"start":{"line":43,"column":4},"end":{"line":203,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿SwitchStatement
4220¿Identifier¿¿7254¿c¿¿¿{"start":{"line":43,"column":12},"end":{"line":43,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4221¿SwitchCase¿¿7254¿¿¿¿{"start":{"line":45,"column":2},"end":{"line":51,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿SwitchCase
4222¿Literal¿string¿7254¿¿' '¿¿{"start":{"line":45,"column":7},"end":{"line":45,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Literal
4223¿IfStatement¿¿7254¿¿¿¿{"start":{"line":46,"column":3},"end":{"line":51,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿IfStatement
