Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
7524¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":918,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Program
7539¿VariableDeclarator¿¿13129¿v636¿¿¿{"start":{"line":2,"column":33},"end":{"line":2,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7540¿BinaryExpression¿!==¿13129¿¿¿¿{"start":{"line":2,"column":33},"end":{"line":2,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿BinaryExpression
7541¿Identifier¿¿13129¿v635¿¿¿¿¿Identifier
7542¿Literal¿string¿13129¿¿'undefined'¿¿{"start":{"line":2,"column":51},"end":{"line":2,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Literal
7543¿VariableDeclarator¿¿13129¿v637¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7544¿LogicalExpression¿&&¿13129¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿LogicalExpression
7545¿Identifier¿¿13129¿v634¿¿¿¿¿Identifier
7546¿Identifier¿¿13129¿v636¿¿¿¿¿Identifier
7547¿VariableDeclarator¿¿13129¿v638¿¿¿{"start":{"line":2,"column":65},"end":{"line":2,"column":81},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7548¿CallExpression¿¿13129¿¿¿¿{"start":{"line":2,"column":65},"end":{"line":2,"column":81},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿CallExpression
7549¿Identifier¿¿13129¿factory¿¿¿{"start":{"line":2,"column":65},"end":{"line":2,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7550¿Identifier¿¿13129¿exports¿¿¿{"start":{"line":2,"column":73},"end":{"line":2,"column":80},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7551¿VariableDeclarator¿¿13129¿v639¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7552¿UnaryExpression¿typeof¿13129¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿UnaryExpression
7553¿Identifier¿¿13129¿define¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7554¿VariableDeclarator¿¿13129¿v640¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7555¿BinaryExpression¿===¿13129¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿BinaryExpression
7556¿Identifier¿¿13129¿v639¿¿¿¿¿Identifier
7557¿Literal¿string¿13129¿¿'function'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Literal
7558¿VariableDeclarator¿¿13129¿v641¿¿¿{"start":{"line":3,"column":34},"end":{"line":3,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7559¿MemberExpression¿¿13129¿¿¿¿{"start":{"line":3,"column":34},"end":{"line":3,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿MemberExpression
7560¿Identifier¿¿13129¿define¿¿¿{"start":{"line":3,"column":34},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7561¿Identifier¿¿13129¿amd¿¿¿{"start":{"line":3,"column":41},"end":{"line":3,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7562¿VariableDeclarator¿¿13129¿v642¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7563¿LogicalExpression¿&&¿13129¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿LogicalExpression
7564¿Identifier¿¿13129¿v640¿¿¿¿¿Identifier
7565¿Identifier¿¿13129¿v641¿¿¿¿¿Identifier
7566¿VariableDeclarator¿¿13129¿v643¿¿¿{"start":{"line":3,"column":54},"end":{"line":3,"column":65},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7567¿ArrayExpression¿¿13129¿¿¿¿{"start":{"line":3,"column":54},"end":{"line":3,"column":65},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ArrayExpression
7568¿Literal¿string¿13129¿¿'exports'¿¿{"start":{"line":3,"column":55},"end":{"line":3,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Literal
7569¿VariableDeclarator¿¿13129¿v644¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7570¿CallExpression¿¿13129¿¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":75},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿CallExpression
7571¿Identifier¿¿13129¿define¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7572¿Identifier¿¿13129¿v643¿¿¿¿¿Identifier
7573¿Identifier¿¿13129¿factory¿¿¿{"start":{"line":3,"column":67},"end":{"line":3,"column":74},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7574¿VariableDeclarator¿¿13129¿v645¿¿¿{"start":{"line":4,"column":50},"end":{"line":4,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7575¿ObjectExpression¿¿13129¿¿¿¿¿¿ObjectExpression
7576¿ExpressionStatement¿¿13129¿¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ExpressionStatement
7577¿AssignmentExpression¿=¿13129¿¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿AssignmentExpression
7578¿Identifier¿¿13129¿¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7579¿ObjectExpression¿¿13129¿¿¿¿{"start":{"line":4,"column":50},"end":{"line":4,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ObjectExpression
7580¿VariableDeclarator¿¿13129¿v646¿¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7581¿CallExpression¿¿13129¿¿¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿CallExpression
7582¿Identifier¿¿13129¿factory¿¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7583¿MemberExpression¿¿13129¿¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿MemberExpression
7584¿Identifier¿¿13129¿global¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7585¿Identifier¿¿13129¿vega¿¿¿{"start":{"line":4,"column":43},"end":{"line":4,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7586¿VariableDeclarator¿¿13129¿v647¿¿¿{"start":{"line":3,"column":2},"end":{"line":4,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7587¿IfStatement¿¿13129¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":4,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿IfStatement
7588¿Identifier¿¿13129¿v642¿¿¿¿¿Identifier
7589¿ExpressionStatement¿¿13129¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":4,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ExpressionStatement
7590¿AssignmentExpression¿=¿13129¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":4,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿AssignmentExpression
7591¿Identifier¿¿13129¿v647¿¿¿¿¿Identifier
7592¿Identifier¿¿13129¿v644¿¿¿¿¿Identifier
7593¿BlockStatement¿¿13129¿¿¿¿¿¿BlockStatement
7594¿ExpressionStatement¿¿13129¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":4,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ExpressionStatement
7595¿AssignmentExpression¿=¿13129¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":4,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿AssignmentExpression
7596¿Identifier¿¿13129¿v647¿¿¿¿¿Identifier
7597¿SequenceExpression¿¿13129¿¿¿¿{"start":{"line":4,"column":3},"end":{"line":4,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿SequenceExpression
7598¿AssignmentExpression¿=¿13129¿¿¿¿{"start":{"line":4,"column":3},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿AssignmentExpression
7599¿Identifier¿¿13129¿global¿¿¿{"start":{"line":4,"column":3},"end":{"line":4,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7600¿LogicalExpression¿||¿13129¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿LogicalExpression
7601¿Identifier¿¿13129¿global¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7602¿Identifier¿¿13129¿self¿¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7603¿Identifier¿¿13129¿v646¿¿¿¿¿Identifier
7604¿BlockStatement¿¿13129¿¿¿¿¿¿BlockStatement
7605¿VariableDeclarator¿¿13129¿v648¿¿¿{"start":{"line":2,"column":2},"end":{"line":4,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7606¿IfStatement¿¿13129¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":4,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿IfStatement
7607¿Identifier¿¿13129¿v637¿¿¿¿¿Identifier
7608¿ExpressionStatement¿¿13129¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":4,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ExpressionStatement
7609¿AssignmentExpression¿=¿13129¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":4,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿AssignmentExpression
7610¿Identifier¿¿13129¿v648¿¿¿¿¿Identifier
7611¿Identifier¿¿13129¿v638¿¿¿¿¿Identifier
7612¿BlockStatement¿¿13129¿¿¿¿¿¿BlockStatement
7613¿ExpressionStatement¿¿13129¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":4,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ExpressionStatement
7614¿AssignmentExpression¿=¿13129¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":4,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿AssignmentExpression
7615¿Identifier¿¿13129¿v648¿¿¿¿¿Identifier
7616¿Identifier¿¿13129¿v647¿¿¿¿¿Identifier
7617¿BlockStatement¿¿13129¿¿¿¿¿¿BlockStatement
7618¿ExpressionStatement¿¿13129¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":4,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ExpressionStatement
7619¿Identifier¿¿13129¿v648¿¿¿¿¿Identifier
7620¿BlockStatement¿¿13129¿¿¿¿{"start":{"line":1,"column":28},"end":{"line":5,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿BlockStatement
7621¿VariableDeclarator¿¿13127¿v1263¿¿¿{"start":{"line":5,"column":9},"end":{"line":918,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7622¿FunctionExpression¿¿13127¿anon¿¿¿{"start":{"line":5,"column":9},"end":{"line":918,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿FunctionExpression
7623¿Identifier¿¿0¿exports¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7624¿ExpressionStatement¿¿13133¿¿¿¿{"start":{"line":5,"column":30},"end":{"line":5,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ExpressionStatement
7625¿Literal¿string¿13133¿¿'use strict'¿¿{"start":{"line":5,"column":30},"end":{"line":5,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Literal
7626¿VariableDeclarator¿exported¿13133¿accessor¿¿¿{"start":{"line":7,"column":2},"end":{"line":11,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7627¿FunctionExpression¿¿13133¿anon¿¿¿{"start":{"line":7,"column":2},"end":{"line":11,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿FunctionExpression
7628¿Identifier¿¿0¿fn¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7629¿Identifier¿¿0¿fields¿¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7630¿Identifier¿¿0¿name¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7631¿VariableDeclarator¿¿13135¿v650¿¿¿{"start":{"line":8,"column":26},"end":{"line":8,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7632¿ArrayExpression¿¿13135¿¿¿¿{"start":{"line":8,"column":26},"end":{"line":8,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ArrayExpression
7633¿ExpressionStatement¿¿13135¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ExpressionStatement
7634¿AssignmentExpression¿=¿13135¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿AssignmentExpression
7635¿MemberExpression¿¿13135¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿MemberExpression
7636¿Identifier¿¿13135¿fn¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7637¿Identifier¿¿13135¿fields¿¿¿{"start":{"line":8,"column":7},"end":{"line":8,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7638¿LogicalExpression¿||¿13135¿¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿LogicalExpression
7639¿Identifier¿¿13135¿fields¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7640¿Identifier¿¿13135¿v650¿¿¿¿¿Identifier
7641¿ExpressionStatement¿¿13135¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ExpressionStatement
7642¿AssignmentExpression¿=¿13135¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿AssignmentExpression
7643¿MemberExpression¿¿13135¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿MemberExpression
7644¿Identifier¿¿13135¿fn¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7645¿Identifier¿¿13135¿fname¿¿¿{"start":{"line":9,"column":7},"end":{"line":9,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7646¿Identifier¿¿13135¿name¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7647¿ReturnStatement¿¿13135¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ReturnStatement
7648¿Identifier¿¿13135¿fn¿¿¿{"start":{"line":10,"column":11},"end":{"line":10,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7649¿BlockStatement¿¿13135¿¿¿¿{"start":{"line":7,"column":38},"end":{"line":11,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿BlockStatement
7650¿VariableDeclarator¿exported¿13133¿accessorName¿¿¿{"start":{"line":13,"column":2},"end":{"line":15,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7651¿FunctionExpression¿¿13133¿anon¿¿¿{"start":{"line":13,"column":2},"end":{"line":15,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿FunctionExpression
7652¿Identifier¿¿0¿fn¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7653¿VariableDeclarator¿¿13137¿v651¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7654¿BinaryExpression¿==¿13137¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿BinaryExpression
7655¿Identifier¿¿13137¿fn¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7656¿Literal¿object¿13137¿¿null¿¿{"start":{"line":14,"column":17},"end":{"line":14,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Literal
7657¿VariableDeclarator¿¿13137¿v652¿¿¿{"start":{"line":14,"column":31},"end":{"line":14,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7658¿MemberExpression¿¿13137¿¿¿¿{"start":{"line":14,"column":31},"end":{"line":14,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿MemberExpression
7659¿Identifier¿¿13137¿fn¿¿¿{"start":{"line":14,"column":31},"end":{"line":14,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7660¿Identifier¿¿13137¿fname¿¿¿{"start":{"line":14,"column":34},"end":{"line":14,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7661¿VariableDeclarator¿¿13137¿v653¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7662¿IfStatement¿¿13137¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿IfStatement
7663¿Identifier¿¿13137¿v651¿¿¿¿¿Identifier
7664¿ExpressionStatement¿¿13137¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿ExpressionStatement
7665¿AssignmentExpression¿=¿13137¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿AssignmentExpression
7666¿Identifier¿¿13137¿v653¿¿¿¿¿Identifier
