Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
6315¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1064,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Program
6339¿Identifier¿¿10974¿v668¿¿¿¿¿Identifier
6340¿Identifier¿¿10974¿v671¿¿¿¿¿Identifier
6341¿VariableDeclarator¿¿10974¿v674¿¿¿{"start":{"line":3,"column":84},"end":{"line":3,"column":121},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6342¿FunctionExpression¿¿10974¿anon¿¿¿{"start":{"line":3,"column":84},"end":{"line":3,"column":121},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿FunctionExpression
6343¿Identifier¿¿0¿obj¿¿¿{"start":{"line":3,"column":94},"end":{"line":3,"column":97},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6344¿VariableDeclarator¿¿10976¿v673¿¿¿{"start":{"line":3,"column":108},"end":{"line":3,"column":118},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6345¿UnaryExpression¿typeof¿10976¿¿¿¿{"start":{"line":3,"column":108},"end":{"line":3,"column":118},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿UnaryExpression
6346¿Identifier¿¿10976¿obj¿¿¿{"start":{"line":3,"column":115},"end":{"line":3,"column":118},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6347¿ReturnStatement¿¿10976¿¿¿¿{"start":{"line":3,"column":101},"end":{"line":3,"column":119},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿ReturnStatement
6348¿Identifier¿¿10976¿v673¿¿¿¿¿Identifier
6349¿BlockStatement¿¿10976¿¿¿¿{"start":{"line":3,"column":99},"end":{"line":3,"column":121},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿BlockStatement
6350¿VariableDeclarator¿¿10974¿v683¿¿¿{"start":{"line":3,"column":124},"end":{"line":3,"column":240},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6351¿FunctionExpression¿¿10974¿anon¿¿¿{"start":{"line":3,"column":124},"end":{"line":3,"column":240},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿FunctionExpression
6352¿Identifier¿¿0¿obj¿¿¿{"start":{"line":3,"column":134},"end":{"line":3,"column":137},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6353¿VariableDeclarator¿¿10978¿v675¿¿¿{"start":{"line":3,"column":155},"end":{"line":3,"column":168},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6354¿UnaryExpression¿typeof¿10978¿¿¿¿{"start":{"line":3,"column":155},"end":{"line":3,"column":168},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿UnaryExpression
6355¿Identifier¿¿10978¿Symbol¿¿¿{"start":{"line":3,"column":162},"end":{"line":3,"column":168},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6356¿VariableDeclarator¿¿10978¿v676¿¿¿{"start":{"line":3,"column":155},"end":{"line":3,"column":183},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6357¿BinaryExpression¿===¿10978¿¿¿¿{"start":{"line":3,"column":155},"end":{"line":3,"column":183},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿BinaryExpression
6358¿Identifier¿¿10978¿v675¿¿¿¿¿Identifier
6359¿Literal¿string¿10978¿¿'function'¿¿{"start":{"line":3,"column":173},"end":{"line":3,"column":183},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Literal
6360¿VariableDeclarator¿¿10978¿v677¿¿¿{"start":{"line":3,"column":148},"end":{"line":3,"column":183},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6361¿LogicalExpression¿&&¿10978¿¿¿¿{"start":{"line":3,"column":148},"end":{"line":3,"column":183},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿LogicalExpression
6362¿Identifier¿¿10978¿obj¿¿¿{"start":{"line":3,"column":148},"end":{"line":3,"column":151},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6363¿Identifier¿¿10978¿v676¿¿¿¿¿Identifier
6364¿VariableDeclarator¿¿10978¿v678¿¿¿{"start":{"line":3,"column":187},"end":{"line":3,"column":202},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6365¿MemberExpression¿¿10978¿¿¿¿{"start":{"line":3,"column":187},"end":{"line":3,"column":202},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿MemberExpression
6366¿Identifier¿¿10978¿obj¿¿¿{"start":{"line":3,"column":187},"end":{"line":3,"column":190},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6367¿Identifier¿¿10978¿constructor¿¿¿{"start":{"line":3,"column":191},"end":{"line":3,"column":202},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6368¿VariableDeclarator¿¿10978¿v679¿¿¿{"start":{"line":3,"column":187},"end":{"line":3,"column":213},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6369¿BinaryExpression¿===¿10978¿¿¿¿{"start":{"line":3,"column":187},"end":{"line":3,"column":213},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿BinaryExpression
6370¿Identifier¿¿10978¿v678¿¿¿¿¿Identifier
6371¿Identifier¿¿10978¿Symbol¿¿¿{"start":{"line":3,"column":207},"end":{"line":3,"column":213},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6372¿VariableDeclarator¿¿10978¿v680¿¿¿{"start":{"line":3,"column":148},"end":{"line":3,"column":213},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6373¿LogicalExpression¿&&¿10978¿¿¿¿{"start":{"line":3,"column":148},"end":{"line":3,"column":213},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿LogicalExpression
6374¿Identifier¿¿10978¿v677¿¿¿¿¿Identifier
6375¿Identifier¿¿10978¿v679¿¿¿¿¿Identifier
6376¿VariableDeclarator¿¿10978¿v681¿¿¿{"start":{"line":3,"column":227},"end":{"line":3,"column":237},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6377¿UnaryExpression¿typeof¿10978¿¿¿¿{"start":{"line":3,"column":227},"end":{"line":3,"column":237},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿UnaryExpression
6378¿Identifier¿¿10978¿obj¿¿¿{"start":{"line":3,"column":234},"end":{"line":3,"column":237},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6379¿VariableDeclarator¿¿10978¿v682¿¿¿{"start":{"line":3,"column":148},"end":{"line":3,"column":237},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6380¿IfStatement¿¿10978¿¿¿¿{"start":{"line":3,"column":148},"end":{"line":3,"column":237},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿IfStatement
6381¿Identifier¿¿10978¿v680¿¿¿¿¿Identifier
6382¿ExpressionStatement¿¿10978¿¿¿¿{"start":{"line":3,"column":148},"end":{"line":3,"column":237},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿ExpressionStatement
6383¿AssignmentExpression¿=¿10978¿¿¿¿{"start":{"line":3,"column":148},"end":{"line":3,"column":237},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿AssignmentExpression
6384¿Identifier¿¿10978¿v682¿¿¿¿¿Identifier
6385¿Literal¿string¿10978¿¿'symbol'¿¿{"start":{"line":3,"column":216},"end":{"line":3,"column":224},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Literal
6386¿BlockStatement¿¿10978¿¿¿¿¿¿BlockStatement
6387¿ExpressionStatement¿¿10978¿¿¿¿{"start":{"line":3,"column":148},"end":{"line":3,"column":237},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿ExpressionStatement
6388¿AssignmentExpression¿=¿10978¿¿¿¿{"start":{"line":3,"column":148},"end":{"line":3,"column":237},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿AssignmentExpression
6389¿Identifier¿¿10978¿v682¿¿¿¿¿Identifier
6390¿Identifier¿¿10978¿v681¿¿¿¿¿Identifier
6391¿BlockStatement¿¿10978¿¿¿¿¿¿BlockStatement
6392¿ReturnStatement¿¿10978¿¿¿¿{"start":{"line":3,"column":141},"end":{"line":3,"column":238},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿ReturnStatement
6393¿Identifier¿¿10978¿v682¿¿¿¿¿Identifier
6394¿BlockStatement¿¿10978¿¿¿¿{"start":{"line":3,"column":139},"end":{"line":3,"column":240},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿BlockStatement
6395¿IfStatement¿¿10974¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":240},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿IfStatement
6396¿Identifier¿¿10974¿v672¿¿¿¿¿Identifier
6397¿ExpressionStatement¿¿10974¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":240},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿ExpressionStatement
6398¿AssignmentExpression¿=¿10974¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":240},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿AssignmentExpression
6399¿Identifier¿¿10974¿_typeof¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":240},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6400¿Identifier¿¿10974¿v674¿¿¿¿¿Identifier
6401¿BlockStatement¿¿10974¿¿¿¿¿¿BlockStatement
6402¿ExpressionStatement¿¿10974¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":240},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿ExpressionStatement
6403¿AssignmentExpression¿=¿10974¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":240},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿AssignmentExpression
6404¿Identifier¿¿10974¿_typeof¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":240},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6405¿Identifier¿¿10974¿v683¿¿¿¿¿Identifier
6406¿BlockStatement¿¿10974¿¿¿¿¿¿BlockStatement
6407¿VariableDeclarator¿¿10974¿v695¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":561},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6408¿FunctionExpression¿¿10974¿anon¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":561},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿FunctionExpression
6409¿VariableDeclarator¿¿10982¿defineProperties¿¿¿{"start":{"line":5,"column":33},"end":{"line":5,"column":349},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6410¿FunctionExpression¿¿10982¿anon¿¿¿{"start":{"line":5,"column":33},"end":{"line":5,"column":349},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿FunctionExpression
6411¿Identifier¿¿0¿target¿¿¿{"start":{"line":5,"column":59},"end":{"line":5,"column":65},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6412¿Identifier¿¿0¿props¿¿¿{"start":{"line":5,"column":67},"end":{"line":5,"column":72},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6413¿VariableDeclarator¿¿10984¿i¿¿¿{"start":{"line":5,"column":85},"end":{"line":5,"column":90},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6414¿Literal¿number¿10984¿¿0¿¿{"start":{"line":5,"column":89},"end":{"line":5,"column":90},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Literal
6415¿VariableDeclarator¿¿10984¿v684¿¿¿{"start":{"line":5,"column":96},"end":{"line":5,"column":108},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6416¿MemberExpression¿¿10984¿¿¿¿{"start":{"line":5,"column":96},"end":{"line":5,"column":108},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿MemberExpression
6417¿Identifier¿¿10984¿props¿¿¿{"start":{"line":5,"column":96},"end":{"line":5,"column":101},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6418¿Identifier¿¿10984¿length¿¿¿{"start":{"line":5,"column":102},"end":{"line":5,"column":108},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6419¿VariableDeclarator¿¿10984¿v685¿¿¿{"start":{"line":5,"column":92},"end":{"line":5,"column":108},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6420¿BinaryExpression¿<¿10984¿¿¿¿{"start":{"line":5,"column":92},"end":{"line":5,"column":108},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿BinaryExpression
6421¿Identifier¿¿10984¿i¿¿¿{"start":{"line":5,"column":92},"end":{"line":5,"column":93},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6422¿Identifier¿¿10984¿v684¿¿¿¿¿Identifier
6423¿WhileStatement¿¿10984¿¿¿¿{"start":{"line":5,"column":76},"end":{"line":5,"column":347},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿WhileStatement
6424¿Identifier¿¿10984¿v685¿¿¿¿¿Identifier
6425¿VariableDeclarator¿¿10984¿descriptor¿¿¿{"start":{"line":5,"column":121},"end":{"line":5,"column":142},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6426¿MemberExpression¿computed¿10984¿¿¿¿{"start":{"line":5,"column":134},"end":{"line":5,"column":142},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿MemberExpression
6427¿Identifier¿¿10984¿props¿¿¿{"start":{"line":5,"column":134},"end":{"line":5,"column":139},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6428¿Identifier¿¿10984¿i¿¿¿{"start":{"line":5,"column":140},"end":{"line":5,"column":141},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6429¿VariableDeclarator¿¿10984¿v687¿¿¿{"start":{"line":5,"column":168},"end":{"line":5,"column":189},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6430¿MemberExpression¿¿10984¿¿¿¿{"start":{"line":5,"column":168},"end":{"line":5,"column":189},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿MemberExpression
6431¿Identifier¿¿10984¿descriptor¿¿¿{"start":{"line":5,"column":168},"end":{"line":5,"column":178},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6432¿Identifier¿¿10984¿enumerable¿¿¿{"start":{"line":5,"column":179},"end":{"line":5,"column":189},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6433¿ExpressionStatement¿¿10984¿¿¿¿{"start":{"line":5,"column":144},"end":{"line":5,"column":199},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿ExpressionStatement
6434¿AssignmentExpression¿=¿10984¿¿¿¿{"start":{"line":5,"column":144},"end":{"line":5,"column":198},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿AssignmentExpression
6435¿MemberExpression¿¿10984¿¿¿¿{"start":{"line":5,"column":144},"end":{"line":5,"column":165},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿MemberExpression
6436¿Identifier¿¿10984¿descriptor¿¿¿{"start":{"line":5,"column":144},"end":{"line":5,"column":154},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6437¿Identifier¿¿10984¿enumerable¿¿¿{"start":{"line":5,"column":155},"end":{"line":5,"column":165},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6438¿LogicalExpression¿||¿10984¿¿¿¿{"start":{"line":5,"column":168},"end":{"line":5,"column":198},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿LogicalExpression
6439¿Identifier¿¿10984¿v687¿¿¿¿¿Identifier
6440¿Literal¿boolean¿10984¿¿false¿¿{"start":{"line":5,"column":193},"end":{"line":5,"column":198},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Literal
6441¿ExpressionStatement¿¿10984¿¿¿¿{"start":{"line":5,"column":200},"end":{"line":5,"column":231},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿ExpressionStatement
6442¿AssignmentExpression¿=¿10984¿¿¿¿{"start":{"line":5,"column":200},"end":{"line":5,"column":230},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿AssignmentExpression
6443¿MemberExpression¿¿10984¿¿¿¿{"start":{"line":5,"column":200},"end":{"line":5,"column":223},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿MemberExpression
6444¿Identifier¿¿10984¿descriptor¿¿¿{"start":{"line":5,"column":200},"end":{"line":5,"column":210},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6445¿Identifier¿¿10984¿configurable¿¿¿{"start":{"line":5,"column":211},"end":{"line":5,"column":223},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6446¿Literal¿boolean¿10984¿¿true¿¿{"start":{"line":5,"column":226},"end":{"line":5,"column":230},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Literal
6447¿VariableDeclarator¿¿10984¿v688¿¿¿{"start":{"line":5,"column":236},"end":{"line":5,"column":257},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6448¿BinaryExpression¿in¿10984¿¿¿¿{"start":{"line":5,"column":236},"end":{"line":5,"column":257},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿BinaryExpression
6449¿Literal¿string¿10984¿¿'value'¿¿{"start":{"line":5,"column":236},"end":{"line":5,"column":243},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Literal
6450¿Identifier¿¿10984¿descriptor¿¿¿{"start":{"line":5,"column":247},"end":{"line":5,"column":257},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6451¿IfStatement¿¿10984¿¿¿¿{"start":{"line":5,"column":232},"end":{"line":5,"column":286},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿IfStatement
6452¿Identifier¿¿10984¿v688¿¿¿¿¿Identifier
6453¿ExpressionStatement¿¿10984¿¿¿¿{"start":{"line":5,"column":259},"end":{"line":5,"column":286},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿ExpressionStatement
6454¿AssignmentExpression¿=¿10984¿¿¿¿{"start":{"line":5,"column":259},"end":{"line":5,"column":285},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿AssignmentExpression
6455¿MemberExpression¿¿10984¿¿¿¿{"start":{"line":5,"column":259},"end":{"line":5,"column":278},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿MemberExpression
6456¿Identifier¿¿10984¿descriptor¿¿¿{"start":{"line":5,"column":259},"end":{"line":5,"column":269},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6457¿Identifier¿¿10984¿writable¿¿¿{"start":{"line":5,"column":270},"end":{"line":5,"column":278},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6458¿Literal¿boolean¿10984¿¿true¿¿{"start":{"line":5,"column":281},"end":{"line":5,"column":285},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Literal
6459¿BlockStatement¿¿10984¿¿¿¿¿¿BlockStatement
6460¿VariableDeclarator¿¿10984¿v689¿¿¿{"start":{"line":5,"column":317},"end":{"line":5,"column":331},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
