Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
892¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":106,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Program
903¿Identifier¿¿1566¿shell¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
904¿Identifier¿¿1566¿config¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
905¿ExpressionStatement¿¿1566¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿ExpressionStatement
906¿AssignmentExpression¿=¿1566¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿AssignmentExpression
907¿MemberExpression¿¿1566¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
908¿Identifier¿¿1566¿v104¿¿¿¿¿Identifier
909¿Identifier¿¿1566¿silent¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
910¿Literal¿boolean¿1566¿¿true¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Literal
911¿VariableDeclarator¿¿1566¿pdfinfo¿¿¿{"start":{"line":7,"column":0},"end":{"line":101,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
912¿FunctionExpression¿¿1566¿anon¿¿¿{"start":{"line":7,"column":0},"end":{"line":101,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿FunctionExpression
913¿Identifier¿¿0¿filename¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
914¿Identifier¿¿0¿options¿¿¿{"start":{"line":7,"column":28},"end":{"line":7,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
915¿VariableDeclarator¿¿1568¿v105¿¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
916¿ObjectExpression¿¿1568¿¿¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿ObjectExpression
917¿ExpressionStatement¿¿1568¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿ExpressionStatement
918¿AssignmentExpression¿=¿1568¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿AssignmentExpression
919¿MemberExpression¿¿1568¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
920¿ThisExpression¿¿1568¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿ThisExpression
921¿Identifier¿¿1568¿options¿¿¿{"start":{"line":8,"column":7},"end":{"line":8,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
922¿LogicalExpression¿||¿1568¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿LogicalExpression
923¿Identifier¿¿1568¿options¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
924¿Identifier¿¿1568¿v105¿¿¿¿¿Identifier
925¿VariableDeclarator¿¿1568¿v106¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
926¿MemberExpression¿¿1568¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
927¿ThisExpression¿¿1568¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿ThisExpression
928¿Identifier¿¿1568¿options¿¿¿{"start":{"line":9,"column":7},"end":{"line":9,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
929¿VariableDeclarator¿¿1568¿v107¿¿¿{"start":{"line":9,"column":29},"end":{"line":9,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
930¿BinaryExpression¿+¿1568¿¿¿¿{"start":{"line":9,"column":29},"end":{"line":9,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿BinaryExpression
931¿Literal¿string¿1568¿¿'''¿¿{"start":{"line":9,"column":29},"end":{"line":9,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Literal
932¿Identifier¿¿1568¿filename¿¿¿{"start":{"line":9,"column":35},"end":{"line":9,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
933¿VariableDeclarator¿¿1568¿v108¿¿¿{"start":{"line":9,"column":29},"end":{"line":9,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
934¿BinaryExpression¿+¿1568¿¿¿¿{"start":{"line":9,"column":29},"end":{"line":9,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿BinaryExpression
935¿Identifier¿¿1568¿v107¿¿¿¿¿Identifier
936¿Literal¿string¿1568¿¿'''¿¿{"start":{"line":9,"column":46},"end":{"line":9,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Literal
937¿ExpressionStatement¿¿1568¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿ExpressionStatement
938¿AssignmentExpression¿=¿1568¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿AssignmentExpression
939¿MemberExpression¿¿1568¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
940¿Identifier¿¿1568¿v106¿¿¿¿¿Identifier
941¿Identifier¿¿1568¿additional¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
942¿ArrayExpression¿¿1568¿¿¿¿{"start":{"line":9,"column":28},"end":{"line":9,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿ArrayExpression
943¿Identifier¿¿1568¿v108¿¿¿¿¿Identifier
944¿VariableDeclarator¿¿1568¿v109¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
945¿MemberExpression¿¿1568¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
946¿Identifier¿¿1568¿pdfinfo¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
947¿Identifier¿¿1568¿prototype¿¿¿{"start":{"line":11,"column":10},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
948¿VariableDeclarator¿¿1568¿v125¿¿¿{"start":{"line":11,"column":2},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
949¿FunctionExpression¿¿1568¿anon¿¿¿{"start":{"line":11,"column":34},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿FunctionExpression
950¿Identifier¿¿0¿optionArray¿¿¿{"start":{"line":11,"column":43},"end":{"line":11,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
951¿VariableDeclarator¿¿1570¿v110¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
952¿MemberExpression¿¿1570¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
953¿Identifier¿¿1570¿optionArray¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
954¿Identifier¿¿1570¿length¿¿¿{"start":{"line":12,"column":27},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
955¿VariableDeclarator¿¿1570¿v111¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
956¿UnaryExpression¿typeof¿1570¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿UnaryExpression
957¿Identifier¿¿1570¿v110¿¿¿¿¿Identifier
958¿VariableDeclarator¿¿1570¿v112¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
959¿BinaryExpression¿!==¿1570¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿BinaryExpression
960¿Identifier¿¿1570¿v111¿¿¿¿¿Identifier
961¿Identifier¿¿1570¿undefined¿¿¿{"start":{"line":12,"column":38},"end":{"line":12,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
962¿IfStatement¿¿1570¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":22,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿IfStatement
963¿Identifier¿¿1570¿v112¿¿¿¿¿Identifier
964¿VariableDeclarator¿¿1570¿self¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
965¿ThisExpression¿¿1570¿¿¿¿{"start":{"line":13,"column":19},"end":{"line":13,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿ThisExpression
966¿VariableDeclarator¿¿1570¿v123¿¿¿{"start":{"line":14,"column":28},"end":{"line":21,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
967¿FunctionExpression¿¿1570¿anon¿¿¿{"start":{"line":14,"column":28},"end":{"line":21,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿FunctionExpression
968¿Identifier¿¿0¿el¿¿¿{"start":{"line":14,"column":37},"end":{"line":14,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
969¿VariableDeclarator¿¿1572¿v113¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
970¿CallExpression¿¿1572¿¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿CallExpression
971¿MemberExpression¿¿1572¿¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
972¿Identifier¿¿1572¿el¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
973¿Identifier¿¿1572¿indexOf¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
974¿Literal¿string¿1572¿¿' '¿¿{"start":{"line":15,"column":25},"end":{"line":15,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Literal
975¿VariableDeclarator¿¿1572¿v114¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
976¿BinaryExpression¿>¿1572¿¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿BinaryExpression
977¿Identifier¿¿1572¿v113¿¿¿¿¿Identifier
978¿Literal¿number¿1572¿¿0¿¿{"start":{"line":15,"column":32},"end":{"line":15,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Literal
979¿IfStatement¿¿1572¿¿¿¿{"start":{"line":15,"column":10},"end":{"line":20,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿IfStatement
980¿Identifier¿¿1572¿v114¿¿¿¿¿Identifier
981¿VariableDeclarator¿¿1572¿values¿¿¿{"start":{"line":16,"column":16},"end":{"line":16,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
982¿CallExpression¿¿1572¿¿¿¿{"start":{"line":16,"column":25},"end":{"line":16,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿CallExpression
983¿MemberExpression¿¿1572¿¿¿¿{"start":{"line":16,"column":25},"end":{"line":16,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
984¿Identifier¿¿1572¿el¿¿¿{"start":{"line":16,"column":25},"end":{"line":16,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
985¿Identifier¿¿1572¿split¿¿¿{"start":{"line":16,"column":28},"end":{"line":16,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
986¿Literal¿string¿1572¿¿' '¿¿{"start":{"line":16,"column":34},"end":{"line":16,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Literal
987¿VariableDeclarator¿¿1572¿v115¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
988¿MemberExpression¿¿1572¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
989¿Identifier¿¿1572¿self¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
990¿Identifier¿¿1572¿options¿¿¿{"start":{"line":17,"column":17},"end":{"line":17,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
991¿VariableDeclarator¿¿1572¿v116¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
992¿MemberExpression¿¿1572¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
993¿Identifier¿¿1572¿v115¿¿¿¿¿Identifier
994¿Identifier¿¿1572¿additional¿¿¿{"start":{"line":17,"column":25},"end":{"line":17,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
995¿VariableDeclarator¿¿1572¿v117¿¿¿{"start":{"line":17,"column":41},"end":{"line":17,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
996¿MemberExpression¿computed¿1572¿¿¿¿{"start":{"line":17,"column":41},"end":{"line":17,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
997¿Identifier¿¿1572¿values¿¿¿{"start":{"line":17,"column":41},"end":{"line":17,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
998¿Literal¿number¿1572¿¿0¿¿{"start":{"line":17,"column":48},"end":{"line":17,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Literal
999¿VariableDeclarator¿¿1572¿v118¿¿¿{"start":{"line":17,"column":52},"end":{"line":17,"column":61},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
1000¿MemberExpression¿computed¿1572¿¿¿¿{"start":{"line":17,"column":52},"end":{"line":17,"column":61},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
1001¿Identifier¿¿1572¿values¿¿¿{"start":{"line":17,"column":52},"end":{"line":17,"column":58},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
1002¿Literal¿number¿1572¿¿1¿¿{"start":{"line":17,"column":59},"end":{"line":17,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Literal
1003¿VariableDeclarator¿¿1572¿v119¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":62},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
1004¿CallExpression¿¿1572¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":62},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿CallExpression
1005¿MemberExpression¿¿1572¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
1006¿Identifier¿¿1572¿v116¿¿¿¿¿Identifier
1007¿Identifier¿¿1572¿push¿¿¿{"start":{"line":17,"column":36},"end":{"line":17,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
1008¿Identifier¿¿1572¿v117¿¿¿¿¿Identifier
1009¿Identifier¿¿1572¿v118¿¿¿¿¿Identifier
1010¿ExpressionStatement¿¿1572¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":63},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿ExpressionStatement
1011¿Identifier¿¿1572¿v119¿¿¿¿¿Identifier
1012¿BlockStatement¿¿1572¿¿¿¿{"start":{"line":15,"column":35},"end":{"line":18,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿BlockStatement
1013¿VariableDeclarator¿¿1572¿v120¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
1014¿MemberExpression¿¿1572¿¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
1015¿Identifier¿¿1572¿self¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
1016¿Identifier¿¿1572¿options¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
1017¿VariableDeclarator¿¿1572¿v121¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
1018¿MemberExpression¿¿1572¿¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
1019¿Identifier¿¿1572¿v120¿¿¿¿¿Identifier
1020¿Identifier¿¿1572¿additional¿¿¿{"start":{"line":19,"column":25},"end":{"line":19,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿Identifier
1021¿VariableDeclarator¿¿1572¿v122¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿VariableDeclarator
1022¿CallExpression¿¿1572¿¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿CallExpression
1023¿MemberExpression¿¿1572¿¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/pdfinfojs_0.3.6/src/pdfinfo.js"}¿¿MemberExpression
