Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1063¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":207,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Program
1077¿Literal¿string¿1852¿¿'path'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1078¿VariableDeclarator¿¿1852¿url¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1079¿CallExpression¿¿1852¿¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1080¿Identifier¿¿1852¿require¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1081¿Literal¿string¿1852¿¿'url'¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1082¿VariableDeclarator¿¿1852¿mime¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1083¿CallExpression¿¿1852¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1084¿Identifier¿¿1852¿require¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1085¿Literal¿string¿1852¿¿'mime'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1086¿VariableDeclarator¿¿1852¿statFile¿¿¿{"start":{"line":18,"column":0},"end":{"line":47,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1087¿FunctionExpression¿¿1852¿anon¿¿¿{"start":{"line":18,"column":0},"end":{"line":47,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿FunctionExpression
1088¿Identifier¿¿0¿filePath¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1089¿Identifier¿¿0¿callback¿¿¿{"start":{"line":18,"column":28},"end":{"line":18,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1090¿VariableDeclarator¿¿1854¿v109¿¿¿{"start":{"line":19,"column":20},"end":{"line":46,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1091¿FunctionExpression¿¿1854¿anon¿¿¿{"start":{"line":19,"column":20},"end":{"line":46,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿FunctionExpression
1092¿Identifier¿¿0¿err¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1093¿Identifier¿¿0¿stats¿¿¿{"start":{"line":19,"column":34},"end":{"line":19,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1094¿VariableDeclarator¿¿1856¿v97¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1095¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1096¿Identifier¿¿1856¿err¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1097¿Identifier¿¿1856¿code¿¿¿{"start":{"line":22,"column":20},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1098¿VariableDeclarator¿¿1856¿v98¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1099¿BinaryExpression¿===¿1856¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿BinaryExpression
1100¿Identifier¿¿1856¿v97¿¿¿¿¿Identifier
1101¿Literal¿string¿1856¿¿'ENOENT'¿¿{"start":{"line":22,"column":29},"end":{"line":22,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1102¿VariableDeclarator¿¿1856¿v99¿¿¿{"start":{"line":22,"column":41},"end":{"line":22,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1103¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":22,"column":41},"end":{"line":22,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1104¿Identifier¿¿1856¿err¿¿¿{"start":{"line":22,"column":41},"end":{"line":22,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1105¿Identifier¿¿1856¿code¿¿¿{"start":{"line":22,"column":45},"end":{"line":22,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1106¿VariableDeclarator¿¿1856¿v100¿¿¿{"start":{"line":22,"column":41},"end":{"line":22,"column":63},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1107¿BinaryExpression¿===¿1856¿¿¿¿{"start":{"line":22,"column":41},"end":{"line":22,"column":63},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿BinaryExpression
1108¿Identifier¿¿1856¿v99¿¿¿¿¿Identifier
1109¿Literal¿string¿1856¿¿'ENOTDIR'¿¿{"start":{"line":22,"column":54},"end":{"line":22,"column":63},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1110¿VariableDeclarator¿¿1856¿v101¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":63},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1111¿LogicalExpression¿||¿1856¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":63},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿LogicalExpression
1112¿Identifier¿¿1856¿v98¿¿¿¿¿Identifier
1113¿Identifier¿¿1856¿v100¿¿¿¿¿Identifier
1114¿VariableDeclarator¿¿1856¿v102¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":64},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1115¿LogicalExpression¿&&¿1856¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":64},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿LogicalExpression
1116¿Identifier¿¿1856¿err¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1117¿Identifier¿¿1856¿v101¿¿¿¿¿Identifier
1118¿IfStatement¿¿1856¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":45,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿IfStatement
1119¿Identifier¿¿1856¿v102¿¿¿¿¿Identifier
1120¿VariableDeclarator¿¿1856¿error¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1121¿NewExpression¿¿1856¿¿¿¿{"start":{"line":23,"column":20},"end":{"line":23,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿NewExpression
1122¿Identifier¿¿1856¿Error¿¿¿{"start":{"line":23,"column":24},"end":{"line":23,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1123¿Literal¿string¿1856¿¿'Resource does not exist'¿¿{"start":{"line":23,"column":30},"end":{"line":23,"column":55},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1124¿ExpressionStatement¿¿1856¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ExpressionStatement
1125¿AssignmentExpression¿=¿1856¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿AssignmentExpression
1126¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1127¿Identifier¿¿1856¿error¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1128¿Identifier¿¿1856¿httpCode¿¿¿{"start":{"line":24,"column":12},"end":{"line":24,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1129¿Literal¿number¿1856¿¿404¿¿{"start":{"line":24,"column":23},"end":{"line":24,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1130¿VariableDeclarator¿¿1856¿v103¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1131¿CallExpression¿¿1856¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1132¿Identifier¿¿1856¿callback¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1133¿Identifier¿¿1856¿error¿¿¿{"start":{"line":26,"column":15},"end":{"line":26,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1134¿ExpressionStatement¿¿1856¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ExpressionStatement
1135¿Identifier¿¿1856¿v103¿¿¿¿¿Identifier
1136¿BlockStatement¿¿1856¿¿¿¿{"start":{"line":22,"column":66},"end":{"line":29,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿BlockStatement
1137¿VariableDeclarator¿¿1856¿v104¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1138¿CallExpression¿¿1856¿¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1139¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1140¿Identifier¿¿1856¿stats¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1141¿Identifier¿¿1856¿isFile¿¿¿{"start":{"line":29,"column":22},"end":{"line":29,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1142¿VariableDeclarator¿¿1856¿v105¿¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1143¿UnaryExpression¿!¿1856¿¿¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿UnaryExpression
1144¿Identifier¿¿1856¿v104¿¿¿¿¿Identifier
1145¿IfStatement¿¿1856¿¿¿¿{"start":{"line":29,"column":11},"end":{"line":45,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿IfStatement
1146¿Identifier¿¿1856¿v105¿¿¿¿¿Identifier
1147¿VariableDeclarator¿¿1856¿error¿¿¿{"start":{"line":30,"column":12},"end":{"line":30,"column":55},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1148¿NewExpression¿¿1856¿¿¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":55},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿NewExpression
1149¿Identifier¿¿1856¿Error¿¿¿{"start":{"line":30,"column":24},"end":{"line":30,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1150¿Literal¿string¿1856¿¿'Resource is not a file'¿¿{"start":{"line":30,"column":30},"end":{"line":30,"column":54},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1151¿ExpressionStatement¿¿1856¿¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ExpressionStatement
1152¿AssignmentExpression¿=¿1856¿¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿AssignmentExpression
1153¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1154¿Identifier¿¿1856¿error¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1155¿Identifier¿¿1856¿httpCode¿¿¿{"start":{"line":31,"column":12},"end":{"line":31,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1156¿Literal¿number¿1856¿¿400¿¿{"start":{"line":31,"column":23},"end":{"line":31,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1157¿VariableDeclarator¿¿1856¿v106¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1158¿CallExpression¿¿1856¿¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1159¿Identifier¿¿1856¿callback¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1160¿Identifier¿¿1856¿error¿¿¿{"start":{"line":33,"column":15},"end":{"line":33,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1161¿ExpressionStatement¿¿1856¿¿¿¿{"start":{"line":33,"column":6},"end":{"line":33,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ExpressionStatement
1162¿Identifier¿¿1856¿v106¿¿¿¿¿Identifier
1163¿BlockStatement¿¿1856¿¿¿¿{"start":{"line":29,"column":32},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿BlockStatement
1164¿IfStatement¿¿1856¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":45,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿IfStatement
1165¿Identifier¿¿1856¿err¿¿¿{"start":{"line":36,"column":15},"end":{"line":36,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1166¿VariableDeclarator¿¿1856¿error¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1167¿NewExpression¿¿1856¿¿¿¿{"start":{"line":37,"column":20},"end":{"line":37,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿NewExpression
1168¿Identifier¿¿1856¿Error¿¿¿{"start":{"line":37,"column":24},"end":{"line":37,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1169¿Literal¿string¿1856¿¿'Server error'¿¿{"start":{"line":37,"column":30},"end":{"line":37,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1170¿ExpressionStatement¿¿1856¿¿¿¿{"start":{"line":38,"column":6},"end":{"line":38,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ExpressionStatement
1171¿AssignmentExpression¿=¿1856¿¿¿¿{"start":{"line":38,"column":6},"end":{"line":38,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿AssignmentExpression
1172¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":38,"column":6},"end":{"line":38,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1173¿Identifier¿¿1856¿error¿¿¿{"start":{"line":38,"column":6},"end":{"line":38,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1174¿Identifier¿¿1856¿httpCode¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1175¿Literal¿number¿1856¿¿500¿¿{"start":{"line":38,"column":23},"end":{"line":38,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1176¿VariableDeclarator¿¿1856¿v107¿¿¿{"start":{"line":40,"column":6},"end":{"line":40,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1177¿CallExpression¿¿1856¿¿¿¿{"start":{"line":40,"column":6},"end":{"line":40,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1178¿Identifier¿¿1856¿callback¿¿¿{"start":{"line":40,"column":6},"end":{"line":40,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1179¿Identifier¿¿1856¿error¿¿¿{"start":{"line":40,"column":15},"end":{"line":40,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1180¿ExpressionStatement¿¿1856¿¿¿¿{"start":{"line":40,"column":6},"end":{"line":40,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ExpressionStatement
1181¿Identifier¿¿1856¿v107¿¿¿¿¿Identifier
1182¿BlockStatement¿¿1856¿¿¿¿{"start":{"line":36,"column":20},"end":{"line":43,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿BlockStatement
1183¿VariableDeclarator¿¿1856¿v108¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1184¿CallExpression¿¿1856¿¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1185¿Identifier¿¿1856¿callback¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1186¿Literal¿object¿1856¿¿null¿¿{"start":{"line":44,"column":15},"end":{"line":44,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1187¿Identifier¿¿1856¿stats¿¿¿{"start":{"line":44,"column":21},"end":{"line":44,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1188¿ExpressionStatement¿¿1856¿¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ExpressionStatement
1189¿Identifier¿¿1856¿v108¿¿¿¿¿Identifier
1190¿BlockStatement¿¿1856¿¿¿¿{"start":{"line":43,"column":11},"end":{"line":45,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿BlockStatement
1191¿BlockStatement¿¿1856¿¿¿¿¿¿BlockStatement
1192¿BlockStatement¿¿1856¿¿¿¿¿¿BlockStatement
1193¿BlockStatement¿¿1856¿¿¿¿{"start":{"line":19,"column":41},"end":{"line":46,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿BlockStatement
1194¿VariableDeclarator¿¿1854¿v110¿¿¿{"start":{"line":19,"column":2},"end":{"line":46,"column":4},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1195¿CallExpression¿¿1854¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":46,"column":4},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1196¿MemberExpression¿¿1854¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1197¿Identifier¿¿1854¿fs¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":4},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
