Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
745¿Program¿¿-1¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":258,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Program
756¿BlockStatement¿¿1293¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":19,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿BlockStatement
757¿CatchClause¿¿1293¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":21,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿CatchClause
758¿VariableDeclarator¿¿1293¿v57¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
759¿ArrayExpression¿¿1293¿¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿ArrayExpression
760¿Identifier¿¿1293¿e¿¿¿{"start":{"line":20,"column":29},"end":{"line":20,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
761¿Identifier¿¿1293¿f¿¿¿{"start":{"line":20,"column":31},"end":{"line":20,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
762¿VariableDeclarator¿¿1293¿v58¿¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
763¿ObjectExpression¿¿1293¿¿¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿ObjectExpression
764¿Property¿¿1293¿¿¿¿{"start":{"line":20,"column":15},"end":{"line":20,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Property
765¿Literal¿string¿1293¿¿'Errors: '¿¿{"start":{"line":20,"column":15},"end":{"line":20,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Literal
766¿Identifier¿¿1293¿v57¿¿¿¿¿Identifier
767¿ThrowStatement¿¿1293¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿ThrowStatement
768¿Identifier¿¿1293¿v58¿¿¿¿¿Identifier
769¿BlockStatement¿¿1293¿¿¿¿{"start":{"line":19,"column":16},"end":{"line":21,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿BlockStatement
770¿Identifier¿¿1293¿f¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
771¿BlockStatement¿¿1293¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿BlockStatement
772¿Identifier¿¿1293¿e¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
773¿VariableDeclarator¿¿1293¿v59¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
774¿ObjectExpression¿¿1293¿¿¿¿¿¿ObjectExpression
775¿VariableDeclarator¿¿1293¿modulify¿¿¿{"start":{"line":27,"column":4},"end":{"line":33,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
776¿ObjectExpression¿¿1293¿¿¿¿¿¿ObjectExpression
777¿ExpressionStatement¿¿1293¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":33,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿ExpressionStatement
778¿AssignmentExpression¿=¿1293¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":33,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿AssignmentExpression
779¿MemberExpression¿¿1293¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":33,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
780¿Identifier¿¿1293¿modulify¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
781¿Identifier¿¿1293¿utils¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
782¿Identifier¿¿1293¿v59¿¿¿¿¿Identifier
783¿VariableDeclarator¿¿1293¿v60¿¿¿{"start":{"line":47,"column":0},"end":{"line":47,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
784¿MemberExpression¿¿1293¿¿¿¿{"start":{"line":47,"column":0},"end":{"line":47,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
785¿Identifier¿¿1293¿modulify¿¿¿{"start":{"line":47,"column":0},"end":{"line":47,"column":8},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
786¿Identifier¿¿1293¿utils¿¿¿{"start":{"line":47,"column":9},"end":{"line":47,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
787¿VariableDeclarator¿¿1293¿getNames¿¿¿{"start":{"line":47,"column":0},"end":{"line":65,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
788¿FunctionExpression¿¿1293¿anon¿¿¿{"start":{"line":47,"column":26},"end":{"line":65,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿FunctionExpression
789¿Identifier¿¿0¿prev¿¿¿{"start":{"line":47,"column":45},"end":{"line":47,"column":49},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
790¿Identifier¿¿0¿curr¿¿¿{"start":{"line":47,"column":51},"end":{"line":47,"column":55},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
791¿ExpressionStatement¿¿1297¿¿¿¿{"start":{"line":48,"column":4},"end":{"line":48,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿ExpressionStatement
792¿Literal¿string¿1297¿¿'use strict'¿¿{"start":{"line":48,"column":4},"end":{"line":48,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Literal
793¿VariableDeclarator¿¿1297¿out¿¿¿{"start":{"line":49,"column":8},"end":{"line":49,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
794¿Identifier¿¿1297¿prev¿¿¿{"start":{"line":49,"column":14},"end":{"line":49,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
795¿VariableDeclarator¿¿1297¿v61¿¿¿{"start":{"line":50,"column":11},"end":{"line":50,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
796¿MemberExpression¿¿1297¿¿¿¿{"start":{"line":50,"column":11},"end":{"line":50,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
797¿Identifier¿¿1297¿curr¿¿¿{"start":{"line":50,"column":11},"end":{"line":50,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
798¿Identifier¿¿1297¿type¿¿¿{"start":{"line":50,"column":16},"end":{"line":50,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
799¿SwitchStatement¿¿1297¿¿¿¿{"start":{"line":50,"column":4},"end":{"line":63,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿SwitchStatement
800¿Identifier¿¿1297¿v61¿¿¿¿¿Identifier
801¿SwitchCase¿¿1297¿¿¿¿{"start":{"line":51,"column":8},"end":{"line":57,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿SwitchCase
802¿Literal¿string¿1297¿¿'VariableDeclaration'¿¿{"start":{"line":51,"column":13},"end":{"line":51,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Literal
803¿VariableDeclarator¿¿1297¿v62¿¿¿{"start":{"line":52,"column":12},"end":{"line":52,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
804¿MemberExpression¿¿1297¿¿¿¿{"start":{"line":52,"column":12},"end":{"line":52,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
805¿Identifier¿¿1297¿curr¿¿¿{"start":{"line":52,"column":12},"end":{"line":52,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
806¿Identifier¿¿1297¿declarations¿¿¿{"start":{"line":52,"column":17},"end":{"line":52,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
807¿VariableDeclarator¿¿1297¿v68¿¿¿{"start":{"line":52,"column":38},"end":{"line":56,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
808¿FunctionExpression¿¿1297¿anon¿¿¿{"start":{"line":52,"column":38},"end":{"line":56,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿FunctionExpression
809¿Identifier¿¿0¿declaration¿¿¿{"start":{"line":52,"column":48},"end":{"line":52,"column":59},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
810¿VariableDeclarator¿¿1299¿v63¿¿¿{"start":{"line":53,"column":19},"end":{"line":53,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
811¿MemberExpression¿¿1299¿¿¿¿{"start":{"line":53,"column":19},"end":{"line":53,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
812¿Identifier¿¿1299¿declaration¿¿¿{"start":{"line":53,"column":19},"end":{"line":53,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
813¿Identifier¿¿1299¿type¿¿¿{"start":{"line":53,"column":31},"end":{"line":53,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
814¿VariableDeclarator¿¿1299¿v64¿¿¿{"start":{"line":53,"column":19},"end":{"line":53,"column":60},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
815¿BinaryExpression¿===¿1299¿¿¿¿{"start":{"line":53,"column":19},"end":{"line":53,"column":60},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿BinaryExpression
816¿Identifier¿¿1299¿v63¿¿¿¿¿Identifier
817¿Literal¿string¿1299¿¿'VariableDeclarator'¿¿{"start":{"line":53,"column":40},"end":{"line":53,"column":60},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Literal
818¿IfStatement¿¿1299¿¿¿¿{"start":{"line":53,"column":16},"end":{"line":55,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿IfStatement
819¿Identifier¿¿1299¿v64¿¿¿¿¿Identifier
820¿VariableDeclarator¿¿1299¿v65¿¿¿{"start":{"line":54,"column":29},"end":{"line":54,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
821¿MemberExpression¿¿1299¿¿¿¿{"start":{"line":54,"column":29},"end":{"line":54,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
822¿Identifier¿¿1299¿declaration¿¿¿{"start":{"line":54,"column":29},"end":{"line":54,"column":40},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
823¿Identifier¿¿1299¿id¿¿¿{"start":{"line":54,"column":41},"end":{"line":54,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
824¿VariableDeclarator¿¿1299¿v66¿¿¿{"start":{"line":54,"column":29},"end":{"line":54,"column":48},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
825¿MemberExpression¿¿1299¿¿¿¿{"start":{"line":54,"column":29},"end":{"line":54,"column":48},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
826¿Identifier¿¿1299¿v65¿¿¿¿¿Identifier
827¿Identifier¿¿1299¿name¿¿¿{"start":{"line":54,"column":44},"end":{"line":54,"column":48},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
828¿VariableDeclarator¿¿1299¿v67¿¿¿{"start":{"line":54,"column":20},"end":{"line":54,"column":49},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
829¿CallExpression¿¿1299¿¿¿¿{"start":{"line":54,"column":20},"end":{"line":54,"column":49},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿CallExpression
830¿MemberExpression¿¿1299¿¿¿¿{"start":{"line":54,"column":20},"end":{"line":54,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
831¿Identifier¿¿1299¿out¿¿¿{"start":{"line":54,"column":20},"end":{"line":54,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
832¿Identifier¿¿1299¿push¿¿¿{"start":{"line":54,"column":24},"end":{"line":54,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
833¿Identifier¿¿1299¿v66¿¿¿¿¿Identifier
834¿ExpressionStatement¿¿1299¿¿¿¿{"start":{"line":54,"column":20},"end":{"line":54,"column":50},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿ExpressionStatement
835¿Identifier¿¿1299¿v67¿¿¿¿¿Identifier
836¿BlockStatement¿¿1299¿¿¿¿{"start":{"line":53,"column":62},"end":{"line":55,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿BlockStatement
837¿BlockStatement¿¿1299¿¿¿¿{"start":{"line":52,"column":61},"end":{"line":56,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿BlockStatement
838¿VariableDeclarator¿¿1297¿v69¿¿¿{"start":{"line":52,"column":12},"end":{"line":56,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
839¿CallExpression¿¿1297¿¿¿¿{"start":{"line":52,"column":12},"end":{"line":56,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿CallExpression
840¿MemberExpression¿¿1297¿¿¿¿{"start":{"line":52,"column":12},"end":{"line":52,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
841¿Identifier¿¿1297¿v62¿¿¿¿¿Identifier
842¿Identifier¿¿1297¿forEach¿¿¿{"start":{"line":52,"column":30},"end":{"line":52,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
843¿Identifier¿¿1297¿v68¿¿¿¿¿Identifier
844¿ExpressionStatement¿¿1297¿¿¿¿{"start":{"line":52,"column":12},"end":{"line":56,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿ExpressionStatement
845¿Identifier¿¿1297¿v69¿¿¿¿¿Identifier
846¿BreakStatement¿¿1297¿¿¿¿{"start":{"line":57,"column":12},"end":{"line":57,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿BreakStatement
847¿SwitchCase¿¿1297¿¿¿¿{"start":{"line":58,"column":8},"end":{"line":60,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿SwitchCase
848¿Literal¿string¿1297¿¿'FunctionDeclaration'¿¿{"start":{"line":58,"column":13},"end":{"line":58,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Literal
849¿VariableDeclarator¿¿1297¿v70¿¿¿{"start":{"line":59,"column":21},"end":{"line":59,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
850¿MemberExpression¿¿1297¿¿¿¿{"start":{"line":59,"column":21},"end":{"line":59,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
851¿Identifier¿¿1297¿curr¿¿¿{"start":{"line":59,"column":21},"end":{"line":59,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
852¿Identifier¿¿1297¿id¿¿¿{"start":{"line":59,"column":26},"end":{"line":59,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
853¿VariableDeclarator¿¿1297¿v71¿¿¿{"start":{"line":59,"column":21},"end":{"line":59,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
854¿MemberExpression¿¿1297¿¿¿¿{"start":{"line":59,"column":21},"end":{"line":59,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
855¿Identifier¿¿1297¿v70¿¿¿¿¿Identifier
856¿Identifier¿¿1297¿name¿¿¿{"start":{"line":59,"column":29},"end":{"line":59,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
857¿VariableDeclarator¿¿1297¿v72¿¿¿{"start":{"line":59,"column":12},"end":{"line":59,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
858¿CallExpression¿¿1297¿¿¿¿{"start":{"line":59,"column":12},"end":{"line":59,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿CallExpression
859¿MemberExpression¿¿1297¿¿¿¿{"start":{"line":59,"column":12},"end":{"line":59,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
860¿Identifier¿¿1297¿out¿¿¿{"start":{"line":59,"column":12},"end":{"line":59,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
861¿Identifier¿¿1297¿push¿¿¿{"start":{"line":59,"column":16},"end":{"line":59,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
862¿Identifier¿¿1297¿v71¿¿¿¿¿Identifier
863¿ExpressionStatement¿¿1297¿¿¿¿{"start":{"line":59,"column":12},"end":{"line":59,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿ExpressionStatement
864¿Identifier¿¿1297¿v72¿¿¿¿¿Identifier
865¿BreakStatement¿¿1297¿¿¿¿{"start":{"line":60,"column":12},"end":{"line":60,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿BreakStatement
866¿SwitchCase¿¿1297¿¿¿¿{"start":{"line":61,"column":8},"end":{"line":62,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿SwitchCase
867¿BreakStatement¿¿1297¿¿¿¿{"start":{"line":62,"column":12},"end":{"line":62,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿BreakStatement
868¿ReturnStatement¿¿1297¿¿¿¿{"start":{"line":64,"column":4},"end":{"line":64,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿ReturnStatement
869¿Identifier¿¿1297¿out¿¿¿{"start":{"line":64,"column":11},"end":{"line":64,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
870¿BlockStatement¿¿1297¿¿¿¿{"start":{"line":47,"column":57},"end":{"line":65,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿BlockStatement
871¿ExpressionStatement¿¿1293¿¿¿¿{"start":{"line":47,"column":0},"end":{"line":65,"column":2},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿ExpressionStatement
872¿AssignmentExpression¿=¿1293¿¿¿¿{"start":{"line":47,"column":0},"end":{"line":65,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿AssignmentExpression
873¿MemberExpression¿¿1293¿¿¿¿{"start":{"line":47,"column":0},"end":{"line":47,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
874¿Identifier¿¿1293¿v60¿¿¿¿¿Identifier
875¿Identifier¿¿1293¿getNames¿¿¿{"start":{"line":47,"column":15},"end":{"line":47,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
876¿Identifier¿¿1293¿getNames¿¿¿¿¿Identifier
877¿VariableDeclarator¿¿1293¿v73¿¿¿{"start":{"line":73,"column":0},"end":{"line":73,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
878¿MemberExpression¿¿1293¿¿¿¿{"start":{"line":73,"column":0},"end":{"line":73,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿MemberExpression
879¿Identifier¿¿1293¿modulify¿¿¿{"start":{"line":73,"column":0},"end":{"line":73,"column":8},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
880¿Identifier¿¿1293¿utils¿¿¿{"start":{"line":73,"column":9},"end":{"line":73,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
881¿VariableDeclarator¿¿1293¿evaluator¿¿¿{"start":{"line":73,"column":0},"end":{"line":75,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
882¿FunctionExpression¿¿1293¿anon¿¿¿{"start":{"line":73,"column":27},"end":{"line":75,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿FunctionExpression
883¿Identifier¿¿0¿src¿¿¿{"start":{"line":73,"column":47},"end":{"line":73,"column":50},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
884¿VariableDeclarator¿¿1306¿v74¿¿¿{"start":{"line":74,"column":4},"end":{"line":74,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
885¿CallExpression¿¿1306¿¿¿¿{"start":{"line":74,"column":4},"end":{"line":74,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿CallExpression
886¿Identifier¿¿1306¿eval¿¿¿{"start":{"line":74,"column":4},"end":{"line":74,"column":8},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
