Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
919¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":100,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Program
976¿ReturnStatement¿¿1601¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿ReturnStatement
977¿Identifier¿¿1601¿v95¿¿¿¿¿Identifier
978¿BlockStatement¿¿1601¿¿¿¿{"start":{"line":5,"column":21},"end":{"line":7,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿BlockStatement
979¿VariableDeclarator¿exported¿1597¿get¿¿¿{"start":{"line":9,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
980¿FunctionExpression¿¿1597¿anon¿¿¿{"start":{"line":9,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿FunctionExpression
981¿Identifier¿¿0¿obj¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
982¿Identifier¿¿0¿path¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
983¿Identifier¿¿0¿dft¿¿¿{"start":{"line":9,"column":25},"end":{"line":9,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
984¿VariableDeclarator¿¿1603¿v96¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
985¿CallExpression¿¿1603¿¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿CallExpression
986¿Identifier¿¿1603¿isObject¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
987¿Identifier¿¿1603¿obj¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
988¿Literal¿boolean¿1603¿¿true¿¿{"start":{"line":10,"column":20},"end":{"line":10,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Literal
989¿VariableDeclarator¿¿1603¿v97¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
990¿UnaryExpression¿!¿1603¿¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿UnaryExpression
991¿Identifier¿¿1603¿v96¿¿¿¿¿Identifier
992¿IfStatement¿¿1603¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿IfStatement
993¿Identifier¿¿1603¿v97¿¿¿¿¿Identifier
994¿ReturnStatement¿¿1603¿¿¿¿{"start":{"line":10,"column":27},"end":{"line":10,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿ReturnStatement
995¿Identifier¿¿1603¿dft¿¿¿{"start":{"line":10,"column":34},"end":{"line":10,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
996¿BlockStatement¿¿1603¿¿¿¿¿¿BlockStatement
997¿VariableDeclarator¿¿1603¿v98¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
998¿CallExpression¿¿1603¿¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿CallExpression
999¿Identifier¿¿1603¿isBasic¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1000¿Identifier¿¿1603¿path¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1001¿IfStatement¿¿1603¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿IfStatement
1002¿Identifier¿¿1603¿v98¿¿¿¿¿Identifier
1003¿VariableDeclarator¿¿1603¿v99¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
1004¿MemberExpression¿computed¿1603¿¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿MemberExpression
1005¿Identifier¿¿1603¿obj¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1006¿Identifier¿¿1603¿path¿¿¿{"start":{"line":11,"column":31},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1007¿ReturnStatement¿¿1603¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿ReturnStatement
1008¿Identifier¿¿1603¿v99¿¿¿¿¿Identifier
1009¿BlockStatement¿¿1603¿¿¿¿¿¿BlockStatement
1010¿VariableDeclarator¿¿1603¿i¿¿¿{"start":{"line":12,"column":10},"end":{"line":12,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
1011¿Literal¿number¿1603¿¿0¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Literal
1012¿VariableDeclarator¿¿1603¿v100¿¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
1013¿MemberExpression¿¿1603¿¿¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿MemberExpression
1014¿Identifier¿¿1603¿path¿¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1015¿Identifier¿¿1603¿length¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1016¿VariableDeclarator¿¿1603¿v101¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
1017¿BinaryExpression¿<¿1603¿¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿BinaryExpression
1018¿Identifier¿¿1603¿i¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1019¿Identifier¿¿1603¿v100¿¿¿¿¿Identifier
1020¿WhileStatement¿¿1603¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿WhileStatement
1021¿Identifier¿¿1603¿v101¿¿¿¿¿Identifier
1022¿VariableDeclarator¿¿1603¿v103¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
1023¿MemberExpression¿computed¿1603¿¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿MemberExpression
1024¿Identifier¿¿1603¿path¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1025¿Identifier¿¿1603¿i¿¿¿{"start":{"line":13,"column":31},"end":{"line":13,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1026¿VariableDeclarator¿¿1603¿v104¿¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
1027¿BinaryExpression¿==¿1603¿¿¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿BinaryExpression
1028¿Literal¿object¿1603¿¿null¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Literal
1029¿AssignmentExpression¿=¿1603¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿AssignmentExpression
1030¿Identifier¿¿1603¿obj¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1031¿MemberExpression¿computed¿1603¿¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿MemberExpression
1032¿Identifier¿¿1603¿obj¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1033¿Identifier¿¿1603¿v103¿¿¿¿¿Identifier
1034¿IfStatement¿¿1603¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿IfStatement
1035¿Identifier¿¿1603¿v104¿¿¿¿¿Identifier
1036¿ReturnStatement¿¿1603¿¿¿¿{"start":{"line":13,"column":37},"end":{"line":13,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿ReturnStatement
1037¿Identifier¿¿1603¿dft¿¿¿{"start":{"line":13,"column":44},"end":{"line":13,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1038¿BlockStatement¿¿1603¿¿¿¿¿¿BlockStatement
1039¿VariableDeclarator¿¿1603¿v102¿¿¿{"start":{"line":12,"column":34},"end":{"line":12,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
1040¿UpdateExpression¿¿1603¿¿¿¿{"start":{"line":12,"column":34},"end":{"line":12,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿UpdateExpression
1041¿Identifier¿¿1603¿i¿¿¿{"start":{"line":12,"column":34},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1042¿ExpressionStatement¿¿1603¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿ExpressionStatement
1043¿AssignmentExpression¿=¿1603¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿AssignmentExpression
1044¿Identifier¿¿1603¿v101¿¿¿{"start":{"line":12,"column":2},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1045¿BinaryExpression¿<¿1603¿¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿BinaryExpression
1046¿Identifier¿¿1603¿i¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1047¿Identifier¿¿1603¿v100¿¿¿¿¿Identifier
1048¿BlockStatement¿¿1603¿¿¿¿¿¿BlockStatement
1049¿ReturnStatement¿¿1603¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿ReturnStatement
1050¿Identifier¿¿1603¿obj¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1051¿BlockStatement¿¿1603¿¿¿¿{"start":{"line":9,"column":30},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿BlockStatement
1052¿VariableDeclarator¿¿1597¿isNonNegativeInteger¿¿¿{"start":{"line":18,"column":0},"end":{"line":20,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
1053¿FunctionExpression¿¿1597¿anon¿¿¿{"start":{"line":18,"column":0},"end":{"line":20,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿FunctionExpression
1054¿Identifier¿¿0¿i¿¿¿{"start":{"line":18,"column":31},"end":{"line":18,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1055¿VariableDeclarator¿¿1609¿v105¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
1056¿CallExpression¿¿1609¿¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿CallExpression
1057¿MemberExpression¿¿1609¿¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿MemberExpression
1058¿Identifier¿¿1609¿Number¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1059¿Identifier¿¿1609¿isInteger¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1060¿Identifier¿¿1609¿i¿¿¿{"start":{"line":19,"column":26},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1061¿VariableDeclarator¿¿1609¿v106¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
1062¿BinaryExpression¿>=¿1609¿¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿BinaryExpression
1063¿Identifier¿¿1609¿i¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
1064¿Literal¿number¿1609¿¿0¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Literal
1065¿VariableDeclarator¿¿1609¿v107¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
