Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
8356¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":925,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Program
8385¿Identifier¿¿14836¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8386¿Literal¿string¿14836¿¿'child_process'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8387¿VariableDeclarator¿¿14836¿exec¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8388¿MemberExpression¿¿14836¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿MemberExpression
8389¿Identifier¿¿14836¿v977¿¿¿¿¿Identifier
8390¿Identifier¿¿14836¿execSync¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8391¿VariableDeclarator¿¿14836¿DS¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8392¿MemberExpression¿¿14836¿¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿MemberExpression
8393¿Identifier¿¿14836¿path¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8394¿Identifier¿¿14836¿sep¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8395¿VariableDeclarator¿¿14836¿v978¿¿¿{"start":{"line":10,"column":33},"end":{"line":10,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8396¿CallExpression¿¿14836¿¿¿¿{"start":{"line":10,"column":33},"end":{"line":10,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿CallExpression
8397¿MemberExpression¿¿14836¿¿¿¿{"start":{"line":10,"column":33},"end":{"line":10,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿MemberExpression
8398¿Identifier¿¿14836¿process¿¿¿{"start":{"line":10,"column":33},"end":{"line":10,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8399¿Identifier¿¿14836¿cwd¿¿¿{"start":{"line":10,"column":41},"end":{"line":10,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8400¿VariableDeclarator¿¿14836¿__callerDir¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8401¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":10,"column":33},"end":{"line":10,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8402¿Identifier¿¿14836¿v978¿¿¿¿¿Identifier
8403¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":10,"column":49},"end":{"line":10,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8404¿VariableDeclarator¿¿14836¿v979¿¿¿{"start":{"line":10,"column":68},"end":{"line":10,"column":96},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8405¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":10,"column":68},"end":{"line":10,"column":96},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8406¿Identifier¿¿14836¿__callerDir¿¿¿{"start":{"line":10,"column":68},"end":{"line":10,"column":79},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8407¿Literal¿string¿14836¿¿'node_modules'¿¿{"start":{"line":10,"column":82},"end":{"line":10,"column":96},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8408¿VariableDeclarator¿¿14836¿modulesPath¿¿¿{"start":{"line":10,"column":53},"end":{"line":10,"column":101},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8409¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":10,"column":68},"end":{"line":10,"column":101},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8410¿Identifier¿¿14836¿v979¿¿¿¿¿Identifier
8411¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":10,"column":99},"end":{"line":10,"column":101},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8412¿VariableDeclarator¿¿14836¿v980¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8413¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8414¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8415¿Literal¿string¿14836¿¿'lib'¿¿{"start":{"line":13,"column":38},"end":{"line":13,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8416¿VariableDeclarator¿¿14836¿v981¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8417¿CallExpression¿¿14836¿¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿CallExpression
8418¿MemberExpression¿¿14836¿¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿MemberExpression
8419¿Identifier¿¿14836¿__dirname¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8420¿Identifier¿¿14836¿replace¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8421¿Identifier¿¿14836¿v980¿¿¿¿¿Identifier
8422¿Literal¿string¿14836¿¿''¿¿{"start":{"line":13,"column":45},"end":{"line":13,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8423¿VariableDeclarator¿¿14836¿__buns¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8424¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8425¿Identifier¿¿14836¿v981¿¿¿¿¿Identifier
8426¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":13,"column":51},"end":{"line":13,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8427¿VariableDeclarator¿¿14836¿v982¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8428¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8429¿Identifier¿¿14836¿__dirname¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8430¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":14,"column":25},"end":{"line":14,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8431¿VariableDeclarator¿¿14836¿v983¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8432¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8433¿Identifier¿¿14836¿v982¿¿¿¿¿Identifier
8434¿Literal¿string¿14836¿¿'src'¿¿{"start":{"line":14,"column":30},"end":{"line":14,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8435¿VariableDeclarator¿¿14836¿v984¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8436¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8437¿Identifier¿¿14836¿v983¿¿¿¿¿Identifier
8438¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":14,"column":38},"end":{"line":14,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8439¿VariableDeclarator¿¿14836¿v985¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8440¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8441¿Identifier¿¿14836¿v984¿¿¿¿¿Identifier
8442¿Literal¿string¿14836¿¿'core'¿¿{"start":{"line":14,"column":43},"end":{"line":14,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8443¿VariableDeclarator¿¿14836¿__core¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8444¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8445¿Identifier¿¿14836¿v985¿¿¿¿¿Identifier
8446¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":14,"column":52},"end":{"line":14,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8447¿VariableDeclarator¿¿14836¿v986¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8448¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8449¿Identifier¿¿14836¿__dirname¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8450¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":15,"column":24},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8451¿VariableDeclarator¿¿14836¿v987¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8452¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8453¿Identifier¿¿14836¿v986¿¿¿¿¿Identifier
8454¿Literal¿string¿14836¿¿'src'¿¿{"start":{"line":15,"column":29},"end":{"line":15,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8455¿VariableDeclarator¿¿14836¿v988¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8456¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8457¿Identifier¿¿14836¿v987¿¿¿¿¿Identifier
8458¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":15,"column":37},"end":{"line":15,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8459¿VariableDeclarator¿¿14836¿v989¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8460¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8461¿Identifier¿¿14836¿v988¿¿¿¿¿Identifier
8462¿Literal¿string¿14836¿¿'includes'¿¿{"start":{"line":15,"column":42},"end":{"line":15,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8463¿VariableDeclarator¿¿14836¿__inc¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":57},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8464¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":57},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8465¿Identifier¿¿14836¿v989¿¿¿¿¿Identifier
8466¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":15,"column":55},"end":{"line":15,"column":57},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8467¿VariableDeclarator¿¿14836¿v990¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8468¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8469¿Identifier¿¿14836¿__buns¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8470¿Literal¿string¿14836¿¿'node_modules'¿¿{"start":{"line":16,"column":21},"end":{"line":16,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8471¿VariableDeclarator¿¿14836¿__mod¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8472¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8473¿Identifier¿¿14836¿v990¿¿¿¿¿Identifier
8474¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":16,"column":38},"end":{"line":16,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8475¿VariableDeclarator¿¿14836¿v991¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8476¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8477¿Identifier¿¿14836¿__dirname¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8478¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":17,"column":24},"end":{"line":17,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8479¿VariableDeclarator¿¿14836¿v992¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8480¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8481¿Identifier¿¿14836¿v991¿¿¿¿¿Identifier
8482¿Literal¿string¿14836¿¿'src'¿¿{"start":{"line":17,"column":29},"end":{"line":17,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8483¿VariableDeclarator¿¿14836¿v993¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8484¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8485¿Identifier¿¿14836¿v992¿¿¿¿¿Identifier
8486¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":17,"column":37},"end":{"line":17,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8487¿VariableDeclarator¿¿14836¿v994¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8488¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8489¿Identifier¿¿14836¿v993¿¿¿¿¿Identifier
8490¿Literal¿string¿14836¿¿'templates'¿¿{"start":{"line":17,"column":42},"end":{"line":17,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8491¿VariableDeclarator¿¿14836¿__tpl¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":58},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8492¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":58},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8493¿Identifier¿¿14836¿v994¿¿¿¿¿Identifier
8494¿Identifier¿¿14836¿DS¿¿¿{"start":{"line":17,"column":56},"end":{"line":17,"column":58},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8495¿VariableDeclarator¿¿14836¿v995¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8496¿BinaryExpression¿+¿14836¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿BinaryExpression
8497¿Identifier¿¿14836¿__buns¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
