Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
924¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":73,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Program
937¿Identifier¿¿0¿mod¿¿¿{"start":{"line":2,"column":66},"end":{"line":2,"column":69},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
938¿VariableDeclarator¿¿1640¿v93¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
939¿MemberExpression¿¿1640¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
940¿Identifier¿¿1640¿mod¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
941¿Identifier¿¿1640¿__esModule¿¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
942¿VariableDeclarator¿¿1640¿v94¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
943¿LogicalExpression¿&&¿1640¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿LogicalExpression
944¿Identifier¿¿1640¿mod¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
945¿Identifier¿¿1640¿v93¿¿¿¿¿Identifier
946¿VariableDeclarator¿¿1640¿v95¿¿¿{"start":{"line":3,"column":43},"end":{"line":3,"column":61},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
947¿ObjectExpression¿¿1640¿¿¿¿{"start":{"line":3,"column":43},"end":{"line":3,"column":61},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ObjectExpression
948¿Property¿¿1640¿¿¿¿{"start":{"line":3,"column":45},"end":{"line":3,"column":59},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Property
949¿Literal¿string¿1640¿¿'default'¿¿{"start":{"line":3,"column":45},"end":{"line":3,"column":54},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
950¿Identifier¿¿1640¿mod¿¿¿{"start":{"line":3,"column":56},"end":{"line":3,"column":59},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
951¿VariableDeclarator¿¿1640¿v96¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":61},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
952¿IfStatement¿¿1640¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":61},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿IfStatement
953¿Identifier¿¿1640¿v94¿¿¿¿¿Identifier
954¿ExpressionStatement¿¿1640¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":61},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ExpressionStatement
955¿AssignmentExpression¿=¿1640¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":61},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿AssignmentExpression
956¿Identifier¿¿1640¿v96¿¿¿¿¿Identifier
957¿Identifier¿¿1640¿mod¿¿¿{"start":{"line":3,"column":37},"end":{"line":3,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
958¿BlockStatement¿¿1640¿¿¿¿¿¿BlockStatement
959¿ExpressionStatement¿¿1640¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":61},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ExpressionStatement
960¿AssignmentExpression¿=¿1640¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":61},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿AssignmentExpression
961¿Identifier¿¿1640¿v96¿¿¿¿¿Identifier
962¿Identifier¿¿1640¿v95¿¿¿¿¿Identifier
963¿BlockStatement¿¿1640¿¿¿¿¿¿BlockStatement
964¿ReturnStatement¿¿1640¿¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":62},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ReturnStatement
965¿Identifier¿¿1640¿v96¿¿¿¿¿Identifier
966¿BlockStatement¿¿1640¿¿¿¿{"start":{"line":2,"column":71},"end":{"line":4,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿BlockStatement
967¿VariableDeclarator¿¿1638¿__importDefault¿¿¿{"start":{"line":2,"column":4},"end":{"line":4,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
968¿LogicalExpression¿||¿1638¿¿¿¿{"start":{"line":2,"column":22},"end":{"line":4,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿LogicalExpression
969¿Identifier¿¿1638¿v92¿¿¿¿¿Identifier
970¿Identifier¿¿1638¿v97¿¿¿¿¿Identifier
971¿VariableDeclarator¿¿1638¿v98¿¿¿{"start":{"line":5,"column":45},"end":{"line":5,"column":60},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
972¿ObjectExpression¿¿1638¿¿¿¿{"start":{"line":5,"column":45},"end":{"line":5,"column":60},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ObjectExpression
973¿Property¿¿1638¿¿¿¿{"start":{"line":5,"column":47},"end":{"line":5,"column":58},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Property
974¿Identifier¿¿1638¿value¿¿¿{"start":{"line":5,"column":47},"end":{"line":5,"column":52},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
975¿Literal¿boolean¿1638¿¿true¿¿{"start":{"line":5,"column":54},"end":{"line":5,"column":58},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
976¿VariableDeclarator¿¿1638¿v99¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":61},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
977¿CallExpression¿¿1638¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":61},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
978¿MemberExpression¿¿1638¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":21},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
979¿Identifier¿¿1638¿Object¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":6},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
980¿Identifier¿¿1638¿defineProperty¿¿¿{"start":{"line":5,"column":7},"end":{"line":5,"column":21},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
981¿Identifier¿¿1638¿exports¿¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
982¿Literal¿string¿1638¿¿'__esModule'¿¿{"start":{"line":5,"column":31},"end":{"line":5,"column":43},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
983¿Identifier¿¿1638¿v98¿¿¿¿¿Identifier
984¿ExpressionStatement¿¿1638¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":62},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ExpressionStatement
985¿Identifier¿¿1638¿v99¿¿¿¿¿Identifier
986¿VariableDeclarator¿¿1638¿v100¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
987¿UnaryExpression¿void¿1638¿¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿UnaryExpression
988¿Literal¿number¿1638¿¿0¿¿{"start":{"line":6,"column":30},"end":{"line":6,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
989¿ExpressionStatement¿¿1638¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ExpressionStatement
990¿AssignmentExpression¿=¿1638¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿AssignmentExpression
991¿MemberExpression¿¿1638¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
992¿Identifier¿¿1638¿exports¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":7},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
993¿Identifier¿¿1638¿convertMdToPdf¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
994¿Identifier¿¿1638¿v100¿¿¿¿¿Identifier
995¿VariableDeclarator¿¿1638¿fs_1¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
996¿CallExpression¿¿1638¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
997¿Identifier¿¿1638¿require¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
998¿Literal¿string¿1638¿¿'fs'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
999¿VariableDeclarator¿¿1638¿v101¿¿¿{"start":{"line":8,"column":38},"end":{"line":8,"column":60},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1000¿CallExpression¿¿1638¿¿¿¿{"start":{"line":8,"column":38},"end":{"line":8,"column":60},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1001¿Identifier¿¿1638¿require¿¿¿{"start":{"line":8,"column":38},"end":{"line":8,"column":45},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1002¿Literal¿string¿1638¿¿'gray-matter'¿¿{"start":{"line":8,"column":46},"end":{"line":8,"column":59},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
1003¿VariableDeclarator¿¿1638¿gray_matter_1¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":61},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1004¿CallExpression¿¿1638¿¿¿¿{"start":{"line":8,"column":22},"end":{"line":8,"column":61},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1005¿Identifier¿¿1638¿__importDefault¿¿¿{"start":{"line":8,"column":22},"end":{"line":8,"column":37},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1006¿Identifier¿¿1638¿v101¿¿¿¿¿Identifier
1007¿VariableDeclarator¿¿1638¿path_1¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1008¿CallExpression¿¿1638¿¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1009¿Identifier¿¿1638¿require¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1010¿Literal¿string¿1638¿¿'path'¿¿{"start":{"line":9,"column":23},"end":{"line":9,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
1011¿VariableDeclarator¿¿1638¿generate_output_1¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":54},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1012¿CallExpression¿¿1638¿¿¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":54},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1013¿Identifier¿¿1638¿require¿¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1014¿Literal¿string¿1638¿¿'./generate-output'¿¿{"start":{"line":10,"column":34},"end":{"line":10,"column":53},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
1015¿VariableDeclarator¿¿1638¿get_html_1¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1016¿CallExpression¿¿1638¿¿¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1017¿Identifier¿¿1638¿require¿¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1018¿Literal¿string¿1638¿¿'./get-html'¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":39},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
1019¿VariableDeclarator¿¿1638¿get_output_file_path_1¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":64},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1020¿CallExpression¿¿1638¿¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":64},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1021¿Identifier¿¿1638¿require¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":38},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1022¿Literal¿string¿1638¿¿'./get-output-file-path'¿¿{"start":{"line":12,"column":39},"end":{"line":12,"column":63},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
1023¿VariableDeclarator¿¿1638¿helpers_1¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":38},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1024¿CallExpression¿¿1638¿¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":38},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1025¿Identifier¿¿1638¿require¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":25},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1026¿Literal¿string¿1638¿¿'./helpers'¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":37},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
1027¿VariableDeclarator¿¿1638¿read_file_1¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1028¿CallExpression¿¿1638¿¿¿¿{"start":{"line":14,"column":20},"end":{"line":14,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1029¿Identifier¿¿1638¿require¿¿¿{"start":{"line":14,"column":20},"end":{"line":14,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1030¿Literal¿string¿1638¿¿'./read-file'¿¿{"start":{"line":14,"column":28},"end":{"line":14,"column":41},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
1031¿VariableDeclarator¿¿1638¿convertMdToPdf¿¿¿{"start":{"line":18,"column":6},"end":{"line":72,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1032¿ArrowFunctionExpression¿¿1638¿¿¿¿{"start":{"line":18,"column":23},"end":{"line":72,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ArrowFunctionExpression
1033¿Identifier¿¿0¿input¿¿¿{"start":{"line":18,"column":30},"end":{"line":18,"column":35},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1034¿Identifier¿¿0¿config¿¿¿{"start":{"line":18,"column":37},"end":{"line":18,"column":43},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1035¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":18,"column":45},"end":{"line":18,"column":54},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿AssignmentPattern
1036¿VariableDeclarator¿¿1643¿_a¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":10},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1037¿VariableDeclarator¿¿1643¿mdFileContent¿¿¿{"start":{"line":20,"column":10},"end":{"line":22,"column":140},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1038¿VariableDeclarator¿¿1643¿v102¿¿¿{"start":{"line":20,"column":26},"end":{"line":20,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1039¿BinaryExpression¿in¿1643¿¿¿¿{"start":{"line":20,"column":26},"end":{"line":20,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿BinaryExpression
1040¿Literal¿string¿1643¿¿'content'¿¿{"start":{"line":20,"column":26},"end":{"line":20,"column":35},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
1041¿Identifier¿¿1643¿input¿¿¿{"start":{"line":20,"column":39},"end":{"line":20,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1042¿VariableDeclarator¿¿1643¿v103¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1043¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1044¿Identifier¿¿1643¿input¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1045¿Identifier¿¿1643¿content¿¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1046¿VariableDeclarator¿¿1643¿v104¿¿¿{"start":{"line":22,"column":37},"end":{"line":22,"column":47},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1047¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":22,"column":37},"end":{"line":22,"column":47},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
