Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
612¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":100,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Program
625¿VariableDeclarator¿¿1069¿inspect¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
626¿MemberExpression¿¿1069¿¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿MemberExpression
627¿Identifier¿¿1069¿v40¿¿¿¿¿Identifier
628¿Identifier¿¿1069¿inspect¿¿¿{"start":{"line":3,"column":32},"end":{"line":3,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
629¿VariableDeclarator¿¿1069¿fs¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
630¿CallExpression¿¿1069¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
631¿Identifier¿¿1069¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
632¿Literal¿string¿1069¿¿'fs'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
633¿VariableDeclarator¿¿1069¿v41¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
634¿CallExpression¿¿1069¿¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
635¿Identifier¿¿1069¿require¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
636¿Literal¿string¿1069¿¿'path'¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
637¿VariableDeclarator¿¿1069¿resolve¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
638¿MemberExpression¿¿1069¿¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿MemberExpression
639¿Identifier¿¿1069¿v41¿¿¿¿¿Identifier
640¿Identifier¿¿1069¿resolve¿¿¿{"start":{"line":5,"column":32},"end":{"line":5,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
641¿VariableDeclarator¿¿1069¿v42¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
642¿CallExpression¿¿1069¿¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
643¿Identifier¿¿1069¿require¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
644¿Literal¿string¿1069¿¿'path'¿¿{"start":{"line":6,"column":24},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
645¿VariableDeclarator¿¿1069¿extname¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
646¿MemberExpression¿¿1069¿¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿MemberExpression
647¿Identifier¿¿1069¿v42¿¿¿¿¿Identifier
648¿Identifier¿¿1069¿extname¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
649¿VariableDeclarator¿¿1069¿v43¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
650¿CallExpression¿¿1069¿¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
651¿Identifier¿¿1069¿require¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
652¿Literal¿string¿1069¿¿'debug'¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
653¿VariableDeclarator¿¿1069¿debug¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
654¿CallExpression¿¿1069¿¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
655¿Identifier¿¿1069¿v43¿¿¿¿¿Identifier
656¿Literal¿string¿1069¿¿'augustine'¿¿{"start":{"line":7,"column":31},"end":{"line":7,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
657¿VariableDeclarator¿¿1069¿v71¿¿¿{"start":{"line":9,"column":33},"end":{"line":90,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
658¿ArrowFunctionExpression¿¿1069¿¿¿¿{"start":{"line":9,"column":33},"end":{"line":90,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿ArrowFunctionExpression
659¿Identifier¿¿0¿req¿¿¿{"start":{"line":9,"column":34},"end":{"line":9,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
660¿Identifier¿¿0¿res¿¿¿{"start":{"line":9,"column":39},"end":{"line":9,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
661¿VariableDeclarator¿¿1071¿v44¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
662¿MemberExpression¿¿1071¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿MemberExpression
663¿Identifier¿¿1071¿req¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
664¿Identifier¿¿1071¿url¿¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
665¿VariableDeclarator¿¿1071¿v45¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
666¿CallExpression¿¿1071¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
667¿Identifier¿¿1071¿debug¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
668¿Literal¿string¿1071¿¿'url = '¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
669¿Identifier¿¿1071¿v44¿¿¿¿¿Identifier
670¿ExpressionStatement¿¿1071¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿ExpressionStatement
671¿Identifier¿¿1071¿v45¿¿¿¿¿Identifier
672¿VariableDeclarator¿¿1071¿v46¿¿¿{"start":{"line":11,"column":30},"end":{"line":11,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
673¿MemberExpression¿¿1071¿¿¿¿{"start":{"line":11,"column":30},"end":{"line":11,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿MemberExpression
674¿Identifier¿¿1071¿req¿¿¿{"start":{"line":11,"column":30},"end":{"line":11,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
675¿Identifier¿¿1071¿url¿¿¿{"start":{"line":11,"column":34},"end":{"line":11,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
676¿VariableDeclarator¿¿1071¿parsedUrl¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
677¿CallExpression¿¿1071¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
678¿MemberExpression¿¿1071¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿MemberExpression
679¿Identifier¿¿1071¿url¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
680¿Identifier¿¿1071¿parse¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
681¿Identifier¿¿1071¿v46¿¿¿¿¿Identifier
682¿VariableDeclarator¿¿1071¿v47¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
683¿MemberExpression¿¿1071¿¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿MemberExpression
684¿Identifier¿¿1071¿parsedUrl¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
685¿Identifier¿¿1071¿pathname¿¿¿{"start":{"line":13,"column":36},"end":{"line":13,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
686¿VariableDeclarator¿¿1071¿v48¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
687¿CallExpression¿¿1071¿¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
688¿MemberExpression¿¿1071¿¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":50},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿MemberExpression
689¿Identifier¿¿1071¿v47¿¿¿¿¿Identifier
690¿Identifier¿¿1071¿slice¿¿¿{"start":{"line":13,"column":45},"end":{"line":13,"column":50},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
691¿Literal¿number¿1071¿¿1¿¿{"start":{"line":13,"column":51},"end":{"line":13,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
692¿VariableDeclarator¿¿1071¿path¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
693¿LogicalExpression¿&&¿1071¿¿¿¿{"start":{"line":13,"column":13},"end":{"line":13,"column":53},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿LogicalExpression
694¿Identifier¿¿1071¿parsedUrl¿¿¿{"start":{"line":13,"column":13},"end":{"line":13,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
695¿Identifier¿¿1071¿v48¿¿¿¿¿Identifier
696¿VariableDeclarator¿¿1071¿v49¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
697¿CallExpression¿¿1071¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
698¿Identifier¿¿1071¿debug¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
699¿Literal¿string¿1071¿¿'path = '¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
700¿Identifier¿¿1071¿path¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
701¿ExpressionStatement¿¿1071¿¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿ExpressionStatement
702¿Identifier¿¿1071¿v49¿¿¿¿¿Identifier
703¿VariableDeclarator¿¿1071¿v50¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
704¿MemberExpression¿¿1071¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿MemberExpression
705¿Identifier¿¿1071¿path¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
706¿Identifier¿¿1071¿length¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
707¿VariableDeclarator¿¿1071¿v51¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
708¿BinaryExpression¿===¿1071¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿BinaryExpression
709¿Identifier¿¿1071¿v50¿¿¿¿¿Identifier
710¿Literal¿number¿1071¿¿0¿¿{"start":{"line":15,"column":22},"end":{"line":15,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
711¿IfStatement¿¿1071¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":18,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿IfStatement
712¿Identifier¿¿1071¿v51¿¿¿¿¿Identifier
713¿VariableDeclarator¿¿1071¿v52¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
714¿CallExpression¿¿1071¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
715¿Identifier¿¿1071¿debug¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
716¿Literal¿string¿1071¿¿'default to index.html.'¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
717¿ExpressionStatement¿¿1071¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿ExpressionStatement
718¿Identifier¿¿1071¿v52¿¿¿¿¿Identifier
719¿ExpressionStatement¿¿1071¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿ExpressionStatement
720¿AssignmentExpression¿=¿1071¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿AssignmentExpression
721¿Identifier¿¿1071¿path¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
722¿CallExpression¿¿1071¿¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
723¿Identifier¿¿1071¿resolve¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
724¿Literal¿string¿1071¿¿'index.html'¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
725¿BlockStatement¿¿1071¿¿¿¿{"start":{"line":15,"column":25},"end":{"line":18,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿BlockStatement
726¿VariableDeclarator¿¿1071¿v53¿¿¿{"start":{"line":20,"column":7},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
727¿CallExpression¿¿1071¿¿¿¿{"start":{"line":20,"column":7},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
728¿MemberExpression¿¿1071¿¿¿¿{"start":{"line":20,"column":7},"end":{"line":20,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿MemberExpression
729¿Identifier¿¿1071¿fs¿¿¿{"start":{"line":20,"column":7},"end":{"line":20,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
730¿Identifier¿¿1071¿existsSync¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
731¿Identifier¿¿1071¿path¿¿¿{"start":{"line":20,"column":21},"end":{"line":20,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
732¿VariableDeclarator¿¿1071¿v54¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
733¿UnaryExpression¿!¿1071¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿UnaryExpression
734¿Identifier¿¿1071¿v53¿¿¿¿¿Identifier
735¿IfStatement¿¿1071¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿IfStatement
736¿Identifier¿¿1071¿v54¿¿¿¿¿Identifier
737¿VariableDeclarator¿¿1071¿v55¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
738¿CallExpression¿¿1071¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
739¿MemberExpression¿¿1071¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿MemberExpression
740¿Identifier¿¿1071¿console¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
741¿Identifier¿¿1071¿log¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
742¿Literal¿string¿1071¿¿'404 Not found.'¿¿{"start":{"line":21,"column":16},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
743¿ExpressionStatement¿¿1071¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿ExpressionStatement
744¿Identifier¿¿1071¿v55¿¿¿¿¿Identifier
745¿ExpressionStatement¿¿1071¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿ExpressionStatement
746¿AssignmentExpression¿=¿1071¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿AssignmentExpression
747¿MemberExpression¿¿1071¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿MemberExpression
748¿Identifier¿¿1071¿res¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
749¿Identifier¿¿1071¿statusCode¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
750¿Literal¿number¿1071¿¿404¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
751¿VariableDeclarator¿¿1071¿v56¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
752¿CallExpression¿¿1071¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
753¿MemberExpression¿¿1071¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿MemberExpression
