Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3175¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":270,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Program
3199¿VariableDeclarator¿¿5399¿v294¿¿¿{"start":{"line":3,"column":70},"end":{"line":3,"column":108},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3200¿FunctionExpression¿¿5399¿anon¿¿¿{"start":{"line":3,"column":70},"end":{"line":3,"column":108},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿FunctionExpression
3201¿Identifier¿¿0¿resolve¿¿¿{"start":{"line":3,"column":80},"end":{"line":3,"column":87},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3202¿VariableDeclarator¿¿5401¿v293¿¿¿{"start":{"line":3,"column":91},"end":{"line":3,"column":105},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3203¿CallExpression¿¿5401¿¿¿¿{"start":{"line":3,"column":91},"end":{"line":3,"column":105},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿CallExpression
3204¿Identifier¿¿5401¿resolve¿¿¿{"start":{"line":3,"column":91},"end":{"line":3,"column":98},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3205¿Identifier¿¿5401¿value¿¿¿{"start":{"line":3,"column":99},"end":{"line":3,"column":104},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3206¿ExpressionStatement¿¿5401¿¿¿¿{"start":{"line":3,"column":91},"end":{"line":3,"column":106},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿ExpressionStatement
3207¿Identifier¿¿5401¿v293¿¿¿¿¿Identifier
3208¿BlockStatement¿¿5401¿¿¿¿{"start":{"line":3,"column":89},"end":{"line":3,"column":108},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿BlockStatement
3209¿VariableDeclarator¿¿5399¿v295¿¿¿{"start":{"line":3,"column":64},"end":{"line":3,"column":109},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3210¿NewExpression¿¿5399¿¿¿¿{"start":{"line":3,"column":64},"end":{"line":3,"column":109},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿NewExpression
3211¿Identifier¿¿5399¿P¿¿¿{"start":{"line":3,"column":68},"end":{"line":3,"column":69},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3212¿Identifier¿¿5399¿v294¿¿¿¿¿Identifier
3213¿VariableDeclarator¿¿5399¿v296¿¿¿{"start":{"line":3,"column":35},"end":{"line":3,"column":109},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3214¿IfStatement¿¿5399¿¿¿¿{"start":{"line":3,"column":35},"end":{"line":3,"column":109},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿IfStatement
3215¿Identifier¿¿5399¿v292¿¿¿¿¿Identifier
3216¿ExpressionStatement¿¿5399¿¿¿¿{"start":{"line":3,"column":35},"end":{"line":3,"column":109},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿ExpressionStatement
3217¿AssignmentExpression¿=¿5399¿¿¿¿{"start":{"line":3,"column":35},"end":{"line":3,"column":109},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿AssignmentExpression
3218¿Identifier¿¿5399¿v296¿¿¿¿¿Identifier
3219¿Identifier¿¿5399¿value¿¿¿{"start":{"line":3,"column":56},"end":{"line":3,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3220¿BlockStatement¿¿5399¿¿¿¿¿¿BlockStatement
3221¿ExpressionStatement¿¿5399¿¿¿¿{"start":{"line":3,"column":35},"end":{"line":3,"column":109},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿ExpressionStatement
3222¿AssignmentExpression¿=¿5399¿¿¿¿{"start":{"line":3,"column":35},"end":{"line":3,"column":109},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿AssignmentExpression
3223¿Identifier¿¿5399¿v296¿¿¿¿¿Identifier
3224¿Identifier¿¿5399¿v295¿¿¿¿¿Identifier
3225¿BlockStatement¿¿5399¿¿¿¿¿¿BlockStatement
3226¿ReturnStatement¿¿5399¿¿¿¿{"start":{"line":3,"column":28},"end":{"line":3,"column":110},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿ReturnStatement
3227¿Identifier¿¿5399¿v296¿¿¿¿¿Identifier
3228¿BlockStatement¿¿5399¿¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":112},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿BlockStatement
3229¿VariableDeclarator¿¿5397¿v297¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3230¿LogicalExpression¿||¿5397¿¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿LogicalExpression
3231¿Identifier¿¿5397¿P¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3232¿AssignmentExpression¿=¿5397¿¿¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿AssignmentExpression
3233¿Identifier¿¿5397¿P¿¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3234¿Identifier¿¿5397¿Promise¿¿¿{"start":{"line":4,"column":26},"end":{"line":4,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3235¿VariableDeclarator¿¿5397¿v315¿¿¿{"start":{"line":4,"column":36},"end":{"line":9,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3236¿FunctionExpression¿¿5397¿anon¿¿¿{"start":{"line":4,"column":36},"end":{"line":9,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿FunctionExpression
3237¿Identifier¿¿0¿resolve¿¿¿{"start":{"line":4,"column":46},"end":{"line":4,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3238¿Identifier¿¿0¿reject¿¿¿{"start":{"line":4,"column":55},"end":{"line":4,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3239¿VariableDeclarator¿¿5404¿fulfilled¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":99},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3240¿FunctionExpression¿¿5404¿anon¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":99},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿FunctionExpression
3241¿Identifier¿¿0¿value¿¿¿{"start":{"line":5,"column":27},"end":{"line":5,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3242¿TryStatement¿¿5406¿¿¿¿{"start":{"line":5,"column":36},"end":{"line":5,"column":97},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿TryStatement
3243¿VariableDeclarator¿¿5406¿v298¿¿¿{"start":{"line":5,"column":47},"end":{"line":5,"column":68},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3244¿CallExpression¿¿5406¿¿¿¿{"start":{"line":5,"column":47},"end":{"line":5,"column":68},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿CallExpression
3245¿MemberExpression¿¿5406¿¿¿¿{"start":{"line":5,"column":47},"end":{"line":5,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿MemberExpression
3246¿Identifier¿¿5406¿generator¿¿¿{"start":{"line":5,"column":47},"end":{"line":5,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3247¿Identifier¿¿5406¿next¿¿¿{"start":{"line":5,"column":57},"end":{"line":5,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3248¿Identifier¿¿5406¿value¿¿¿{"start":{"line":5,"column":62},"end":{"line":5,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3249¿VariableDeclarator¿¿5406¿v299¿¿¿{"start":{"line":5,"column":42},"end":{"line":5,"column":69},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3250¿CallExpression¿¿5406¿¿¿¿{"start":{"line":5,"column":42},"end":{"line":5,"column":69},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿CallExpression
3251¿Identifier¿¿5406¿step¿¿¿{"start":{"line":5,"column":42},"end":{"line":5,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3252¿Identifier¿¿5406¿v298¿¿¿¿¿Identifier
3253¿ExpressionStatement¿¿5406¿¿¿¿{"start":{"line":5,"column":42},"end":{"line":5,"column":70},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿ExpressionStatement
3254¿Identifier¿¿5406¿v299¿¿¿¿¿Identifier
3255¿BlockStatement¿¿5406¿¿¿¿{"start":{"line":5,"column":40},"end":{"line":5,"column":72},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿BlockStatement
3256¿CatchClause¿¿5406¿¿¿¿{"start":{"line":5,"column":73},"end":{"line":5,"column":97},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿CatchClause
3257¿VariableDeclarator¿¿5406¿v300¿¿¿{"start":{"line":5,"column":85},"end":{"line":5,"column":94},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3258¿CallExpression¿¿5406¿¿¿¿{"start":{"line":5,"column":85},"end":{"line":5,"column":94},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿CallExpression
3259¿Identifier¿¿5406¿reject¿¿¿{"start":{"line":5,"column":85},"end":{"line":5,"column":91},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3260¿Identifier¿¿5406¿e¿¿¿{"start":{"line":5,"column":92},"end":{"line":5,"column":93},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3261¿ExpressionStatement¿¿5406¿¿¿¿{"start":{"line":5,"column":85},"end":{"line":5,"column":95},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿ExpressionStatement
3262¿Identifier¿¿5406¿v300¿¿¿¿¿Identifier
3263¿BlockStatement¿¿5406¿¿¿¿{"start":{"line":5,"column":83},"end":{"line":5,"column":97},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿BlockStatement
3264¿Identifier¿¿5406¿e¿¿¿{"start":{"line":5,"column":80},"end":{"line":5,"column":81},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3265¿BlockStatement¿¿5406¿¿¿¿{"start":{"line":5,"column":34},"end":{"line":5,"column":99},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿BlockStatement
3266¿VariableDeclarator¿¿5404¿rejected¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":102},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3267¿FunctionExpression¿¿5404¿anon¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":102},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿FunctionExpression
3268¿Identifier¿¿0¿value¿¿¿{"start":{"line":6,"column":26},"end":{"line":6,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3269¿TryStatement¿¿5409¿¿¿¿{"start":{"line":6,"column":35},"end":{"line":6,"column":100},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿TryStatement
3270¿VariableDeclarator¿¿5409¿v301¿¿¿{"start":{"line":6,"column":46},"end":{"line":6,"column":71},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3271¿CallExpression¿¿5409¿¿¿¿{"start":{"line":6,"column":46},"end":{"line":6,"column":71},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿CallExpression
3272¿MemberExpression¿computed¿5409¿¿¿¿{"start":{"line":6,"column":46},"end":{"line":6,"column":64},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿MemberExpression
3273¿Identifier¿¿5409¿generator¿¿¿{"start":{"line":6,"column":46},"end":{"line":6,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3274¿Literal¿string¿5409¿¿'throw'¿¿{"start":{"line":6,"column":56},"end":{"line":6,"column":63},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Literal
3275¿Identifier¿¿5409¿value¿¿¿{"start":{"line":6,"column":65},"end":{"line":6,"column":70},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3276¿VariableDeclarator¿¿5409¿v302¿¿¿{"start":{"line":6,"column":41},"end":{"line":6,"column":72},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3277¿CallExpression¿¿5409¿¿¿¿{"start":{"line":6,"column":41},"end":{"line":6,"column":72},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿CallExpression
3278¿Identifier¿¿5409¿step¿¿¿{"start":{"line":6,"column":41},"end":{"line":6,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3279¿Identifier¿¿5409¿v301¿¿¿¿¿Identifier
3280¿ExpressionStatement¿¿5409¿¿¿¿{"start":{"line":6,"column":41},"end":{"line":6,"column":73},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿ExpressionStatement
3281¿Identifier¿¿5409¿v302¿¿¿¿¿Identifier
3282¿BlockStatement¿¿5409¿¿¿¿{"start":{"line":6,"column":39},"end":{"line":6,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿BlockStatement
3283¿CatchClause¿¿5409¿¿¿¿{"start":{"line":6,"column":76},"end":{"line":6,"column":100},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿CatchClause
3284¿VariableDeclarator¿¿5409¿v303¿¿¿{"start":{"line":6,"column":88},"end":{"line":6,"column":97},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3285¿CallExpression¿¿5409¿¿¿¿{"start":{"line":6,"column":88},"end":{"line":6,"column":97},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿CallExpression
3286¿Identifier¿¿5409¿reject¿¿¿{"start":{"line":6,"column":88},"end":{"line":6,"column":94},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3287¿Identifier¿¿5409¿e¿¿¿{"start":{"line":6,"column":95},"end":{"line":6,"column":96},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3288¿ExpressionStatement¿¿5409¿¿¿¿{"start":{"line":6,"column":88},"end":{"line":6,"column":98},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿ExpressionStatement
3289¿Identifier¿¿5409¿v303¿¿¿¿¿Identifier
3290¿BlockStatement¿¿5409¿¿¿¿{"start":{"line":6,"column":86},"end":{"line":6,"column":100},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿BlockStatement
3291¿Identifier¿¿5409¿e¿¿¿{"start":{"line":6,"column":83},"end":{"line":6,"column":84},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3292¿BlockStatement¿¿5409¿¿¿¿{"start":{"line":6,"column":33},"end":{"line":6,"column":102},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿BlockStatement
3293¿VariableDeclarator¿¿5404¿step¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":118},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3294¿FunctionExpression¿¿5404¿anon¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":118},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿FunctionExpression
3295¿Identifier¿¿0¿result¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3296¿VariableDeclarator¿¿5412¿v304¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3297¿MemberExpression¿¿5412¿¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿MemberExpression
3298¿Identifier¿¿5412¿result¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3299¿Identifier¿¿5412¿done¿¿¿{"start":{"line":7,"column":39},"end":{"line":7,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3300¿VariableDeclarator¿¿5412¿v305¿¿¿{"start":{"line":7,"column":54},"end":{"line":7,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3301¿MemberExpression¿¿5412¿¿¿¿{"start":{"line":7,"column":54},"end":{"line":7,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿MemberExpression
3302¿Identifier¿¿5412¿result¿¿¿{"start":{"line":7,"column":54},"end":{"line":7,"column":60},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3303¿Identifier¿¿5412¿value¿¿¿{"start":{"line":7,"column":61},"end":{"line":7,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3304¿VariableDeclarator¿¿5412¿v306¿¿¿{"start":{"line":7,"column":46},"end":{"line":7,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3305¿CallExpression¿¿5412¿¿¿¿{"start":{"line":7,"column":46},"end":{"line":7,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿CallExpression
3306¿Identifier¿¿5412¿resolve¿¿¿{"start":{"line":7,"column":46},"end":{"line":7,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3307¿Identifier¿¿5412¿v305¿¿¿¿¿Identifier
