Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1123¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":180,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Program
1150¿Identifier¿¿1958¿require¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1151¿Literal¿string¿1958¿¿'colors/safe'¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Literal
1152¿VariableDeclarator¿¿1958¿v114¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1153¿CallExpression¿¿1958¿¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿CallExpression
1154¿MemberExpression¿¿1958¿¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿MemberExpression
1155¿Identifier¿¿1958¿process¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1156¿Identifier¿¿1958¿cwd¿¿¿{"start":{"line":11,"column":32},"end":{"line":11,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1157¿VariableDeclarator¿¿1958¿options¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1158¿ObjectExpression¿¿1958¿¿¿¿¿¿ObjectExpression
1159¿ExpressionStatement¿¿1958¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿ExpressionStatement
1160¿AssignmentExpression¿=¿1958¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿AssignmentExpression
1161¿MemberExpression¿¿1958¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿MemberExpression
1162¿Identifier¿¿1958¿options¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1163¿Identifier¿¿1958¿folder¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1164¿Identifier¿¿1958¿v114¿¿¿¿¿Identifier
1165¿ExpressionStatement¿¿1958¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿ExpressionStatement
1166¿AssignmentExpression¿=¿1958¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿AssignmentExpression
1167¿MemberExpression¿¿1958¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿MemberExpression
1168¿Identifier¿¿1958¿options¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1169¿Identifier¿¿1958¿port¿¿¿{"start":{"line":11,"column":39},"end":{"line":11,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1170¿Literal¿number¿1958¿¿5000¿¿{"start":{"line":11,"column":45},"end":{"line":11,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Literal
1171¿ExpressionStatement¿¿1958¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿ExpressionStatement
1172¿AssignmentExpression¿=¿1958¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿AssignmentExpression
1173¿MemberExpression¿¿1958¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿MemberExpression
1174¿Identifier¿¿1958¿options¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1175¿Identifier¿¿1958¿cors¿¿¿{"start":{"line":11,"column":51},"end":{"line":11,"column":55},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1176¿Literal¿boolean¿1958¿¿false¿¿{"start":{"line":11,"column":57},"end":{"line":11,"column":62},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Literal
1177¿ExpressionStatement¿¿1958¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿ExpressionStatement
1178¿AssignmentExpression¿=¿1958¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿AssignmentExpression
1179¿MemberExpression¿¿1958¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿MemberExpression
1180¿Identifier¿¿1958¿options¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1181¿Identifier¿¿1958¿index¿¿¿{"start":{"line":11,"column":64},"end":{"line":11,"column":69},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1182¿Literal¿string¿1958¿¿'index.html'¿¿{"start":{"line":11,"column":71},"end":{"line":11,"column":83},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Literal
1183¿VariableDeclarator¿¿1958¿v115¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":62},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1184¿CallExpression¿¿1958¿¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":62},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿CallExpression
1185¿MemberExpression¿¿1958¿¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿MemberExpression
1186¿Identifier¿¿1958¿path¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1187¿Identifier¿¿1958¿resolve¿¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1188¿Identifier¿¿1958¿__dirname¿¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1189¿Literal¿string¿1958¿¿'./assets/error.html'¿¿{"start":{"line":14,"column":40},"end":{"line":14,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Literal
1190¿ExpressionStatement¿¿1958¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":63},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿ExpressionStatement
1191¿AssignmentExpression¿=¿1958¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":62},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿AssignmentExpression
1192¿MemberExpression¿¿1958¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿MemberExpression
1193¿Identifier¿¿1958¿options¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1194¿Identifier¿¿1958¿error¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1195¿Identifier¿¿1958¿v115¿¿¿¿¿Identifier
1196¿VariableDeclarator¿¿1958¿v116¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1197¿MemberExpression¿¿1958¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿MemberExpression
1198¿Identifier¿¿1958¿module¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":6},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1199¿Identifier¿¿1958¿exports¿¿¿{"start":{"line":17,"column":7},"end":{"line":17,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1200¿VariableDeclarator¿exported¿1958¿v130¿¿¿{"start":{"line":17,"column":0},"end":{"line":27,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1201¿FunctionExpression¿¿1958¿anon¿¿¿{"start":{"line":17,"column":21},"end":{"line":27,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿FunctionExpression
1202¿Identifier¿¿0¿key¿¿¿{"start":{"line":17,"column":30},"end":{"line":17,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1203¿Identifier¿¿0¿value¿¿¿{"start":{"line":17,"column":35},"end":{"line":17,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1204¿VariableDeclarator¿¿1960¿v117¿¿¿{"start":{"line":20,"column":12},"end":{"line":20,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1205¿MemberExpression¿computed¿1960¿¿¿¿{"start":{"line":20,"column":12},"end":{"line":20,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿MemberExpression
1206¿Identifier¿¿1960¿options¿¿¿{"start":{"line":20,"column":12},"end":{"line":20,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1207¿Identifier¿¿1960¿key¿¿¿{"start":{"line":20,"column":20},"end":{"line":20,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1208¿VariableDeclarator¿¿1960¿v118¿¿¿{"start":{"line":20,"column":5},"end":{"line":20,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1209¿UnaryExpression¿typeof¿1960¿¿¿¿{"start":{"line":20,"column":5},"end":{"line":20,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿UnaryExpression
1210¿Identifier¿¿1960¿v117¿¿¿¿¿Identifier
1211¿VariableDeclarator¿¿1960¿v119¿¿¿{"start":{"line":20,"column":5},"end":{"line":20,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1212¿BinaryExpression¿===¿1960¿¿¿¿{"start":{"line":20,"column":5},"end":{"line":20,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿BinaryExpression
1213¿Identifier¿¿1960¿v118¿¿¿¿¿Identifier
1214¿Literal¿string¿1960¿¿'undefined'¿¿{"start":{"line":20,"column":29},"end":{"line":20,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Literal
1215¿IfStatement¿¿1960¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":90},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿IfStatement
1216¿Identifier¿¿1960¿v119¿¿¿¿¿Identifier
1217¿VariableDeclarator¿¿1960¿v120¿¿¿{"start":{"line":20,"column":59},"end":{"line":20,"column":80},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1218¿BinaryExpression¿+¿1960¿¿¿¿{"start":{"line":20,"column":59},"end":{"line":20,"column":80},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿BinaryExpression
1219¿Literal¿string¿1960¿¿'Unknown key ''¿¿{"start":{"line":20,"column":59},"end":{"line":20,"column":74},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Literal
1220¿Identifier¿¿1960¿key¿¿¿{"start":{"line":20,"column":77},"end":{"line":20,"column":80},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1221¿VariableDeclarator¿¿1960¿v121¿¿¿{"start":{"line":20,"column":59},"end":{"line":20,"column":86},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1222¿BinaryExpression¿+¿1960¿¿¿¿{"start":{"line":20,"column":59},"end":{"line":20,"column":86},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿BinaryExpression
1223¿Identifier¿¿1960¿v120¿¿¿¿¿Identifier
1224¿Literal¿string¿1960¿¿'''¿¿{"start":{"line":20,"column":83},"end":{"line":20,"column":86},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Literal
1225¿VariableDeclarator¿¿1960¿v122¿¿¿{"start":{"line":20,"column":49},"end":{"line":20,"column":87},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1226¿NewExpression¿¿1960¿¿¿¿{"start":{"line":20,"column":49},"end":{"line":20,"column":87},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿NewExpression
1227¿Identifier¿¿1960¿Error¿¿¿{"start":{"line":20,"column":53},"end":{"line":20,"column":58},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1228¿Identifier¿¿1960¿v121¿¿¿¿¿Identifier
1229¿ThrowStatement¿¿1960¿¿¿¿{"start":{"line":20,"column":43},"end":{"line":20,"column":88},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿ThrowStatement
1230¿Identifier¿¿1960¿v122¿¿¿¿¿Identifier
1231¿BlockStatement¿¿1960¿¿¿¿{"start":{"line":20,"column":41},"end":{"line":20,"column":90},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿BlockStatement
1232¿VariableDeclarator¿¿1960¿v123¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1233¿MemberExpression¿computed¿1960¿¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿MemberExpression
1234¿Identifier¿¿1960¿options¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1235¿Identifier¿¿1960¿key¿¿¿{"start":{"line":23,"column":20},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1236¿VariableDeclarator¿¿1960¿v124¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1237¿UnaryExpression¿typeof¿1960¿¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿UnaryExpression
1238¿Identifier¿¿1960¿v123¿¿¿¿¿Identifier
1239¿VariableDeclarator¿¿1960¿v125¿¿¿{"start":{"line":23,"column":29},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1240¿UnaryExpression¿typeof¿1960¿¿¿¿{"start":{"line":23,"column":29},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿UnaryExpression
1241¿Identifier¿¿1960¿value¿¿¿{"start":{"line":23,"column":36},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1242¿VariableDeclarator¿¿1960¿v126¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1243¿BinaryExpression¿!==¿1960¿¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿BinaryExpression
1244¿Identifier¿¿1960¿v124¿¿¿¿¿Identifier
1245¿Identifier¿¿1960¿v125¿¿¿¿¿Identifier
1246¿IfStatement¿¿1960¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":96},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿IfStatement
1247¿Identifier¿¿1960¿v126¿¿¿¿¿Identifier
1248¿VariableDeclarator¿¿1960¿v127¿¿¿{"start":{"line":23,"column":60},"end":{"line":23,"column":86},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1249¿BinaryExpression¿+¿1960¿¿¿¿{"start":{"line":23,"column":60},"end":{"line":23,"column":86},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿BinaryExpression
1250¿Literal¿string¿1960¿¿'Invalid key type ''¿¿{"start":{"line":23,"column":60},"end":{"line":23,"column":80},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Literal
1251¿Identifier¿¿1960¿key¿¿¿{"start":{"line":23,"column":83},"end":{"line":23,"column":86},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1252¿VariableDeclarator¿¿1960¿v128¿¿¿{"start":{"line":23,"column":60},"end":{"line":23,"column":92},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1253¿BinaryExpression¿+¿1960¿¿¿¿{"start":{"line":23,"column":60},"end":{"line":23,"column":92},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿BinaryExpression
1254¿Identifier¿¿1960¿v127¿¿¿¿¿Identifier
1255¿Literal¿string¿1960¿¿'''¿¿{"start":{"line":23,"column":89},"end":{"line":23,"column":92},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Literal
1256¿VariableDeclarator¿¿1960¿v129¿¿¿{"start":{"line":23,"column":50},"end":{"line":23,"column":93},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿VariableDeclarator
1257¿NewExpression¿¿1960¿¿¿¿{"start":{"line":23,"column":50},"end":{"line":23,"column":93},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿NewExpression
1258¿Identifier¿¿1960¿Error¿¿¿{"start":{"line":23,"column":54},"end":{"line":23,"column":59},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿Identifier
1259¿Identifier¿¿1960¿v128¿¿¿¿¿Identifier
1260¿ThrowStatement¿¿1960¿¿¿¿{"start":{"line":23,"column":44},"end":{"line":23,"column":94},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿ThrowStatement
1261¿Identifier¿¿1960¿v129¿¿¿¿¿Identifier
1262¿BlockStatement¿¿1960¿¿¿¿{"start":{"line":23,"column":42},"end":{"line":23,"column":96},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿BlockStatement
1263¿ExpressionStatement¿¿1960¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/stattic_0.2.3/src/index.js"}¿¿ExpressionStatement
