Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2401¿Program¿¿-1¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":324,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Program
2441¿Literal¿string¿4163¿¿'fs-extra'¿¿{"start":{"line":19,"column":43},"end":{"line":19,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2442¿VariableDeclarator¿¿4163¿fsExtra¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2443¿CallExpression¿¿4163¿¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2444¿MemberExpression¿¿4163¿¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿MemberExpression
2445¿Identifier¿¿4163¿Promise¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2446¿Identifier¿¿4163¿promisifyAll¿¿¿{"start":{"line":19,"column":22},"end":{"line":19,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2447¿Identifier¿¿4163¿v262¿¿¿¿¿Identifier
2448¿VariableDeclarator¿¿4163¿v263¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2449¿CallExpression¿¿4163¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2450¿Identifier¿¿4163¿require¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2451¿Literal¿string¿4163¿¿'strong-globalize'¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2452¿VariableDeclarator¿¿4163¿g¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2453¿CallExpression¿¿4163¿¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2454¿Identifier¿¿4163¿v263¿¿¿¿¿Identifier
2455¿VariableDeclarator¿¿4163¿v264¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2456¿CallExpression¿¿4163¿¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2457¿Identifier¿¿4163¿require¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2458¿Literal¿string¿4163¿¿'apiconnect-config'¿¿{"start":{"line":21,"column":27},"end":{"line":21,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2459¿VariableDeclarator¿¿4163¿getConfigDir¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2460¿MemberExpression¿¿4163¿¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿MemberExpression
2461¿Identifier¿¿4163¿v264¿¿¿¿¿Identifier
2462¿Identifier¿¿4163¿getUserConfigDir¿¿¿{"start":{"line":21,"column":48},"end":{"line":21,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2463¿VariableDeclarator¿¿4163¿v265¿¿¿{"start":{"line":22,"column":31},"end":{"line":22,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2464¿CallExpression¿¿4163¿¿¿¿{"start":{"line":22,"column":31},"end":{"line":22,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2465¿Identifier¿¿4163¿require¿¿¿{"start":{"line":22,"column":31},"end":{"line":22,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2466¿Literal¿string¿4163¿¿'mkdirp'¿¿{"start":{"line":22,"column":39},"end":{"line":22,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2467¿VariableDeclarator¿¿4163¿mkdirp¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2468¿CallExpression¿¿4163¿¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2469¿MemberExpression¿¿4163¿¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿MemberExpression
2470¿Identifier¿¿4163¿Promise¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2471¿Identifier¿¿4163¿promisify¿¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2472¿Identifier¿¿4163¿v265¿¿¿¿¿Identifier
2473¿VariableDeclarator¿¿4163¿v266¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2474¿CallExpression¿¿4163¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2475¿Identifier¿¿4163¿require¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2476¿Literal¿string¿4163¿¿'./util'¿¿{"start":{"line":23,"column":23},"end":{"line":23,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2477¿VariableDeclarator¿¿4163¿mktmpdir¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2478¿MemberExpression¿¿4163¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿MemberExpression
2479¿Identifier¿¿4163¿v266¿¿¿¿¿Identifier
2480¿Identifier¿¿4163¿mktmpdir¿¿¿{"start":{"line":23,"column":33},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2481¿VariableDeclarator¿¿4163¿path¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2482¿CallExpression¿¿4163¿¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2483¿Identifier¿¿4163¿require¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2484¿Literal¿string¿4163¿¿'path'¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2485¿VariableDeclarator¿¿4163¿util¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2486¿CallExpression¿¿4163¿¿¿¿{"start":{"line":25,"column":11},"end":{"line":25,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2487¿Identifier¿¿4163¿require¿¿¿{"start":{"line":25,"column":11},"end":{"line":25,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2488¿Literal¿string¿4163¿¿'util'¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2489¿VariableDeclarator¿¿4163¿v267¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2490¿CallExpression¿¿4163¿¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2491¿Identifier¿¿4163¿require¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2492¿Literal¿string¿4163¿¿'shelljs'¿¿{"start":{"line":26,"column":20},"end":{"line":26,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2493¿VariableDeclarator¿¿4163¿which¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2494¿MemberExpression¿¿4163¿¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿MemberExpression
2495¿Identifier¿¿4163¿v267¿¿¿¿¿Identifier
2496¿Identifier¿¿4163¿which¿¿¿{"start":{"line":26,"column":31},"end":{"line":26,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2497¿VariableDeclarator¿¿4163¿v268¿¿¿{"start":{"line":28,"column":37},"end":{"line":28,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2498¿MemberExpression¿¿4163¿¿¿¿{"start":{"line":28,"column":37},"end":{"line":28,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿MemberExpression
2499¿Identifier¿¿4163¿fs¿¿¿{"start":{"line":28,"column":37},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2500¿Identifier¿¿4163¿readdir¿¿¿{"start":{"line":28,"column":40},"end":{"line":28,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2501¿VariableDeclarator¿¿4163¿readDirAsync¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2502¿CallExpression¿¿4163¿¿¿¿{"start":{"line":28,"column":19},"end":{"line":28,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2503¿MemberExpression¿¿4163¿¿¿¿{"start":{"line":28,"column":19},"end":{"line":28,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿MemberExpression
2504¿Identifier¿¿4163¿Promise¿¿¿{"start":{"line":28,"column":19},"end":{"line":28,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2505¿Identifier¿¿4163¿promisify¿¿¿{"start":{"line":28,"column":27},"end":{"line":28,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2506¿Identifier¿¿4163¿v268¿¿¿¿¿Identifier
2507¿VariableDeclarator¿¿4163¿v269¿¿¿{"start":{"line":30,"column":37},"end":{"line":30,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2508¿CallExpression¿¿4163¿¿¿¿{"start":{"line":30,"column":37},"end":{"line":30,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2509¿Identifier¿¿4163¿getConfigDir¿¿¿{"start":{"line":30,"column":37},"end":{"line":30,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2510¿VariableDeclarator¿¿4163¿userPluginBaseDir¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":79},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2511¿CallExpression¿¿4163¿¿¿¿{"start":{"line":30,"column":24},"end":{"line":30,"column":79},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2512¿MemberExpression¿¿4163¿¿¿¿{"start":{"line":30,"column":24},"end":{"line":30,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿MemberExpression
2513¿Identifier¿¿4163¿path¿¿¿{"start":{"line":30,"column":24},"end":{"line":30,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2514¿Identifier¿¿4163¿resolve¿¿¿{"start":{"line":30,"column":29},"end":{"line":30,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2515¿Identifier¿¿4163¿v269¿¿¿¿¿Identifier
2516¿Literal¿string¿4163¿¿'plugins'¿¿{"start":{"line":30,"column":53},"end":{"line":30,"column":62},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2517¿Literal¿string¿4163¿¿'node_modules'¿¿{"start":{"line":30,"column":64},"end":{"line":30,"column":78},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2518¿VariableDeclarator¿¿4163¿ensureUserPluginDir¿¿¿{"start":{"line":31,"column":0},"end":{"line":33,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2519¿FunctionExpression¿¿4163¿anon¿¿¿{"start":{"line":31,"column":0},"end":{"line":33,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿FunctionExpression
2520¿VariableDeclarator¿¿4165¿v270¿¿¿{"start":{"line":32,"column":9},"end":{"line":32,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2521¿CallExpression¿¿4165¿¿¿¿{"start":{"line":32,"column":9},"end":{"line":32,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2522¿Identifier¿¿4165¿mkdirp¿¿¿{"start":{"line":32,"column":9},"end":{"line":32,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
