Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1131¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":156,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Program
1152¿Identifier¿¿1961¿require¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1153¿Literal¿string¿1961¿¿'shell-escape'¿¿{"start":{"line":5,"column":26},"end":{"line":5,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Literal
1154¿VariableDeclarator¿¿1961¿v116¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1155¿ObjectExpression¿¿1961¿¿¿¿¿¿ObjectExpression
1156¿ExpressionStatement¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ExpressionStatement
1157¿AssignmentExpression¿=¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿AssignmentExpression
1158¿MemberExpression¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿MemberExpression
1159¿Identifier¿¿1961¿v116¿¿¿¿¿Identifier
1160¿Identifier¿¿1961¿gitUrl¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1161¿Identifier¿¿1961¿gitUrl¿¿¿{"start":{"line":8,"column":10},"end":{"line":8,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1162¿ExpressionStatement¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ExpressionStatement
1163¿AssignmentExpression¿=¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿AssignmentExpression
1164¿MemberExpression¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿MemberExpression
1165¿Identifier¿¿1961¿v116¿¿¿¿¿Identifier
1166¿Identifier¿¿1961¿sshUrl¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1167¿Identifier¿¿1961¿sshUrl¿¿¿{"start":{"line":9,"column":10},"end":{"line":9,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1168¿ExpressionStatement¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ExpressionStatement
1169¿AssignmentExpression¿=¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿AssignmentExpression
1170¿MemberExpression¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿MemberExpression
1171¿Identifier¿¿1961¿v116¿¿¿¿¿Identifier
1172¿Identifier¿¿1961¿httpUrl¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1173¿Identifier¿¿1961¿httpUrl¿¿¿{"start":{"line":10,"column":11},"end":{"line":10,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1174¿ExpressionStatement¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ExpressionStatement
1175¿AssignmentExpression¿=¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿AssignmentExpression
1176¿MemberExpression¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿MemberExpression
1177¿Identifier¿¿1961¿v116¿¿¿¿¿Identifier
1178¿Identifier¿¿1961¿gitCmd¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1179¿Identifier¿¿1961¿gitCmd¿¿¿{"start":{"line":11,"column":10},"end":{"line":11,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1180¿ExpressionStatement¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ExpressionStatement
1181¿AssignmentExpression¿=¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿AssignmentExpression
1182¿MemberExpression¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿MemberExpression
1183¿Identifier¿¿1961¿v116¿¿¿¿¿Identifier
1184¿Identifier¿¿1961¿gitaneCmd¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1185¿Identifier¿¿1961¿gitaneCmd¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1186¿ExpressionStatement¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ExpressionStatement
1187¿AssignmentExpression¿=¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿AssignmentExpression
1188¿MemberExpression¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿MemberExpression
1189¿Identifier¿¿1961¿v116¿¿¿¿¿Identifier
1190¿Identifier¿¿1961¿processBranches¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1191¿Identifier¿¿1961¿processBranches¿¿¿{"start":{"line":13,"column":19},"end":{"line":13,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1192¿ExpressionStatement¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ExpressionStatement
1193¿AssignmentExpression¿=¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿AssignmentExpression
1194¿MemberExpression¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿MemberExpression
1195¿Identifier¿¿1961¿v116¿¿¿¿¿Identifier
1196¿Identifier¿¿1961¿getBranches¿¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1197¿Identifier¿¿1961¿getBranches¿¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1198¿ExpressionStatement¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ExpressionStatement
1199¿AssignmentExpression¿=¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿AssignmentExpression
1200¿MemberExpression¿¿1961¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿MemberExpression
1201¿Identifier¿¿1961¿v116¿¿¿¿¿Identifier
1202¿Identifier¿¿1961¿shellEscape¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1203¿Identifier¿¿1961¿shellEscape¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1204¿ExpressionStatement¿¿1961¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":16,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ExpressionStatement
1205¿AssignmentExpression¿=¿1961¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿AssignmentExpression
1206¿MemberExpression¿¿1961¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿MemberExpression
1207¿Identifier¿¿1961¿module¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1208¿Identifier¿¿1961¿exports¿¿¿{"start":{"line":7,"column":7},"end":{"line":7,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1209¿Identifier¿¿1961¿v116¿¿¿¿¿Identifier
1210¿VariableDeclarator¿¿1961¿gitane¿¿¿{"start":{"line":18,"column":0},"end":{"line":24,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1211¿FunctionExpression¿¿1961¿anon¿¿¿{"start":{"line":18,"column":0},"end":{"line":24,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿FunctionExpression
1212¿Identifier¿¿0¿context¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1213¿VariableDeclarator¿¿1963¿v117¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1214¿MemberExpression¿¿1963¿¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿MemberExpression
1215¿Identifier¿¿1963¿context¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1216¿Identifier¿¿1963¿runnerId¿¿¿{"start":{"line":19,"column":25},"end":{"line":19,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1217¿VariableDeclarator¿¿1963¿v118¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1218¿BinaryExpression¿==¿1963¿¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿BinaryExpression
1219¿Identifier¿¿1963¿v117¿¿¿¿¿Identifier
1220¿Literal¿string¿1963¿¿'docker'¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Literal
1221¿VariableDeclarator¿¿1963¿v119¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1222¿LogicalExpression¿&&¿1963¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿LogicalExpression
1223¿Identifier¿¿1963¿context¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1224¿Identifier¿¿1963¿v118¿¿¿¿¿Identifier
1225¿IfStatement¿¿1963¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":23,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿IfStatement
1226¿Identifier¿¿1963¿v119¿¿¿¿¿Identifier
1227¿VariableDeclarator¿¿1963¿v120¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1228¿CallExpression¿¿1963¿¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿CallExpression
1229¿Identifier¿¿1963¿require¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1230¿Literal¿string¿1963¿¿'strider-docker-gitane-camo'¿¿{"start":{"line":20,"column":19},"end":{"line":20,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Literal
1231¿ReturnStatement¿¿1963¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ReturnStatement
1232¿Identifier¿¿1963¿v120¿¿¿¿¿Identifier
1233¿BlockStatement¿¿1963¿¿¿¿{"start":{"line":19,"column":47},"end":{"line":21,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿BlockStatement
1234¿VariableDeclarator¿¿1963¿v121¿¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1235¿CallExpression¿¿1963¿¿¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿CallExpression
1236¿Identifier¿¿1963¿require¿¿¿{"start":{"line":22,"column":11},"end":{"line":22,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1237¿Literal¿string¿1963¿¿'gitane'¿¿{"start":{"line":22,"column":19},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Literal
1238¿ReturnStatement¿¿1963¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ReturnStatement
1239¿Identifier¿¿1963¿v121¿¿¿¿¿Identifier
1240¿BlockStatement¿¿1963¿¿¿¿{"start":{"line":21,"column":9},"end":{"line":23,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿BlockStatement
1241¿BlockStatement¿¿1963¿¿¿¿{"start":{"line":18,"column":25},"end":{"line":24,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿BlockStatement
1242¿VariableDeclarator¿exported¿1961¿shellEscape¿¿¿{"start":{"line":26,"column":0},"end":{"line":32,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1243¿FunctionExpression¿¿1961¿anon¿¿¿{"start":{"line":26,"column":0},"end":{"line":32,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿FunctionExpression
1244¿Identifier¿¿0¿one¿¿¿{"start":{"line":26,"column":21},"end":{"line":26,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1245¿VariableDeclarator¿¿1966¿v122¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1246¿UnaryExpression¿!¿1966¿¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿UnaryExpression
1247¿Identifier¿¿1966¿one¿¿¿{"start":{"line":27,"column":7},"end":{"line":27,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1248¿IfStatement¿¿1966¿¿¿¿{"start":{"line":27,"column":2},"end":{"line":29,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿IfStatement
1249¿Identifier¿¿1966¿v122¿¿¿¿¿Identifier
1250¿VariableDeclarator¿¿1966¿v123¿¿¿{"start":{"line":28,"column":10},"end":{"line":28,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1251¿NewExpression¿¿1966¿¿¿¿{"start":{"line":28,"column":10},"end":{"line":28,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿NewExpression
1252¿Identifier¿¿1966¿Error¿¿¿{"start":{"line":28,"column":14},"end":{"line":28,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1253¿Literal¿string¿1966¿¿'trying to escape nothing'¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Literal
1254¿Identifier¿¿1966¿one¿¿¿{"start":{"line":28,"column":48},"end":{"line":28,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1255¿ThrowStatement¿¿1966¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ThrowStatement
1256¿Identifier¿¿1966¿v123¿¿¿¿¿Identifier
1257¿BlockStatement¿¿1966¿¿¿¿{"start":{"line":27,"column":12},"end":{"line":29,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿BlockStatement
1258¿VariableDeclarator¿¿1966¿v124¿¿¿{"start":{"line":31,"column":21},"end":{"line":31,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1259¿ArrayExpression¿¿1966¿¿¿¿{"start":{"line":31,"column":21},"end":{"line":31,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ArrayExpression
1260¿Identifier¿¿1966¿one¿¿¿{"start":{"line":31,"column":22},"end":{"line":31,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1261¿VariableDeclarator¿¿1966¿v125¿¿¿{"start":{"line":31,"column":9},"end":{"line":31,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1262¿CallExpression¿¿1966¿¿¿¿{"start":{"line":31,"column":9},"end":{"line":31,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿CallExpression
1263¿Identifier¿¿1966¿shellescape¿¿¿{"start":{"line":31,"column":9},"end":{"line":31,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1264¿Identifier¿¿1966¿v124¿¿¿¿¿Identifier
1265¿ReturnStatement¿¿1966¿¿¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿ReturnStatement
1266¿Identifier¿¿1966¿v125¿¿¿¿¿Identifier
1267¿BlockStatement¿¿1966¿¿¿¿{"start":{"line":26,"column":26},"end":{"line":32,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿BlockStatement
1268¿VariableDeclarator¿exported¿1961¿gitUrl¿¿¿{"start":{"line":35,"column":0},"end":{"line":37,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1269¿FunctionExpression¿¿1961¿anon¿¿¿{"start":{"line":35,"column":0},"end":{"line":37,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿FunctionExpression
1270¿Identifier¿¿0¿config¿¿¿{"start":{"line":35,"column":16},"end":{"line":35,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿Identifier
1271¿VariableDeclarator¿¿1969¿v126¿¿¿{"start":{"line":36,"column":10},"end":{"line":36,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿VariableDeclarator
1272¿MemberExpression¿¿1969¿¿¿¿{"start":{"line":36,"column":10},"end":{"line":36,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/strider-git_1.0.3/src/index.js"}¿¿MemberExpression
