Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
743¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":132,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Program
773¿Identifier¿¿1257¿accessSync¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
774¿VariableDeclarator¿¿1257¿v74¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
775¿MemberExpression¿¿1257¿¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿MemberExpression
776¿Identifier¿¿1257¿fs¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
777¿Identifier¿¿1257¿constants¿¿¿{"start":{"line":8,"column":19},"end":{"line":8,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
778¿VariableDeclarator¿¿1257¿constants¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
779¿LogicalExpression¿||¿1257¿¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿LogicalExpression
780¿Identifier¿¿1257¿v74¿¿¿¿¿Identifier
781¿Identifier¿¿1257¿fs¿¿¿{"start":{"line":8,"column":32},"end":{"line":8,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
782¿VariableDeclarator¿¿1257¿v75¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
783¿MemberExpression¿¿1257¿¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿MemberExpression
784¿Identifier¿¿1257¿process¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
785¿Identifier¿¿1257¿platform¿¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
786¿VariableDeclarator¿¿1257¿isUsingWindows¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
787¿BinaryExpression¿==¿1257¿¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿BinaryExpression
788¿Identifier¿¿1257¿v75¿¿¿¿¿Identifier
789¿Literal¿string¿1257¿¿'win32'¿¿{"start":{"line":10,"column":41},"end":{"line":10,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Literal
790¿VariableDeclarator¿¿1257¿fileNotExists¿¿¿{"start":{"line":12,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
791¿FunctionExpression¿¿1257¿anon¿¿¿{"start":{"line":12,"column":20},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿FunctionExpression
792¿Identifier¿¿0¿commandName¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
793¿Identifier¿¿0¿callback¿¿¿{"start":{"line":12,"column":42},"end":{"line":12,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
794¿VariableDeclarator¿¿1259¿v76¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
795¿MemberExpression¿¿1259¿¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿MemberExpression
796¿Identifier¿¿1259¿constants¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
797¿Identifier¿¿1259¿F_OK¿¿¿{"start":{"line":13,"column":34},"end":{"line":13,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
798¿VariableDeclarator¿¿1259¿v79¿¿¿{"start":{"line":14,"column":4},"end":{"line":16,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
799¿FunctionExpression¿¿1259¿anon¿¿¿{"start":{"line":14,"column":4},"end":{"line":16,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿FunctionExpression
800¿Identifier¿¿0¿err¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
801¿VariableDeclarator¿¿1261¿v77¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
802¿UnaryExpression¿!¿1261¿¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿UnaryExpression
803¿Identifier¿¿1261¿err¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
804¿VariableDeclarator¿¿1261¿v78¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
805¿CallExpression¿¿1261¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿CallExpression
806¿Identifier¿¿1261¿callback¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
807¿Identifier¿¿1261¿v77¿¿¿¿¿Identifier
808¿ExpressionStatement¿¿1261¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿ExpressionStatement
809¿Identifier¿¿1261¿v78¿¿¿¿¿Identifier
810¿BlockStatement¿¿1261¿¿¿¿{"start":{"line":14,"column":17},"end":{"line":16,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿BlockStatement
811¿VariableDeclarator¿¿1259¿v80¿¿¿{"start":{"line":13,"column":4},"end":{"line":16,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
812¿CallExpression¿¿1259¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":16,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿CallExpression
813¿Identifier¿¿1259¿access¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
814¿Identifier¿¿1259¿commandName¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
815¿Identifier¿¿1259¿v76¿¿¿¿¿Identifier
816¿Identifier¿¿1259¿v79¿¿¿¿¿Identifier
817¿ExpressionStatement¿¿1259¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":16,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿ExpressionStatement
818¿Identifier¿¿1259¿v80¿¿¿¿¿Identifier
819¿BlockStatement¿¿1259¿¿¿¿{"start":{"line":12,"column":51},"end":{"line":17,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿BlockStatement
820¿VariableDeclarator¿¿1257¿fileNotExistsSync¿¿¿{"start":{"line":19,"column":4},"end":{"line":26,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
821¿FunctionExpression¿¿1257¿anon¿¿¿{"start":{"line":19,"column":24},"end":{"line":26,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿FunctionExpression
822¿Identifier¿¿0¿commandName¿¿¿{"start":{"line":19,"column":33},"end":{"line":19,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
823¿TryStatement¿¿1263¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":25,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿TryStatement
824¿VariableDeclarator¿¿1263¿v81¿¿¿{"start":{"line":21,"column":32},"end":{"line":21,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
825¿MemberExpression¿¿1263¿¿¿¿{"start":{"line":21,"column":32},"end":{"line":21,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿MemberExpression
826¿Identifier¿¿1263¿constants¿¿¿{"start":{"line":21,"column":32},"end":{"line":21,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
827¿Identifier¿¿1263¿F_OK¿¿¿{"start":{"line":21,"column":42},"end":{"line":21,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
828¿VariableDeclarator¿¿1263¿v82¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
829¿CallExpression¿¿1263¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿CallExpression
830¿Identifier¿¿1263¿accessSync¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
831¿Identifier¿¿1263¿commandName¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
832¿Identifier¿¿1263¿v81¿¿¿¿¿Identifier
833¿ExpressionStatement¿¿1263¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿ExpressionStatement
834¿Identifier¿¿1263¿v82¿¿¿¿¿Identifier
835¿ReturnStatement¿¿1263¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿ReturnStatement
836¿Literal¿boolean¿1263¿¿false¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Literal
837¿BlockStatement¿¿1263¿¿¿¿{"start":{"line":20,"column":7},"end":{"line":23,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿BlockStatement
838¿CatchClause¿¿1263¿¿¿¿{"start":{"line":23,"column":5},"end":{"line":25,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿CatchClause
839¿ReturnStatement¿¿1263¿¿¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿ReturnStatement
840¿Literal¿boolean¿1263¿¿true¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Literal
841¿BlockStatement¿¿1263¿¿¿¿{"start":{"line":23,"column":13},"end":{"line":25,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿BlockStatement
842¿Identifier¿¿1263¿e¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
843¿BlockStatement¿¿1263¿¿¿¿{"start":{"line":19,"column":45},"end":{"line":26,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿BlockStatement
844¿VariableDeclarator¿¿1257¿localExecutable¿¿¿{"start":{"line":28,"column":4},"end":{"line":33,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
845¿FunctionExpression¿¿1257¿anon¿¿¿{"start":{"line":28,"column":22},"end":{"line":33,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿FunctionExpression
846¿Identifier¿¿0¿commandName¿¿¿{"start":{"line":28,"column":31},"end":{"line":28,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
847¿Identifier¿¿0¿callback¿¿¿{"start":{"line":28,"column":44},"end":{"line":28,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
848¿VariableDeclarator¿¿1266¿v83¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
849¿MemberExpression¿¿1266¿¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿MemberExpression
850¿Identifier¿¿1266¿constants¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
851¿Identifier¿¿1266¿F_OK¿¿¿{"start":{"line":29,"column":34},"end":{"line":29,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
852¿VariableDeclarator¿¿1266¿v84¿¿¿{"start":{"line":29,"column":41},"end":{"line":29,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
853¿MemberExpression¿¿1266¿¿¿¿{"start":{"line":29,"column":41},"end":{"line":29,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿MemberExpression
854¿Identifier¿¿1266¿constants¿¿¿{"start":{"line":29,"column":41},"end":{"line":29,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
855¿Identifier¿¿1266¿X_OK¿¿¿{"start":{"line":29,"column":51},"end":{"line":29,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
856¿VariableDeclarator¿¿1266¿v85¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
857¿BinaryExpression¿|¿1266¿¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿BinaryExpression
858¿Identifier¿¿1266¿v83¿¿¿¿¿Identifier
859¿Identifier¿¿1266¿v84¿¿¿¿¿Identifier
860¿VariableDeclarator¿¿1266¿v88¿¿¿{"start":{"line":30,"column":8},"end":{"line":32,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
861¿FunctionExpression¿¿1266¿anon¿¿¿{"start":{"line":30,"column":8},"end":{"line":32,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿FunctionExpression
862¿Identifier¿¿0¿err¿¿¿{"start":{"line":30,"column":17},"end":{"line":30,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
863¿VariableDeclarator¿¿1268¿v86¿¿¿{"start":{"line":31,"column":23},"end":{"line":31,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
864¿UnaryExpression¿!¿1268¿¿¿¿{"start":{"line":31,"column":23},"end":{"line":31,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿UnaryExpression
865¿Identifier¿¿1268¿err¿¿¿{"start":{"line":31,"column":24},"end":{"line":31,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
866¿VariableDeclarator¿¿1268¿v87¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
867¿CallExpression¿¿1268¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿CallExpression
868¿Identifier¿¿1268¿callback¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
869¿Literal¿object¿1268¿¿null¿¿{"start":{"line":31,"column":17},"end":{"line":31,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Literal
870¿Identifier¿¿1268¿v86¿¿¿¿¿Identifier
871¿ExpressionStatement¿¿1268¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿ExpressionStatement
872¿Identifier¿¿1268¿v87¿¿¿¿¿Identifier
873¿BlockStatement¿¿1268¿¿¿¿{"start":{"line":30,"column":21},"end":{"line":32,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿BlockStatement
874¿VariableDeclarator¿¿1266¿v89¿¿¿{"start":{"line":29,"column":4},"end":{"line":32,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
875¿CallExpression¿¿1266¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":32,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿CallExpression
876¿Identifier¿¿1266¿access¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
877¿Identifier¿¿1266¿commandName¿¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
878¿Identifier¿¿1266¿v85¿¿¿¿¿Identifier
879¿Identifier¿¿1266¿v88¿¿¿¿¿Identifier
880¿ExpressionStatement¿¿1266¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":32,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿ExpressionStatement
881¿Identifier¿¿1266¿v89¿¿¿¿¿Identifier
882¿BlockStatement¿¿1266¿¿¿¿{"start":{"line":28,"column":53},"end":{"line":33,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿BlockStatement
883¿VariableDeclarator¿¿1257¿localExecutableSync¿¿¿{"start":{"line":35,"column":4},"end":{"line":42,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
884¿FunctionExpression¿¿1257¿anon¿¿¿{"start":{"line":35,"column":26},"end":{"line":42,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿FunctionExpression
885¿Identifier¿¿0¿commandName¿¿¿{"start":{"line":35,"column":35},"end":{"line":35,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
886¿TryStatement¿¿1270¿¿¿¿{"start":{"line":36,"column":4},"end":{"line":41,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿TryStatement
887¿VariableDeclarator¿¿1270¿v90¿¿¿{"start":{"line":37,"column":32},"end":{"line":37,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
888¿MemberExpression¿¿1270¿¿¿¿{"start":{"line":37,"column":32},"end":{"line":37,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿MemberExpression
889¿Identifier¿¿1270¿constants¿¿¿{"start":{"line":37,"column":32},"end":{"line":37,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
890¿Identifier¿¿1270¿F_OK¿¿¿{"start":{"line":37,"column":42},"end":{"line":37,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
