Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
915¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":71,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Program
928¿Identifier¿¿1589¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
929¿Literal¿string¿1589¿¿'yargs'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Literal
930¿VariableDeclarator¿¿1589¿v97¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
931¿MemberExpression¿¿1589¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
932¿Identifier¿¿1589¿v96¿¿¿¿¿Identifier
933¿Identifier¿¿1589¿argv¿¿¿{"start":{"line":3,"column":31},"end":{"line":3,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
934¿VariableDeclarator¿¿1589¿v98¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
935¿MemberExpression¿¿1589¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
936¿Identifier¿¿1589¿v97¿¿¿¿¿Identifier
937¿Identifier¿¿1589¿_¿¿¿{"start":{"line":3,"column":36},"end":{"line":3,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
938¿VariableDeclarator¿¿1589¿mainPid¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
939¿MemberExpression¿computed¿1589¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
940¿Identifier¿¿1589¿v98¿¿¿¿¿Identifier
941¿Literal¿number¿1589¿¿0¿¿{"start":{"line":3,"column":38},"end":{"line":3,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Literal
942¿VariableDeclarator¿¿1589¿Process¿¿¿{"start":{"line":5,"column":0},"end":{"line":9,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
943¿FunctionExpression¿¿1589¿Process¿¿¿{"start":{"line":6,"column":13},"end":{"line":8,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿FunctionExpression
944¿Identifier¿¿0¿pid¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
945¿Identifier¿¿0¿name¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
946¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿AssignmentPattern
947¿VariableDeclarator¿¿1591¿v99¿¿¿{"start":{"line":7,"column":5},"end":{"line":7,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
948¿MemberExpression¿¿1591¿¿¿¿{"start":{"line":7,"column":5},"end":{"line":7,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
949¿ThisExpression¿¿1591¿¿¿¿{"start":{"line":7,"column":5},"end":{"line":7,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ThisExpression
950¿Identifier¿¿1591¿pid¿¿¿{"start":{"line":7,"column":10},"end":{"line":7,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
951¿VariableDeclarator¿¿1591¿v100¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
952¿MemberExpression¿¿1591¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
953¿ThisExpression¿¿1591¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ThisExpression
954¿Identifier¿¿1591¿name¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
955¿VariableDeclarator¿¿1591¿v101¿¿¿{"start":{"line":7,"column":26},"end":{"line":7,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
956¿MemberExpression¿¿1591¿¿¿¿{"start":{"line":7,"column":26},"end":{"line":7,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
957¿ThisExpression¿¿1591¿¿¿¿{"start":{"line":7,"column":26},"end":{"line":7,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ThisExpression
958¿Identifier¿¿1591¿level¿¿¿{"start":{"line":7,"column":31},"end":{"line":7,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
959¿VariableDeclarator¿¿1591¿v102¿¿¿{"start":{"line":7,"column":38},"end":{"line":7,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
960¿MemberExpression¿¿1591¿¿¿¿{"start":{"line":7,"column":38},"end":{"line":7,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
961¿ThisExpression¿¿1591¿¿¿¿{"start":{"line":7,"column":38},"end":{"line":7,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ThisExpression
962¿Identifier¿¿1591¿children¿¿¿{"start":{"line":7,"column":43},"end":{"line":7,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
963¿VariableDeclarator¿¿1591¿v103¿¿¿{"start":{"line":7,"column":74},"end":{"line":7,"column":76},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
964¿ArrayExpression¿¿1591¿¿¿¿{"start":{"line":7,"column":74},"end":{"line":7,"column":76},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ArrayExpression
965¿ExpressionStatement¿¿1591¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":78},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ExpressionStatement
966¿AssignmentExpression¿=¿1591¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":77},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿AssignmentExpression
967¿ArrayPattern¿¿1591¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ArrayPattern
968¿ArrayExpression¿¿1591¿¿¿¿{"start":{"line":7,"column":55},"end":{"line":7,"column":77},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ArrayExpression
969¿Identifier¿¿1591¿pid¿¿¿{"start":{"line":7,"column":56},"end":{"line":7,"column":59},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
970¿Identifier¿¿1591¿name¿¿¿{"start":{"line":7,"column":61},"end":{"line":7,"column":65},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
971¿Identifier¿¿1591¿level¿¿¿{"start":{"line":7,"column":67},"end":{"line":7,"column":72},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
972¿Identifier¿¿1591¿v103¿¿¿¿¿Identifier
973¿BlockStatement¿¿1591¿¿¿¿{"start":{"line":6,"column":34},"end":{"line":8,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿BlockStatement
974¿ExpressionStatement¿¿1589¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":9,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ExpressionStatement
975¿AssignmentExpression¿=¿1589¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":9,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿AssignmentExpression
976¿MemberExpression¿computed¿1589¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":9,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
977¿Identifier¿¿1589¿Process¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
978¿Literal¿string¿1589¿¿is_class¿¿¿¿Literal
979¿Literal¿boolean¿1589¿¿true¿¿¿¿Literal
980¿VariableDeclarator¿exported¿1589¿v125¿¿¿{"start":{"line":14,"column":19},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
981¿FunctionExpression¿¿1589¿anon¿¿¿{"start":{"line":14,"column":19},"end":{"line":25,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿FunctionExpression
982¿Identifier¿¿0¿processObj¿¿¿{"start":{"line":14,"column":20},"end":{"line":14,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
983¿VariableDeclarator¿¿1593¿v104¿¿¿{"start":{"line":15,"column":5},"end":{"line":15,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
984¿UnaryExpression¿typeof¿1593¿¿¿¿{"start":{"line":15,"column":5},"end":{"line":15,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿UnaryExpression
985¿Identifier¿¿1593¿processObj¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
986¿VariableDeclarator¿¿1593¿v105¿¿¿{"start":{"line":15,"column":5},"end":{"line":15,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
987¿BinaryExpression¿===¿1593¿¿¿¿{"start":{"line":15,"column":5},"end":{"line":15,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿BinaryExpression
988¿Identifier¿¿1593¿v104¿¿¿¿¿Identifier
989¿Literal¿string¿1593¿¿'number'¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Literal
990¿VariableDeclarator¿¿1593¿v106¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":86},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
991¿LogicalExpression¿&&¿1593¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":86},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿LogicalExpression
992¿Identifier¿¿1593¿v105¿¿¿¿¿Identifier
993¿AssignmentExpression¿=¿1593¿¿¿¿{"start":{"line":15,"column":41},"end":{"line":15,"column":85},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿AssignmentExpression
994¿Identifier¿¿1593¿processObj¿¿¿{"start":{"line":15,"column":41},"end":{"line":15,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
995¿CallExpression¿¿1593¿¿¿¿{"start":{"line":15,"column":54},"end":{"line":15,"column":85},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿CallExpression
996¿MemberExpression¿¿1593¿¿¿¿{"start":{"line":15,"column":54},"end":{"line":15,"column":73},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
997¿ThisExpression¿¿1593¿¿¿¿{"start":{"line":15,"column":54},"end":{"line":15,"column":58},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ThisExpression
998¿Identifier¿¿1593¿getProcessTree¿¿¿{"start":{"line":15,"column":59},"end":{"line":15,"column":73},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
999¿Identifier¿¿1593¿processObj¿¿¿{"start":{"line":15,"column":74},"end":{"line":15,"column":84},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
1000¿ExpressionStatement¿¿1593¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":87},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ExpressionStatement
1001¿Identifier¿¿1593¿v106¿¿¿¿¿Identifier
1002¿TryStatement¿¿1593¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":23,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿TryStatement
1003¿VariableDeclarator¿¿1593¿v107¿¿¿{"start":{"line":17,"column":41},"end":{"line":17,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
1004¿MemberExpression¿¿1593¿¿¿¿{"start":{"line":17,"column":41},"end":{"line":17,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
1005¿Identifier¿¿1593¿processObj¿¿¿{"start":{"line":17,"column":41},"end":{"line":17,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
1006¿Identifier¿¿1593¿pid¿¿¿{"start":{"line":17,"column":52},"end":{"line":17,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
1007¿VariableDeclarator¿¿1593¿v108¿¿¿{"start":{"line":17,"column":27},"end":{"line":17,"column":57},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
1008¿TemplateLiteral¿¿1593¿¿¿¿{"start":{"line":17,"column":27},"end":{"line":17,"column":57},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿TemplateLiteral
1009¿Identifier¿¿1593¿v107¿¿¿¿¿Identifier
1010¿VariableDeclarator¿¿1593¿v109¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":58},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
1011¿CallExpression¿¿1593¿¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":58},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿CallExpression
1012¿Identifier¿¿1593¿execSync¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
1013¿Identifier¿¿1593¿v108¿¿¿¿¿Identifier
1014¿VariableDeclarator¿¿1593¿v110¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":69},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
1015¿CallExpression¿¿1593¿¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":69},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿CallExpression
1016¿MemberExpression¿¿1593¿¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
1017¿Identifier¿¿1593¿v109¿¿¿¿¿Identifier
1018¿Identifier¿¿1593¿toString¿¿¿{"start":{"line":17,"column":59},"end":{"line":17,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
1019¿VariableDeclarator¿¿1593¿v111¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":81},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
1020¿CallExpression¿¿1593¿¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":81},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿CallExpression
1021¿MemberExpression¿¿1593¿¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
1022¿Identifier¿¿1593¿v110¿¿¿¿¿Identifier
1023¿Identifier¿¿1593¿split¿¿¿{"start":{"line":17,"column":70},"end":{"line":17,"column":75},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
1024¿Literal¿string¿1593¿¿'\n'¿¿{"start":{"line":17,"column":76},"end":{"line":17,"column":80},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Literal
1025¿VariableDeclarator¿¿1593¿v112¿¿¿{"start":{"line":17,"column":89},"end":{"line":17,"column":95},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
1026¿ArrowFunctionExpression¿¿1593¿¿¿¿{"start":{"line":17,"column":89},"end":{"line":17,"column":95},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ArrowFunctionExpression
1027¿Identifier¿¿0¿e¿¿¿{"start":{"line":17,"column":89},"end":{"line":17,"column":90},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
1028¿ReturnStatement¿¿1595¿¿¿¿¿¿ReturnStatement
1029¿Identifier¿¿1595¿e¿¿¿{"start":{"line":17,"column":94},"end":{"line":17,"column":95},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
1030¿BlockStatement¿¿1595¿¿¿¿¿¿BlockStatement
1031¿VariableDeclarator¿¿1593¿lines¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":96},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
1032¿CallExpression¿¿1593¿¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":96},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿CallExpression
1033¿MemberExpression¿¿1593¿¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":88},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
1034¿Identifier¿¿1593¿v111¿¿¿¿¿Identifier
1035¿Identifier¿¿1593¿filter¿¿¿{"start":{"line":17,"column":82},"end":{"line":17,"column":88},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
1036¿Identifier¿¿1593¿v112¿¿¿¿¿Identifier
1037¿VariableDeclarator¿¿1593¿v123¿¿¿{"start":{"line":18,"column":20},"end":{"line":22,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
1038¿ArrowFunctionExpression¿¿1593¿¿¿¿{"start":{"line":18,"column":20},"end":{"line":22,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ArrowFunctionExpression
1039¿Identifier¿¿0¿line¿¿¿{"start":{"line":18,"column":20},"end":{"line":18,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
1040¿VariableDeclarator¿¿1597¿v113¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
1041¿CallExpression¿¿1597¿¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿CallExpression
1042¿MemberExpression¿¿1597¿¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
1043¿Identifier¿¿1597¿line¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
1044¿Identifier¿¿1597¿match¿¿¿{"start":{"line":19,"column":34},"end":{"line":19,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
1045¿Literal¿object¿1597¿¿/^(\d+) (.*)$/¿¿{"start":{"line":19,"column":40},"end":{"line":19,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Literal
