Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
598¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":135,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Program
625¿MemberExpression¿¿1044¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿MemberExpression
626¿Identifier¿¿1044¿console¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
627¿Identifier¿¿1044¿log¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
628¿VariableDeclarator¿¿1044¿v65¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
629¿CallExpression¿¿1044¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿CallExpression
630¿MemberExpression¿¿1044¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿MemberExpression
631¿Identifier¿¿1044¿v64¿¿¿¿¿Identifier
632¿Identifier¿¿1044¿apply¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
633¿Identifier¿¿1044¿console¿¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
634¿Identifier¿¿1044¿arguments¿¿¿{"start":{"line":9,"column":31},"end":{"line":9,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
635¿ExpressionStatement¿¿1044¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿ExpressionStatement
636¿Identifier¿¿1044¿v65¿¿¿¿¿Identifier
637¿BlockStatement¿¿1044¿¿¿¿{"start":{"line":8,"column":70},"end":{"line":10,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿BlockStatement
638¿VariableDeclarator¿¿1040¿v67¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
639¿NewExpression¿¿1040¿¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿NewExpression
640¿Identifier¿¿1040¿Function¿¿¿{"start":{"line":10,"column":10},"end":{"line":10,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
641¿VariableDeclarator¿¿1040¿v68¿¿¿{"start":{"line":8,"column":46},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
642¿IfStatement¿¿1040¿¿¿¿{"start":{"line":8,"column":46},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿IfStatement
643¿Identifier¿¿1040¿log¿¿¿{"start":{"line":8,"column":46},"end":{"line":8,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
644¿ExpressionStatement¿¿1040¿¿¿¿{"start":{"line":8,"column":46},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿ExpressionStatement
645¿AssignmentExpression¿=¿1040¿¿¿¿{"start":{"line":8,"column":46},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿AssignmentExpression
646¿Identifier¿¿1040¿v68¿¿¿¿¿Identifier
647¿Identifier¿¿1040¿v66¿¿¿¿¿Identifier
648¿BlockStatement¿¿1040¿¿¿¿¿¿BlockStatement
649¿ExpressionStatement¿¿1040¿¿¿¿{"start":{"line":8,"column":46},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿ExpressionStatement
650¿AssignmentExpression¿=¿1040¿¿¿¿{"start":{"line":8,"column":46},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿AssignmentExpression
651¿Identifier¿¿1040¿v68¿¿¿¿¿Identifier
652¿Identifier¿¿1040¿v67¿¿¿¿¿Identifier
653¿BlockStatement¿¿1040¿¿¿¿¿¿BlockStatement
654¿IfStatement¿¿1040¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿IfStatement
655¿Identifier¿¿1040¿v63¿¿¿¿¿Identifier
656¿ExpressionStatement¿¿1040¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿ExpressionStatement
657¿AssignmentExpression¿=¿1040¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿AssignmentExpression
658¿Identifier¿¿1040¿_log¿¿¿{"start":{"line":8,"column":13},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
659¿Identifier¿¿1040¿log¿¿¿{"start":{"line":8,"column":40},"end":{"line":8,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
660¿BlockStatement¿¿1040¿¿¿¿¿¿BlockStatement
661¿ExpressionStatement¿¿1040¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿ExpressionStatement
662¿AssignmentExpression¿=¿1040¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿AssignmentExpression
663¿Identifier¿¿1040¿_log¿¿¿{"start":{"line":8,"column":13},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
664¿Identifier¿¿1040¿v68¿¿¿¿¿Identifier
665¿BlockStatement¿¿1040¿¿¿¿¿¿BlockStatement
666¿VariableDeclarator¿¿1040¿v69¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
667¿UnaryExpression¿!¿1040¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿UnaryExpression
668¿Identifier¿¿1040¿command¿¿¿{"start":{"line":11,"column":7},"end":{"line":11,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
669¿IfStatement¿¿1040¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":17,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿IfStatement
670¿Identifier¿¿1040¿v69¿¿¿¿¿Identifier
671¿VariableDeclarator¿¿1040¿v70¿¿¿{"start":{"line":12,"column":9},"end":{"line":15,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
672¿ObjectExpression¿¿1040¿¿¿¿{"start":{"line":12,"column":9},"end":{"line":15,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿ObjectExpression
673¿Property¿¿1040¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Property
674¿Identifier¿¿1040¿state¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
675¿Literal¿string¿1040¿¿'error'¿¿{"start":{"line":13,"column":13},"end":{"line":13,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Literal
676¿Property¿¿1040¿¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Property
677¿Identifier¿¿1040¿txt¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
678¿Literal¿string¿1040¿¿'The command is not found!'¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Literal
679¿VariableDeclarator¿¿1040¿v71¿¿¿{"start":{"line":12,"column":4},"end":{"line":15,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
680¿CallExpression¿¿1040¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":15,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿CallExpression
681¿Identifier¿¿1040¿_log¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
682¿Identifier¿¿1040¿v70¿¿¿¿¿Identifier
683¿ExpressionStatement¿¿1040¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":15,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿ExpressionStatement
684¿Identifier¿¿1040¿v71¿¿¿¿¿Identifier
685¿VariableDeclarator¿¿1040¿v72¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
686¿CallExpression¿¿1040¿¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿CallExpression
687¿MemberExpression¿¿1040¿¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿MemberExpression
688¿Identifier¿¿1040¿Promise¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
689¿Identifier¿¿1040¿reject¿¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
690¿Literal¿string¿1040¿¿'The command is not found!'¿¿{"start":{"line":16,"column":26},"end":{"line":16,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Literal
691¿ReturnStatement¿¿1040¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿ReturnStatement
692¿Identifier¿¿1040¿v72¿¿¿¿¿Identifier
693¿BlockStatement¿¿1040¿¿¿¿{"start":{"line":11,"column":16},"end":{"line":17,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿BlockStatement
694¿VariableDeclarator¿¿1040¿v73¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
695¿CallExpression¿¿1040¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿CallExpression
696¿MemberExpression¿¿1040¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿MemberExpression
697¿Identifier¿¿1040¿Array¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
698¿Identifier¿¿1040¿isArray¿¿¿{"start":{"line":19,"column":12},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
699¿Identifier¿¿1040¿command¿¿¿{"start":{"line":19,"column":20},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
700¿IfStatement¿¿1040¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":133,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿IfStatement
701¿Identifier¿¿1040¿v73¿¿¿¿¿Identifier
702¿VariableDeclarator¿¿1040¿v78¿¿¿{"start":{"line":22,"column":6},"end":{"line":28,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
703¿FunctionExpression¿¿1040¿anon¿¿¿{"start":{"line":22,"column":6},"end":{"line":28,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿FunctionExpression
704¿Identifier¿¿0¿prefCommand¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
705¿Identifier¿¿0¿currentCommand¿¿¿{"start":{"line":22,"column":28},"end":{"line":22,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
706¿VariableDeclarator¿¿1049¿v74¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
707¿CallExpression¿¿1049¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿CallExpression
708¿Identifier¿¿1049¿cmd¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
709¿Identifier¿¿1049¿prefCommand¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
710¿Literal¿object¿1049¿¿null¿¿{"start":{"line":23,"column":32},"end":{"line":23,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Literal
711¿Identifier¿¿1049¿_log¿¿¿{"start":{"line":23,"column":38},"end":{"line":23,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
712¿VariableDeclarator¿¿1049¿v76¿¿¿{"start":{"line":24,"column":16},"end":{"line":26,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
713¿FunctionExpression¿¿1049¿anon¿¿¿{"start":{"line":24,"column":16},"end":{"line":26,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿FunctionExpression
714¿VariableDeclarator¿¿1051¿v75¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
715¿CallExpression¿¿1051¿¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿CallExpression
716¿Identifier¿¿1051¿cmd¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
717¿Identifier¿¿1051¿currentCommand¿¿¿{"start":{"line":25,"column":23},"end":{"line":25,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
718¿Literal¿object¿1051¿¿null¿¿{"start":{"line":25,"column":39},"end":{"line":25,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Literal
719¿Identifier¿¿1051¿_log¿¿¿{"start":{"line":25,"column":45},"end":{"line":25,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
720¿ReturnStatement¿¿1051¿¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿ReturnStatement
721¿Identifier¿¿1051¿v75¿¿¿¿¿Identifier
722¿BlockStatement¿¿1051¿¿¿¿{"start":{"line":24,"column":27},"end":{"line":26,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿BlockStatement
723¿VariableDeclarator¿¿1049¿v77¿¿¿{"start":{"line":23,"column":15},"end":{"line":26,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
724¿CallExpression¿¿1049¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":26,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿CallExpression
725¿MemberExpression¿¿1049¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":24,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿MemberExpression
726¿Identifier¿¿1049¿v74¿¿¿¿¿Identifier
727¿Identifier¿¿1049¿then¿¿¿{"start":{"line":24,"column":11},"end":{"line":24,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
728¿Identifier¿¿1049¿v76¿¿¿¿¿Identifier
729¿ReturnStatement¿¿1049¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":26,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿ReturnStatement
730¿Identifier¿¿1049¿v77¿¿¿¿¿Identifier
731¿BlockStatement¿¿1049¿¿¿¿{"start":{"line":22,"column":44},"end":{"line":28,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿BlockStatement
732¿VariableDeclarator¿¿1040¿v79¿¿¿{"start":{"line":21,"column":11},"end":{"line":28,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
733¿CallExpression¿¿1040¿¿¿¿{"start":{"line":21,"column":11},"end":{"line":28,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿CallExpression
734¿MemberExpression¿¿1040¿¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿MemberExpression
735¿Identifier¿¿1040¿command¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
736¿Identifier¿¿1040¿reduce¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
737¿Identifier¿¿1040¿v78¿¿¿¿¿Identifier
738¿ReturnStatement¿¿1040¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":28,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿ReturnStatement
739¿Identifier¿¿1040¿v79¿¿¿¿¿Identifier
740¿BlockStatement¿¿1040¿¿¿¿{"start":{"line":19,"column":30},"end":{"line":31,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿BlockStatement
741¿VariableDeclarator¿¿1040¿v80¿¿¿{"start":{"line":31,"column":13},"end":{"line":31,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
742¿UnaryExpression¿typeof¿1040¿¿¿¿{"start":{"line":31,"column":13},"end":{"line":31,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿UnaryExpression
