Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
826¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":80,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Program
908¿MemberExpression¿¿1456¿¿¿¿{"start":{"line":8,"column":26},"end":{"line":8,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
909¿Identifier¿¿1456¿arguments¿¿¿{"start":{"line":8,"column":26},"end":{"line":8,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
910¿Identifier¿¿1456¿length¿¿¿{"start":{"line":8,"column":36},"end":{"line":8,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
911¿VariableDeclarator¿¿1456¿v75¿¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿VariableDeclarator
912¿BinaryExpression¿<¿1456¿¿¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿BinaryExpression
913¿Identifier¿¿1456¿_i¿¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
914¿Identifier¿¿1456¿v74¿¿¿¿¿Identifier
915¿WhileStatement¿¿1456¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":10,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿WhileStatement
916¿Identifier¿¿1456¿v75¿¿¿¿¿Identifier
917¿VariableDeclarator¿¿1456¿v77¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿VariableDeclarator
918¿MemberExpression¿computed¿1456¿¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
919¿Identifier¿¿1456¿arguments¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
920¿Identifier¿¿1456¿_i¿¿¿{"start":{"line":9,"column":30},"end":{"line":9,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
921¿ExpressionStatement¿¿1456¿¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
922¿AssignmentExpression¿=¿1456¿¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿AssignmentExpression
923¿MemberExpression¿computed¿1456¿¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
924¿Identifier¿¿1456¿items¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
925¿Identifier¿¿1456¿_i¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
926¿Identifier¿¿1456¿v77¿¿¿¿¿Identifier
927¿VariableDeclarator¿¿1456¿v76¿¿¿{"start":{"line":8,"column":44},"end":{"line":8,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿VariableDeclarator
928¿UpdateExpression¿¿1456¿¿¿¿{"start":{"line":8,"column":44},"end":{"line":8,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿UpdateExpression
929¿Identifier¿¿1456¿_i¿¿¿{"start":{"line":8,"column":44},"end":{"line":8,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
930¿ExpressionStatement¿¿1456¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":10,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
931¿AssignmentExpression¿=¿1456¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":10,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿AssignmentExpression
932¿Identifier¿¿1456¿v75¿¿¿{"start":{"line":8,"column":4},"end":{"line":10,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
933¿BinaryExpression¿<¿1456¿¿¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿BinaryExpression
934¿Identifier¿¿1456¿_i¿¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
935¿Identifier¿¿1456¿v74¿¿¿¿¿Identifier
936¿BlockStatement¿¿1456¿¿¿¿¿¿BlockStatement
937¿VariableDeclarator¿¿1456¿v78¿¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿VariableDeclarator
938¿UnaryExpression¿void¿1456¿¿¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿UnaryExpression
939¿Literal¿number¿1456¿¿0¿¿{"start":{"line":11,"column":28},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Literal
940¿VariableDeclarator¿¿1456¿v79¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿VariableDeclarator
941¿CallExpression¿¿1456¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿CallExpression
942¿MemberExpression¿¿1456¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
943¿Identifier¿¿1456¿merge¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
944¿Identifier¿¿1456¿apply¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
945¿Identifier¿¿1456¿v78¿¿¿¿¿Identifier
946¿Identifier¿¿1456¿items¿¿¿{"start":{"line":11,"column":31},"end":{"line":11,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
947¿ReturnStatement¿¿1456¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ReturnStatement
948¿Identifier¿¿1456¿v79¿¿¿¿¿Identifier
949¿BlockStatement¿¿1456¿¿¿¿{"start":{"line":6,"column":16},"end":{"line":12,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿BlockStatement
950¿ExpressionStatement¿¿1454¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
951¿AssignmentExpression¿=¿1454¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿AssignmentExpression
952¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
953¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":13,"column":0},"end":{"line":13,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
954¿Identifier¿¿1454¿main¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
955¿Identifier¿¿1454¿main¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
956¿ExpressionStatement¿¿1454¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
957¿AssignmentExpression¿=¿1454¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿AssignmentExpression
958¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
959¿Identifier¿¿1454¿main¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
960¿Identifier¿¿1454¿clone¿¿¿{"start":{"line":14,"column":5},"end":{"line":14,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
961¿Identifier¿¿1454¿clone¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
962¿ExpressionStatement¿¿1454¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
963¿AssignmentExpression¿=¿1454¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿AssignmentExpression
964¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
