Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2329¿Program¿¿-1¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":300,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Program
2349¿BinaryExpression¿+¿4114¿¿¿¿{"start":{"line":23,"column":14},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿BinaryExpression
2350¿Literal¿string¿4114¿¿'text/css; charset='¿¿{"start":{"line":23,"column":14},"end":{"line":23,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2351¿Identifier¿¿4114¿defEnc¿¿¿{"start":{"line":23,"column":35},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2352¿VariableDeclarator¿¿4114¿v239¿¿¿{"start":{"line":24,"column":14},"end":{"line":24,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2353¿BinaryExpression¿+¿4114¿¿¿¿{"start":{"line":24,"column":14},"end":{"line":24,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿BinaryExpression
2354¿Literal¿string¿4114¿¿'text/css; charset='¿¿{"start":{"line":24,"column":14},"end":{"line":24,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2355¿Identifier¿¿4114¿defEnc¿¿¿{"start":{"line":24,"column":35},"end":{"line":24,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2356¿VariableDeclarator¿¿4114¿v240¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2357¿BinaryExpression¿+¿4114¿¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿BinaryExpression
2358¿Literal¿string¿4114¿¿'text/javascript; charset='¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2359¿Identifier¿¿4114¿defEnc¿¿¿{"start":{"line":25,"column":42},"end":{"line":25,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2360¿VariableDeclarator¿¿4114¿v241¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2361¿BinaryExpression¿+¿4114¿¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿BinaryExpression
2362¿Literal¿string¿4114¿¿'text/plain; charset='¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2363¿Identifier¿¿4114¿defEnc¿¿¿{"start":{"line":26,"column":37},"end":{"line":26,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2364¿VariableDeclarator¿¿4114¿v242¿¿¿{"start":{"line":34,"column":14},"end":{"line":34,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2365¿BinaryExpression¿+¿4114¿¿¿¿{"start":{"line":34,"column":14},"end":{"line":34,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿BinaryExpression
2366¿Literal¿string¿4114¿¿'image/svg+xml; charset='¿¿{"start":{"line":34,"column":14},"end":{"line":34,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2367¿Identifier¿¿4114¿defEnc¿¿¿{"start":{"line":34,"column":40},"end":{"line":34,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2368¿VariableDeclarator¿¿4114¿v243¿¿¿{"start":{"line":35,"column":14},"end":{"line":35,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2369¿BinaryExpression¿+¿4114¿¿¿¿{"start":{"line":35,"column":14},"end":{"line":35,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿BinaryExpression
2370¿Literal¿string¿4114¿¿'image/svg+xml; charset='¿¿{"start":{"line":35,"column":14},"end":{"line":35,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2371¿Identifier¿¿4114¿defEnc¿¿¿{"start":{"line":35,"column":40},"end":{"line":35,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2372¿VariableDeclarator¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2373¿ObjectExpression¿¿4114¿¿¿¿¿¿ObjectExpression
2374¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2375¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2376¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
2377¿Identifier¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2378¿Literal¿string¿4114¿¿'.html'¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2379¿Identifier¿¿4114¿v237¿¿¿¿¿Identifier
2380¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2381¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2382¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
2383¿Identifier¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2384¿Literal¿string¿4114¿¿'.css'¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2385¿Identifier¿¿4114¿v238¿¿¿¿¿Identifier
2386¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2387¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2388¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
2389¿Identifier¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2390¿Literal¿string¿4114¿¿'.less'¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2391¿Identifier¿¿4114¿v239¿¿¿¿¿Identifier
2392¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2393¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2394¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
2395¿Identifier¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2396¿Literal¿string¿4114¿¿'.js'¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2397¿Identifier¿¿4114¿v240¿¿¿¿¿Identifier
2398¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2399¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2400¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
2401¿Identifier¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2402¿Literal¿string¿4114¿¿'.txt'¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2403¿Identifier¿¿4114¿v241¿¿¿¿¿Identifier
2404¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2405¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2406¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
2407¿Identifier¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2408¿Literal¿string¿4114¿¿'.png'¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2409¿Literal¿string¿4114¿¿'image/png'¿¿{"start":{"line":29,"column":14},"end":{"line":29,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2410¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2411¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2412¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
2413¿Identifier¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2414¿Literal¿string¿4114¿¿'.jpeg'¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2415¿Literal¿string¿4114¿¿'image/jpeg'¿¿{"start":{"line":30,"column":14},"end":{"line":30,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2416¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2417¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2418¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
2419¿Identifier¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2420¿Literal¿string¿4114¿¿'.jpg'¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2421¿Literal¿string¿4114¿¿'image/jpeg'¿¿{"start":{"line":31,"column":14},"end":{"line":31,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2422¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2423¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2424¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
2425¿Identifier¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2426¿Literal¿string¿4114¿¿'.jpe'¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2427¿Literal¿string¿4114¿¿'image/jpeg'¿¿{"start":{"line":32,"column":14},"end":{"line":32,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2428¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2429¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2430¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
2431¿Identifier¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2432¿Literal¿string¿4114¿¿'.gif'¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2433¿Literal¿string¿4114¿¿'image/gif'¿¿{"start":{"line":33,"column":14},"end":{"line":33,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2434¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2435¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2436¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
2437¿Identifier¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2438¿Literal¿string¿4114¿¿'.svg'¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2439¿Identifier¿¿4114¿v242¿¿¿¿¿Identifier
2440¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2441¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2442¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
2443¿Identifier¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2444¿Literal¿string¿4114¿¿'.svgz'¿¿{"start":{"line":35,"column":4},"end":{"line":35,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2445¿Identifier¿¿4114¿v243¿¿¿¿¿Identifier
2446¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2447¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2448¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
2449¿Identifier¿¿4114¿contentTypes¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2450¿Literal¿string¿4114¿¿'.ico'¿¿{"start":{"line":36,"column":4},"end":{"line":36,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2451¿Literal¿string¿4114¿¿'image/x-icon'¿¿{"start":{"line":36,"column":14},"end":{"line":36,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2452¿ExpressionStatement¿¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿ExpressionStatement
2453¿AssignmentExpression¿=¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿AssignmentExpression
2454¿MemberExpression¿computed¿4114¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿MemberExpression
