Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4326¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":379,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Program
4357¿CallExpression¿¿7585¿¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4358¿Identifier¿¿7585¿require¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4359¿Literal¿string¿7585¿¿'@thi.ng/associative'¿¿{"start":{"line":8,"column":26},"end":{"line":8,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4360¿VariableDeclarator¿¿7585¿dot¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4361¿CallExpression¿¿7585¿¿¿¿{"start":{"line":9,"column":10},"end":{"line":9,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4362¿Identifier¿¿7585¿require¿¿¿{"start":{"line":9,"column":10},"end":{"line":9,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4363¿Literal¿string¿7585¿¿'@thi.ng/dot'¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4364¿VariableDeclarator¿¿7585¿strings¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4365¿CallExpression¿¿7585¿¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4366¿Identifier¿¿7585¿require¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4367¿Literal¿string¿7585¿¿'@thi.ng/strings'¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4368¿VariableDeclarator¿¿7585¿api¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4369¿CallExpression¿¿7585¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":11,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4370¿Identifier¿¿7585¿require¿¿¿{"start":{"line":11,"column":10},"end":{"line":11,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4371¿Literal¿string¿7585¿¿'@thi.ng/api'¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4372¿VariableDeclarator¿¿7585¿$prefixes¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4373¿CallExpression¿¿7585¿¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4374¿Identifier¿¿7585¿require¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4375¿Literal¿string¿7585¿¿'@thi.ng/prefixes'¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4376¿VariableDeclarator¿¿7585¿fs¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4377¿CallExpression¿¿7585¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4378¿Identifier¿¿7585¿require¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4379¿Literal¿string¿7585¿¿'fs'¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4380¿VariableDeclarator¿¿7585¿path¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4381¿CallExpression¿¿7585¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4382¿Identifier¿¿7585¿require¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4383¿Literal¿string¿7585¿¿'path'¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4384¿VariableDeclarator¿¿7585¿child_process¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4385¿CallExpression¿¿7585¿¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4386¿Identifier¿¿7585¿require¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4387¿Literal¿string¿7585¿¿'child_process'¿¿{"start":{"line":15,"column":28},"end":{"line":15,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4388¿VariableDeclarator¿¿7585¿IS_NODE¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4389¿CallExpression¿¿7585¿¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4390¿MemberExpression¿¿7585¿¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿MemberExpression
4391¿Identifier¿¿7585¿checks¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4392¿Identifier¿¿7585¿isNode¿¿¿{"start":{"line":17,"column":23},"end":{"line":17,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4393¿VariableDeclarator¿¿7585¿NODE_ONLY¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":70},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4394¿ArrowFunctionExpression¿¿7585¿¿¿¿{"start":{"line":18,"column":18},"end":{"line":18,"column":70},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿ArrowFunctionExpression
4395¿VariableDeclarator¿¿7587¿v416¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":70},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4396¿CallExpression¿¿7587¿¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":70},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4397¿MemberExpression¿¿7587¿¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿MemberExpression
4398¿Identifier¿¿7587¿errors¿¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4399¿Identifier¿¿7587¿unsupported¿¿¿{"start":{"line":18,"column":31},"end":{"line":18,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4400¿Literal¿string¿7587¿¿'only available in NodeJS'¿¿{"start":{"line":18,"column":43},"end":{"line":18,"column":69},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4401¿ReturnStatement¿¿7587¿¿¿¿¿¿ReturnStatement
4402¿Identifier¿¿7587¿v416¿¿¿¿¿Identifier
4403¿BlockStatement¿¿7587¿¿¿¿¿¿BlockStatement
4404¿VariableDeclarator¿¿7585¿isNode¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4405¿ArrowFunctionExpression¿¿7585¿¿¿¿{"start":{"line":20,"column":15},"end":{"line":20,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿ArrowFunctionExpression
4406¿Identifier¿¿0¿x¿¿¿{"start":{"line":20,"column":16},"end":{"line":20,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4407¿VariableDeclarator¿¿7589¿v417¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4408¿CallExpression¿¿7589¿¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4409¿MemberExpression¿¿7589¿¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿MemberExpression
4410¿Identifier¿¿7589¿checks¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4411¿Identifier¿¿7589¿isPlainObject¿¿¿{"start":{"line":20,"column":29},"end":{"line":20,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4412¿Identifier¿¿7589¿x¿¿¿{"start":{"line":20,"column":43},"end":{"line":20,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4413¿VariableDeclarator¿¿7589¿v418¿¿¿{"start":{"line":20,"column":49},"end":{"line":20,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4414¿BinaryExpression¿in¿7589¿¿¿¿{"start":{"line":20,"column":49},"end":{"line":20,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿BinaryExpression
4415¿Literal¿string¿7589¿¿'$id'¿¿{"start":{"line":20,"column":49},"end":{"line":20,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4416¿Identifier¿¿7589¿x¿¿¿{"start":{"line":20,"column":58},"end":{"line":20,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4417¿VariableDeclarator¿¿7589¿v419¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4418¿LogicalExpression¿&&¿7589¿¿¿¿{"start":{"line":20,"column":22},"end":{"line":20,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿LogicalExpression
4419¿Identifier¿¿7589¿v417¿¿¿¿¿Identifier
4420¿Identifier¿¿7589¿v418¿¿¿¿¿Identifier
4421¿ReturnStatement¿¿7589¿¿¿¿¿¿ReturnStatement
4422¿Identifier¿¿7589¿v419¿¿¿¿¿Identifier
4423¿BlockStatement¿¿7589¿¿¿¿¿¿BlockStatement
4424¿VariableDeclarator¿¿7585¿isRef¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4425¿ArrowFunctionExpression¿¿7585¿¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿ArrowFunctionExpression
4426¿Identifier¿¿0¿x¿¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4427¿VariableDeclarator¿¿7591¿v420¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4428¿CallExpression¿¿7591¿¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4429¿MemberExpression¿¿7591¿¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿MemberExpression
4430¿Identifier¿¿7591¿checks¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4431¿Identifier¿¿7591¿isPlainObject¿¿¿{"start":{"line":21,"column":28},"end":{"line":21,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4432¿Identifier¿¿7591¿x¿¿¿{"start":{"line":21,"column":42},"end":{"line":21,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4433¿VariableDeclarator¿¿7591¿v421¿¿¿{"start":{"line":21,"column":48},"end":{"line":21,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4434¿BinaryExpression¿in¿7591¿¿¿¿{"start":{"line":21,"column":48},"end":{"line":21,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿BinaryExpression
4435¿Literal¿string¿7591¿¿'$ref'¿¿{"start":{"line":21,"column":48},"end":{"line":21,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4436¿Identifier¿¿7591¿x¿¿¿{"start":{"line":21,"column":58},"end":{"line":21,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4437¿VariableDeclarator¿¿7591¿v422¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4438¿LogicalExpression¿&&¿7591¿¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿LogicalExpression
4439¿Identifier¿¿7591¿v420¿¿¿¿¿Identifier
4440¿Identifier¿¿7591¿v421¿¿¿¿¿Identifier
4441¿ReturnStatement¿¿7591¿¿¿¿¿¿ReturnStatement
4442¿Identifier¿¿7591¿v422¿¿¿¿¿Identifier
4443¿BlockStatement¿¿7591¿¿¿¿¿¿BlockStatement
4444¿VariableDeclarator¿¿7585¿isToEGF¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4445¿ArrowFunctionExpression¿¿7585¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿ArrowFunctionExpression
4446¿Identifier¿¿0¿x¿¿¿{"start":{"line":22,"column":17},"end":{"line":22,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4447¿VariableDeclarator¿¿7593¿v423¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4448¿CallExpression¿¿7593¿¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4449¿MemberExpression¿¿7593¿¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿MemberExpression
4450¿Identifier¿¿7593¿checks¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4451¿Identifier¿¿7593¿implementsFunction¿¿¿{"start":{"line":22,"column":30},"end":{"line":22,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4452¿Identifier¿¿7593¿x¿¿¿{"start":{"line":22,"column":49},"end":{"line":22,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4453¿Literal¿string¿7593¿¿'toEGF'¿¿{"start":{"line":22,"column":52},"end":{"line":22,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4454¿ReturnStatement¿¿7593¿¿¿¿¿¿ReturnStatement
4455¿Identifier¿¿7593¿v423¿¿¿¿¿Identifier
4456¿BlockStatement¿¿7593¿¿¿¿¿¿BlockStatement
4457¿VariableDeclarator¿¿7585¿RE_QFN¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4458¿Literal¿object¿7585¿¿/^([a-z0-9-_$]*):([a-z0-9-_$.+]+)$/i¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4459¿VariableDeclarator¿¿7585¿qualifiedID¿¿¿{"start":{"line":24,"column":6},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4460¿ArrowFunctionExpression¿¿7585¿¿¿¿{"start":{"line":24,"column":20},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿ArrowFunctionExpression
