Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
587¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":66,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Program
635¿ArrayExpression¿¿1021¿¿¿¿{"start":{"line":6,"column":28},"end":{"line":6,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿ArrayExpression
636¿Identifier¿¿1021¿v68¿¿¿¿¿Identifier
637¿VariableDeclarator¿¿1021¿v69¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
638¿MemberExpression¿¿1021¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
639¿Identifier¿¿1021¿pdfinfo¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
640¿Identifier¿¿1021¿prototype¿¿¿{"start":{"line":8,"column":10},"end":{"line":8,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
641¿VariableDeclarator¿¿1021¿v85¿¿¿{"start":{"line":8,"column":2},"end":{"line":21,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
642¿FunctionExpression¿¿1021¿anon¿¿¿{"start":{"line":8,"column":34},"end":{"line":21,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿FunctionExpression
643¿Identifier¿¿0¿optionArray¿¿¿{"start":{"line":8,"column":43},"end":{"line":8,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
644¿VariableDeclarator¿¿1023¿v70¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
645¿MemberExpression¿¿1023¿¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
646¿Identifier¿¿1023¿optionArray¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
647¿Identifier¿¿1023¿length¿¿¿{"start":{"line":9,"column":27},"end":{"line":9,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
648¿VariableDeclarator¿¿1023¿v71¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
649¿UnaryExpression¿typeof¿1023¿¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿UnaryExpression
650¿Identifier¿¿1023¿v70¿¿¿¿¿Identifier
651¿VariableDeclarator¿¿1023¿v72¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
652¿BinaryExpression¿!==¿1023¿¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿BinaryExpression
653¿Identifier¿¿1023¿v71¿¿¿¿¿Identifier
654¿Identifier¿¿1023¿undefined¿¿¿{"start":{"line":9,"column":38},"end":{"line":9,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
655¿IfStatement¿¿1023¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":19,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿IfStatement
656¿Identifier¿¿1023¿v72¿¿¿¿¿Identifier
657¿VariableDeclarator¿¿1023¿self¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
658¿ThisExpression¿¿1023¿¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿ThisExpression
659¿VariableDeclarator¿¿1023¿v83¿¿¿{"start":{"line":11,"column":28},"end":{"line":18,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
660¿FunctionExpression¿¿1023¿anon¿¿¿{"start":{"line":11,"column":28},"end":{"line":18,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿FunctionExpression
661¿Identifier¿¿0¿el¿¿¿{"start":{"line":11,"column":37},"end":{"line":11,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
662¿VariableDeclarator¿¿1025¿v73¿¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
663¿CallExpression¿¿1025¿¿¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿CallExpression
664¿MemberExpression¿¿1025¿¿¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
665¿Identifier¿¿1025¿el¿¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
666¿Identifier¿¿1025¿indexOf¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
667¿Literal¿string¿1025¿¿' '¿¿{"start":{"line":12,"column":25},"end":{"line":12,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Literal
668¿VariableDeclarator¿¿1025¿v74¿¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
669¿BinaryExpression¿>¿1025¿¿¿¿{"start":{"line":12,"column":14},"end":{"line":12,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿BinaryExpression
670¿Identifier¿¿1025¿v73¿¿¿¿¿Identifier
671¿Literal¿number¿1025¿¿0¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Literal
672¿IfStatement¿¿1025¿¿¿¿{"start":{"line":12,"column":10},"end":{"line":17,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿IfStatement
673¿Identifier¿¿1025¿v74¿¿¿¿¿Identifier
674¿VariableDeclarator¿¿1025¿values¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
675¿CallExpression¿¿1025¿¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿CallExpression
676¿MemberExpression¿¿1025¿¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
677¿Identifier¿¿1025¿el¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
678¿Identifier¿¿1025¿split¿¿¿{"start":{"line":13,"column":28},"end":{"line":13,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
679¿Literal¿string¿1025¿¿' '¿¿{"start":{"line":13,"column":34},"end":{"line":13,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Literal
680¿VariableDeclarator¿¿1025¿v75¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
681¿MemberExpression¿¿1025¿¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
682¿Identifier¿¿1025¿self¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
683¿Identifier¿¿1025¿options¿¿¿{"start":{"line":14,"column":17},"end":{"line":14,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
684¿VariableDeclarator¿¿1025¿v76¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
685¿MemberExpression¿¿1025¿¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
686¿Identifier¿¿1025¿v75¿¿¿¿¿Identifier
687¿Identifier¿¿1025¿additional¿¿¿{"start":{"line":14,"column":25},"end":{"line":14,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
688¿VariableDeclarator¿¿1025¿v77¿¿¿{"start":{"line":14,"column":41},"end":{"line":14,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
689¿MemberExpression¿computed¿1025¿¿¿¿{"start":{"line":14,"column":41},"end":{"line":14,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
690¿Identifier¿¿1025¿values¿¿¿{"start":{"line":14,"column":41},"end":{"line":14,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
691¿Literal¿number¿1025¿¿0¿¿{"start":{"line":14,"column":48},"end":{"line":14,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Literal
692¿VariableDeclarator¿¿1025¿v78¿¿¿{"start":{"line":14,"column":52},"end":{"line":14,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
693¿MemberExpression¿computed¿1025¿¿¿¿{"start":{"line":14,"column":52},"end":{"line":14,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
694¿Identifier¿¿1025¿values¿¿¿{"start":{"line":14,"column":52},"end":{"line":14,"column":58},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
695¿Literal¿number¿1025¿¿1¿¿{"start":{"line":14,"column":59},"end":{"line":14,"column":60},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Literal
696¿VariableDeclarator¿¿1025¿v79¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":62},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
697¿CallExpression¿¿1025¿¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":62},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿CallExpression
698¿MemberExpression¿¿1025¿¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
699¿Identifier¿¿1025¿v76¿¿¿¿¿Identifier
700¿Identifier¿¿1025¿push¿¿¿{"start":{"line":14,"column":36},"end":{"line":14,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
701¿Identifier¿¿1025¿v77¿¿¿¿¿Identifier
702¿Identifier¿¿1025¿v78¿¿¿¿¿Identifier
703¿ExpressionStatement¿¿1025¿¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":63},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿ExpressionStatement
704¿Identifier¿¿1025¿v79¿¿¿¿¿Identifier
705¿BlockStatement¿¿1025¿¿¿¿{"start":{"line":12,"column":35},"end":{"line":15,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿BlockStatement
706¿VariableDeclarator¿¿1025¿v80¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
707¿MemberExpression¿¿1025¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
708¿Identifier¿¿1025¿self¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
709¿Identifier¿¿1025¿options¿¿¿{"start":{"line":16,"column":17},"end":{"line":16,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
710¿VariableDeclarator¿¿1025¿v81¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
711¿MemberExpression¿¿1025¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
712¿Identifier¿¿1025¿v80¿¿¿¿¿Identifier
713¿Identifier¿¿1025¿additional¿¿¿{"start":{"line":16,"column":25},"end":{"line":16,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
714¿VariableDeclarator¿¿1025¿v82¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
715¿CallExpression¿¿1025¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿CallExpression
716¿MemberExpression¿¿1025¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
717¿Identifier¿¿1025¿v81¿¿¿¿¿Identifier
718¿Identifier¿¿1025¿push¿¿¿{"start":{"line":16,"column":36},"end":{"line":16,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
719¿Identifier¿¿1025¿el¿¿¿{"start":{"line":16,"column":41},"end":{"line":16,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
720¿ExpressionStatement¿¿1025¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿ExpressionStatement
721¿Identifier¿¿1025¿v82¿¿¿¿¿Identifier
722¿BlockStatement¿¿1025¿¿¿¿{"start":{"line":15,"column":17},"end":{"line":17,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿BlockStatement
723¿BlockStatement¿¿1025¿¿¿¿{"start":{"line":11,"column":41},"end":{"line":18,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿BlockStatement
724¿VariableDeclarator¿¿1023¿v84¿¿¿{"start":{"line":11,"column":8},"end":{"line":18,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
725¿CallExpression¿¿1023¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":18,"column":10},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿CallExpression
726¿MemberExpression¿¿1023¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
727¿Identifier¿¿1023¿optionArray¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
728¿Identifier¿¿1023¿forEach¿¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
729¿Identifier¿¿1023¿v83¿¿¿¿¿Identifier
730¿ExpressionStatement¿¿1023¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":18,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿ExpressionStatement
731¿Identifier¿¿1023¿v84¿¿¿¿¿Identifier
732¿BlockStatement¿¿1023¿¿¿¿{"start":{"line":9,"column":49},"end":{"line":19,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿BlockStatement
733¿ReturnStatement¿¿1023¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿ReturnStatement
734¿ThisExpression¿¿1023¿¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿ThisExpression
