Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
15326¿Program¿¿-1¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":1714,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Program
15345¿Identifier¿¿27460¿require¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15346¿Literal¿string¿27460¿¿'path'¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Literal
15347¿VariableDeclarator¿¿27460¿child_process¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15348¿CallExpression¿¿27460¿¿¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
15349¿Identifier¿¿27460¿require¿¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15350¿Literal¿string¿27460¿¿'child_process'¿¿{"start":{"line":14,"column":30},"end":{"line":14,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Literal
15351¿VariableDeclarator¿¿27460¿v1893¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15352¿CallExpression¿¿27460¿¿¿¿{"start":{"line":15,"column":33},"end":{"line":15,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
15353¿Identifier¿¿27460¿require¿¿¿{"start":{"line":15,"column":33},"end":{"line":15,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15354¿Literal¿string¿27460¿¿'stream'¿¿{"start":{"line":15,"column":41},"end":{"line":15,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Literal
15355¿VariableDeclarator¿¿27460¿PassThrough¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15356¿MemberExpression¿¿27460¿¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿MemberExpression
15357¿Identifier¿¿27460¿v1893¿¿¿¿¿Identifier
15358¿Identifier¿¿27460¿PassThrough¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15359¿VariableDeclarator¿¿27460¿Transform¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15360¿MemberExpression¿¿27460¿¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿MemberExpression
15361¿Identifier¿¿27460¿v1893¿¿¿¿¿Identifier
15362¿Identifier¿¿27460¿Transform¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15363¿VariableDeclarator¿¿27460¿v1894¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15364¿Identifier¿¿27460¿util¿¿¿{"start":{"line":16,"column":20},"end":{"line":16,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15365¿VariableDeclarator¿¿27460¿promisify¿¿¿{"start":{"line":16,"column":7},"end":{"line":16,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15366¿MemberExpression¿¿27460¿¿¿¿{"start":{"line":16,"column":7},"end":{"line":16,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿MemberExpression
15367¿Identifier¿¿27460¿v1894¿¿¿¿¿Identifier
15368¿Identifier¿¿27460¿promisify¿¿¿{"start":{"line":16,"column":7},"end":{"line":16,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15369¿VariableDeclarator¿¿27460¿v1895¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15370¿Identifier¿¿27460¿child_process¿¿¿{"start":{"line":17,"column":25},"end":{"line":17,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15371¿VariableDeclarator¿¿27460¿exec¿¿¿{"start":{"line":17,"column":7},"end":{"line":17,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15372¿MemberExpression¿¿27460¿¿¿¿{"start":{"line":17,"column":7},"end":{"line":17,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿MemberExpression
15373¿Identifier¿¿27460¿v1895¿¿¿¿¿Identifier
15374¿Identifier¿¿27460¿exec¿¿¿{"start":{"line":17,"column":7},"end":{"line":17,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15375¿VariableDeclarator¿¿27460¿execFile¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15376¿MemberExpression¿¿27460¿¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿MemberExpression
15377¿Identifier¿¿27460¿v1895¿¿¿¿¿Identifier
15378¿Identifier¿¿27460¿execFile¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15379¿VariableDeclarator¿¿27460¿v1896¿¿¿{"start":{"line":26,"column":28},"end":{"line":26,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15380¿MemberExpression¿¿27460¿¿¿¿{"start":{"line":26,"column":28},"end":{"line":26,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿MemberExpression
15381¿Identifier¿¿27460¿fs¿¿¿{"start":{"line":26,"column":28},"end":{"line":26,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15382¿Identifier¿¿27460¿access¿¿¿{"start":{"line":26,"column":31},"end":{"line":26,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15383¿VariableDeclarator¿¿27460¿fs_access¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15384¿CallExpression¿¿27460¿¿¿¿{"start":{"line":26,"column":18},"end":{"line":26,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
15385¿Identifier¿¿27460¿promisify¿¿¿{"start":{"line":26,"column":18},"end":{"line":26,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15386¿Identifier¿¿27460¿v1896¿¿¿¿¿Identifier
15387¿VariableDeclarator¿¿27460¿v1897¿¿¿{"start":{"line":27,"column":30},"end":{"line":27,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15388¿MemberExpression¿¿27460¿¿¿¿{"start":{"line":27,"column":30},"end":{"line":27,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿MemberExpression
15389¿Identifier¿¿27460¿fs¿¿¿{"start":{"line":27,"column":30},"end":{"line":27,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15390¿Identifier¿¿27460¿readFile¿¿¿{"start":{"line":27,"column":33},"end":{"line":27,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15391¿VariableDeclarator¿¿27460¿fs_readfile¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15392¿CallExpression¿¿27460¿¿¿¿{"start":{"line":27,"column":20},"end":{"line":27,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
15393¿Identifier¿¿27460¿promisify¿¿¿{"start":{"line":27,"column":20},"end":{"line":27,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15394¿Identifier¿¿27460¿v1897¿¿¿¿¿Identifier
15395¿VariableDeclarator¿¿27460¿v1898¿¿¿{"start":{"line":28,"column":29},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15396¿MemberExpression¿¿27460¿¿¿¿{"start":{"line":28,"column":29},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿MemberExpression
15397¿Identifier¿¿27460¿fs¿¿¿{"start":{"line":28,"column":29},"end":{"line":28,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15398¿Identifier¿¿27460¿readdir¿¿¿{"start":{"line":28,"column":32},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15399¿VariableDeclarator¿¿27460¿fs_readdir¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15400¿CallExpression¿¿27460¿¿¿¿{"start":{"line":28,"column":19},"end":{"line":28,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
15401¿Identifier¿¿27460¿promisify¿¿¿{"start":{"line":28,"column":19},"end":{"line":28,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15402¿Identifier¿¿27460¿v1898¿¿¿¿¿Identifier
15403¿VariableDeclarator¿¿27460¿v1899¿¿¿{"start":{"line":29,"column":26},"end":{"line":29,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15404¿MemberExpression¿¿27460¿¿¿¿{"start":{"line":29,"column":26},"end":{"line":29,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿MemberExpression
15405¿Identifier¿¿27460¿fs¿¿¿{"start":{"line":29,"column":26},"end":{"line":29,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15406¿Identifier¿¿27460¿stat¿¿¿{"start":{"line":29,"column":29},"end":{"line":29,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15407¿VariableDeclarator¿¿27460¿fs_stat¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15408¿CallExpression¿¿27460¿¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
15409¿Identifier¿¿27460¿promisify¿¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15410¿Identifier¿¿27460¿v1899¿¿¿¿¿Identifier
15411¿VariableDeclarator¿¿27460¿NodeClamTransform¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15412¿CallExpression¿¿27460¿¿¿¿{"start":{"line":31,"column":26},"end":{"line":31,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
15413¿Identifier¿¿27460¿require¿¿¿{"start":{"line":31,"column":26},"end":{"line":31,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15414¿Literal¿string¿27460¿¿'./NodeClamTransform.js'¿¿{"start":{"line":31,"column":34},"end":{"line":31,"column":58},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Literal
15415¿VariableDeclarator¿¿27460¿cp_exec¿¿¿{"start":{"line":34,"column":6},"end":{"line":34,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15416¿CallExpression¿¿27460¿¿¿¿{"start":{"line":34,"column":16},"end":{"line":34,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
15417¿Identifier¿¿27460¿promisify¿¿¿{"start":{"line":34,"column":16},"end":{"line":34,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15418¿Identifier¿¿27460¿exec¿¿¿{"start":{"line":34,"column":26},"end":{"line":34,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15419¿VariableDeclarator¿¿27460¿cp_execfile¿¿¿{"start":{"line":35,"column":6},"end":{"line":35,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15420¿CallExpression¿¿27460¿¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
15421¿Identifier¿¿27460¿promisify¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15422¿Identifier¿¿27460¿execFile¿¿¿{"start":{"line":35,"column":30},"end":{"line":35,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15423¿VariableDeclarator¿¿27460¿NodeClamError¿¿¿{"start":{"line":44,"column":0},"end":{"line":62,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15424¿FunctionExpression¿¿27460¿NodeClamError¿¿¿{"start":{"line":45,"column":15},"end":{"line":61,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿FunctionExpression
15425¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":45,"column":16},"end":{"line":45,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿AssignmentPattern
15426¿RestElement¿¿0¿¿¿¿{"start":{"line":45,"column":25},"end":{"line":45,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿RestElement
15427¿Identifier¿¿0¿params¿¿¿{"start":{"line":45,"column":28},"end":{"line":45,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15428¿VariableDeclarator¿¿27462¿msg¿¿¿{"start":{"line":46,"column":14},"end":{"line":46,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15429¿MemberExpression¿computed¿27462¿¿¿¿{"start":{"line":46,"column":14},"end":{"line":46,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿MemberExpression
15430¿Identifier¿¿27462¿params¿¿¿{"start":{"line":46,"column":44},"end":{"line":46,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15431¿Literal¿number¿27462¿¿0¿¿¿¿Literal
15432¿VariableDeclarator¿¿27462¿fileName¿¿¿{"start":{"line":46,"column":19},"end":{"line":46,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15433¿MemberExpression¿computed¿27462¿¿¿¿{"start":{"line":46,"column":19},"end":{"line":46,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿MemberExpression
15434¿Identifier¿¿27462¿params¿¿¿{"start":{"line":46,"column":44},"end":{"line":46,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15435¿Literal¿number¿27462¿¿1¿¿¿¿Literal
15436¿VariableDeclarator¿¿27462¿lineNumber¿¿¿{"start":{"line":46,"column":29},"end":{"line":46,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15437¿MemberExpression¿computed¿27462¿¿¿¿{"start":{"line":46,"column":29},"end":{"line":46,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿MemberExpression
15438¿Identifier¿¿27462¿params¿¿¿{"start":{"line":46,"column":44},"end":{"line":46,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15439¿Literal¿number¿27462¿¿2¿¿¿¿Literal
15440¿VariableDeclarator¿¿27462¿v1900¿¿¿{"start":{"line":48,"column":12},"end":{"line":48,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15441¿UnaryExpression¿typeof¿27462¿¿¿¿{"start":{"line":48,"column":12},"end":{"line":48,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿UnaryExpression
15442¿Identifier¿¿27462¿data¿¿¿{"start":{"line":48,"column":19},"end":{"line":48,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15443¿VariableDeclarator¿¿27462¿v1901¿¿¿{"start":{"line":48,"column":12},"end":{"line":48,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15444¿BinaryExpression¿===¿27462¿¿¿¿{"start":{"line":48,"column":12},"end":{"line":48,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿BinaryExpression
15445¿Identifier¿¿27462¿v1900¿¿¿¿¿Identifier
15446¿Literal¿string¿27462¿¿'string'¿¿{"start":{"line":48,"column":28},"end":{"line":48,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Literal
15447¿IfStatement¿¿27462¿¿¿¿{"start":{"line":48,"column":8},"end":{"line":51,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿IfStatement
15448¿Identifier¿¿27462¿v1901¿¿¿¿¿Identifier
15449¿ExpressionStatement¿¿27462¿¿¿¿{"start":{"line":49,"column":12},"end":{"line":49,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿ExpressionStatement
15450¿AssignmentExpression¿=¿27462¿¿¿¿{"start":{"line":49,"column":12},"end":{"line":49,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿AssignmentExpression
15451¿Identifier¿¿27462¿msg¿¿¿{"start":{"line":49,"column":12},"end":{"line":49,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15452¿Identifier¿¿27462¿data¿¿¿{"start":{"line":49,"column":18},"end":{"line":49,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15453¿ExpressionStatement¿¿27462¿¿¿¿{"start":{"line":50,"column":12},"end":{"line":50,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿ExpressionStatement
15454¿AssignmentExpression¿=¿27462¿¿¿¿{"start":{"line":50,"column":12},"end":{"line":50,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿AssignmentExpression
15455¿Identifier¿¿27462¿data¿¿¿{"start":{"line":50,"column":12},"end":{"line":50,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15456¿ObjectExpression¿¿27462¿¿¿¿¿¿ObjectExpression
15457¿BlockStatement¿¿27462¿¿¿¿{"start":{"line":48,"column":38},"end":{"line":51,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿BlockStatement
15458¿ExpressionStatement¿¿27462¿¿¿¿{"start":{"line":53,"column":8},"end":{"line":53,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿ExpressionStatement
15459¿AssignmentExpression¿=¿27462¿¿¿¿{"start":{"line":53,"column":8},"end":{"line":53,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿AssignmentExpression
15460¿Identifier¿¿27462¿params¿¿¿{"start":{"line":53,"column":8},"end":{"line":53,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15461¿ArrayExpression¿¿27462¿¿¿¿{"start":{"line":53,"column":17},"end":{"line":53,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿ArrayExpression
15462¿Identifier¿¿27462¿msg¿¿¿{"start":{"line":53,"column":19},"end":{"line":53,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15463¿Identifier¿¿27462¿fileName¿¿¿{"start":{"line":53,"column":24},"end":{"line":53,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
