Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3297¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":642,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Program
3308¿Identifier¿¿5643¿process¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3309¿Identifier¿¿5643¿platform¿¿¿{"start":{"line":9,"column":24},"end":{"line":9,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3310¿VariableDeclarator¿¿5643¿v283¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3311¿CallExpression¿¿5643¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿CallExpression
3312¿MemberExpression¿¿5643¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿MemberExpression
3313¿Literal¿object¿5643¿¿/^win/¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3314¿Identifier¿¿5643¿test¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3315¿Identifier¿¿5643¿v282¿¿¿¿¿Identifier
3316¿IfStatement¿¿5643¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":35,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿IfStatement
3317¿Identifier¿¿5643¿v283¿¿¿¿¿Identifier
3318¿VariableDeclarator¿¿5643¿v284¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3319¿MemberExpression¿¿5643¿¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿MemberExpression
3320¿Identifier¿¿5643¿process¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3321¿Identifier¿¿5643¿env¿¿¿{"start":{"line":12,"column":34},"end":{"line":12,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3322¿VariableDeclarator¿¿5643¿v285¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3323¿MemberExpression¿¿5643¿¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿MemberExpression
3324¿Identifier¿¿5643¿v284¿¿¿¿¿Identifier
3325¿Identifier¿¿5643¿VBOX_INSTALL_PATH¿¿¿{"start":{"line":12,"column":38},"end":{"line":12,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3326¿VariableDeclarator¿¿5643¿v286¿¿¿{"start":{"line":12,"column":59},"end":{"line":12,"column":70},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3327¿MemberExpression¿¿5643¿¿¿¿{"start":{"line":12,"column":59},"end":{"line":12,"column":70},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿MemberExpression
3328¿Identifier¿¿5643¿process¿¿¿{"start":{"line":12,"column":59},"end":{"line":12,"column":66},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3329¿Identifier¿¿5643¿env¿¿¿{"start":{"line":12,"column":67},"end":{"line":12,"column":70},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3330¿VariableDeclarator¿¿5643¿v287¿¿¿{"start":{"line":12,"column":59},"end":{"line":12,"column":92},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3331¿MemberExpression¿¿5643¿¿¿¿{"start":{"line":12,"column":59},"end":{"line":12,"column":92},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿MemberExpression
3332¿Identifier¿¿5643¿v286¿¿¿¿¿Identifier
3333¿Identifier¿¿5643¿VBOX_MSI_INSTALL_PATH¿¿¿{"start":{"line":12,"column":71},"end":{"line":12,"column":92},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3334¿VariableDeclarator¿¿5643¿vBoxInstallPath¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":92},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3335¿LogicalExpression¿||¿5643¿¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":92},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿LogicalExpression
3336¿Identifier¿¿5643¿v285¿¿¿¿¿Identifier
3337¿Identifier¿¿5643¿v287¿¿¿¿¿Identifier
3338¿IfStatement¿¿5643¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":19,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿IfStatement
3339¿Identifier¿¿5643¿vBoxInstallPath¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3340¿VariableDeclarator¿¿5643¿v288¿¿¿{"start":{"line":15,"column":33},"end":{"line":15,"column":67},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3341¿CallExpression¿¿5643¿¿¿¿{"start":{"line":15,"column":33},"end":{"line":15,"column":67},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿CallExpression
3342¿MemberExpression¿¿5643¿¿¿¿{"start":{"line":15,"column":33},"end":{"line":15,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿MemberExpression
3343¿Identifier¿¿5643¿vBoxInstallPath¿¿¿{"start":{"line":15,"column":33},"end":{"line":15,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3344¿Identifier¿¿5643¿replace¿¿¿{"start":{"line":15,"column":49},"end":{"line":15,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3345¿Literal¿object¿5643¿¿/\\$/¿¿{"start":{"line":15,"column":57},"end":{"line":15,"column":62},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3346¿Literal¿string¿5643¿¿''¿¿{"start":{"line":15,"column":64},"end":{"line":15,"column":66},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3347¿VariableDeclarator¿¿5643¿v289¿¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":67},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3348¿BinaryExpression¿+¿5643¿¿¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":67},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿BinaryExpression
3349¿Literal¿string¿5643¿¿'''¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3350¿Identifier¿¿5643¿v288¿¿¿¿¿Identifier
3351¿VariableDeclarator¿¿5643¿v290¿¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":88},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3352¿BinaryExpression¿+¿5643¿¿¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":88},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿BinaryExpression
3353¿Identifier¿¿5643¿v289¿¿¿¿¿Identifier
3354¿Literal¿string¿5643¿¿'\\VBoxManage.exe'¿¿{"start":{"line":15,"column":70},"end":{"line":15,"column":88},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3355¿ExpressionStatement¿¿5643¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":95},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿ExpressionStatement
3356¿AssignmentExpression¿=¿5643¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":94},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿AssignmentExpression
3357¿Identifier¿¿5643¿vBoxManageBinary¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3358¿BinaryExpression¿+¿5643¿¿¿¿{"start":{"line":15,"column":27},"end":{"line":15,"column":94},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿BinaryExpression
3359¿Identifier¿¿5643¿v290¿¿¿¿¿Identifier
3360¿Literal¿string¿5643¿¿'''¿¿{"start":{"line":15,"column":91},"end":{"line":15,"column":94},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3361¿BlockStatement¿¿5643¿¿¿¿{"start":{"line":14,"column":25},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿BlockStatement
3362¿VariableDeclarator¿¿5643¿v291¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":103},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3363¿CallExpression¿¿5643¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":103},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿CallExpression
3364¿MemberExpression¿¿5643¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿MemberExpression
3365¿Identifier¿¿5643¿console¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3366¿Identifier¿¿5643¿warn¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3367¿Literal¿string¿5643¿¿'VBOX_INSTALL_PATH or VBOX_MSI_INSTALL_PATH environment variable is not defined.'¿¿{"start":{"line":17,"column":21},"end":{"line":17,"column":102},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3368¿ExpressionStatement¿¿5643¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":104},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿ExpressionStatement
3369¿Identifier¿¿5643¿v291¿¿¿¿¿Identifier
3370¿ExpressionStatement¿¿5643¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿ExpressionStatement
3371¿AssignmentExpression¿=¿5643¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿AssignmentExpression
3372¿Identifier¿¿5643¿vBoxManageBinary¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3373¿Literal¿string¿5643¿¿'VBoxManage.exe'¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3374¿BlockStatement¿¿5643¿¿¿¿{"start":{"line":16,"column":11},"end":{"line":19,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿BlockStatement
3375¿VariableDeclarator¿¿5643¿v297¿¿¿{"start":{"line":21,"column":4},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3376¿FunctionExpression¿¿5643¿anon¿¿¿{"start":{"line":21,"column":16},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿FunctionExpression
3377¿Identifier¿¿0¿arg¿¿¿{"start":{"line":21,"column":26},"end":{"line":21,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3378¿VariableDeclarator¿¿5646¿v292¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3379¿CallExpression¿¿5646¿¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿CallExpression
3380¿MemberExpression¿¿5646¿¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿MemberExpression
3381¿Literal¿object¿5646¿¿/\s|[\\']]/¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3382¿Identifier¿¿5646¿test¿¿¿{"start":{"line":22,"column":25},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3383¿Identifier¿¿5646¿arg¿¿¿{"start":{"line":22,"column":30},"end":{"line":22,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3384¿VariableDeclarator¿¿5646¿v293¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3385¿UnaryExpression¿!¿5646¿¿¿¿{"start":{"line":22,"column":12},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿UnaryExpression
3386¿Identifier¿¿5646¿v292¿¿¿¿¿Identifier
3387¿IfStatement¿¿5646¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿IfStatement
3388¿Identifier¿¿5646¿v293¿¿¿¿¿Identifier
3389¿ReturnStatement¿¿5646¿¿¿¿{"start":{"line":22,"column":36},"end":{"line":22,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿ReturnStatement
3390¿Identifier¿¿5646¿arg¿¿¿{"start":{"line":22,"column":43},"end":{"line":22,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3391¿BlockStatement¿¿5646¿¿¿¿¿¿BlockStatement
3392¿VariableDeclarator¿¿5646¿v294¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3393¿CallExpression¿¿5646¿¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿CallExpression
3394¿MemberExpression¿¿5646¿¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿MemberExpression
3395¿Identifier¿¿5646¿arg¿¿¿{"start":{"line":24,"column":21},"end":{"line":24,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3396¿Identifier¿¿5646¿replace¿¿¿{"start":{"line":24,"column":25},"end":{"line":24,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3397¿Literal¿object¿5646¿¿/'/g¿¿{"start":{"line":24,"column":33},"end":{"line":24,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3398¿Literal¿string¿5646¿¿'''''¿¿{"start":{"line":24,"column":39},"end":{"line":24,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3399¿VariableDeclarator¿¿5646¿v295¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3400¿BinaryExpression¿+¿5646¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿BinaryExpression
3401¿Literal¿string¿5646¿¿'''¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3402¿Identifier¿¿5646¿v294¿¿¿¿¿Identifier
3403¿VariableDeclarator¿¿5646¿v296¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3404¿BinaryExpression¿+¿5646¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿BinaryExpression
3405¿Identifier¿¿5646¿v295¿¿¿¿¿Identifier
3406¿Literal¿string¿5646¿¿'''¿¿{"start":{"line":24,"column":48},"end":{"line":24,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3407¿ReturnStatement¿¿5646¿¿¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿ReturnStatement
3408¿Identifier¿¿5646¿v296¿¿¿¿¿Identifier
3409¿BlockStatement¿¿5646¿¿¿¿{"start":{"line":21,"column":31},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿BlockStatement
3410¿ExpressionStatement¿¿5643¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":25,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿ExpressionStatement
3411¿AssignmentExpression¿=¿5643¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿AssignmentExpression
3412¿Identifier¿¿5643¿escapeArg¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3413¿Identifier¿¿5643¿v297¿¿¿¿¿Identifier
3414¿BlockStatement¿¿5643¿¿¿¿{"start":{"line":9,"column":35},"end":{"line":27,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿BlockStatement
3415¿ExpressionStatement¿¿5643¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿ExpressionStatement
3416¿AssignmentExpression¿=¿5643¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿AssignmentExpression
3417¿Identifier¿¿5643¿vBoxManageBinary¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3418¿Literal¿string¿5643¿¿'vboxmanage'¿¿{"start":{"line":28,"column":23},"end":{"line":28,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3419¿VariableDeclarator¿¿5643¿v302¿¿¿{"start":{"line":30,"column":4},"end":{"line":34,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3420¿FunctionExpression¿¿5643¿anon¿¿¿{"start":{"line":30,"column":16},"end":{"line":34,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿FunctionExpression
3421¿Identifier¿¿0¿arg¿¿¿{"start":{"line":30,"column":26},"end":{"line":30,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3422¿VariableDeclarator¿¿5649¿v298¿¿¿{"start":{"line":31,"column":13},"end":{"line":31,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3423¿CallExpression¿¿5649¿¿¿¿{"start":{"line":31,"column":13},"end":{"line":31,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿CallExpression
3424¿MemberExpression¿¿5649¿¿¿¿{"start":{"line":31,"column":13},"end":{"line":31,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿MemberExpression
3425¿Literal¿object¿5649¿¿/\s|[\\']]/¿¿{"start":{"line":31,"column":13},"end":{"line":31,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3426¿Identifier¿¿5649¿test¿¿¿{"start":{"line":31,"column":25},"end":{"line":31,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3427¿Identifier¿¿5649¿arg¿¿¿{"start":{"line":31,"column":30},"end":{"line":31,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3428¿VariableDeclarator¿¿5649¿v299¿¿¿{"start":{"line":31,"column":12},"end":{"line":31,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3429¿UnaryExpression¿!¿5649¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":31,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿UnaryExpression
3430¿Identifier¿¿5649¿v298¿¿¿¿¿Identifier
3431¿IfStatement¿¿5649¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿IfStatement
3432¿Identifier¿¿5649¿v299¿¿¿¿¿Identifier
