Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1036¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":147,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Program
1048¿VariableDeclarator¿¿1793¿v96¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1049¿CallExpression¿¿1793¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿CallExpression
1050¿MemberExpression¿¿1793¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1051¿ThisExpression¿¿1793¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ThisExpression
1052¿Identifier¿¿1793¿clear¿¿¿{"start":{"line":8,"column":7},"end":{"line":8,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1053¿ExpressionStatement¿¿1793¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ExpressionStatement
1054¿Identifier¿¿1793¿v96¿¿¿¿¿Identifier
1055¿BlockStatement¿¿1793¿¿¿¿{"start":{"line":6,"column":24},"end":{"line":9,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿BlockStatement
1056¿VariableDeclarator¿¿1791¿v97¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1057¿MemberExpression¿¿1791¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1058¿Identifier¿¿1791¿Cache¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1059¿Identifier¿¿1791¿prototype¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1060¿VariableDeclarator¿¿1791¿v99¿¿¿{"start":{"line":10,"column":0},"end":{"line":13,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1061¿FunctionExpression¿¿1791¿anon¿¿¿{"start":{"line":10,"column":24},"end":{"line":13,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿FunctionExpression
1062¿ExpressionStatement¿¿1795¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ExpressionStatement
1063¿AssignmentExpression¿=¿1795¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿AssignmentExpression
1064¿MemberExpression¿¿1795¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1065¿ThisExpression¿¿1795¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ThisExpression
1066¿Identifier¿¿1795¿_size¿¿¿{"start":{"line":11,"column":7},"end":{"line":11,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1067¿Literal¿number¿1795¿¿0¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Literal
1068¿VariableDeclarator¿¿1795¿v98¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1069¿CallExpression¿¿1795¿¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿CallExpression
1070¿MemberExpression¿¿1795¿¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1071¿Identifier¿¿1795¿Object¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1072¿Identifier¿¿1795¿create¿¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1073¿Literal¿object¿1795¿¿null¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Literal
1074¿ExpressionStatement¿¿1795¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ExpressionStatement
1075¿AssignmentExpression¿=¿1795¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿AssignmentExpression
1076¿MemberExpression¿¿1795¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1077¿ThisExpression¿¿1795¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ThisExpression
1078¿Identifier¿¿1795¿_values¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1079¿Identifier¿¿1795¿v98¿¿¿¿¿Identifier
1080¿BlockStatement¿¿1795¿¿¿¿{"start":{"line":10,"column":35},"end":{"line":13,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿BlockStatement
1081¿ExpressionStatement¿¿1791¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":13,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ExpressionStatement
1082¿AssignmentExpression¿=¿1791¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":13,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿AssignmentExpression
1083¿MemberExpression¿¿1791¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1084¿Identifier¿¿1791¿v97¿¿¿¿¿Identifier
1085¿Identifier¿¿1791¿clear¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1086¿Identifier¿¿1791¿v99¿¿¿¿¿Identifier
1087¿VariableDeclarator¿¿1791¿v100¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1088¿MemberExpression¿¿1791¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1089¿Identifier¿¿1791¿Cache¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1090¿Identifier¿¿1791¿prototype¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1091¿VariableDeclarator¿¿1791¿v103¿¿¿{"start":{"line":14,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1092¿FunctionExpression¿¿1791¿anon¿¿¿{"start":{"line":14,"column":22},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿FunctionExpression
1093¿Identifier¿¿0¿key¿¿¿{"start":{"line":14,"column":31},"end":{"line":14,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1094¿VariableDeclarator¿¿1797¿v101¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1095¿MemberExpression¿¿1797¿¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1096¿ThisExpression¿¿1797¿¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ThisExpression
1097¿Identifier¿¿1797¿_values¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1098¿VariableDeclarator¿¿1797¿v102¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1099¿MemberExpression¿computed¿1797¿¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1100¿Identifier¿¿1797¿v101¿¿¿¿¿Identifier
1101¿Identifier¿¿1797¿key¿¿¿{"start":{"line":15,"column":22},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1102¿ReturnStatement¿¿1797¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ReturnStatement
1103¿Identifier¿¿1797¿v102¿¿¿¿¿Identifier
1104¿BlockStatement¿¿1797¿¿¿¿{"start":{"line":14,"column":36},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿BlockStatement
1105¿ExpressionStatement¿¿1791¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ExpressionStatement
1106¿AssignmentExpression¿=¿1791¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿AssignmentExpression
1107¿MemberExpression¿¿1791¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1108¿Identifier¿¿1791¿v100¿¿¿¿¿Identifier
1109¿Identifier¿¿1791¿get¿¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1110¿Identifier¿¿1791¿v103¿¿¿¿¿Identifier
1111¿VariableDeclarator¿¿1791¿v104¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1112¿MemberExpression¿¿1791¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1113¿Identifier¿¿1791¿Cache¿¿¿{"start":{"line":17,"column":0},"end":{"line":17,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1114¿Identifier¿¿1791¿prototype¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1115¿VariableDeclarator¿¿1791¿v116¿¿¿{"start":{"line":17,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1116¿FunctionExpression¿¿1791¿anon¿¿¿{"start":{"line":17,"column":22},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿FunctionExpression
1117¿Identifier¿¿0¿key¿¿¿{"start":{"line":17,"column":31},"end":{"line":17,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1118¿Identifier¿¿0¿value¿¿¿{"start":{"line":17,"column":36},"end":{"line":17,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1119¿VariableDeclarator¿¿1799¿v105¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1120¿MemberExpression¿¿1799¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1121¿ThisExpression¿¿1799¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ThisExpression
1122¿Identifier¿¿1799¿_size¿¿¿{"start":{"line":18,"column":7},"end":{"line":18,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1123¿VariableDeclarator¿¿1799¿v106¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1124¿MemberExpression¿¿1799¿¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1125¿ThisExpression¿¿1799¿¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ThisExpression
1126¿Identifier¿¿1799¿_maxSize¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1127¿VariableDeclarator¿¿1799¿v107¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1128¿BinaryExpression¿>=¿1799¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿BinaryExpression
1129¿Identifier¿¿1799¿v105¿¿¿¿¿Identifier
1130¿Identifier¿¿1799¿v106¿¿¿¿¿Identifier
1131¿VariableDeclarator¿¿1799¿v108¿¿¿{"start":{"line":18,"column":33},"end":{"line":18,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1132¿CallExpression¿¿1799¿¿¿¿{"start":{"line":18,"column":33},"end":{"line":18,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿CallExpression
1133¿MemberExpression¿¿1799¿¿¿¿{"start":{"line":18,"column":33},"end":{"line":18,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1134¿ThisExpression¿¿1799¿¿¿¿{"start":{"line":18,"column":33},"end":{"line":18,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ThisExpression
1135¿Identifier¿¿1799¿clear¿¿¿{"start":{"line":18,"column":38},"end":{"line":18,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1136¿VariableDeclarator¿¿1799¿v109¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1137¿LogicalExpression¿&&¿1799¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿LogicalExpression
1138¿Identifier¿¿1799¿v107¿¿¿¿¿Identifier
1139¿Identifier¿¿1799¿v108¿¿¿¿¿Identifier
1140¿ExpressionStatement¿¿1799¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ExpressionStatement
1141¿Identifier¿¿1799¿v109¿¿¿¿¿Identifier
1142¿VariableDeclarator¿¿1799¿v110¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1143¿MemberExpression¿¿1799¿¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1144¿ThisExpression¿¿1799¿¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ThisExpression
1145¿Identifier¿¿1799¿_values¿¿¿{"start":{"line":19,"column":20},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1146¿VariableDeclarator¿¿1799¿v111¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1147¿BinaryExpression¿in¿1799¿¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿BinaryExpression
1148¿Identifier¿¿1799¿key¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1149¿Identifier¿¿1799¿v110¿¿¿¿¿Identifier
1150¿VariableDeclarator¿¿1799¿v112¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1151¿UnaryExpression¿!¿1799¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿UnaryExpression
1152¿Identifier¿¿1799¿v111¿¿¿¿¿Identifier
1153¿IfStatement¿¿1799¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿IfStatement
1154¿Identifier¿¿1799¿v112¿¿¿¿¿Identifier
1155¿VariableDeclarator¿¿1799¿v113¿¿¿{"start":{"line":19,"column":30},"end":{"line":19,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1156¿MemberExpression¿¿1799¿¿¿¿{"start":{"line":19,"column":30},"end":{"line":19,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1157¿ThisExpression¿¿1799¿¿¿¿{"start":{"line":19,"column":30},"end":{"line":19,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ThisExpression
1158¿Identifier¿¿1799¿_size¿¿¿{"start":{"line":19,"column":35},"end":{"line":19,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1159¿VariableDeclarator¿¿1799¿v114¿¿¿{"start":{"line":19,"column":30},"end":{"line":19,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1160¿UpdateExpression¿¿1799¿¿¿¿{"start":{"line":19,"column":30},"end":{"line":19,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿UpdateExpression
1161¿Identifier¿¿1799¿v113¿¿¿¿¿Identifier
1162¿ExpressionStatement¿¿1799¿¿¿¿{"start":{"line":19,"column":30},"end":{"line":19,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ExpressionStatement
1163¿Identifier¿¿1799¿v114¿¿¿¿¿Identifier
1164¿BlockStatement¿¿1799¿¿¿¿¿¿BlockStatement
1165¿VariableDeclarator¿¿1799¿v115¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1166¿MemberExpression¿¿1799¿¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1167¿ThisExpression¿¿1799¿¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ThisExpression
1168¿Identifier¿¿1799¿_values¿¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1169¿ReturnStatement¿¿1799¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ReturnStatement
1170¿AssignmentExpression¿=¿1799¿¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿AssignmentExpression
1171¿MemberExpression¿computed¿1799¿¿¿¿{"start":{"line":21,"column":10},"end":{"line":21,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1172¿Identifier¿¿1799¿v115¿¿¿¿¿Identifier
1173¿Identifier¿¿1799¿key¿¿¿{"start":{"line":21,"column":23},"end":{"line":21,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1174¿Identifier¿¿1799¿value¿¿¿{"start":{"line":21,"column":30},"end":{"line":21,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1175¿BlockStatement¿¿1799¿¿¿¿{"start":{"line":17,"column":43},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿BlockStatement
1176¿ExpressionStatement¿¿1791¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ExpressionStatement
1177¿AssignmentExpression¿=¿1791¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿AssignmentExpression
