Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2614¿Program¿¿-1¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":583,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Program
2625¿VariableDeclarator¿¿4591¿interPolationRexG¿¿¿{"start":{"line":45,"column":4},"end":{"line":45,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2626¿Literal¿object¿4591¿¿/%\(.*?\)/g¿¿{"start":{"line":45,"column":24},"end":{"line":45,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2627¿VariableDeclarator¿¿4591¿interPolationRex¿¿¿{"start":{"line":51,"column":4},"end":{"line":51,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2628¿Literal¿object¿4591¿¿/%\((.*?)\)/¿¿{"start":{"line":51,"column":23},"end":{"line":51,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2629¿VariableDeclarator¿¿4591¿getLines¿¿¿{"start":{"line":64,"column":0},"end":{"line":94,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2630¿FunctionExpression¿¿4591¿anon¿¿¿{"start":{"line":64,"column":0},"end":{"line":94,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿FunctionExpression
2631¿Identifier¿¿0¿file¿¿¿{"start":{"line":64,"column":18},"end":{"line":64,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2632¿Identifier¿¿0¿cb¿¿¿{"start":{"line":64,"column":24},"end":{"line":64,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2633¿Identifier¿¿0¿async¿¿¿{"start":{"line":64,"column":28},"end":{"line":64,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2634¿VariableDeclarator¿¿4593¿fs¿¿¿{"start":{"line":65,"column":8},"end":{"line":65,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2635¿CallExpression¿¿4593¿¿¿¿{"start":{"line":65,"column":13},"end":{"line":65,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿CallExpression
2636¿Identifier¿¿4593¿require¿¿¿{"start":{"line":65,"column":13},"end":{"line":65,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2637¿Literal¿string¿4593¿¿'fs'¿¿{"start":{"line":65,"column":21},"end":{"line":65,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2638¿VariableDeclarator¿¿4593¿splitLines¿¿¿{"start":{"line":65,"column":28},"end":{"line":65,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2639¿VariableDeclarator¿¿4593¿data¿¿¿{"start":{"line":65,"column":40},"end":{"line":65,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2640¿VariableDeclarator¿¿4593¿v243¿¿¿{"start":{"line":66,"column":4},"end":{"line":81,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2641¿FunctionExpression¿¿4593¿anon¿¿¿{"start":{"line":66,"column":17},"end":{"line":81,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿FunctionExpression
2642¿Identifier¿¿0¿data¿¿¿{"start":{"line":66,"column":27},"end":{"line":66,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2643¿ExpressionStatement¿¿4595¿¿¿¿{"start":{"line":67,"column":8},"end":{"line":67,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿ExpressionStatement
2644¿AssignmentExpression¿=¿4595¿¿¿¿{"start":{"line":67,"column":8},"end":{"line":67,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿AssignmentExpression
2645¿Identifier¿¿4595¿data¿¿¿{"start":{"line":67,"column":8},"end":{"line":67,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2646¿CallExpression¿¿4595¿¿¿¿{"start":{"line":67,"column":15},"end":{"line":67,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿CallExpression
2647¿MemberExpression¿¿4595¿¿¿¿{"start":{"line":67,"column":15},"end":{"line":67,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿MemberExpression
2648¿Identifier¿¿4595¿data¿¿¿{"start":{"line":67,"column":15},"end":{"line":67,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2649¿Identifier¿¿4595¿toString¿¿¿{"start":{"line":67,"column":20},"end":{"line":67,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2650¿VariableDeclarator¿¿4595¿lines¿¿¿{"start":{"line":68,"column":12},"end":{"line":68,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2651¿VariableDeclarator¿¿4595¿v231¿¿¿{"start":{"line":69,"column":12},"end":{"line":69,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2652¿CallExpression¿¿4595¿¿¿¿{"start":{"line":69,"column":12},"end":{"line":69,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿CallExpression
2653¿MemberExpression¿¿4595¿¿¿¿{"start":{"line":69,"column":12},"end":{"line":69,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿MemberExpression
2654¿Identifier¿¿4595¿data¿¿¿{"start":{"line":69,"column":12},"end":{"line":69,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2655¿Identifier¿¿4595¿indexOf¿¿¿{"start":{"line":69,"column":17},"end":{"line":69,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2656¿Literal¿string¿4595¿¿'\r\n'¿¿{"start":{"line":69,"column":25},"end":{"line":69,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2657¿VariableDeclarator¿¿4595¿v232¿¿¿{"start":{"line":69,"column":35},"end":{"line":69,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2658¿UnaryExpression¿-¿4595¿¿¿¿{"start":{"line":69,"column":35},"end":{"line":69,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿UnaryExpression
2659¿Literal¿number¿4595¿¿1¿¿{"start":{"line":69,"column":36},"end":{"line":69,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2660¿VariableDeclarator¿¿4595¿v233¿¿¿{"start":{"line":69,"column":12},"end":{"line":69,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2661¿BinaryExpression¿>¿4595¿¿¿¿{"start":{"line":69,"column":12},"end":{"line":69,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿BinaryExpression
2662¿Identifier¿¿4595¿v231¿¿¿¿¿Identifier
2663¿Identifier¿¿4595¿v232¿¿¿¿¿Identifier
2664¿IfStatement¿¿4595¿¿¿¿{"start":{"line":69,"column":8},"end":{"line":77,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿IfStatement
2665¿Identifier¿¿4595¿v233¿¿¿¿¿Identifier
2666¿ExpressionStatement¿¿4595¿¿¿¿{"start":{"line":70,"column":12},"end":{"line":70,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿ExpressionStatement
2667¿AssignmentExpression¿=¿4595¿¿¿¿{"start":{"line":70,"column":12},"end":{"line":70,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿AssignmentExpression
2668¿Identifier¿¿4595¿lines¿¿¿{"start":{"line":70,"column":12},"end":{"line":70,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2669¿CallExpression¿¿4595¿¿¿¿{"start":{"line":70,"column":20},"end":{"line":70,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿CallExpression
2670¿MemberExpression¿¿4595¿¿¿¿{"start":{"line":70,"column":20},"end":{"line":70,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿MemberExpression
2671¿Identifier¿¿4595¿data¿¿¿{"start":{"line":70,"column":20},"end":{"line":70,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2672¿Identifier¿¿4595¿split¿¿¿{"start":{"line":70,"column":25},"end":{"line":70,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2673¿Literal¿string¿4595¿¿'\r\n'¿¿{"start":{"line":70,"column":31},"end":{"line":70,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2674¿BlockStatement¿¿4595¿¿¿¿{"start":{"line":69,"column":39},"end":{"line":71,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿BlockStatement
2675¿VariableDeclarator¿¿4595¿v234¿¿¿{"start":{"line":71,"column":19},"end":{"line":71,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2676¿CallExpression¿¿4595¿¿¿¿{"start":{"line":71,"column":19},"end":{"line":71,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿CallExpression
2677¿MemberExpression¿¿4595¿¿¿¿{"start":{"line":71,"column":19},"end":{"line":71,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿MemberExpression
2678¿Identifier¿¿4595¿data¿¿¿{"start":{"line":71,"column":19},"end":{"line":71,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2679¿Identifier¿¿4595¿indexOf¿¿¿{"start":{"line":71,"column":24},"end":{"line":71,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2680¿Literal¿string¿4595¿¿'\n'¿¿{"start":{"line":71,"column":32},"end":{"line":71,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2681¿VariableDeclarator¿¿4595¿v235¿¿¿{"start":{"line":71,"column":40},"end":{"line":71,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2682¿UnaryExpression¿-¿4595¿¿¿¿{"start":{"line":71,"column":40},"end":{"line":71,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿UnaryExpression
2683¿Literal¿number¿4595¿¿1¿¿{"start":{"line":71,"column":41},"end":{"line":71,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2684¿VariableDeclarator¿¿4595¿v236¿¿¿{"start":{"line":71,"column":19},"end":{"line":71,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2685¿BinaryExpression¿>¿4595¿¿¿¿{"start":{"line":71,"column":19},"end":{"line":71,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿BinaryExpression
2686¿Identifier¿¿4595¿v234¿¿¿¿¿Identifier
2687¿Identifier¿¿4595¿v235¿¿¿¿¿Identifier
2688¿IfStatement¿¿4595¿¿¿¿{"start":{"line":71,"column":15},"end":{"line":77,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿IfStatement
2689¿Identifier¿¿4595¿v236¿¿¿¿¿Identifier
2690¿ExpressionStatement¿¿4595¿¿¿¿{"start":{"line":72,"column":12},"end":{"line":72,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿ExpressionStatement
2691¿AssignmentExpression¿=¿4595¿¿¿¿{"start":{"line":72,"column":12},"end":{"line":72,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿AssignmentExpression
2692¿Identifier¿¿4595¿lines¿¿¿{"start":{"line":72,"column":12},"end":{"line":72,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2693¿CallExpression¿¿4595¿¿¿¿{"start":{"line":72,"column":20},"end":{"line":72,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿CallExpression
2694¿MemberExpression¿¿4595¿¿¿¿{"start":{"line":72,"column":20},"end":{"line":72,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿MemberExpression
2695¿Identifier¿¿4595¿data¿¿¿{"start":{"line":72,"column":20},"end":{"line":72,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2696¿Identifier¿¿4595¿split¿¿¿{"start":{"line":72,"column":25},"end":{"line":72,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2697¿Literal¿string¿4595¿¿'\n'¿¿{"start":{"line":72,"column":31},"end":{"line":72,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2698¿BlockStatement¿¿4595¿¿¿¿{"start":{"line":71,"column":44},"end":{"line":73,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿BlockStatement
2699¿VariableDeclarator¿¿4595¿v237¿¿¿{"start":{"line":73,"column":19},"end":{"line":73,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2700¿CallExpression¿¿4595¿¿¿¿{"start":{"line":73,"column":19},"end":{"line":73,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿CallExpression
2701¿MemberExpression¿¿4595¿¿¿¿{"start":{"line":73,"column":19},"end":{"line":73,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿MemberExpression
2702¿Identifier¿¿4595¿data¿¿¿{"start":{"line":73,"column":19},"end":{"line":73,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2703¿Identifier¿¿4595¿indexOf¿¿¿{"start":{"line":73,"column":24},"end":{"line":73,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2704¿Literal¿string¿4595¿¿'\r'¿¿{"start":{"line":73,"column":32},"end":{"line":73,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2705¿VariableDeclarator¿¿4595¿v238¿¿¿{"start":{"line":73,"column":40},"end":{"line":73,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2706¿UnaryExpression¿-¿4595¿¿¿¿{"start":{"line":73,"column":40},"end":{"line":73,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿UnaryExpression
2707¿Literal¿number¿4595¿¿1¿¿{"start":{"line":73,"column":41},"end":{"line":73,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2708¿VariableDeclarator¿¿4595¿v239¿¿¿{"start":{"line":73,"column":19},"end":{"line":73,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2709¿BinaryExpression¿>¿4595¿¿¿¿{"start":{"line":73,"column":19},"end":{"line":73,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿BinaryExpression
2710¿Identifier¿¿4595¿v237¿¿¿¿¿Identifier
2711¿Identifier¿¿4595¿v238¿¿¿¿¿Identifier
2712¿IfStatement¿¿4595¿¿¿¿{"start":{"line":73,"column":15},"end":{"line":77,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿IfStatement
2713¿Identifier¿¿4595¿v239¿¿¿¿¿Identifier
2714¿ExpressionStatement¿¿4595¿¿¿¿{"start":{"line":74,"column":12},"end":{"line":74,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿ExpressionStatement
2715¿AssignmentExpression¿=¿4595¿¿¿¿{"start":{"line":74,"column":12},"end":{"line":74,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿AssignmentExpression
2716¿Identifier¿¿4595¿lines¿¿¿{"start":{"line":74,"column":12},"end":{"line":74,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2717¿CallExpression¿¿4595¿¿¿¿{"start":{"line":74,"column":20},"end":{"line":74,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿CallExpression
2718¿MemberExpression¿¿4595¿¿¿¿{"start":{"line":74,"column":20},"end":{"line":74,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿MemberExpression
2719¿Identifier¿¿4595¿data¿¿¿{"start":{"line":74,"column":20},"end":{"line":74,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2720¿Identifier¿¿4595¿split¿¿¿{"start":{"line":74,"column":25},"end":{"line":74,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2721¿Literal¿string¿4595¿¿'\r'¿¿{"start":{"line":74,"column":31},"end":{"line":74,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2722¿BlockStatement¿¿4595¿¿¿¿{"start":{"line":73,"column":44},"end":{"line":75,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿BlockStatement
2723¿ExpressionStatement¿¿4595¿¿¿¿{"start":{"line":76,"column":12},"end":{"line":76,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿ExpressionStatement
2724¿AssignmentExpression¿=¿4595¿¿¿¿{"start":{"line":76,"column":12},"end":{"line":76,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿AssignmentExpression
2725¿Identifier¿¿4595¿lines¿¿¿{"start":{"line":76,"column":12},"end":{"line":76,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2726¿ArrayExpression¿¿4595¿¿¿¿{"start":{"line":76,"column":20},"end":{"line":76,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿ArrayExpression
2727¿Identifier¿¿4595¿data¿¿¿{"start":{"line":76,"column":21},"end":{"line":76,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2728¿BlockStatement¿¿4595¿¿¿¿{"start":{"line":75,"column":15},"end":{"line":77,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿BlockStatement
2729¿BlockStatement¿¿4595¿¿¿¿¿¿BlockStatement
2730¿BlockStatement¿¿4595¿¿¿¿¿¿BlockStatement
2731¿VariableDeclarator¿¿4595¿v241¿¿¿{"start":{"line":78,"column":28},"end":{"line":80,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2732¿FunctionExpression¿¿4595¿emptyLineFilter¿¿¿{"start":{"line":78,"column":28},"end":{"line":80,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿FunctionExpression
2733¿Identifier¿¿0¿line¿¿¿{"start":{"line":78,"column":53},"end":{"line":78,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2734¿VariableDeclarator¿¿4600¿v240¿¿¿{"start":{"line":79,"column":19},"end":{"line":79,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2735¿BinaryExpression¿!==¿4600¿¿¿¿{"start":{"line":79,"column":19},"end":{"line":79,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿BinaryExpression
2736¿Identifier¿¿4600¿line¿¿¿{"start":{"line":79,"column":19},"end":{"line":79,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2737¿Literal¿string¿4600¿¿''¿¿{"start":{"line":79,"column":28},"end":{"line":79,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2738¿ReturnStatement¿¿4600¿¿¿¿{"start":{"line":79,"column":12},"end":{"line":79,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿ReturnStatement
2739¿Identifier¿¿4600¿v240¿¿¿¿¿Identifier
2740¿BlockStatement¿¿4600¿¿¿¿{"start":{"line":78,"column":59},"end":{"line":80,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿BlockStatement
2741¿VariableDeclarator¿¿4595¿v242¿¿¿{"start":{"line":78,"column":15},"end":{"line":80,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2742¿CallExpression¿¿4595¿¿¿¿{"start":{"line":78,"column":15},"end":{"line":80,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿CallExpression
2743¿MemberExpression¿¿4595¿¿¿¿{"start":{"line":78,"column":15},"end":{"line":78,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿MemberExpression
2744¿Identifier¿¿4595¿lines¿¿¿{"start":{"line":78,"column":15},"end":{"line":78,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2745¿Identifier¿¿4595¿filter¿¿¿{"start":{"line":78,"column":21},"end":{"line":78,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Identifier
2746¿Identifier¿¿4595¿v241¿¿¿¿¿Identifier
