Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4342¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":419,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Program
4389¿VariableDeclarator¿¿7570¿gitConfigNoSlashesInFiles¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":57},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4390¿Literal¿string¿7570¿¿'-c core.quotepath=false'¿¿{"start":{"line":13,"column":32},"end":{"line":13,"column":57},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4391¿VariableDeclarator¿¿7570¿gitConfigCliPager¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4392¿Literal¿string¿7570¿¿'-c core.pager=cat'¿¿{"start":{"line":14,"column":24},"end":{"line":14,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4393¿VariableDeclarator¿¿7570¿v459¿¿¿{"start":{"line":15,"column":28},"end":{"line":15,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4394¿MemberExpression¿¿7570¿¿¿¿{"start":{"line":15,"column":28},"end":{"line":15,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿MemberExpression
4395¿Identifier¿¿7570¿process¿¿¿{"start":{"line":15,"column":28},"end":{"line":15,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4396¿Identifier¿¿7570¿platform¿¿¿{"start":{"line":15,"column":36},"end":{"line":15,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4397¿VariableDeclarator¿¿7570¿isWindows¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4398¿CallExpression¿¿7570¿¿¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿CallExpression
4399¿MemberExpression¿¿7570¿¿¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿MemberExpression
4400¿Literal¿object¿7570¿¿/^win/¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4401¿Identifier¿¿7570¿test¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4402¿Identifier¿¿7570¿v459¿¿¿¿¿Identifier
4403¿VariableDeclarator¿exported¿7570¿git¿¿¿{"start":{"line":17,"column":4},"end":{"line":21,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4404¿FunctionExpression¿¿7570¿anon¿¿¿{"start":{"line":17,"column":10},"end":{"line":21,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿FunctionExpression
4405¿Identifier¿¿0¿command¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4406¿Identifier¿¿0¿repoPath¿¿¿{"start":{"line":17,"column":28},"end":{"line":17,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4407¿VariableDeclarator¿¿7572¿v460¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4408¿BinaryExpression¿+¿7572¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿BinaryExpression
4409¿Literal¿string¿7572¿¿'git '¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4410¿Identifier¿¿7572¿gitConfigNoColors¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4411¿VariableDeclarator¿¿7572¿v461¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4412¿BinaryExpression¿+¿7572¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿BinaryExpression
4413¿Identifier¿¿7572¿v460¿¿¿¿¿Identifier
4414¿Literal¿string¿7572¿¿' '¿¿{"start":{"line":18,"column":41},"end":{"line":18,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4415¿VariableDeclarator¿¿7572¿v462¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":72},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4416¿BinaryExpression¿+¿7572¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":72},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿BinaryExpression
4417¿Identifier¿¿7572¿v461¿¿¿¿¿Identifier
4418¿Identifier¿¿7572¿gitConfigNoSlashesInFiles¿¿¿{"start":{"line":18,"column":47},"end":{"line":18,"column":72},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4419¿VariableDeclarator¿¿7572¿v463¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":78},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4420¿BinaryExpression¿+¿7572¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":78},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿BinaryExpression
4421¿Identifier¿¿7572¿v462¿¿¿¿¿Identifier
4422¿Literal¿string¿7572¿¿' '¿¿{"start":{"line":18,"column":75},"end":{"line":18,"column":78},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4423¿VariableDeclarator¿¿7572¿v464¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":98},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4424¿BinaryExpression¿+¿7572¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":98},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿BinaryExpression
4425¿Identifier¿¿7572¿v463¿¿¿¿¿Identifier
4426¿Identifier¿¿7572¿gitConfigCliPager¿¿¿{"start":{"line":18,"column":81},"end":{"line":18,"column":98},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4427¿VariableDeclarator¿¿7572¿v465¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":104},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4428¿BinaryExpression¿+¿7572¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":104},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿BinaryExpression
4429¿Identifier¿¿7572¿v464¿¿¿¿¿Identifier
4430¿Literal¿string¿7572¿¿' '¿¿{"start":{"line":18,"column":101},"end":{"line":18,"column":104},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4431¿ExpressionStatement¿¿7572¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":115},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿ExpressionStatement
4432¿AssignmentExpression¿=¿7572¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":114},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿AssignmentExpression
4433¿Identifier¿¿7572¿command¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4434¿BinaryExpression¿+¿7572¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":114},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿BinaryExpression
4435¿Identifier¿¿7572¿v465¿¿¿¿¿Identifier
4436¿Identifier¿¿7572¿command¿¿¿{"start":{"line":18,"column":107},"end":{"line":18,"column":114},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4437¿VariableDeclarator¿¿7572¿v466¿¿¿{"start":{"line":20,"column":9},"end":{"line":20,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4438¿NewExpression¿¿7572¿¿¿¿{"start":{"line":20,"column":9},"end":{"line":20,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿NewExpression
4439¿Identifier¿¿7572¿GitExecutionTask¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4440¿Identifier¿¿7572¿command¿¿¿{"start":{"line":20,"column":30},"end":{"line":20,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4441¿Identifier¿¿7572¿repoPath¿¿¿{"start":{"line":20,"column":39},"end":{"line":20,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4442¿ReturnStatement¿¿7572¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿ReturnStatement
4443¿Identifier¿¿7572¿v466¿¿¿¿¿Identifier
4444¿BlockStatement¿¿7572¿¿¿¿{"start":{"line":17,"column":38},"end":{"line":21,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿BlockStatement
4445¿VariableDeclarator¿¿7570¿GitExecutionTask¿¿¿{"start":{"line":24,"column":4},"end":{"line":34,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4446¿FunctionExpression¿¿7570¿anon¿¿¿{"start":{"line":24,"column":23},"end":{"line":34,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿FunctionExpression
4447¿Identifier¿¿0¿command¿¿¿{"start":{"line":24,"column":32},"end":{"line":24,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4448¿Identifier¿¿0¿repoPath¿¿¿{"start":{"line":24,"column":41},"end":{"line":24,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4449¿VariableDeclarator¿¿7574¿v467¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4450¿CallExpression¿¿7574¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿CallExpression
4451¿MemberExpression¿¿7574¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿MemberExpression
4452¿Identifier¿¿7574¿GitTask¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4453¿Identifier¿¿7574¿call¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4454¿ThisExpression¿¿7574¿¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿ThisExpression
4455¿ExpressionStatement¿¿7574¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿ExpressionStatement
4456¿Identifier¿¿7574¿v467¿¿¿¿¿Identifier
4457¿VariableDeclarator¿¿7574¿self¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4458¿ThisExpression¿¿7574¿¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿ThisExpression
4459¿ExpressionStatement¿¿7574¿¿¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿ExpressionStatement
4460¿AssignmentExpression¿=¿7574¿¿¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿AssignmentExpression
4461¿MemberExpression¿¿7574¿¿¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿MemberExpression
4462¿ThisExpression¿¿7574¿¿¿¿{"start":{"line":27,"column":2},"end":{"line":27,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿ThisExpression
4463¿Identifier¿¿7574¿repoPath¿¿¿{"start":{"line":27,"column":7},"end":{"line":27,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4464¿Identifier¿¿7574¿repoPath¿¿¿{"start":{"line":27,"column":18},"end":{"line":27,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4465¿ExpressionStatement¿¿7574¿¿¿¿{"start":{"line":28,"column":2},"end":{"line":28,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿ExpressionStatement
4466¿AssignmentExpression¿=¿7574¿¿¿¿{"start":{"line":28,"column":2},"end":{"line":28,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿AssignmentExpression
4467¿MemberExpression¿¿7574¿¿¿¿{"start":{"line":28,"column":2},"end":{"line":28,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿MemberExpression
4468¿ThisExpression¿¿7574¿¿¿¿{"start":{"line":28,"column":2},"end":{"line":28,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿ThisExpression
4469¿Identifier¿¿7574¿command¿¿¿{"start":{"line":28,"column":7},"end":{"line":28,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4470¿Identifier¿¿7574¿command¿¿¿{"start":{"line":28,"column":17},"end":{"line":28,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4471¿VariableDeclarator¿¿7574¿v468¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4472¿BinaryExpression¿*¿7574¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿BinaryExpression
4473¿Literal¿number¿7574¿¿2¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4474¿Literal¿number¿7574¿¿60¿¿{"start":{"line":29,"column":20},"end":{"line":29,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4475¿ExpressionStatement¿¿7574¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":29,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿ExpressionStatement
4476¿AssignmentExpression¿=¿7574¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":29,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿AssignmentExpression
4477¿MemberExpression¿¿7574¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":29,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿MemberExpression
4478¿ThisExpression¿¿7574¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":29,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿ThisExpression
4479¿Identifier¿¿7574¿_timeout¿¿¿{"start":{"line":29,"column":7},"end":{"line":29,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4480¿BinaryExpression¿*¿7574¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":29,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿BinaryExpression
4481¿Identifier¿¿7574¿v468¿¿¿¿¿Identifier
4482¿Literal¿number¿7574¿¿1000¿¿{"start":{"line":29,"column":23},"end":{"line":29,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4483¿ExpressionStatement¿¿7574¿¿¿¿{"start":{"line":30,"column":2},"end":{"line":30,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿ExpressionStatement
4484¿AssignmentExpression¿=¿7574¿¿¿¿{"start":{"line":30,"column":2},"end":{"line":30,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿AssignmentExpression
4485¿MemberExpression¿¿7574¿¿¿¿{"start":{"line":30,"column":2},"end":{"line":30,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿MemberExpression
4486¿ThisExpression¿¿7574¿¿¿¿{"start":{"line":30,"column":2},"end":{"line":30,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿ThisExpression
