Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1117¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":121,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Program
1130¿VariableDeclarator¿¿1893¿v96¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1131¿ObjectExpression¿¿1893¿¿¿¿¿¿ObjectExpression
1132¿ExpressionStatement¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ExpressionStatement
1133¿AssignmentExpression¿=¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿AssignmentExpression
1134¿MemberExpression¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1135¿Identifier¿¿1893¿v96¿¿¿¿¿Identifier
1136¿Identifier¿¿1893¿clone¿¿¿{"start":{"line":5,"column":1},"end":{"line":5,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1137¿Identifier¿¿1893¿deepClone¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1138¿ExpressionStatement¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ExpressionStatement
1139¿AssignmentExpression¿=¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿AssignmentExpression
1140¿MemberExpression¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1141¿Identifier¿¿1893¿v96¿¿¿¿¿Identifier
1142¿Identifier¿¿1893¿cloneShallow¿¿¿{"start":{"line":6,"column":1},"end":{"line":6,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1143¿Identifier¿¿1893¿clone¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1144¿ExpressionStatement¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ExpressionStatement
1145¿AssignmentExpression¿=¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿AssignmentExpression
1146¿MemberExpression¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1147¿Identifier¿¿1893¿v96¿¿¿¿¿Identifier
1148¿Identifier¿¿1893¿extend¿¿¿{"start":{"line":7,"column":1},"end":{"line":7,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1149¿Identifier¿¿1893¿deepExtend¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1150¿ExpressionStatement¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ExpressionStatement
1151¿AssignmentExpression¿=¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿AssignmentExpression
1152¿MemberExpression¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1153¿Identifier¿¿1893¿v96¿¿¿¿¿Identifier
1154¿Identifier¿¿1893¿extendShallow¿¿¿{"start":{"line":8,"column":1},"end":{"line":8,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1155¿Identifier¿¿1893¿extend¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1156¿ExpressionStatement¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ExpressionStatement
1157¿AssignmentExpression¿=¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿AssignmentExpression
1158¿MemberExpression¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1159¿Identifier¿¿1893¿v96¿¿¿¿¿Identifier
1160¿Identifier¿¿1893¿update¿¿¿{"start":{"line":9,"column":1},"end":{"line":9,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1161¿Identifier¿¿1893¿deepUpdate¿¿¿{"start":{"line":9,"column":9},"end":{"line":9,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1162¿ExpressionStatement¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ExpressionStatement
1163¿AssignmentExpression¿=¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿AssignmentExpression
1164¿MemberExpression¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1165¿Identifier¿¿1893¿v96¿¿¿¿¿Identifier
1166¿Identifier¿¿1893¿updateShallow¿¿¿{"start":{"line":10,"column":1},"end":{"line":10,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1167¿Identifier¿¿1893¿update¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1168¿ExpressionStatement¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ExpressionStatement
1169¿AssignmentExpression¿=¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿AssignmentExpression
1170¿MemberExpression¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1171¿Identifier¿¿1893¿v96¿¿¿¿¿Identifier
1172¿Identifier¿¿1893¿merge¿¿¿{"start":{"line":11,"column":1},"end":{"line":11,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1173¿Identifier¿¿1893¿deepMerge¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1174¿ExpressionStatement¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ExpressionStatement
1175¿AssignmentExpression¿=¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿AssignmentExpression
1176¿MemberExpression¿¿1893¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1177¿Identifier¿¿1893¿v96¿¿¿¿¿Identifier
1178¿Identifier¿¿1893¿mergeShallow¿¿¿{"start":{"line":12,"column":1},"end":{"line":12,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1179¿Identifier¿¿1893¿merge¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1180¿ExpressionStatement¿¿1893¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":13,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ExpressionStatement
1181¿AssignmentExpression¿=¿1893¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":13,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿AssignmentExpression
1182¿MemberExpression¿¿1893¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1183¿Identifier¿¿1893¿module¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1184¿Identifier¿¿1893¿exports¿¿¿{"start":{"line":4,"column":7},"end":{"line":4,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1185¿Identifier¿¿1893¿v96¿¿¿¿¿Identifier
1186¿VariableDeclarator¿exported¿1893¿clone¿¿¿{"start":{"line":15,"column":0},"end":{"line":30,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1187¿FunctionExpression¿¿1893¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":30,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿FunctionExpression
1188¿Identifier¿¿0¿val¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1189¿VariableDeclarator¿¿1895¿v97¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1190¿CallExpression¿¿1895¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿CallExpression
1191¿Identifier¿¿1895¿typeOf¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1192¿Identifier¿¿1895¿val¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1193¿SwitchStatement¿¿1895¿¿¿¿{"start":{"line":16,"column":1},"end":{"line":29,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿SwitchStatement
1194¿Identifier¿¿1895¿v97¿¿¿¿¿Identifier
1195¿SwitchCase¿¿1895¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":20,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿SwitchCase
1196¿Literal¿string¿1895¿¿'object'¿¿{"start":{"line":17,"column":7},"end":{"line":17,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Literal
1197¿VariableDeclarator¿¿1895¿args¿¿¿{"start":{"line":18,"column":7},"end":{"line":18,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1198¿CallExpression¿¿1895¿¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿CallExpression
1199¿MemberExpression¿¿1895¿¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1200¿Identifier¿¿1895¿slice¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1201¿Identifier¿¿1895¿call¿¿¿{"start":{"line":18,"column":20},"end":{"line":18,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1202¿Identifier¿¿1895¿arguments¿¿¿{"start":{"line":18,"column":25},"end":{"line":18,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1203¿VariableDeclarator¿¿1895¿v98¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1204¿ObjectExpression¿¿1895¿¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ObjectExpression
1205¿VariableDeclarator¿¿1895¿v99¿¿¿{"start":{"line":19,"column":3},"end":{"line":19,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1206¿CallExpression¿¿1895¿¿¿¿{"start":{"line":19,"column":3},"end":{"line":19,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿CallExpression
1207¿MemberExpression¿¿1895¿¿¿¿{"start":{"line":19,"column":3},"end":{"line":19,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1208¿Identifier¿¿1895¿args¿¿¿{"start":{"line":19,"column":3},"end":{"line":19,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1209¿Identifier¿¿1895¿unshift¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1210¿Identifier¿¿1895¿v98¿¿¿¿¿Identifier
1211¿ExpressionStatement¿¿1895¿¿¿¿{"start":{"line":19,"column":3},"end":{"line":19,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ExpressionStatement
1212¿Identifier¿¿1895¿v99¿¿¿¿¿Identifier
1213¿VariableDeclarator¿¿1895¿v100¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1214¿CallExpression¿¿1895¿¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿CallExpression
1215¿MemberExpression¿¿1895¿¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1216¿Identifier¿¿1895¿extend¿¿¿{"start":{"line":20,"column":10},"end":{"line":20,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1217¿Identifier¿¿1895¿apply¿¿¿{"start":{"line":20,"column":17},"end":{"line":20,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1218¿Literal¿object¿1895¿¿null¿¿{"start":{"line":20,"column":23},"end":{"line":20,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Literal
1219¿Identifier¿¿1895¿args¿¿¿{"start":{"line":20,"column":29},"end":{"line":20,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1220¿ReturnStatement¿¿1895¿¿¿¿{"start":{"line":20,"column":3},"end":{"line":20,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ReturnStatement
1221¿Identifier¿¿1895¿v100¿¿¿¿¿Identifier
1222¿SwitchCase¿¿1895¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":22,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿SwitchCase
1223¿Literal¿string¿1895¿¿'array'¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Literal
1224¿VariableDeclarator¿¿1895¿v101¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1225¿ArrayExpression¿¿1895¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ArrayExpression
1226¿VariableDeclarator¿¿1895¿v102¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1227¿CallExpression¿¿1895¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿CallExpression
1228¿MemberExpression¿¿1895¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1229¿Identifier¿¿1895¿v101¿¿¿¿¿Identifier
1230¿Identifier¿¿1895¿concat¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1231¿Identifier¿¿1895¿val¿¿¿{"start":{"line":22,"column":20},"end":{"line":22,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1232¿ReturnStatement¿¿1895¿¿¿¿{"start":{"line":22,"column":3},"end":{"line":22,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ReturnStatement
1233¿Identifier¿¿1895¿v102¿¿¿¿¿Identifier
1234¿SwitchCase¿¿1895¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":24,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿SwitchCase
1235¿Literal¿string¿1895¿¿'date'¿¿{"start":{"line":23,"column":7},"end":{"line":23,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Literal
1236¿VariableDeclarator¿¿1895¿v103¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1237¿CallExpression¿¿1895¿¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿CallExpression
1238¿MemberExpression¿¿1895¿¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1239¿Identifier¿¿1895¿val¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1240¿Identifier¿¿1895¿getTime¿¿¿{"start":{"line":24,"column":23},"end":{"line":24,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1241¿VariableDeclarator¿¿1895¿v104¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1242¿NewExpression¿¿1895¿¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿NewExpression
1243¿Identifier¿¿1895¿Date¿¿¿{"start":{"line":24,"column":14},"end":{"line":24,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1244¿Identifier¿¿1895¿v103¿¿¿¿¿Identifier
1245¿ReturnStatement¿¿1895¿¿¿¿{"start":{"line":24,"column":3},"end":{"line":24,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ReturnStatement
1246¿Identifier¿¿1895¿v104¿¿¿¿¿Identifier
1247¿SwitchCase¿¿1895¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":26,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿SwitchCase
1248¿Literal¿string¿1895¿¿'regexp'¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Literal
1249¿VariableDeclarator¿¿1895¿v105¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1250¿NewExpression¿¿1895¿¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿NewExpression
1251¿Identifier¿¿1895¿RegExp¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1252¿Identifier¿¿1895¿val¿¿¿{"start":{"line":26,"column":21},"end":{"line":26,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1253¿ReturnStatement¿¿1895¿¿¿¿{"start":{"line":26,"column":3},"end":{"line":26,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ReturnStatement
1254¿Identifier¿¿1895¿v105¿¿¿¿¿Identifier
1255¿SwitchCase¿¿1895¿¿¿¿{"start":{"line":27,"column":2},"end":{"line":28,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿SwitchCase
1256¿ReturnStatement¿¿1895¿¿¿¿{"start":{"line":28,"column":3},"end":{"line":28,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿ReturnStatement
1257¿Identifier¿¿1895¿val¿¿¿{"start":{"line":28,"column":10},"end":{"line":28,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1258¿BlockStatement¿¿1895¿¿¿¿{"start":{"line":15,"column":20},"end":{"line":30,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿BlockStatement
1259¿VariableDeclarator¿exported¿1893¿deepClone¿¿¿{"start":{"line":32,"column":0},"end":{"line":43,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1260¿FunctionExpression¿¿1893¿anon¿¿¿{"start":{"line":32,"column":0},"end":{"line":43,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿FunctionExpression
1261¿Identifier¿¿0¿val¿¿¿{"start":{"line":32,"column":19},"end":{"line":32,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1262¿VariableDeclarator¿¿1903¿v106¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1263¿CallExpression¿¿1903¿¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿CallExpression
1264¿Identifier¿¿1903¿typeOf¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1265¿Identifier¿¿1903¿val¿¿¿{"start":{"line":33,"column":15},"end":{"line":33,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1266¿SwitchStatement¿¿1903¿¿¿¿{"start":{"line":33,"column":1},"end":{"line":42,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿SwitchStatement
1267¿Identifier¿¿1903¿v106¿¿¿¿¿Identifier
1268¿SwitchCase¿¿1903¿¿¿¿{"start":{"line":34,"column":2},"end":{"line":37,"column":39},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿SwitchCase
