Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
684¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":93,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Program
705¿Identifier¿¿1191¿m¿¿¿{"start":{"line":8,"column":45},"end":{"line":8,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
706¿VariableDeclarator¿¿1191¿v59¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
707¿NewExpression¿¿1191¿¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿NewExpression
708¿Identifier¿¿1191¿Error¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
709¿Identifier¿¿1191¿v58¿¿¿¿¿Identifier
710¿ThrowStatement¿¿1191¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿ThrowStatement
711¿Identifier¿¿1191¿v59¿¿¿¿¿Identifier
712¿BlockStatement¿¿1191¿¿¿¿{"start":{"line":3,"column":28},"end":{"line":9,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿BlockStatement
713¿VariableDeclarator¿¿1189¿untilde¿¿¿{"start":{"line":11,"column":0},"end":{"line":14,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
714¿FunctionExpression¿¿1189¿anon¿¿¿{"start":{"line":11,"column":0},"end":{"line":14,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿FunctionExpression
715¿Identifier¿¿0¿str¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
716¿VariableDeclarator¿¿1196¿v60¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
717¿CallExpression¿¿1196¿¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿CallExpression
718¿MemberExpression¿¿1196¿¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿MemberExpression
719¿Identifier¿¿1196¿hasExcape¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
720¿Identifier¿¿1196¿test¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
721¿Identifier¿¿1196¿str¿¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
722¿VariableDeclarator¿¿1196¿v61¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
723¿UnaryExpression¿!¿1196¿¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿UnaryExpression
724¿Identifier¿¿1196¿v60¿¿¿¿¿Identifier
725¿IfStatement¿¿1196¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿IfStatement
726¿Identifier¿¿1196¿v61¿¿¿¿¿Identifier
727¿ReturnStatement¿¿1196¿¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿ReturnStatement
728¿Identifier¿¿1196¿str¿¿¿{"start":{"line":12,"column":35},"end":{"line":12,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
729¿BlockStatement¿¿1196¿¿¿¿¿¿BlockStatement
730¿VariableDeclarator¿¿1196¿v62¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
731¿CallExpression¿¿1196¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿CallExpression
732¿MemberExpression¿¿1196¿¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿MemberExpression
733¿Identifier¿¿1196¿str¿¿¿{"start":{"line":13,"column":9},"end":{"line":13,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
734¿Identifier¿¿1196¿replace¿¿¿{"start":{"line":13,"column":13},"end":{"line":13,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
735¿Identifier¿¿1196¿escapeMatcher¿¿¿{"start":{"line":13,"column":21},"end":{"line":13,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
736¿Identifier¿¿1196¿escapeReplacer¿¿¿{"start":{"line":13,"column":36},"end":{"line":13,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
737¿ReturnStatement¿¿1196¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿ReturnStatement
738¿Identifier¿¿1196¿v62¿¿¿¿¿Identifier
739¿BlockStatement¿¿1196¿¿¿¿{"start":{"line":11,"column":23},"end":{"line":14,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿BlockStatement
740¿VariableDeclarator¿¿1189¿setter¿¿¿{"start":{"line":16,"column":0},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
741¿FunctionExpression¿¿1189¿anon¿¿¿{"start":{"line":16,"column":0},"end":{"line":45,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿FunctionExpression
742¿Identifier¿¿0¿obj¿¿¿{"start":{"line":16,"column":17},"end":{"line":16,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
743¿Identifier¿¿0¿pointer¿¿¿{"start":{"line":16,"column":22},"end":{"line":16,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
744¿Identifier¿¿0¿value¿¿¿{"start":{"line":16,"column":31},"end":{"line":16,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
745¿VariableDeclarator¿¿1199¿part¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
746¿VariableDeclarator¿¿1199¿hasNextPart¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
747¿VariableDeclarator¿¿1199¿p¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
748¿Literal¿number¿1199¿¿1¿¿{"start":{"line":20,"column":15},"end":{"line":20,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Literal
749¿VariableDeclarator¿¿1199¿len¿¿¿{"start":{"line":20,"column":18},"end":{"line":20,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
750¿MemberExpression¿¿1199¿¿¿¿{"start":{"line":20,"column":24},"end":{"line":20,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿MemberExpression
751¿Identifier¿¿1199¿pointer¿¿¿{"start":{"line":20,"column":24},"end":{"line":20,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
752¿Identifier¿¿1199¿length¿¿¿{"start":{"line":20,"column":32},"end":{"line":20,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
753¿VariableDeclarator¿¿1199¿v63¿¿¿{"start":{"line":20,"column":40},"end":{"line":20,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
754¿BinaryExpression¿<¿1199¿¿¿¿{"start":{"line":20,"column":40},"end":{"line":20,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿BinaryExpression
755¿Identifier¿¿1199¿p¿¿¿{"start":{"line":20,"column":40},"end":{"line":20,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
756¿Identifier¿¿1199¿len¿¿¿{"start":{"line":20,"column":44},"end":{"line":20,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
757¿WhileStatement¿¿1199¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":39,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿WhileStatement
758¿Identifier¿¿1199¿v63¿¿¿¿¿Identifier
759¿VariableDeclarator¿¿1199¿v64¿¿¿{"start":{"line":21,"column":27},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
760¿UpdateExpression¿¿1199¿¿¿¿{"start":{"line":21,"column":27},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿UpdateExpression
761¿Identifier¿¿1199¿p¿¿¿{"start":{"line":21,"column":27},"end":{"line":21,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
762¿VariableDeclarator¿¿1199¿v65¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
763¿MemberExpression¿computed¿1199¿¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿MemberExpression
764¿Identifier¿¿1199¿pointer¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
765¿Identifier¿¿1199¿v64¿¿¿¿¿Identifier
766¿ExpressionStatement¿¿1199¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿ExpressionStatement
767¿AssignmentExpression¿=¿1199¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿AssignmentExpression
768¿Identifier¿¿1199¿part¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":8},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
769¿CallExpression¿¿1199¿¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿CallExpression
770¿Identifier¿¿1199¿untilde¿¿¿{"start":{"line":21,"column":11},"end":{"line":21,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
771¿Identifier¿¿1199¿v65¿¿¿¿¿Identifier
772¿ExpressionStatement¿¿1199¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿ExpressionStatement
773¿AssignmentExpression¿=¿1199¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿AssignmentExpression
774¿Identifier¿¿1199¿hasNextPart¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
775¿BinaryExpression¿>¿1199¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿BinaryExpression
776¿Identifier¿¿1199¿len¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
777¿Identifier¿¿1199¿p¿¿¿{"start":{"line":22,"column":24},"end":{"line":22,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
778¿VariableDeclarator¿¿1199¿v66¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
779¿MemberExpression¿computed¿1199¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿MemberExpression
780¿Identifier¿¿1199¿obj¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
781¿Identifier¿¿1199¿part¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
782¿VariableDeclarator¿¿1199¿v67¿¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
783¿UnaryExpression¿typeof¿1199¿¿¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿UnaryExpression
784¿Identifier¿¿1199¿v66¿¿¿¿¿Identifier
785¿VariableDeclarator¿¿1199¿v68¿¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
786¿BinaryExpression¿===¿1199¿¿¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿BinaryExpression
787¿Identifier¿¿1199¿v67¿¿¿¿¿Identifier
788¿Literal¿string¿1199¿¿'undefined'¿¿{"start":{"line":24,"column":29},"end":{"line":24,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Literal
789¿IfStatement¿¿1199¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":35,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿IfStatement
790¿Identifier¿¿1199¿v68¿¿¿¿¿Identifier
791¿VariableDeclarator¿¿1199¿v69¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
792¿CallExpression¿¿1199¿¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿CallExpression
793¿MemberExpression¿¿1199¿¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿MemberExpression
794¿Identifier¿¿1199¿Array¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
795¿Identifier¿¿1199¿isArray¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
796¿Identifier¿¿1199¿obj¿¿¿{"start":{"line":26,"column":24},"end":{"line":26,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
797¿VariableDeclarator¿¿1199¿v70¿¿¿{"start":{"line":26,"column":32},"end":{"line":26,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
798¿BinaryExpression¿===¿1199¿¿¿¿{"start":{"line":26,"column":32},"end":{"line":26,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿BinaryExpression
799¿Identifier¿¿1199¿part¿¿¿{"start":{"line":26,"column":32},"end":{"line":26,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
800¿Literal¿string¿1199¿¿'-'¿¿{"start":{"line":26,"column":41},"end":{"line":26,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Literal
801¿VariableDeclarator¿¿1199¿v71¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
802¿LogicalExpression¿&&¿1199¿¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿LogicalExpression
803¿Identifier¿¿1199¿v69¿¿¿¿¿Identifier
804¿Identifier¿¿1199¿v70¿¿¿¿¿Identifier
805¿IfStatement¿¿1199¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":28,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿IfStatement
806¿Identifier¿¿1199¿v71¿¿¿¿¿Identifier
807¿ExpressionStatement¿¿1199¿¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿ExpressionStatement
808¿AssignmentExpression¿=¿1199¿¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿AssignmentExpression
809¿Identifier¿¿1199¿part¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
810¿MemberExpression¿¿1199¿¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿MemberExpression
811¿Identifier¿¿1199¿obj¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
812¿Identifier¿¿1199¿length¿¿¿{"start":{"line":27,"column":19},"end":{"line":27,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
813¿BlockStatement¿¿1199¿¿¿¿{"start":{"line":26,"column":46},"end":{"line":28,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿BlockStatement
814¿IfStatement¿¿1199¿¿¿¿{"start":{"line":31,"column":6},"end":{"line":34,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿IfStatement
815¿Identifier¿¿1199¿hasNextPart¿¿¿{"start":{"line":31,"column":10},"end":{"line":31,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
