Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
618¿Program¿¿-1¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":90,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Program
650¿VariableDeclarator¿¿1094¿v66¿¿¿{"start":{"line":23,"column":7},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
651¿CallExpression¿¿1094¿¿¿¿{"start":{"line":23,"column":7},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿CallExpression
652¿Identifier¿¿1094¿isObject¿¿¿{"start":{"line":23,"column":7},"end":{"line":23,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
653¿Identifier¿¿1094¿target¿¿¿{"start":{"line":23,"column":16},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
654¿VariableDeclarator¿¿1094¿v67¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
655¿UnaryExpression¿!¿1094¿¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿UnaryExpression
656¿Identifier¿¿1094¿v66¿¿¿¿¿Identifier
657¿IfStatement¿¿1094¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":24,"column":66},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿IfStatement
658¿Identifier¿¿1094¿v67¿¿¿¿¿Identifier
659¿VariableDeclarator¿¿1094¿v68¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":65},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
660¿NewExpression¿¿1094¿¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":65},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿NewExpression
661¿Identifier¿¿1094¿TypeError¿¿¿{"start":{"line":24,"column":14},"end":{"line":24,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
662¿Literal¿string¿1094¿¿'Property 'target' requires object type'¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Literal
663¿ThrowStatement¿¿1094¿¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":66},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿ThrowStatement
664¿Identifier¿¿1094¿v68¿¿¿¿¿Identifier
665¿BlockStatement¿¿1094¿¿¿¿¿¿BlockStatement
666¿VariableDeclarator¿¿1094¿v69¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
667¿CallExpression¿¿1094¿¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿CallExpression
668¿Identifier¿¿1094¿isObject¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
669¿Identifier¿¿1094¿source¿¿¿{"start":{"line":25,"column":16},"end":{"line":25,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
670¿VariableDeclarator¿¿1094¿v70¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
671¿UnaryExpression¿!¿1094¿¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿UnaryExpression
672¿Identifier¿¿1094¿v69¿¿¿¿¿Identifier
673¿IfStatement¿¿1094¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":26,"column":66},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿IfStatement
674¿Identifier¿¿1094¿v70¿¿¿¿¿Identifier
675¿VariableDeclarator¿¿1094¿v71¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":65},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
676¿NewExpression¿¿1094¿¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":65},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿NewExpression
677¿Identifier¿¿1094¿TypeError¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
678¿Literal¿string¿1094¿¿'Property 'source' requires object type'¿¿{"start":{"line":26,"column":24},"end":{"line":26,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Literal
679¿ThrowStatement¿¿1094¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":66},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿ThrowStatement
680¿Identifier¿¿1094¿v71¿¿¿¿¿Identifier
681¿BlockStatement¿¿1094¿¿¿¿¿¿BlockStatement
682¿VariableDeclarator¿¿1094¿v72¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
683¿BinaryExpression¿===¿1094¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿BinaryExpression
684¿Identifier¿¿1094¿source¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
685¿Identifier¿¿1094¿target¿¿¿{"start":{"line":28,"column":17},"end":{"line":28,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
686¿IfStatement¿¿1094¿¿¿¿{"start":{"line":28,"column":2},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿IfStatement
687¿Identifier¿¿1094¿v72¿¿¿¿¿Identifier
688¿ReturnStatement¿¿1094¿¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿ReturnStatement
689¿Identifier¿¿1094¿target¿¿¿{"start":{"line":28,"column":32},"end":{"line":28,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
690¿BlockStatement¿¿1094¿¿¿¿¿¿BlockStatement
691¿VariableDeclarator¿¿1094¿key¿¿¿{"start":{"line":29,"column":13},"end":{"line":29,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
692¿VariableDeclarator¿¿1094¿v73¿¿¿{"start":{"line":29,"column":20},"end":{"line":29,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
693¿CallExpression¿¿1094¿¿¿¿{"start":{"line":29,"column":20},"end":{"line":29,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿CallExpression
694¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":29,"column":20},"end":{"line":29,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿MemberExpression
695¿Identifier¿¿1094¿Object¿¿¿{"start":{"line":29,"column":20},"end":{"line":29,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
696¿Identifier¿¿1094¿getOwnPropertyNames¿¿¿{"start":{"line":29,"column":27},"end":{"line":29,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
697¿Identifier¿¿1094¿source¿¿¿{"start":{"line":29,"column":47},"end":{"line":29,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
698¿ForOfStatement¿¿1094¿¿¿¿{"start":{"line":29,"column":2},"end":{"line":73,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿ForOfStatement
699¿Identifier¿¿1094¿key¿¿¿{"start":{"line":29,"column":13},"end":{"line":29,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
700¿Identifier¿¿1094¿v73¿¿¿¿¿Identifier
701¿VariableDeclarator¿¿1094¿v74¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
702¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿MemberExpression
703¿Identifier¿¿1094¿options¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
704¿Identifier¿¿1094¿filter¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
705¿VariableDeclarator¿¿1094¿v75¿¿¿{"start":{"line":30,"column":27},"end":{"line":30,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
706¿CallExpression¿¿1094¿¿¿¿{"start":{"line":30,"column":27},"end":{"line":30,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿CallExpression
707¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":30,"column":27},"end":{"line":30,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿MemberExpression
708¿Identifier¿¿1094¿options¿¿¿{"start":{"line":30,"column":27},"end":{"line":30,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
709¿Identifier¿¿1094¿filter¿¿¿{"start":{"line":30,"column":35},"end":{"line":30,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
710¿Identifier¿¿1094¿source¿¿¿{"start":{"line":30,"column":42},"end":{"line":30,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
711¿Identifier¿¿1094¿key¿¿¿{"start":{"line":30,"column":50},"end":{"line":30,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
712¿VariableDeclarator¿¿1094¿v76¿¿¿{"start":{"line":30,"column":26},"end":{"line":30,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
713¿UnaryExpression¿!¿1094¿¿¿¿{"start":{"line":30,"column":26},"end":{"line":30,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿UnaryExpression
714¿Identifier¿¿1094¿v75¿¿¿¿¿Identifier
715¿VariableDeclarator¿¿1094¿v77¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
716¿LogicalExpression¿&&¿1094¿¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿LogicalExpression
717¿Identifier¿¿1094¿v74¿¿¿¿¿Identifier
718¿Identifier¿¿1094¿v76¿¿¿¿¿Identifier
719¿IfStatement¿¿1094¿¿¿¿{"start":{"line":30,"column":4},"end":{"line":31,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿IfStatement
720¿Identifier¿¿1094¿v77¿¿¿¿¿Identifier
721¿ContinueStatement¿¿1094¿¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿ContinueStatement
722¿BlockStatement¿¿1094¿¿¿¿¿¿BlockStatement
723¿VariableDeclarator¿¿1094¿src¿¿¿{"start":{"line":33,"column":10},"end":{"line":33,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
724¿CallExpression¿¿1094¿¿¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿CallExpression
725¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿MemberExpression
726¿Identifier¿¿1094¿Object¿¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
727¿Identifier¿¿1094¿getOwnPropertyDescriptor¿¿¿{"start":{"line":33,"column":23},"end":{"line":33,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
728¿Identifier¿¿1094¿source¿¿¿{"start":{"line":33,"column":48},"end":{"line":33,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
729¿Identifier¿¿1094¿key¿¿¿{"start":{"line":33,"column":56},"end":{"line":33,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
730¿VariableDeclarator¿¿1094¿v78¿¿¿{"start":{"line":34,"column":8},"end":{"line":34,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
731¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":34,"column":8},"end":{"line":34,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿MemberExpression
732¿Identifier¿¿1094¿options¿¿¿{"start":{"line":34,"column":8},"end":{"line":34,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
733¿Identifier¿¿1094¿descriptor¿¿¿{"start":{"line":34,"column":16},"end":{"line":34,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
734¿IfStatement¿¿1094¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":40,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿IfStatement
735¿Identifier¿¿1094¿v78¿¿¿¿¿Identifier
736¿VariableDeclarator¿¿1094¿v79¿¿¿{"start":{"line":35,"column":10},"end":{"line":35,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
737¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":35,"column":10},"end":{"line":35,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿MemberExpression
738¿Identifier¿¿1094¿src¿¿¿{"start":{"line":35,"column":10},"end":{"line":35,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
739¿Identifier¿¿1094¿get¿¿¿{"start":{"line":35,"column":14},"end":{"line":35,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
740¿VariableDeclarator¿¿1094¿v80¿¿¿{"start":{"line":35,"column":21},"end":{"line":35,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
741¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":35,"column":21},"end":{"line":35,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿MemberExpression
742¿Identifier¿¿1094¿src¿¿¿{"start":{"line":35,"column":21},"end":{"line":35,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
743¿Identifier¿¿1094¿set¿¿¿{"start":{"line":35,"column":25},"end":{"line":35,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
744¿VariableDeclarator¿¿1094¿v81¿¿¿{"start":{"line":35,"column":10},"end":{"line":35,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
745¿LogicalExpression¿||¿1094¿¿¿¿{"start":{"line":35,"column":10},"end":{"line":35,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿LogicalExpression
746¿Identifier¿¿1094¿v79¿¿¿¿¿Identifier
747¿Identifier¿¿1094¿v80¿¿¿¿¿Identifier
748¿VariableDeclarator¿¿1094¿v82¿¿¿{"start":{"line":35,"column":39},"end":{"line":35,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
749¿MemberExpression¿¿1094¿¿¿¿{"start":{"line":35,"column":39},"end":{"line":35,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿MemberExpression
750¿Identifier¿¿1094¿src¿¿¿{"start":{"line":35,"column":39},"end":{"line":35,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
751¿Identifier¿¿1094¿value¿¿¿{"start":{"line":35,"column":43},"end":{"line":35,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
752¿VariableDeclarator¿¿1094¿v83¿¿¿{"start":{"line":35,"column":32},"end":{"line":35,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
753¿UnaryExpression¿typeof¿1094¿¿¿¿{"start":{"line":35,"column":32},"end":{"line":35,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿UnaryExpression
754¿Identifier¿¿1094¿v82¿¿¿¿¿Identifier
755¿VariableDeclarator¿¿1094¿v84¿¿¿{"start":{"line":35,"column":32},"end":{"line":35,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
756¿BinaryExpression¿===¿1094¿¿¿¿{"start":{"line":35,"column":32},"end":{"line":35,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿BinaryExpression
757¿Identifier¿¿1094¿v83¿¿¿¿¿Identifier
758¿Literal¿string¿1094¿¿'function'¿¿{"start":{"line":35,"column":53},"end":{"line":35,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Literal
759¿VariableDeclarator¿¿1094¿v85¿¿¿{"start":{"line":35,"column":10},"end":{"line":35,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
760¿LogicalExpression¿||¿1094¿¿¿¿{"start":{"line":35,"column":10},"end":{"line":35,"column":63},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿LogicalExpression
761¿Identifier¿¿1094¿v81¿¿¿¿¿Identifier
762¿Identifier¿¿1094¿v84¿¿¿¿¿Identifier
763¿IfStatement¿¿1094¿¿¿¿{"start":{"line":35,"column":6},"end":{"line":38,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿IfStatement
764¿Identifier¿¿1094¿v85¿¿¿¿¿Identifier
765¿VariableDeclarator¿¿1094¿v86¿¿¿{"start":{"line":36,"column":8},"end":{"line":36,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
