Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2314¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":349,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Program
2361¿ExpressionStatement¿¿4046¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿ExpressionStatement
2362¿AssignmentExpression¿=¿4046¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿AssignmentExpression
2363¿MemberExpression¿¿4046¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2364¿Identifier¿¿4046¿build¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2365¿Identifier¿¿4046¿mainId¿¿¿{"start":{"line":14,"column":10},"end":{"line":14,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2366¿Literal¿object¿4046¿¿null¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Literal
2367¿ExpressionStatement¿¿4046¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿ExpressionStatement
2368¿AssignmentExpression¿=¿4046¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿AssignmentExpression
2369¿MemberExpression¿¿4046¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2370¿Identifier¿¿4046¿transport¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2371¿Identifier¿¿4046¿records¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2372¿ArrayExpression¿¿4046¿¿¿¿{"start":{"line":15,"column":24},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿ArrayExpression
2373¿VariableDeclarator¿¿4046¿pluginContents¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2374¿VariableDeclarator¿¿4046¿configContents¿¿¿{"start":{"line":17,"column":24},"end":{"line":17,"column":38},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2375¿VariableDeclarator¿¿4046¿mainFileContents¿¿¿{"start":{"line":17,"column":40},"end":{"line":17,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2376¿VariableDeclarator¿¿4046¿useContents¿¿¿{"start":{"line":17,"column":58},"end":{"line":17,"column":69},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2377¿VariableDeclarator¿¿4046¿v219¿¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2378¿MemberExpression¿¿4046¿¿¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2379¿Identifier¿¿4046¿options¿¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2380¿Identifier¿¿4046¿mainConfigFile¿¿¿{"start":{"line":19,"column":15},"end":{"line":19,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2381¿IfStatement¿¿4046¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":56,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿IfStatement
2382¿Identifier¿¿4046¿v219¿¿¿¿¿Identifier
2383¿VariableDeclarator¿¿4046¿v220¿¿¿{"start":{"line":21,"column":57},"end":{"line":21,"column":79},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2384¿MemberExpression¿¿4046¿¿¿¿{"start":{"line":21,"column":57},"end":{"line":21,"column":79},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2385¿Identifier¿¿4046¿options¿¿¿{"start":{"line":21,"column":57},"end":{"line":21,"column":64},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2386¿Identifier¿¿4046¿mainConfigFile¿¿¿{"start":{"line":21,"column":65},"end":{"line":21,"column":79},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2387¿VariableDeclarator¿¿4046¿v221¿¿¿{"start":{"line":21,"column":46},"end":{"line":21,"column":81},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2388¿CallExpression¿¿4046¿¿¿¿{"start":{"line":21,"column":46},"end":{"line":21,"column":81},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿CallExpression
2389¿MemberExpression¿¿4046¿¿¿¿{"start":{"line":21,"column":46},"end":{"line":21,"column":55},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2390¿Identifier¿¿4046¿file¿¿¿{"start":{"line":21,"column":46},"end":{"line":21,"column":50},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2391¿Identifier¿¿4046¿read¿¿¿{"start":{"line":21,"column":51},"end":{"line":21,"column":55},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2392¿Identifier¿¿4046¿v220¿¿¿¿¿Identifier
2393¿VariableDeclarator¿¿4046¿config¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":83},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2394¿CallExpression¿¿4046¿¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":83},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿CallExpression
2395¿MemberExpression¿¿4046¿¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2396¿Identifier¿¿4046¿exports¿¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2397¿Identifier¿¿4046¿findSeajsConfig¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2398¿Identifier¿¿4046¿v221¿¿¿¿¿Identifier
2399¿VariableDeclarator¿¿4046¿configData¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2400¿MemberExpression¿¿4046¿¿¿¿{"start":{"line":23,"column":25},"end":{"line":23,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2401¿Identifier¿¿4046¿config¿¿¿{"start":{"line":23,"column":25},"end":{"line":23,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2402¿Identifier¿¿4046¿data¿¿¿{"start":{"line":23,"column":32},"end":{"line":23,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2403¿VariableDeclarator¿¿4046¿v222¿¿¿{"start":{"line":25,"column":42},"end":{"line":25,"column":68},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2404¿CallExpression¿¿4046¿¿¿¿{"start":{"line":25,"column":42},"end":{"line":25,"column":68},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿CallExpression
2405¿MemberExpression¿¿4046¿¿¿¿{"start":{"line":25,"column":42},"end":{"line":25,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2406¿Identifier¿¿4046¿JSON¿¿¿{"start":{"line":25,"column":42},"end":{"line":25,"column":46},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2407¿Identifier¿¿4046¿stringify¿¿¿{"start":{"line":25,"column":47},"end":{"line":25,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2408¿Identifier¿¿4046¿configData¿¿¿{"start":{"line":25,"column":57},"end":{"line":25,"column":67},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2409¿VariableDeclarator¿¿4046¿originConfigData¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":69},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2410¿CallExpression¿¿4046¿¿¿¿{"start":{"line":25,"column":31},"end":{"line":25,"column":69},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿CallExpression
2411¿MemberExpression¿¿4046¿¿¿¿{"start":{"line":25,"column":31},"end":{"line":25,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2412¿Identifier¿¿4046¿JSON¿¿¿{"start":{"line":25,"column":31},"end":{"line":25,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2413¿Identifier¿¿4046¿parse¿¿¿{"start":{"line":25,"column":36},"end":{"line":25,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2414¿Identifier¿¿4046¿v222¿¿¿¿¿Identifier
2415¿VariableDeclarator¿¿4046¿v223¿¿¿{"start":{"line":28,"column":18},"end":{"line":28,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2416¿MemberExpression¿¿4046¿¿¿¿{"start":{"line":28,"column":18},"end":{"line":28,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2417¿Identifier¿¿4046¿configData¿¿¿{"start":{"line":28,"column":18},"end":{"line":28,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2418¿Identifier¿¿4046¿alias¿¿¿{"start":{"line":28,"column":29},"end":{"line":28,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2419¿VariableDeclarator¿¿4046¿v228¿¿¿{"start":{"line":28,"column":36},"end":{"line":32,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2420¿FunctionExpression¿¿4046¿anon¿¿¿{"start":{"line":28,"column":36},"end":{"line":32,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿FunctionExpression
2421¿Identifier¿¿0¿val¿¿¿{"start":{"line":28,"column":45},"end":{"line":28,"column":48},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2422¿Identifier¿¿0¿key¿¿¿{"start":{"line":28,"column":50},"end":{"line":28,"column":53},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2423¿VariableDeclarator¿¿4048¿v224¿¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2424¿CallExpression¿¿4048¿¿¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿CallExpression
2425¿MemberExpression¿¿4048¿¿¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2426¿Identifier¿¿4048¿_¿¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2427¿Identifier¿¿4048¿isObject¿¿¿{"start":{"line":29,"column":17},"end":{"line":29,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2428¿Identifier¿¿4048¿val¿¿¿{"start":{"line":29,"column":26},"end":{"line":29,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2429¿IfStatement¿¿4048¿¿¿¿{"start":{"line":29,"column":12},"end":{"line":31,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿IfStatement
2430¿Identifier¿¿4048¿v224¿¿¿¿¿Identifier
2431¿VariableDeclarator¿¿4048¿v225¿¿¿{"start":{"line":30,"column":23},"end":{"line":30,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2432¿MemberExpression¿¿4048¿¿¿¿{"start":{"line":30,"column":23},"end":{"line":30,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2433¿Identifier¿¿4048¿configData¿¿¿{"start":{"line":30,"column":23},"end":{"line":30,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2434¿Identifier¿¿4048¿alias¿¿¿{"start":{"line":30,"column":34},"end":{"line":30,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2435¿VariableDeclarator¿¿4048¿v226¿¿¿{"start":{"line":30,"column":23},"end":{"line":30,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2436¿MemberExpression¿computed¿4048¿¿¿¿{"start":{"line":30,"column":23},"end":{"line":30,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2437¿Identifier¿¿4048¿v225¿¿¿¿¿Identifier
2438¿Identifier¿¿4048¿key¿¿¿{"start":{"line":30,"column":40},"end":{"line":30,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2439¿VariableDeclarator¿¿4048¿v227¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2440¿UnaryExpression¿delete¿4048¿¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿UnaryExpression
2441¿Identifier¿¿4048¿v226¿¿¿¿¿Identifier
2442¿ExpressionStatement¿¿4048¿¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿ExpressionStatement
2443¿Identifier¿¿4048¿v227¿¿¿¿¿Identifier
2444¿BlockStatement¿¿4048¿¿¿¿{"start":{"line":29,"column":31},"end":{"line":31,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿BlockStatement
2445¿BlockStatement¿¿4048¿¿¿¿{"start":{"line":28,"column":54},"end":{"line":32,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿BlockStatement
2446¿VariableDeclarator¿¿4046¿v229¿¿¿{"start":{"line":28,"column":8},"end":{"line":32,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2447¿CallExpression¿¿4046¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":32,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿CallExpression
2448¿MemberExpression¿¿4046¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2449¿Identifier¿¿4046¿_¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
