Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
817¿Program¿¿-1¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":185,"column":2},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Program
838¿CallExpression¿¿1417¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":23,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿CallExpression
839¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":23,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
840¿Identifier¿¿1417¿expression¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
841¿Identifier¿¿1417¿replace¿¿¿{"start":{"line":23,"column":9},"end":{"line":23,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
842¿Literal¿object¿1417¿¿/%i/g¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Literal
843¿Identifier¿¿1417¿v84¿¿¿¿¿Identifier
844¿VariableDeclarator¿¿1417¿v89¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":66},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
845¿ArrowFunctionExpression¿¿1417¿¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":66},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿ArrowFunctionExpression
846¿Identifier¿¿0¿match¿¿¿{"start":{"line":24,"column":29},"end":{"line":24,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
847¿Identifier¿¿0¿index¿¿¿{"start":{"line":24,"column":36},"end":{"line":24,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
848¿VariableDeclarator¿¿1421¿v86¿¿¿{"start":{"line":24,"column":54},"end":{"line":24,"column":63},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
849¿BinaryExpression¿-¿1421¿¿¿¿{"start":{"line":24,"column":54},"end":{"line":24,"column":63},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿BinaryExpression
850¿Identifier¿¿1421¿index¿¿¿{"start":{"line":24,"column":54},"end":{"line":24,"column":59},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
851¿Literal¿number¿1421¿¿1¿¿{"start":{"line":24,"column":62},"end":{"line":24,"column":63},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Literal
852¿VariableDeclarator¿¿1421¿v87¿¿¿{"start":{"line":24,"column":49},"end":{"line":24,"column":64},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
853¿MemberExpression¿computed¿1421¿¿¿¿{"start":{"line":24,"column":49},"end":{"line":24,"column":64},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
854¿Identifier¿¿1421¿args¿¿¿{"start":{"line":24,"column":49},"end":{"line":24,"column":53},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
855¿Identifier¿¿1421¿v86¿¿¿¿¿Identifier
856¿VariableDeclarator¿¿1421¿v88¿¿¿{"start":{"line":24,"column":46},"end":{"line":24,"column":66},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
857¿TemplateLiteral¿¿1421¿¿¿¿{"start":{"line":24,"column":46},"end":{"line":24,"column":66},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿TemplateLiteral
858¿Identifier¿¿1421¿v87¿¿¿¿¿Identifier
859¿ReturnStatement¿¿1421¿¿¿¿¿¿ReturnStatement
860¿Identifier¿¿1421¿v88¿¿¿¿¿Identifier
861¿BlockStatement¿¿1421¿¿¿¿¿¿BlockStatement
862¿VariableDeclarator¿¿1417¿v90¿¿¿{"start":{"line":22,"column":6},"end":{"line":24,"column":67},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
863¿CallExpression¿¿1417¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":24,"column":67},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿CallExpression
864¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":24,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
865¿Identifier¿¿1417¿v85¿¿¿¿¿Identifier
866¿Identifier¿¿1417¿replace¿¿¿{"start":{"line":24,"column":9},"end":{"line":24,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
867¿Literal¿object¿1417¿¿/\$(\d)/g¿¿{"start":{"line":24,"column":17},"end":{"line":24,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Literal
868¿Identifier¿¿1417¿v89¿¿¿¿¿Identifier
869¿VariableDeclarator¿¿1417¿v93¿¿¿{"start":{"line":25,"column":29},"end":{"line":31,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
870¿ArrowFunctionExpression¿¿1417¿¿¿¿{"start":{"line":25,"column":29},"end":{"line":31,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿ArrowFunctionExpression
871¿VariableDeclarator¿¿1423¿v91¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
872¿MemberExpression¿¿1423¿¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
873¿Identifier¿¿1423¿args¿¿¿{"start":{"line":26,"column":14},"end":{"line":26,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
874¿Identifier¿¿1423¿length¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
875¿IfStatement¿¿1423¿¿¿¿{"start":{"line":26,"column":10},"end":{"line":28,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿IfStatement
876¿Identifier¿¿1423¿v91¿¿¿¿¿Identifier
877¿ExpressionStatement¿¿1423¿¿¿¿{"start":{"line":27,"column":12},"end":{"line":27,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿ExpressionStatement
878¿AssignmentExpression¿=¿1423¿¿¿¿{"start":{"line":27,"column":12},"end":{"line":27,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿AssignmentExpression
879¿Identifier¿¿1423¿last¿¿¿{"start":{"line":27,"column":12},"end":{"line":27,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
880¿CallExpression¿¿1423¿¿¿¿{"start":{"line":27,"column":19},"end":{"line":27,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿CallExpression
881¿MemberExpression¿¿1423¿¿¿¿{"start":{"line":27,"column":19},"end":{"line":27,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
882¿Identifier¿¿1423¿args¿¿¿{"start":{"line":27,"column":19},"end":{"line":27,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
883¿Identifier¿¿1423¿shift¿¿¿{"start":{"line":27,"column":24},"end":{"line":27,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
884¿BlockStatement¿¿1423¿¿¿¿{"start":{"line":26,"column":27},"end":{"line":28,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿BlockStatement
885¿VariableDeclarator¿¿1423¿v92¿¿¿{"start":{"line":30,"column":17},"end":{"line":30,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
886¿TemplateLiteral¿¿1423¿¿¿¿{"start":{"line":30,"column":17},"end":{"line":30,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿TemplateLiteral
887¿Identifier¿¿1423¿last¿¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
888¿ReturnStatement¿¿1423¿¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿ReturnStatement
889¿Identifier¿¿1423¿v92¿¿¿¿¿Identifier
890¿BlockStatement¿¿1423¿¿¿¿{"start":{"line":25,"column":35},"end":{"line":31,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿BlockStatement
891¿VariableDeclarator¿¿1417¿v94¿¿¿{"start":{"line":22,"column":6},"end":{"line":31,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
892¿CallExpression¿¿1417¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":31,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿CallExpression
893¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":25,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
894¿Identifier¿¿1417¿v90¿¿¿¿¿Identifier
895¿Identifier¿¿1417¿replace¿¿¿{"start":{"line":25,"column":9},"end":{"line":25,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
896¿Literal¿object¿1417¿¿/(%[sd])/g¿¿{"start":{"line":25,"column":17},"end":{"line":25,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Literal
897¿Identifier¿¿1417¿v93¿¿¿¿¿Identifier
898¿VariableDeclarator¿¿1417¿v95¿¿¿{"start":{"line":21,"column":4},"end":{"line":32,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
899¿CallExpression¿¿1417¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":32,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿CallExpression
900¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
901¿Identifier¿¿1417¿v83¿¿¿¿¿Identifier
902¿Identifier¿¿1417¿push¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
903¿Identifier¿¿1417¿v94¿¿¿¿¿Identifier
904¿ExpressionStatement¿¿1417¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":32,"column":6},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿ExpressionStatement
905¿Identifier¿¿1417¿v95¿¿¿¿¿Identifier
906¿ReturnStatement¿¿1417¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿ReturnStatement
907¿Identifier¿¿1417¿tpl¿¿¿{"start":{"line":34,"column":11},"end":{"line":34,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
908¿BlockStatement¿¿1417¿¿¿¿{"start":{"line":18,"column":36},"end":{"line":35,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿BlockStatement
909¿VariableDeclarator¿¿1415¿error¿¿¿{"start":{"line":37,"column":8},"end":{"line":41,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
910¿VariableDeclarator¿¿1415¿v96¿¿¿{"start":{"line":37,"column":23},"end":{"line":37,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
911¿MemberExpression¿¿1415¿¿¿¿{"start":{"line":37,"column":23},"end":{"line":37,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
912¿Identifier¿¿1415¿options¿¿¿{"start":{"line":37,"column":23},"end":{"line":37,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
913¿Identifier¿¿1415¿errorHandler¿¿¿{"start":{"line":37,"column":31},"end":{"line":37,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
914¿VariableDeclarator¿¿1415¿v97¿¿¿{"start":{"line":37,"column":16},"end":{"line":37,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
915¿UnaryExpression¿typeof¿1415¿¿¿¿{"start":{"line":37,"column":16},"end":{"line":37,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿UnaryExpression
916¿Identifier¿¿1415¿v96¿¿¿¿¿Identifier
917¿VariableDeclarator¿¿1415¿v98¿¿¿{"start":{"line":37,"column":16},"end":{"line":37,"column":58},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
918¿BinaryExpression¿===¿1415¿¿¿¿{"start":{"line":37,"column":16},"end":{"line":37,"column":58},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿BinaryExpression
919¿Identifier¿¿1415¿v97¿¿¿¿¿Identifier
920¿Literal¿string¿1415¿¿'function'¿¿{"start":{"line":37,"column":48},"end":{"line":37,"column":58},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Literal
921¿VariableDeclarator¿¿1415¿v99¿¿¿{"start":{"line":38,"column":4},"end":{"line":38,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
922¿MemberExpression¿¿1415¿¿¿¿{"start":{"line":38,"column":4},"end":{"line":38,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
923¿Identifier¿¿1415¿options¿¿¿{"start":{"line":38,"column":4},"end":{"line":38,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
924¿Identifier¿¿1415¿errorHandler¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
925¿VariableDeclarator¿¿1415¿v102¿¿¿{"start":{"line":39,"column":4},"end":{"line":41,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
926¿FunctionExpression¿¿1415¿defaultErrorHandler¿¿¿{"start":{"line":39,"column":4},"end":{"line":41,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿FunctionExpression
927¿Identifier¿¿0¿errorType¿¿¿{"start":{"line":39,"column":33},"end":{"line":39,"column":42},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
928¿VariableDeclarator¿¿1426¿v100¿¿¿{"start":{"line":40,"column":38},"end":{"line":40,"column":46},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
929¿MemberExpression¿¿1426¿¿¿¿{"start":{"line":40,"column":38},"end":{"line":40,"column":46},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
930¿Identifier¿¿1426¿tpl¿¿¿{"start":{"line":40,"column":38},"end":{"line":40,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
931¿Identifier¿¿1426¿data¿¿¿{"start":{"line":40,"column":42},"end":{"line":40,"column":46},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
932¿VariableDeclarator¿¿1426¿v101¿¿¿{"start":{"line":40,"column":13},"end":{"line":40,"column":50},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
933¿TemplateLiteral¿¿1426¿¿¿¿{"start":{"line":40,"column":13},"end":{"line":40,"column":50},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿TemplateLiteral
934¿Identifier¿¿1426¿errorType¿¿¿{"start":{"line":40,"column":24},"end":{"line":40,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
935¿Identifier¿¿1426¿v100¿¿¿¿¿Identifier
936¿ReturnStatement¿¿1426¿¿¿¿{"start":{"line":40,"column":6},"end":{"line":40,"column":51},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿ReturnStatement
937¿Identifier¿¿1426¿v101¿¿¿¿¿Identifier
938¿BlockStatement¿¿1426¿¿¿¿{"start":{"line":39,"column":44},"end":{"line":41,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿BlockStatement
939¿IfStatement¿¿1415¿¿¿¿{"start":{"line":37,"column":16},"end":{"line":41,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿IfStatement
940¿Identifier¿¿1415¿v98¿¿¿¿¿Identifier
941¿ExpressionStatement¿¿1415¿¿¿¿{"start":{"line":37,"column":16},"end":{"line":41,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿ExpressionStatement
942¿AssignmentExpression¿=¿1415¿¿¿¿{"start":{"line":37,"column":16},"end":{"line":41,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿AssignmentExpression
943¿Identifier¿¿1415¿error¿¿¿{"start":{"line":37,"column":16},"end":{"line":41,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
944¿Identifier¿¿1415¿v99¿¿¿¿¿Identifier
945¿BlockStatement¿¿1415¿¿¿¿¿¿BlockStatement
946¿ExpressionStatement¿¿1415¿¿¿¿{"start":{"line":37,"column":16},"end":{"line":41,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿ExpressionStatement
947¿AssignmentExpression¿=¿1415¿¿¿¿{"start":{"line":37,"column":16},"end":{"line":41,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿AssignmentExpression
948¿Identifier¿¿1415¿error¿¿¿{"start":{"line":37,"column":16},"end":{"line":41,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
949¿Identifier¿¿1415¿v102¿¿¿¿¿Identifier
950¿BlockStatement¿¿1415¿¿¿¿¿¿BlockStatement
951¿VariableDeclarator¿¿1415¿v103¿¿¿{"start":{"line":45,"column":12},"end":{"line":45,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
952¿ArrayExpression¿¿1415¿¿¿¿{"start":{"line":45,"column":12},"end":{"line":45,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿ArrayExpression
953¿VariableDeclarator¿¿1415¿v114¿¿¿{"start":{"line":46,"column":9},"end":{"line":55,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
954¿FunctionExpression¿¿1415¿anon¿¿¿{"start":{"line":46,"column":9},"end":{"line":55,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿FunctionExpression
955¿Identifier¿¿0¿expression¿¿¿{"start":{"line":46,"column":10},"end":{"line":46,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
956¿VariableDeclarator¿¿1429¿v104¿¿¿{"start":{"line":47,"column":20},"end":{"line":47,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
957¿MemberExpression¿¿1429¿¿¿¿{"start":{"line":47,"column":20},"end":{"line":47,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
958¿Identifier¿¿1429¿tpl¿¿¿{"start":{"line":47,"column":20},"end":{"line":47,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
959¿Identifier¿¿1429¿cached¿¿¿{"start":{"line":47,"column":24},"end":{"line":47,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
960¿VariableDeclarator¿¿1429¿v105¿¿¿{"start":{"line":47,"column":31},"end":{"line":47,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
961¿MemberExpression¿¿1429¿¿¿¿{"start":{"line":47,"column":31},"end":{"line":47,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
962¿Identifier¿¿1429¿tpl¿¿¿{"start":{"line":47,"column":31},"end":{"line":47,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
963¿Identifier¿¿1429¿cached¿¿¿{"start":{"line":47,"column":35},"end":{"line":47,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
964¿VariableDeclarator¿¿1429¿v106¿¿¿{"start":{"line":47,"column":31},"end":{"line":47,"column":48},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
965¿MemberExpression¿¿1429¿¿¿¿{"start":{"line":47,"column":31},"end":{"line":47,"column":48},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
966¿Identifier¿¿1429¿v105¿¿¿¿¿Identifier
