Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
688¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":132,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Program
706¿MemberExpression¿¿1205¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿MemberExpression
707¿Identifier¿¿1205¿key¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
708¿Identifier¿¿1205¿split¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
709¿Literal¿string¿1205¿¿'.'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Literal
710¿ReturnStatement¿¿1205¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ReturnStatement
711¿Identifier¿¿1205¿v63¿¿¿¿¿Identifier
712¿BlockStatement¿¿1205¿¿¿¿{"start":{"line":6,"column":9},"end":{"line":8,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿BlockStatement
713¿BlockStatement¿¿1205¿¿¿¿{"start":{"line":3,"column":22},"end":{"line":9,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿BlockStatement
714¿VariableDeclarator¿¿1203¿Store¿¿¿{"start":{"line":14,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
715¿FunctionExpression¿¿1203¿anon¿¿¿{"start":{"line":14,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿FunctionExpression
716¿VariableDeclarator¿¿1208¿v64¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
717¿ObjectExpression¿¿1208¿¿¿¿¿¿ObjectExpression
718¿ExpressionStatement¿¿1208¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ExpressionStatement
719¿AssignmentExpression¿=¿1208¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿AssignmentExpression
720¿MemberExpression¿¿1208¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿MemberExpression
721¿ThisExpression¿¿1208¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ThisExpression
722¿Identifier¿¿1208¿store¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
723¿Identifier¿¿1208¿v64¿¿¿¿¿Identifier
724¿BlockStatement¿¿1208¿¿¿¿{"start":{"line":14,"column":17},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿BlockStatement
725¿VariableDeclarator¿¿1203¿v69¿¿¿{"start":{"line":25,"column":7},"end":{"line":38,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
726¿FunctionExpression¿¿1203¿anon¿¿¿{"start":{"line":25,"column":7},"end":{"line":38,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿FunctionExpression
727¿Identifier¿¿0¿key¿¿¿{"start":{"line":25,"column":17},"end":{"line":25,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
728¿VariableDeclarator¿¿1210¿target¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
729¿MemberExpression¿¿1210¿¿¿¿{"start":{"line":26,"column":17},"end":{"line":26,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿MemberExpression
730¿ThisExpression¿¿1210¿¿¿¿{"start":{"line":26,"column":17},"end":{"line":26,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ThisExpression
731¿Identifier¿¿1210¿store¿¿¿{"start":{"line":26,"column":22},"end":{"line":26,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
732¿VariableDeclarator¿¿1210¿path¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
733¿CallExpression¿¿1210¿¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿CallExpression
734¿Identifier¿¿1210¿getPath¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
735¿Identifier¿¿1210¿key¿¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
736¿VariableDeclarator¿¿1210¿v65¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
737¿MemberExpression¿¿1210¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿MemberExpression
738¿Identifier¿¿1210¿path¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
739¿Identifier¿¿1210¿length¿¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
740¿VariableDeclarator¿¿1210¿v66¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
741¿BinaryExpression¿>¿1210¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿BinaryExpression
742¿Identifier¿¿1210¿v65¿¿¿¿¿Identifier
743¿Literal¿number¿1210¿¿0¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Literal
744¿WhileStatement¿¿1210¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":35,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿WhileStatement
745¿Identifier¿¿1210¿v66¿¿¿¿¿Identifier
746¿ExpressionStatement¿¿1210¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ExpressionStatement
747¿AssignmentExpression¿=¿1210¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿AssignmentExpression
748¿Identifier¿¿1210¿key¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
749¿CallExpression¿¿1210¿¿¿¿{"start":{"line":29,"column":12},"end":{"line":29,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿CallExpression
750¿MemberExpression¿¿1210¿¿¿¿{"start":{"line":29,"column":12},"end":{"line":29,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿MemberExpression
751¿Identifier¿¿1210¿path¿¿¿{"start":{"line":29,"column":12},"end":{"line":29,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
752¿Identifier¿¿1210¿shift¿¿¿{"start":{"line":29,"column":17},"end":{"line":29,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
753¿VariableDeclarator¿¿1210¿v67¿¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
754¿CallExpression¿¿1210¿¿¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿CallExpression
755¿MemberExpression¿¿1210¿¿¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿MemberExpression
756¿Identifier¿¿1210¿target¿¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
757¿Identifier¿¿1210¿hasOwnProperty¿¿¿{"start":{"line":30,"column":27},"end":{"line":30,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
758¿Identifier¿¿1210¿key¿¿¿{"start":{"line":30,"column":42},"end":{"line":30,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
759¿VariableDeclarator¿¿1210¿v68¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
760¿LogicalExpression¿&&¿1210¿¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿LogicalExpression
761¿Identifier¿¿1210¿target¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
762¿Identifier¿¿1210¿v67¿¿¿¿¿Identifier
763¿IfStatement¿¿1210¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":33,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿IfStatement
764¿Identifier¿¿1210¿v68¿¿¿¿¿Identifier
765¿ExpressionStatement¿¿1210¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ExpressionStatement
766¿AssignmentExpression¿=¿1210¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿AssignmentExpression
767¿Identifier¿¿1210¿target¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
768¿MemberExpression¿computed¿1210¿¿¿¿{"start":{"line":31,"column":17},"end":{"line":31,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿MemberExpression
769¿Identifier¿¿1210¿target¿¿¿{"start":{"line":31,"column":17},"end":{"line":31,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
770¿Identifier¿¿1210¿key¿¿¿{"start":{"line":31,"column":24},"end":{"line":31,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
771¿ContinueStatement¿¿1210¿¿¿¿{"start":{"line":32,"column":8},"end":{"line":32,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ContinueStatement
772¿BlockStatement¿¿1210¿¿¿¿{"start":{"line":30,"column":48},"end":{"line":33,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿BlockStatement
773¿ReturnStatement¿¿1210¿¿¿¿{"start":{"line":34,"column":6},"end":{"line":34,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ReturnStatement
774¿Identifier¿¿1210¿undefined¿¿¿{"start":{"line":34,"column":13},"end":{"line":34,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
775¿ExpressionStatement¿¿1210¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":35,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ExpressionStatement
776¿AssignmentExpression¿=¿1210¿¿¿¿{"start":{"line":28,"column":4},"end":{"line":35,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿AssignmentExpression
777¿Identifier¿¿1210¿v66¿¿¿{"start":{"line":28,"column":4},"end":{"line":35,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
778¿BinaryExpression¿>¿1210¿¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿BinaryExpression
779¿Identifier¿¿1210¿v65¿¿¿¿¿Identifier
780¿Literal¿number¿1210¿¿0¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Literal
781¿BlockStatement¿¿1210¿¿¿¿{"start":{"line":28,"column":28},"end":{"line":35,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿BlockStatement
782¿ReturnStatement¿¿1210¿¿¿¿{"start":{"line":37,"column":4},"end":{"line":37,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ReturnStatement
783¿Identifier¿¿1210¿target¿¿¿{"start":{"line":37,"column":11},"end":{"line":37,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
784¿BlockStatement¿¿1210¿¿¿¿{"start":{"line":25,"column":22},"end":{"line":38,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿BlockStatement
785¿VariableDeclarator¿¿1203¿v86¿¿¿{"start":{"line":46,"column":7},"end":{"line":75,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
786¿FunctionExpression¿¿1203¿anon¿¿¿{"start":{"line":46,"column":7},"end":{"line":75,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿FunctionExpression
787¿Identifier¿¿0¿key¿¿¿{"start":{"line":46,"column":17},"end":{"line":46,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
788¿Identifier¿¿0¿val¿¿¿{"start":{"line":46,"column":22},"end":{"line":46,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
789¿VariableDeclarator¿¿1214¿v70¿¿¿{"start":{"line":47,"column":8},"end":{"line":47,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
790¿BinaryExpression¿===¿1214¿¿¿¿{"start":{"line":47,"column":8},"end":{"line":47,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿BinaryExpression
791¿Identifier¿¿1214¿val¿¿¿{"start":{"line":47,"column":8},"end":{"line":47,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
792¿Identifier¿¿1214¿undefined¿¿¿{"start":{"line":47,"column":16},"end":{"line":47,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
793¿IfStatement¿¿1214¿¿¿¿{"start":{"line":47,"column":4},"end":{"line":50,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿IfStatement
794¿Identifier¿¿1214¿v70¿¿¿¿¿Identifier
795¿ExpressionStatement¿¿1214¿¿¿¿{"start":{"line":48,"column":6},"end":{"line":48,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ExpressionStatement
796¿AssignmentExpression¿=¿1214¿¿¿¿{"start":{"line":48,"column":6},"end":{"line":48,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿AssignmentExpression
797¿Identifier¿¿1214¿val¿¿¿{"start":{"line":48,"column":6},"end":{"line":48,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
798¿Identifier¿¿1214¿key¿¿¿{"start":{"line":48,"column":12},"end":{"line":48,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
799¿ExpressionStatement¿¿1214¿¿¿¿{"start":{"line":49,"column":6},"end":{"line":49,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ExpressionStatement
800¿AssignmentExpression¿=¿1214¿¿¿¿{"start":{"line":49,"column":6},"end":{"line":49,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿AssignmentExpression
801¿Identifier¿¿1214¿key¿¿¿{"start":{"line":49,"column":6},"end":{"line":49,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
802¿Literal¿object¿1214¿¿null¿¿{"start":{"line":49,"column":12},"end":{"line":49,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Literal
803¿BlockStatement¿¿1214¿¿¿¿{"start":{"line":47,"column":27},"end":{"line":50,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿BlockStatement
804¿VariableDeclarator¿¿1214¿path¿¿¿{"start":{"line":51,"column":8},"end":{"line":51,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
805¿CallExpression¿¿1214¿¿¿¿{"start":{"line":51,"column":15},"end":{"line":51,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿CallExpression
806¿Identifier¿¿1214¿getPath¿¿¿{"start":{"line":51,"column":15},"end":{"line":51,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
807¿Identifier¿¿1214¿key¿¿¿{"start":{"line":51,"column":23},"end":{"line":51,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
808¿VariableDeclarator¿¿1214¿v71¿¿¿{"start":{"line":52,"column":8},"end":{"line":52,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
809¿MemberExpression¿¿1214¿¿¿¿{"start":{"line":52,"column":8},"end":{"line":52,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿MemberExpression
810¿Identifier¿¿1214¿path¿¿¿{"start":{"line":52,"column":8},"end":{"line":52,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
811¿Identifier¿¿1214¿length¿¿¿{"start":{"line":52,"column":13},"end":{"line":52,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
812¿VariableDeclarator¿¿1214¿v72¿¿¿{"start":{"line":52,"column":8},"end":{"line":52,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
813¿BinaryExpression¿===¿1214¿¿¿¿{"start":{"line":52,"column":8},"end":{"line":52,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿BinaryExpression
814¿Identifier¿¿1214¿v71¿¿¿¿¿Identifier
815¿Literal¿number¿1214¿¿0¿¿{"start":{"line":52,"column":24},"end":{"line":52,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Literal
816¿IfStatement¿¿1214¿¿¿¿{"start":{"line":52,"column":4},"end":{"line":60,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿IfStatement
817¿Identifier¿¿1214¿v72¿¿¿¿¿Identifier
818¿VariableDeclarator¿¿1214¿v73¿¿¿{"start":{"line":54,"column":10},"end":{"line":54,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
