Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
5133¿Program¿¿-1¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":769,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Program
5144¿VariableDeclarator¿¿8978¿cloneDeep¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5145¿CallExpression¿¿8978¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿CallExpression
5146¿Identifier¿¿8978¿require¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5147¿Literal¿string¿8978¿¿'lodash.clonedeep'¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Literal
5148¿VariableDeclarator¿¿8978¿assert¿¿¿{"start":{"line":12,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5149¿FunctionExpression¿¿8978¿anon¿¿¿{"start":{"line":12,"column":0},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿FunctionExpression
5150¿Identifier¿¿0¿assertion¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5151¿Identifier¿¿0¿err_msg¿¿¿{"start":{"line":12,"column":27},"end":{"line":12,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5152¿VariableDeclarator¿¿8980¿v536¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5153¿UnaryExpression¿!¿8980¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿UnaryExpression
5154¿Identifier¿¿8980¿assertion¿¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5155¿IfStatement¿¿8980¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":15,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿IfStatement
5156¿Identifier¿¿8980¿v536¿¿¿¿¿Identifier
5157¿VariableDeclarator¿¿8980¿v537¿¿¿{"start":{"line":14,"column":10},"end":{"line":14,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5158¿NewExpression¿¿8980¿¿¿¿{"start":{"line":14,"column":10},"end":{"line":14,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿NewExpression
5159¿Identifier¿¿8980¿Error¿¿¿{"start":{"line":14,"column":14},"end":{"line":14,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5160¿Identifier¿¿8980¿err_msg¿¿¿{"start":{"line":14,"column":20},"end":{"line":14,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5161¿ThrowStatement¿¿8980¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿ThrowStatement
5162¿Identifier¿¿8980¿v537¿¿¿¿¿Identifier
5163¿BlockStatement¿¿8980¿¿¿¿{"start":{"line":13,"column":18},"end":{"line":15,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿BlockStatement
5164¿BlockStatement¿¿8980¿¿¿¿{"start":{"line":12,"column":36},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿BlockStatement
5165¿VariableDeclarator¿¿8978¿isPort¿¿¿{"start":{"line":30,"column":0},"end":{"line":32,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5166¿FunctionExpression¿¿8978¿anon¿¿¿{"start":{"line":30,"column":0},"end":{"line":32,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿FunctionExpression
5167¿Identifier¿¿0¿x¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5168¿VariableDeclarator¿¿8983¿v538¿¿¿{"start":{"line":31,"column":9},"end":{"line":31,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5169¿CallExpression¿¿8983¿¿¿¿{"start":{"line":31,"column":9},"end":{"line":31,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿CallExpression
5170¿MemberExpression¿¿8983¿¿¿¿{"start":{"line":31,"column":9},"end":{"line":31,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿MemberExpression
5171¿Identifier¿¿8983¿Number¿¿¿{"start":{"line":31,"column":9},"end":{"line":31,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5172¿Identifier¿¿8983¿isInteger¿¿¿{"start":{"line":31,"column":16},"end":{"line":31,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5173¿Identifier¿¿8983¿x¿¿¿{"start":{"line":31,"column":26},"end":{"line":31,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5174¿VariableDeclarator¿¿8983¿v539¿¿¿{"start":{"line":31,"column":32},"end":{"line":31,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5175¿BinaryExpression¿>=¿8983¿¿¿¿{"start":{"line":31,"column":32},"end":{"line":31,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿BinaryExpression
5176¿Identifier¿¿8983¿x¿¿¿{"start":{"line":31,"column":32},"end":{"line":31,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5177¿Literal¿number¿8983¿¿0¿¿{"start":{"line":31,"column":37},"end":{"line":31,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Literal
5178¿VariableDeclarator¿¿8983¿v540¿¿¿{"start":{"line":31,"column":9},"end":{"line":31,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5179¿LogicalExpression¿&&¿8983¿¿¿¿{"start":{"line":31,"column":9},"end":{"line":31,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿LogicalExpression
5180¿Identifier¿¿8983¿v538¿¿¿¿¿Identifier
5181¿Identifier¿¿8983¿v539¿¿¿¿¿Identifier
5182¿VariableDeclarator¿¿8983¿v541¿¿¿{"start":{"line":31,"column":42},"end":{"line":31,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5183¿BinaryExpression¿<=¿8983¿¿¿¿{"start":{"line":31,"column":42},"end":{"line":31,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿BinaryExpression
5184¿Identifier¿¿8983¿x¿¿¿{"start":{"line":31,"column":42},"end":{"line":31,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5185¿Literal¿number¿8983¿¿65535¿¿{"start":{"line":31,"column":47},"end":{"line":31,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Literal
5186¿VariableDeclarator¿¿8983¿v542¿¿¿{"start":{"line":31,"column":9},"end":{"line":31,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5187¿LogicalExpression¿&&¿8983¿¿¿¿{"start":{"line":31,"column":9},"end":{"line":31,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿LogicalExpression
5188¿Identifier¿¿8983¿v540¿¿¿¿¿Identifier
5189¿Identifier¿¿8983¿v541¿¿¿¿¿Identifier
5190¿ReturnStatement¿¿8983¿¿¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿ReturnStatement
5191¿Identifier¿¿8983¿v542¿¿¿¿¿Identifier
5192¿BlockStatement¿¿8983¿¿¿¿{"start":{"line":30,"column":19},"end":{"line":32,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿BlockStatement
5193¿VariableDeclarator¿¿8978¿isWindowsNamedPipe¿¿¿{"start":{"line":41,"column":0},"end":{"line":43,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5194¿FunctionExpression¿¿8978¿anon¿¿¿{"start":{"line":41,"column":0},"end":{"line":43,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿FunctionExpression
5195¿Identifier¿¿0¿x¿¿¿{"start":{"line":41,"column":28},"end":{"line":41,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5196¿VariableDeclarator¿¿8985¿v543¿¿¿{"start":{"line":42,"column":9},"end":{"line":42,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5197¿CallExpression¿¿8985¿¿¿¿{"start":{"line":42,"column":9},"end":{"line":42,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿CallExpression
5198¿Identifier¿¿8985¿String¿¿¿{"start":{"line":42,"column":9},"end":{"line":42,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5199¿Identifier¿¿8985¿x¿¿¿{"start":{"line":42,"column":16},"end":{"line":42,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5200¿VariableDeclarator¿¿8985¿v544¿¿¿{"start":{"line":42,"column":9},"end":{"line":42,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5201¿CallExpression¿¿8985¿¿¿¿{"start":{"line":42,"column":9},"end":{"line":42,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿CallExpression
5202¿MemberExpression¿¿8985¿¿¿¿{"start":{"line":42,"column":9},"end":{"line":42,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿MemberExpression
5203¿Identifier¿¿8985¿v543¿¿¿¿¿Identifier
5204¿Identifier¿¿8985¿includes¿¿¿{"start":{"line":42,"column":19},"end":{"line":42,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5205¿Literal¿string¿8985¿¿'\\\\.\\pipe\\'¿¿{"start":{"line":42,"column":28},"end":{"line":42,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Literal
5206¿ReturnStatement¿¿8985¿¿¿¿{"start":{"line":42,"column":2},"end":{"line":42,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿ReturnStatement
5207¿Identifier¿¿8985¿v544¿¿¿¿¿Identifier
5208¿BlockStatement¿¿8985¿¿¿¿{"start":{"line":41,"column":31},"end":{"line":43,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿BlockStatement
5209¿VariableDeclarator¿¿8978¿v545¿¿¿{"start":{"line":46,"column":7},"end":{"line":46,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5210¿FunctionExpression¿¿8978¿anon¿¿¿{"start":{"line":46,"column":7},"end":{"line":46,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿FunctionExpression
5211¿BlockStatement¿¿8987¿¿¿¿{"start":{"line":46,"column":18},"end":{"line":46,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿BlockStatement
5212¿VariableDeclarator¿¿8978¿v548¿¿¿{"start":{"line":47,"column":7},"end":{"line":49,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5213¿FunctionExpression¿¿8978¿anon¿¿¿{"start":{"line":47,"column":7},"end":{"line":49,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿FunctionExpression
5214¿Identifier¿¿0¿x¿¿¿{"start":{"line":47,"column":16},"end":{"line":47,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5215¿VariableDeclarator¿¿8989¿v546¿¿¿{"start":{"line":48,"column":11},"end":{"line":48,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5216¿CallExpression¿¿8989¿¿¿¿{"start":{"line":48,"column":11},"end":{"line":48,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿CallExpression
5217¿MemberExpression¿¿8989¿¿¿¿{"start":{"line":48,"column":11},"end":{"line":48,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿MemberExpression
5218¿Identifier¿¿8989¿Number¿¿¿{"start":{"line":48,"column":11},"end":{"line":48,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5219¿Identifier¿¿8989¿isInteger¿¿¿{"start":{"line":48,"column":18},"end":{"line":48,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5220¿Identifier¿¿8989¿x¿¿¿{"start":{"line":48,"column":28},"end":{"line":48,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5221¿VariableDeclarator¿¿8989¿v547¿¿¿{"start":{"line":48,"column":4},"end":{"line":48,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5222¿CallExpression¿¿8989¿¿¿¿{"start":{"line":48,"column":4},"end":{"line":48,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿CallExpression
5223¿Identifier¿¿8989¿assert¿¿¿{"start":{"line":48,"column":4},"end":{"line":48,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5224¿Identifier¿¿8989¿v546¿¿¿¿¿Identifier
5225¿Literal¿string¿8989¿¿'must be an integer'¿¿{"start":{"line":48,"column":32},"end":{"line":48,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Literal
5226¿ExpressionStatement¿¿8989¿¿¿¿{"start":{"line":48,"column":4},"end":{"line":48,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿ExpressionStatement
5227¿Identifier¿¿8989¿v547¿¿¿¿¿Identifier
5228¿BlockStatement¿¿8989¿¿¿¿{"start":{"line":47,"column":19},"end":{"line":49,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿BlockStatement
5229¿VariableDeclarator¿¿8978¿v553¿¿¿{"start":{"line":50,"column":7},"end":{"line":52,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5230¿FunctionExpression¿¿8978¿anon¿¿¿{"start":{"line":50,"column":7},"end":{"line":52,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿FunctionExpression
5231¿Identifier¿¿0¿x¿¿¿{"start":{"line":50,"column":16},"end":{"line":50,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5232¿VariableDeclarator¿¿8991¿v549¿¿¿{"start":{"line":51,"column":11},"end":{"line":51,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5233¿CallExpression¿¿8991¿¿¿¿{"start":{"line":51,"column":11},"end":{"line":51,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿CallExpression
5234¿MemberExpression¿¿8991¿¿¿¿{"start":{"line":51,"column":11},"end":{"line":51,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿MemberExpression
5235¿Identifier¿¿8991¿Number¿¿¿{"start":{"line":51,"column":11},"end":{"line":51,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5236¿Identifier¿¿8991¿isInteger¿¿¿{"start":{"line":51,"column":18},"end":{"line":51,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5237¿Identifier¿¿8991¿x¿¿¿{"start":{"line":51,"column":28},"end":{"line":51,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5238¿VariableDeclarator¿¿8991¿v550¿¿¿{"start":{"line":51,"column":34},"end":{"line":51,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5239¿BinaryExpression¿>=¿8991¿¿¿¿{"start":{"line":51,"column":34},"end":{"line":51,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿BinaryExpression
5240¿Identifier¿¿8991¿x¿¿¿{"start":{"line":51,"column":34},"end":{"line":51,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5241¿Literal¿number¿8991¿¿0¿¿{"start":{"line":51,"column":39},"end":{"line":51,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Literal
5242¿VariableDeclarator¿¿8991¿v551¿¿¿{"start":{"line":51,"column":11},"end":{"line":51,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5243¿LogicalExpression¿&&¿8991¿¿¿¿{"start":{"line":51,"column":11},"end":{"line":51,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿LogicalExpression
5244¿Identifier¿¿8991¿v549¿¿¿¿¿Identifier
5245¿Identifier¿¿8991¿v550¿¿¿¿¿Identifier
5246¿VariableDeclarator¿¿8991¿v552¿¿¿{"start":{"line":51,"column":4},"end":{"line":51,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5247¿CallExpression¿¿8991¿¿¿¿{"start":{"line":51,"column":4},"end":{"line":51,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿CallExpression
5248¿Identifier¿¿8991¿assert¿¿¿{"start":{"line":51,"column":4},"end":{"line":51,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5249¿Identifier¿¿8991¿v551¿¿¿¿¿Identifier
5250¿Literal¿string¿8991¿¿'must be a positive integer'¿¿{"start":{"line":51,"column":42},"end":{"line":51,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Literal
5251¿ExpressionStatement¿¿8991¿¿¿¿{"start":{"line":51,"column":4},"end":{"line":51,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿ExpressionStatement
5252¿Identifier¿¿8991¿v552¿¿¿¿¿Identifier
5253¿BlockStatement¿¿8991¿¿¿¿{"start":{"line":50,"column":19},"end":{"line":52,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿BlockStatement
5254¿VariableDeclarator¿¿8978¿v556¿¿¿{"start":{"line":53,"column":8},"end":{"line":55,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5255¿FunctionExpression¿¿8978¿anon¿¿¿{"start":{"line":53,"column":8},"end":{"line":55,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿FunctionExpression
5256¿Identifier¿¿0¿x¿¿¿{"start":{"line":53,"column":17},"end":{"line":53,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5257¿VariableDeclarator¿¿8993¿v554¿¿¿{"start":{"line":54,"column":11},"end":{"line":54,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5258¿CallExpression¿¿8993¿¿¿¿{"start":{"line":54,"column":11},"end":{"line":54,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿CallExpression
5259¿Identifier¿¿8993¿isPort¿¿¿{"start":{"line":54,"column":11},"end":{"line":54,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5260¿Identifier¿¿8993¿x¿¿¿{"start":{"line":54,"column":18},"end":{"line":54,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5261¿VariableDeclarator¿¿8993¿v555¿¿¿{"start":{"line":54,"column":4},"end":{"line":54,"column":61},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5262¿CallExpression¿¿8993¿¿¿¿{"start":{"line":54,"column":4},"end":{"line":54,"column":61},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿CallExpression
5263¿Identifier¿¿8993¿assert¿¿¿{"start":{"line":54,"column":4},"end":{"line":54,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5264¿Identifier¿¿8993¿v554¿¿¿¿¿Identifier
5265¿Literal¿string¿8993¿¿'ports must be within range 0 - 65535'¿¿{"start":{"line":54,"column":22},"end":{"line":54,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Literal
5266¿ExpressionStatement¿¿8993¿¿¿¿{"start":{"line":54,"column":4},"end":{"line":54,"column":61},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿ExpressionStatement
5267¿Identifier¿¿8993¿v555¿¿¿¿¿Identifier
5268¿BlockStatement¿¿8993¿¿¿¿{"start":{"line":53,"column":20},"end":{"line":55,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿BlockStatement
5269¿VariableDeclarator¿¿8978¿v559¿¿¿{"start":{"line":56,"column":22},"end":{"line":58,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5270¿FunctionExpression¿¿8978¿anon¿¿¿{"start":{"line":56,"column":22},"end":{"line":58,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿FunctionExpression
5271¿Identifier¿¿0¿x¿¿¿{"start":{"line":56,"column":31},"end":{"line":56,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5272¿VariableDeclarator¿¿8995¿v557¿¿¿{"start":{"line":57,"column":11},"end":{"line":57,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5273¿CallExpression¿¿8995¿¿¿¿{"start":{"line":57,"column":11},"end":{"line":57,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿CallExpression
5274¿Identifier¿¿8995¿isWindowsNamedPipe¿¿¿{"start":{"line":57,"column":11},"end":{"line":57,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
