Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
640¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":99,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Program
651¿Literal¿string¿1132¿¿'number'¿¿{"start":{"line":6,"column":24},"end":{"line":6,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Literal
652¿IfStatement¿¿1132¿¿¿¿{"start":{"line":6,"column":4},"end":{"line":8,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿IfStatement
653¿Identifier¿¿1132¿v71¿¿¿¿¿Identifier
654¿ExpressionStatement¿¿1132¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿ExpressionStatement
655¿AssignmentExpression¿=¿1132¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿AssignmentExpression
656¿Identifier¿¿1132¿path¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
657¿ArrayExpression¿¿1132¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿ArrayExpression
658¿Identifier¿¿1132¿path¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
659¿BlockStatement¿¿1132¿¿¿¿{"start":{"line":6,"column":34},"end":{"line":8,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BlockStatement
660¿VariableDeclarator¿¿1132¿v72¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
661¿BinaryExpression¿===¿1132¿¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BinaryExpression
662¿Identifier¿¿1132¿obj¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
663¿Literal¿object¿1132¿¿null¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Literal
664¿IfStatement¿¿1132¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":11,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿IfStatement
665¿Identifier¿¿1132¿v72¿¿¿¿¿Identifier
666¿ReturnStatement¿¿1132¿¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿ReturnStatement
667¿Identifier¿¿1132¿obj¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
668¿BlockStatement¿¿1132¿¿¿¿{"start":{"line":9,"column":22},"end":{"line":11,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BlockStatement
669¿VariableDeclarator¿¿1132¿v73¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
670¿UnaryExpression¿!¿1132¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿UnaryExpression
671¿Identifier¿¿1132¿path¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
672¿IfStatement¿¿1132¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":14,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿IfStatement
673¿Identifier¿¿1132¿v73¿¿¿¿¿Identifier
674¿ReturnStatement¿¿1132¿¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿ReturnStatement
675¿Identifier¿¿1132¿obj¿¿¿{"start":{"line":13,"column":13},"end":{"line":13,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
676¿BlockStatement¿¿1132¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":14,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BlockStatement
677¿VariableDeclarator¿¿1132¿v74¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
678¿UnaryExpression¿typeof¿1132¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿UnaryExpression
679¿Identifier¿¿1132¿path¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
680¿VariableDeclarator¿¿1132¿v75¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
681¿BinaryExpression¿===¿1132¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BinaryExpression
682¿Identifier¿¿1132¿v74¿¿¿¿¿Identifier
683¿Literal¿string¿1132¿¿'string'¿¿{"start":{"line":15,"column":24},"end":{"line":15,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Literal
684¿IfStatement¿¿1132¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":17,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿IfStatement
685¿Identifier¿¿1132¿v75¿¿¿¿¿Identifier
686¿VariableDeclarator¿¿1132¿v76¿¿¿{"start":{"line":16,"column":30},"end":{"line":16,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
687¿CallExpression¿¿1132¿¿¿¿{"start":{"line":16,"column":30},"end":{"line":16,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿CallExpression
688¿MemberExpression¿¿1132¿¿¿¿{"start":{"line":16,"column":30},"end":{"line":16,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿MemberExpression
689¿Identifier¿¿1132¿path¿¿¿{"start":{"line":16,"column":30},"end":{"line":16,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
690¿Identifier¿¿1132¿split¿¿¿{"start":{"line":16,"column":35},"end":{"line":16,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
691¿Literal¿string¿1132¿¿'.'¿¿{"start":{"line":16,"column":41},"end":{"line":16,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Literal
692¿VariableDeclarator¿¿1132¿v77¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
693¿CallExpression¿¿1132¿¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿CallExpression
694¿MemberExpression¿¿1132¿¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿MemberExpression
695¿Identifier¿¿1132¿utils¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
696¿Identifier¿¿1132¿unset¿¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
697¿Identifier¿¿1132¿obj¿¿¿{"start":{"line":16,"column":25},"end":{"line":16,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
698¿Identifier¿¿1132¿v76¿¿¿¿¿Identifier
699¿ReturnStatement¿¿1132¿¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿ReturnStatement
700¿Identifier¿¿1132¿v77¿¿¿¿¿Identifier
701¿BlockStatement¿¿1132¿¿¿¿{"start":{"line":15,"column":34},"end":{"line":17,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BlockStatement
702¿VariableDeclarator¿¿1132¿currentPath¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
703¿MemberExpression¿computed¿1132¿¿¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿MemberExpression
704¿Identifier¿¿1132¿path¿¿¿{"start":{"line":19,"column":24},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
705¿Literal¿number¿1132¿¿0¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Literal
706¿VariableDeclarator¿¿1132¿v78¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
707¿MemberExpression¿¿1132¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿MemberExpression
708¿Identifier¿¿1132¿path¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
709¿Identifier¿¿1132¿length¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
710¿VariableDeclarator¿¿1132¿v79¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
711¿BinaryExpression¿===¿1132¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BinaryExpression
712¿Identifier¿¿1132¿v78¿¿¿¿¿Identifier
713¿Literal¿number¿1132¿¿1¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Literal
714¿IfStatement¿¿1132¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":29,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿IfStatement
715¿Identifier¿¿1132¿v79¿¿¿¿¿Identifier
716¿VariableDeclarator¿¿1132¿v80¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
717¿CallExpression¿¿1132¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿CallExpression
718¿MemberExpression¿¿1132¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿MemberExpression
719¿Identifier¿¿1132¿Array¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
720¿Identifier¿¿1132¿isArray¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
721¿Identifier¿¿1132¿obj¿¿¿{"start":{"line":22,"column":24},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
722¿IfStatement¿¿1132¿¿¿¿{"start":{"line":22,"column":6},"end":{"line":26,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿IfStatement
723¿Identifier¿¿1132¿v80¿¿¿¿¿Identifier
724¿VariableDeclarator¿¿1132¿v81¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
725¿CallExpression¿¿1132¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿CallExpression
726¿MemberExpression¿¿1132¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿MemberExpression
727¿Identifier¿¿1132¿obj¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
728¿Identifier¿¿1132¿splice¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
729¿Identifier¿¿1132¿currentPath¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
730¿Literal¿number¿1132¿¿1¿¿{"start":{"line":23,"column":32},"end":{"line":23,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Literal
731¿ExpressionStatement¿¿1132¿¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿ExpressionStatement
732¿Identifier¿¿1132¿v81¿¿¿¿¿Identifier
733¿BlockStatement¿¿1132¿¿¿¿{"start":{"line":22,"column":30},"end":{"line":24,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BlockStatement
734¿VariableDeclarator¿¿1132¿v82¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
735¿MemberExpression¿computed¿1132¿¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿MemberExpression
736¿Identifier¿¿1132¿obj¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
737¿Identifier¿¿1132¿currentPath¿¿¿{"start":{"line":25,"column":19},"end":{"line":25,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
738¿VariableDeclarator¿¿1132¿v83¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
739¿UnaryExpression¿delete¿1132¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿UnaryExpression
740¿Identifier¿¿1132¿v82¿¿¿¿¿Identifier
741¿ExpressionStatement¿¿1132¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿ExpressionStatement
742¿Identifier¿¿1132¿v83¿¿¿¿¿Identifier
743¿BlockStatement¿¿1132¿¿¿¿{"start":{"line":24,"column":13},"end":{"line":26,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BlockStatement
744¿BlockStatement¿¿1132¿¿¿¿{"start":{"line":21,"column":27},"end":{"line":27,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BlockStatement
745¿VariableDeclarator¿¿1132¿v84¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
746¿MemberExpression¿computed¿1132¿¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿MemberExpression
747¿Identifier¿¿1132¿obj¿¿¿{"start":{"line":28,"column":25},"end":{"line":28,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
748¿Identifier¿¿1132¿currentPath¿¿¿{"start":{"line":28,"column":29},"end":{"line":28,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
749¿VariableDeclarator¿¿1132¿v85¿¿¿{"start":{"line":28,"column":43},"end":{"line":28,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
750¿CallExpression¿¿1132¿¿¿¿{"start":{"line":28,"column":43},"end":{"line":28,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿CallExpression
751¿MemberExpression¿¿1132¿¿¿¿{"start":{"line":28,"column":43},"end":{"line":28,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿MemberExpression
752¿Identifier¿¿1132¿path¿¿¿{"start":{"line":28,"column":43},"end":{"line":28,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
753¿Identifier¿¿1132¿slice¿¿¿{"start":{"line":28,"column":48},"end":{"line":28,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
754¿Literal¿number¿1132¿¿1¿¿{"start":{"line":28,"column":54},"end":{"line":28,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Literal
755¿VariableDeclarator¿¿1132¿v86¿¿¿{"start":{"line":28,"column":13},"end":{"line":28,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
756¿CallExpression¿¿1132¿¿¿¿{"start":{"line":28,"column":13},"end":{"line":28,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿CallExpression
757¿MemberExpression¿¿1132¿¿¿¿{"start":{"line":28,"column":13},"end":{"line":28,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿MemberExpression
758¿Identifier¿¿1132¿utils¿¿¿{"start":{"line":28,"column":13},"end":{"line":28,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
759¿Identifier¿¿1132¿unset¿¿¿{"start":{"line":28,"column":19},"end":{"line":28,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
760¿Identifier¿¿1132¿v84¿¿¿¿¿Identifier
761¿Identifier¿¿1132¿v85¿¿¿¿¿Identifier
762¿ReturnStatement¿¿1132¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿ReturnStatement
763¿Identifier¿¿1132¿v86¿¿¿¿¿Identifier
764¿BlockStatement¿¿1132¿¿¿¿{"start":{"line":27,"column":11},"end":{"line":29,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BlockStatement
765¿ReturnStatement¿¿1132¿¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿ReturnStatement
766¿Identifier¿¿1132¿obj¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
767¿BlockStatement¿¿1132¿¿¿¿{"start":{"line":5,"column":24},"end":{"line":31,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BlockStatement
768¿VariableDeclarator¿¿1130¿v100¿¿¿{"start":{"line":33,"column":7},"end":{"line":47,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
769¿ArrowFunctionExpression¿¿1130¿¿¿¿{"start":{"line":33,"column":7},"end":{"line":47,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿ArrowFunctionExpression
770¿Identifier¿¿0¿obj¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
771¿Identifier¿¿0¿path¿¿¿{"start":{"line":33,"column":13},"end":{"line":33,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
772¿Identifier¿¿0¿defaultValue¿¿¿{"start":{"line":33,"column":19},"end":{"line":33,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
773¿VariableDeclarator¿¿1140¿v88¿¿¿{"start":{"line":34,"column":8},"end":{"line":34,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
774¿UnaryExpression¿typeof¿1140¿¿¿¿{"start":{"line":34,"column":8},"end":{"line":34,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿UnaryExpression
775¿Identifier¿¿1140¿path¿¿¿{"start":{"line":34,"column":15},"end":{"line":34,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
776¿VariableDeclarator¿¿1140¿v89¿¿¿{"start":{"line":34,"column":8},"end":{"line":34,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
777¿BinaryExpression¿===¿1140¿¿¿¿{"start":{"line":34,"column":8},"end":{"line":34,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BinaryExpression
778¿Identifier¿¿1140¿v88¿¿¿¿¿Identifier
779¿Literal¿string¿1140¿¿'string'¿¿{"start":{"line":34,"column":24},"end":{"line":34,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Literal
780¿IfStatement¿¿1140¿¿¿¿{"start":{"line":34,"column":4},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿IfStatement
781¿Identifier¿¿1140¿v89¿¿¿¿¿Identifier
