Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
913¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":149,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Program
1005¿LogicalExpression¿||¿1566¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿LogicalExpression
1006¿Identifier¿¿1566¿v84¿¿¿¿¿Identifier
1007¿Identifier¿¿1566¿v91¿¿¿¿¿Identifier
1008¿VariableDeclarator¿¿1566¿v92¿¿¿{"start":{"line":24,"column":9},"end":{"line":24,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1009¿MemberExpression¿computed¿1566¿¿¿¿{"start":{"line":24,"column":9},"end":{"line":24,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1010¿Identifier¿¿1566¿lock¿¿¿{"start":{"line":24,"column":9},"end":{"line":24,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1011¿Identifier¿¿1566¿key¿¿¿{"start":{"line":24,"column":14},"end":{"line":24,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1012¿ReturnStatement¿¿1566¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿ReturnStatement
1013¿Identifier¿¿1566¿v92¿¿¿¿¿Identifier
1014¿BlockStatement¿¿1566¿¿¿¿{"start":{"line":16,"column":53},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿BlockStatement
1015¿ExpressionStatement¿¿1564¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
1016¿AssignmentExpression¿=¿1564¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿AssignmentExpression
1017¿MemberExpression¿¿1564¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1018¿Identifier¿¿1564¿module¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1019¿Identifier¿¿1564¿exports¿¿¿{"start":{"line":16,"column":7},"end":{"line":16,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1020¿Identifier¿¿1564¿findLocalDevices¿¿¿¿¿Identifier
1021¿VariableDeclarator¿¿1564¿getServers¿¿¿{"start":{"line":30,"column":0},"end":{"line":48,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1022¿FunctionExpression¿¿1564¿anon¿¿¿{"start":{"line":30,"column":0},"end":{"line":48,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿FunctionExpression
1023¿VariableDeclarator¿¿1569¿interfaces¿¿¿{"start":{"line":31,"column":6},"end":{"line":31,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1024¿CallExpression¿¿1569¿¿¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1025¿MemberExpression¿¿1569¿¿¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1026¿Identifier¿¿1569¿os¿¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1027¿Identifier¿¿1569¿networkInterfaces¿¿¿{"start":{"line":31,"column":22},"end":{"line":31,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1028¿VariableDeclarator¿¿1569¿result¿¿¿{"start":{"line":32,"column":6},"end":{"line":32,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1029¿ArrayExpression¿¿1569¿¿¿¿{"start":{"line":32,"column":15},"end":{"line":32,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿ArrayExpression
1030¿VariableDeclarator¿¿1569¿key¿¿¿{"start":{"line":34,"column":11},"end":{"line":34,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1031¿ForInStatement¿¿1569¿¿¿¿{"start":{"line":34,"column":2},"end":{"line":45,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿ForInStatement
1032¿Identifier¿¿1569¿key¿¿¿{"start":{"line":34,"column":11},"end":{"line":34,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1033¿Identifier¿¿1569¿interfaces¿¿¿{"start":{"line":34,"column":18},"end":{"line":34,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1034¿VariableDeclarator¿¿1569¿addresses¿¿¿{"start":{"line":35,"column":8},"end":{"line":35,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1035¿MemberExpression¿computed¿1569¿¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1036¿Identifier¿¿1569¿interfaces¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1037¿Identifier¿¿1569¿key¿¿¿{"start":{"line":35,"column":31},"end":{"line":35,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1038¿VariableDeclarator¿¿1569¿i¿¿¿{"start":{"line":36,"column":13},"end":{"line":36,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1039¿MemberExpression¿¿1569¿¿¿¿{"start":{"line":36,"column":17},"end":{"line":36,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1040¿Identifier¿¿1569¿addresses¿¿¿{"start":{"line":36,"column":17},"end":{"line":36,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1041¿Identifier¿¿1569¿length¿¿¿{"start":{"line":36,"column":27},"end":{"line":36,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1042¿VariableDeclarator¿¿1569¿v93¿¿¿{"start":{"line":36,"column":35},"end":{"line":36,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1043¿UpdateExpression¿¿1569¿¿¿¿{"start":{"line":36,"column":35},"end":{"line":36,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿UpdateExpression
1044¿Identifier¿¿1569¿i¿¿¿{"start":{"line":36,"column":35},"end":{"line":36,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1045¿WhileStatement¿¿1569¿¿¿¿{"start":{"line":36,"column":4},"end":{"line":44,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿WhileStatement
1046¿Identifier¿¿1569¿v93¿¿¿¿¿Identifier
1047¿VariableDeclarator¿¿1569¿address¿¿¿{"start":{"line":37,"column":10},"end":{"line":37,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1048¿MemberExpression¿computed¿1569¿¿¿¿{"start":{"line":37,"column":20},"end":{"line":37,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1049¿Identifier¿¿1569¿addresses¿¿¿{"start":{"line":37,"column":20},"end":{"line":37,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1050¿Identifier¿¿1569¿i¿¿¿{"start":{"line":37,"column":30},"end":{"line":37,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1051¿VariableDeclarator¿¿1569¿v94¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1052¿MemberExpression¿¿1569¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
