Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
778¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":162,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Program
789¿VariableDeclarator¿¿1322¿merge¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
790¿CallExpression¿¿1322¿¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿CallExpression
791¿Identifier¿¿1322¿require¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
792¿Literal¿string¿1322¿¿'lodash.merge'¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
793¿VariableDeclarator¿¿1322¿notifier¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
794¿CallExpression¿¿1322¿¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿CallExpression
795¿Identifier¿¿1322¿require¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
796¿Literal¿string¿1322¿¿'node-notifier'¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
797¿VariableDeclarator¿¿1322¿yaml¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
798¿CallExpression¿¿1322¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿CallExpression
799¿Identifier¿¿1322¿require¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
800¿Literal¿string¿1322¿¿'js-yaml'¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
801¿VariableDeclarator¿¿1322¿fs¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
802¿CallExpression¿¿1322¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿CallExpression
803¿Identifier¿¿1322¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
804¿Literal¿string¿1322¿¿'fs'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
805¿VariableDeclarator¿exported¿1322¿sh¿¿¿{"start":{"line":15,"column":0},"end":{"line":47,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
806¿FunctionExpression¿¿1322¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":47,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿FunctionExpression
807¿Identifier¿¿0¿cmd¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
808¿Identifier¿¿0¿exitOnError¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
809¿Identifier¿¿0¿cb¿¿¿{"start":{"line":15,"column":30},"end":{"line":15,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
810¿VariableDeclarator¿¿1324¿v61¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
811¿BinaryExpression¿*¿1324¿¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿BinaryExpression
812¿Literal¿number¿1324¿¿1000¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
813¿Literal¿number¿1324¿¿60¿¿{"start":{"line":18,"column":20},"end":{"line":18,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
814¿VariableDeclarator¿¿1324¿v62¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
815¿BinaryExpression¿*¿1324¿¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿BinaryExpression
816¿Identifier¿¿1324¿v61¿¿¿¿¿Identifier
817¿Literal¿number¿1324¿¿2¿¿{"start":{"line":18,"column":25},"end":{"line":18,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
818¿VariableDeclarator¿¿1324¿v63¿¿¿{"start":{"line":16,"column":26},"end":{"line":19,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
819¿ObjectExpression¿¿1324¿¿¿¿{"start":{"line":16,"column":26},"end":{"line":19,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿ObjectExpression
820¿Property¿¿1324¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Property
821¿Identifier¿¿1324¿encoding¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
822¿Literal¿string¿1324¿¿'utf8'¿¿{"start":{"line":17,"column":14},"end":{"line":17,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
823¿Property¿¿1324¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Property
824¿Identifier¿¿1324¿timeout¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
825¿Identifier¿¿1324¿v62¿¿¿¿¿Identifier
826¿VariableDeclarator¿¿1324¿child¿¿¿{"start":{"line":16,"column":8},"end":{"line":19,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
827¿CallExpression¿¿1324¿¿¿¿{"start":{"line":16,"column":16},"end":{"line":19,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿CallExpression
828¿Identifier¿¿1324¿exec¿¿¿{"start":{"line":16,"column":16},"end":{"line":16,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
829¿Identifier¿¿1324¿cmd¿¿¿{"start":{"line":16,"column":21},"end":{"line":16,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
830¿Identifier¿¿1324¿v63¿¿¿¿¿Identifier
831¿VariableDeclarator¿¿1324¿stdout¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
832¿Literal¿string¿1324¿¿''¿¿{"start":{"line":20,"column":15},"end":{"line":20,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
833¿VariableDeclarator¿¿1324¿v64¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
834¿MemberExpression¿¿1324¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿MemberExpression
835¿Identifier¿¿1324¿child¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
836¿Identifier¿¿1324¿stdout¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
837¿VariableDeclarator¿¿1324¿v67¿¿¿{"start":{"line":21,"column":26},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
838¿ArrowFunctionExpression¿¿1324¿¿¿¿{"start":{"line":21,"column":26},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿ArrowFunctionExpression
839¿Identifier¿¿0¿data¿¿¿{"start":{"line":21,"column":27},"end":{"line":21,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
840¿ExpressionStatement¿¿1326¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿ExpressionStatement
841¿AssignmentExpression¿+=¿1326¿¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿AssignmentExpression
842¿Identifier¿¿1326¿stdout¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
843¿Identifier¿¿1326¿data¿¿¿{"start":{"line":22,"column":14},"end":{"line":22,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
844¿VariableDeclarator¿¿1326¿v65¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
845¿MemberExpression¿¿1326¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿MemberExpression
846¿Identifier¿¿1326¿process¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
847¿Identifier¿¿1326¿stdout¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
848¿VariableDeclarator¿¿1326¿v66¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
849¿CallExpression¿¿1326¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿CallExpression
850¿MemberExpression¿¿1326¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿MemberExpression
851¿Identifier¿¿1326¿v65¿¿¿¿¿Identifier
852¿Identifier¿¿1326¿write¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
853¿Identifier¿¿1326¿data¿¿¿{"start":{"line":23,"column":25},"end":{"line":23,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
854¿ExpressionStatement¿¿1326¿¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿ExpressionStatement
855¿Identifier¿¿1326¿v66¿¿¿¿¿Identifier
856¿BlockStatement¿¿1326¿¿¿¿{"start":{"line":21,"column":36},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿BlockStatement
857¿VariableDeclarator¿¿1324¿v68¿¿¿{"start":{"line":21,"column":2},"end":{"line":24,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
858¿CallExpression¿¿1324¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":24,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿CallExpression
859¿MemberExpression¿¿1324¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿MemberExpression
860¿Identifier¿¿1324¿v64¿¿¿¿¿Identifier
861¿Identifier¿¿1324¿on¿¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
862¿Literal¿string¿1324¿¿'data'¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
863¿Identifier¿¿1324¿v67¿¿¿¿¿Identifier
864¿ExpressionStatement¿¿1324¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":24,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿ExpressionStatement
865¿Identifier¿¿1324¿v68¿¿¿¿¿Identifier
866¿VariableDeclarator¿¿1324¿v69¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
867¿MemberExpression¿¿1324¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿MemberExpression
868¿Identifier¿¿1324¿child¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
869¿Identifier¿¿1324¿stderr¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
870¿VariableDeclarator¿¿1324¿v72¿¿¿{"start":{"line":25,"column":26},"end":{"line":27,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
871¿ArrowFunctionExpression¿¿1324¿¿¿¿{"start":{"line":25,"column":26},"end":{"line":27,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿ArrowFunctionExpression
872¿Identifier¿¿0¿data¿¿¿{"start":{"line":25,"column":27},"end":{"line":25,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
873¿VariableDeclarator¿¿1328¿v70¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
874¿MemberExpression¿¿1328¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿MemberExpression
875¿Identifier¿¿1328¿process¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
876¿Identifier¿¿1328¿stdout¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
877¿VariableDeclarator¿¿1328¿v71¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
878¿CallExpression¿¿1328¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿CallExpression
879¿MemberExpression¿¿1328¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿MemberExpression
880¿Identifier¿¿1328¿v70¿¿¿¿¿Identifier
881¿Identifier¿¿1328¿write¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
882¿Identifier¿¿1328¿data¿¿¿{"start":{"line":26,"column":25},"end":{"line":26,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
883¿ExpressionStatement¿¿1328¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿ExpressionStatement
884¿Identifier¿¿1328¿v71¿¿¿¿¿Identifier
885¿BlockStatement¿¿1328¿¿¿¿{"start":{"line":25,"column":36},"end":{"line":27,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿BlockStatement
886¿VariableDeclarator¿¿1324¿v73¿¿¿{"start":{"line":25,"column":2},"end":{"line":27,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
887¿CallExpression¿¿1324¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":27,"column":4},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿CallExpression
888¿MemberExpression¿¿1324¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿MemberExpression
889¿Identifier¿¿1324¿v69¿¿¿¿¿Identifier
890¿Identifier¿¿1324¿on¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
891¿Literal¿string¿1324¿¿'data'¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
892¿Identifier¿¿1324¿v72¿¿¿¿¿Identifier
893¿ExpressionStatement¿¿1324¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":27,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿ExpressionStatement
894¿Identifier¿¿1324¿v73¿¿¿¿¿Identifier
895¿VariableDeclarator¿¿1324¿v88¿¿¿{"start":{"line":28,"column":20},"end":{"line":46,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
896¿ArrowFunctionExpression¿¿1324¿¿¿¿{"start":{"line":28,"column":20},"end":{"line":46,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿ArrowFunctionExpression
897¿Identifier¿¿0¿code¿¿¿{"start":{"line":28,"column":21},"end":{"line":28,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
898¿VariableDeclarator¿¿1330¿v74¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
899¿BinaryExpression¿>¿1330¿¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿BinaryExpression
900¿Identifier¿¿1330¿code¿¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
901¿Literal¿number¿1330¿¿0¿¿{"start":{"line":29,"column":15},"end":{"line":29,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
902¿IfStatement¿¿1330¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":44,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿IfStatement
903¿Identifier¿¿1330¿v74¿¿¿¿¿Identifier
904¿IfStatement¿¿1330¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":43,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿IfStatement
905¿Identifier¿¿1330¿exitOnError¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
906¿VariableDeclarator¿¿1330¿v75¿¿¿{"start":{"line":31,"column":12},"end":{"line":31,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
907¿UnaryExpression¿typeof¿1330¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":31,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿UnaryExpression
908¿Identifier¿¿1330¿cb¿¿¿{"start":{"line":31,"column":19},"end":{"line":31,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
909¿VariableDeclarator¿¿1330¿v76¿¿¿{"start":{"line":31,"column":12},"end":{"line":31,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
910¿BinaryExpression¿===¿1330¿¿¿¿{"start":{"line":31,"column":12},"end":{"line":31,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿BinaryExpression
911¿Identifier¿¿1330¿v75¿¿¿¿¿Identifier
912¿Literal¿string¿1330¿¿'function'¿¿{"start":{"line":31,"column":26},"end":{"line":31,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
913¿IfStatement¿¿1330¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":36,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿IfStatement
914¿Identifier¿¿1330¿v76¿¿¿¿¿Identifier
915¿VariableDeclarator¿¿1330¿v77¿¿¿{"start":{"line":32,"column":13},"end":{"line":32,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
916¿NewExpression¿¿1330¿¿¿¿{"start":{"line":32,"column":13},"end":{"line":32,"column":71},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿NewExpression
917¿Identifier¿¿1330¿Error¿¿¿{"start":{"line":32,"column":17},"end":{"line":32,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
