Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
641¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":86,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Program
656¿VariableDeclarator¿¿1111¿v74¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
657¿CallExpression¿¿1111¿¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿CallExpression
658¿Identifier¿¿1111¿require¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
659¿Literal¿string¿1111¿¿'../debug'¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Literal
660¿VariableDeclarator¿¿1111¿v75¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
661¿MemberExpression¿¿1111¿¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿MemberExpression
662¿Identifier¿¿1111¿process¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
663¿Identifier¿¿1111¿env¿¿¿{"start":{"line":7,"column":40},"end":{"line":7,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
664¿VariableDeclarator¿¿1111¿v76¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
665¿MemberExpression¿¿1111¿¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿MemberExpression
666¿Identifier¿¿1111¿v75¿¿¿¿¿Identifier
667¿Identifier¿¿1111¿QUIET¿¿¿{"start":{"line":7,"column":44},"end":{"line":7,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
668¿VariableDeclarator¿¿1111¿v77¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":60},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
669¿BinaryExpression¿===¿1111¿¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":60},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿BinaryExpression
670¿Identifier¿¿1111¿v76¿¿¿¿¿Identifier
671¿Literal¿string¿1111¿¿'true'¿¿{"start":{"line":7,"column":54},"end":{"line":7,"column":60},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Literal
672¿VariableDeclarator¿¿1111¿debug¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
673¿CallExpression¿¿1111¿¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿CallExpression
674¿Identifier¿¿1111¿v74¿¿¿¿¿Identifier
675¿Identifier¿¿1111¿v77¿¿¿¿¿Identifier
676¿VariableDeclarator¿exported¿1111¿v146¿¿¿{"start":{"line":16,"column":0},"end":{"line":86,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
677¿FunctionExpression¿¿1111¿anon¿¿¿{"start":{"line":16,"column":17},"end":{"line":86,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿FunctionExpression
678¿Identifier¿¿0¿options¿¿¿{"start":{"line":16,"column":26},"end":{"line":16,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
679¿VariableDeclarator¿¿1113¿v78¿¿¿{"start":{"line":17,"column":23},"end":{"line":17,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
680¿ObjectExpression¿¿1113¿¿¿¿{"start":{"line":17,"column":23},"end":{"line":17,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿ObjectExpression
681¿ExpressionStatement¿¿1113¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿ExpressionStatement
682¿AssignmentExpression¿=¿1113¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿AssignmentExpression
683¿Identifier¿¿1113¿options¿¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
684¿LogicalExpression¿||¿1113¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿LogicalExpression
685¿Identifier¿¿1113¿options¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
686¿Identifier¿¿1113¿v78¿¿¿¿¿Identifier
687¿VariableDeclarator¿¿1113¿_expirationTime¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
688¿Literal¿number¿1113¿¿10¿¿{"start":{"line":20,"column":25},"end":{"line":20,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Literal
689¿VariableDeclarator¿¿1113¿v145¿¿¿{"start":{"line":22,"column":9},"end":{"line":85,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
690¿FunctionExpression¿¿1113¿anon¿¿¿{"start":{"line":22,"column":9},"end":{"line":85,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿FunctionExpression
691¿Identifier¿¿0¿req¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
692¿Identifier¿¿0¿res¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
693¿Identifier¿¿0¿next¿¿¿{"start":{"line":22,"column":28},"end":{"line":22,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
694¿VariableDeclarator¿¿1115¿v79¿¿¿{"start":{"line":23,"column":29},"end":{"line":23,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
695¿MemberExpression¿¿1115¿¿¿¿{"start":{"line":23,"column":29},"end":{"line":23,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿MemberExpression
696¿Identifier¿¿1115¿req¿¿¿{"start":{"line":23,"column":29},"end":{"line":23,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
697¿Identifier¿¿1115¿url¿¿¿{"start":{"line":23,"column":33},"end":{"line":23,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
698¿VariableDeclarator¿¿1115¿resource¿¿¿{"start":{"line":23,"column":8},"end":{"line":23,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
699¿CallExpression¿¿1115¿¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿CallExpression
700¿MemberExpression¿¿1115¿¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿MemberExpression
701¿Identifier¿¿1115¿url¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
702¿Identifier¿¿1115¿parse¿¿¿{"start":{"line":23,"column":23},"end":{"line":23,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
703¿Identifier¿¿1115¿v79¿¿¿¿¿Identifier
704¿VariableDeclarator¿¿1115¿v80¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
705¿CallExpression¿¿1115¿¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿CallExpression
706¿MemberExpression¿¿1115¿¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿MemberExpression
707¿Identifier¿¿1115¿process¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
708¿Identifier¿¿1115¿cwd¿¿¿{"start":{"line":24,"column":27},"end":{"line":24,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
709¿VariableDeclarator¿¿1115¿v81¿¿¿{"start":{"line":24,"column":34},"end":{"line":24,"column":51},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
710¿MemberExpression¿¿1115¿¿¿¿{"start":{"line":24,"column":34},"end":{"line":24,"column":51},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿MemberExpression
711¿Identifier¿¿1115¿resource¿¿¿{"start":{"line":24,"column":34},"end":{"line":24,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
712¿Identifier¿¿1115¿pathname¿¿¿{"start":{"line":24,"column":43},"end":{"line":24,"column":51},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
713¿VariableDeclarator¿¿1115¿v82¿¿¿{"start":{"line":24,"column":34},"end":{"line":24,"column":58},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
714¿LogicalExpression¿||¿1115¿¿¿¿{"start":{"line":24,"column":34},"end":{"line":24,"column":58},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿LogicalExpression
715¿Identifier¿¿1115¿v81¿¿¿¿¿Identifier
716¿Literal¿string¿1115¿¿'/'¿¿{"start":{"line":24,"column":55},"end":{"line":24,"column":58},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Literal
717¿VariableDeclarator¿¿1115¿filePath¿¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":59},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
718¿BinaryExpression¿+¿1115¿¿¿¿{"start":{"line":24,"column":19},"end":{"line":24,"column":59},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿BinaryExpression
719¿Identifier¿¿1115¿v80¿¿¿¿¿Identifier
720¿Identifier¿¿1115¿v82¿¿¿¿¿Identifier
721¿VariableDeclarator¿¿1115¿v83¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
722¿MemberExpression¿¿1115¿¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿MemberExpression
723¿Identifier¿¿1115¿filePath¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
724¿Identifier¿¿1115¿length¿¿¿{"start":{"line":26,"column":25},"end":{"line":26,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
725¿VariableDeclarator¿¿1115¿v84¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
726¿BinaryExpression¿-¿1115¿¿¿¿{"start":{"line":26,"column":16},"end":{"line":26,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿BinaryExpression
727¿Identifier¿¿1115¿v83¿¿¿¿¿Identifier
728¿Literal¿number¿1115¿¿1¿¿{"start":{"line":26,"column":32},"end":{"line":26,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Literal
729¿VariableDeclarator¿¿1115¿v85¿¿¿{"start":{"line":26,"column":7},"end":{"line":26,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
730¿MemberExpression¿computed¿1115¿¿¿¿{"start":{"line":26,"column":7},"end":{"line":26,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿MemberExpression
731¿Identifier¿¿1115¿filePath¿¿¿{"start":{"line":26,"column":7},"end":{"line":26,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
732¿Identifier¿¿1115¿v84¿¿¿¿¿Identifier
733¿VariableDeclarator¿¿1115¿v86¿¿¿{"start":{"line":26,"column":7},"end":{"line":26,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
734¿BinaryExpression¿===¿1115¿¿¿¿{"start":{"line":26,"column":7},"end":{"line":26,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿BinaryExpression
735¿Identifier¿¿1115¿v85¿¿¿¿¿Identifier
736¿Literal¿string¿1115¿¿'/'¿¿{"start":{"line":26,"column":39},"end":{"line":26,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Literal
737¿IfStatement¿¿1115¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":69},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿IfStatement
738¿Identifier¿¿1115¿v86¿¿¿¿¿Identifier
739¿ExpressionStatement¿¿1115¿¿¿¿{"start":{"line":26,"column":44},"end":{"line":26,"column":69},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿ExpressionStatement
740¿AssignmentExpression¿+=¿1115¿¿¿¿{"start":{"line":26,"column":44},"end":{"line":26,"column":68},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿AssignmentExpression
741¿Identifier¿¿1115¿filePath¿¿¿{"start":{"line":26,"column":44},"end":{"line":26,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
742¿Literal¿string¿1115¿¿'index.html'¿¿{"start":{"line":26,"column":56},"end":{"line":26,"column":68},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Literal
743¿BlockStatement¿¿1115¿¿¿¿¿¿BlockStatement
744¿VariableDeclarator¿¿1115¿startTime¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
745¿CallExpression¿¿1115¿¿¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿CallExpression
746¿MemberExpression¿¿1115¿¿¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿MemberExpression
747¿Identifier¿¿1115¿process¿¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
748¿Identifier¿¿1115¿hrtime¿¿¿{"start":{"line":28,"column":28},"end":{"line":28,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
749¿VariableDeclarator¿¿1115¿v128¿¿¿{"start":{"line":29,"column":22},"end":{"line":71,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
750¿FunctionExpression¿¿1115¿anon¿¿¿{"start":{"line":29,"column":22},"end":{"line":71,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿FunctionExpression
751¿Identifier¿¿0¿err¿¿¿{"start":{"line":29,"column":31},"end":{"line":29,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
752¿Identifier¿¿0¿stat¿¿¿{"start":{"line":29,"column":36},"end":{"line":29,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
753¿IfStatement¿¿1118¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":32,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿IfStatement
754¿Identifier¿¿1118¿err¿¿¿{"start":{"line":30,"column":9},"end":{"line":30,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
755¿VariableDeclarator¿¿1118¿v87¿¿¿{"start":{"line":31,"column":15},"end":{"line":31,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
756¿CallExpression¿¿1118¿¿¿¿{"start":{"line":31,"column":15},"end":{"line":31,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿CallExpression
757¿Identifier¿¿1118¿next¿¿¿{"start":{"line":31,"column":15},"end":{"line":31,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
758¿Identifier¿¿1118¿err¿¿¿{"start":{"line":31,"column":20},"end":{"line":31,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
759¿ReturnStatement¿¿1118¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿ReturnStatement
760¿Identifier¿¿1118¿v87¿¿¿¿¿Identifier
761¿BlockStatement¿¿1118¿¿¿¿{"start":{"line":30,"column":14},"end":{"line":32,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿BlockStatement
762¿VariableDeclarator¿¿1118¿v88¿¿¿{"start":{"line":34,"column":17},"end":{"line":34,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
763¿CallExpression¿¿1118¿¿¿¿{"start":{"line":34,"column":17},"end":{"line":34,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿CallExpression
764¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":34,"column":17},"end":{"line":34,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿MemberExpression
765¿Identifier¿¿1118¿crypto¿¿¿{"start":{"line":34,"column":17},"end":{"line":34,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
766¿Identifier¿¿1118¿createHash¿¿¿{"start":{"line":34,"column":24},"end":{"line":34,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
767¿Literal¿string¿1118¿¿'md5'¿¿{"start":{"line":34,"column":35},"end":{"line":34,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Literal
768¿VariableDeclarator¿¿1118¿v89¿¿¿{"start":{"line":36,"column":9},"end":{"line":36,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
769¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":36,"column":9},"end":{"line":36,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿MemberExpression
770¿Identifier¿¿1118¿stat¿¿¿{"start":{"line":36,"column":9},"end":{"line":36,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
771¿Identifier¿¿1118¿ctime¿¿¿{"start":{"line":36,"column":14},"end":{"line":36,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
772¿VariableDeclarator¿¿1118¿v90¿¿¿{"start":{"line":36,"column":23},"end":{"line":36,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
773¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":36,"column":23},"end":{"line":36,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿MemberExpression
774¿Identifier¿¿1118¿stat¿¿¿{"start":{"line":36,"column":23},"end":{"line":36,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
775¿Identifier¿¿1118¿ctime¿¿¿{"start":{"line":36,"column":28},"end":{"line":36,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
776¿VariableDeclarator¿¿1118¿v91¿¿¿{"start":{"line":36,"column":23},"end":{"line":36,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
777¿CallExpression¿¿1118¿¿¿¿{"start":{"line":36,"column":23},"end":{"line":36,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿CallExpression
778¿MemberExpression¿¿1118¿¿¿¿{"start":{"line":36,"column":23},"end":{"line":36,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿MemberExpression
779¿Identifier¿¿1118¿v90¿¿¿¿¿Identifier
780¿Identifier¿¿1118¿getTime¿¿¿{"start":{"line":36,"column":34},"end":{"line":36,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
781¿VariableDeclarator¿¿1118¿v92¿¿¿{"start":{"line":36,"column":9},"end":{"line":36,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
782¿LogicalExpression¿&&¿1118¿¿¿¿{"start":{"line":36,"column":9},"end":{"line":36,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿LogicalExpression
783¿Identifier¿¿1118¿v89¿¿¿¿¿Identifier
