Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1085¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":209,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Program
1155¿VariableDeclarator¿¿1892¿keys¿¿¿{"start":{"line":31,"column":12},"end":{"line":31,"column":39},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1156¿CallExpression¿¿1892¿¿¿¿{"start":{"line":31,"column":20},"end":{"line":31,"column":39},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿CallExpression
1157¿MemberExpression¿¿1892¿¿¿¿{"start":{"line":31,"column":20},"end":{"line":31,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿MemberExpression
1158¿Identifier¿¿1892¿Object¿¿¿{"start":{"line":31,"column":20},"end":{"line":31,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1159¿Identifier¿¿1892¿keys¿¿¿{"start":{"line":31,"column":27},"end":{"line":31,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1160¿Identifier¿¿1892¿object¿¿¿{"start":{"line":31,"column":32},"end":{"line":31,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1161¿VariableDeclarator¿¿1892¿v98¿¿¿{"start":{"line":32,"column":30},"end":{"line":32,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1162¿MemberExpression¿¿1892¿¿¿¿{"start":{"line":32,"column":30},"end":{"line":32,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿MemberExpression
1163¿Identifier¿¿1892¿keys¿¿¿{"start":{"line":32,"column":30},"end":{"line":32,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1164¿Identifier¿¿1892¿length¿¿¿{"start":{"line":32,"column":35},"end":{"line":32,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1165¿VariableDeclarator¿¿1892¿array¿¿¿{"start":{"line":32,"column":12},"end":{"line":32,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1166¿NewExpression¿¿1892¿¿¿¿{"start":{"line":32,"column":20},"end":{"line":32,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿NewExpression
1167¿Identifier¿¿1892¿Array¿¿¿{"start":{"line":32,"column":24},"end":{"line":32,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1168¿Identifier¿¿1892¿v98¿¿¿¿¿Identifier
1169¿VariableDeclarator¿¿1892¿index¿¿¿{"start":{"line":33,"column":12},"end":{"line":33,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1170¿Literal¿number¿1892¿¿0¿¿{"start":{"line":33,"column":20},"end":{"line":33,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Literal
1171¿VariableDeclarator¿¿1892¿v99¿¿¿{"start":{"line":34,"column":23},"end":{"line":34,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1172¿MemberExpression¿¿1892¿¿¿¿{"start":{"line":34,"column":23},"end":{"line":34,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿MemberExpression
1173¿Identifier¿¿1892¿keys¿¿¿{"start":{"line":34,"column":23},"end":{"line":34,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1174¿Identifier¿¿1892¿length¿¿¿{"start":{"line":34,"column":28},"end":{"line":34,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1175¿VariableDeclarator¿¿1892¿v100¿¿¿{"start":{"line":34,"column":15},"end":{"line":34,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1176¿BinaryExpression¿<¿1892¿¿¿¿{"start":{"line":34,"column":15},"end":{"line":34,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿BinaryExpression
1177¿Identifier¿¿1892¿index¿¿¿{"start":{"line":34,"column":15},"end":{"line":34,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1178¿Identifier¿¿1892¿v99¿¿¿¿¿Identifier
1179¿WhileStatement¿¿1892¿¿¿¿{"start":{"line":34,"column":8},"end":{"line":35,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿WhileStatement
1180¿Identifier¿¿1892¿v100¿¿¿¿¿Identifier
1181¿VariableDeclarator¿¿1892¿v101¿¿¿{"start":{"line":35,"column":39},"end":{"line":35,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1182¿UpdateExpression¿¿1892¿¿¿¿{"start":{"line":35,"column":39},"end":{"line":35,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿UpdateExpression
1183¿Identifier¿¿1892¿index¿¿¿{"start":{"line":35,"column":39},"end":{"line":35,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1184¿VariableDeclarator¿¿1892¿v102¿¿¿{"start":{"line":35,"column":34},"end":{"line":35,"column":47},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1185¿MemberExpression¿computed¿1892¿¿¿¿{"start":{"line":35,"column":34},"end":{"line":35,"column":47},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿MemberExpression
1186¿Identifier¿¿1892¿keys¿¿¿{"start":{"line":35,"column":34},"end":{"line":35,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1187¿Identifier¿¿1892¿v101¿¿¿¿¿Identifier
1188¿VariableDeclarator¿¿1892¿v103¿¿¿{"start":{"line":35,"column":12},"end":{"line":35,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1189¿MemberExpression¿computed¿1892¿¿¿¿{"start":{"line":35,"column":27},"end":{"line":35,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿MemberExpression
1190¿Identifier¿¿1892¿object¿¿¿{"start":{"line":35,"column":27},"end":{"line":35,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1191¿Identifier¿¿1892¿v102¿¿¿¿¿Identifier
1192¿ExpressionStatement¿¿1892¿¿¿¿{"start":{"line":35,"column":12},"end":{"line":35,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿ExpressionStatement
1193¿AssignmentExpression¿=¿1892¿¿¿¿{"start":{"line":35,"column":12},"end":{"line":35,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿AssignmentExpression
1194¿MemberExpression¿computed¿1892¿¿¿¿{"start":{"line":35,"column":12},"end":{"line":35,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿MemberExpression
1195¿Identifier¿¿1892¿array¿¿¿{"start":{"line":35,"column":12},"end":{"line":35,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1196¿Identifier¿¿1892¿index¿¿¿{"start":{"line":35,"column":18},"end":{"line":35,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1197¿Identifier¿¿1892¿v103¿¿¿¿¿Identifier
1198¿ExpressionStatement¿¿1892¿¿¿¿{"start":{"line":34,"column":8},"end":{"line":35,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿ExpressionStatement
1199¿AssignmentExpression¿=¿1892¿¿¿¿{"start":{"line":34,"column":8},"end":{"line":35,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿AssignmentExpression
1200¿Identifier¿¿1892¿v100¿¿¿{"start":{"line":34,"column":8},"end":{"line":35,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1201¿BinaryExpression¿<¿1892¿¿¿¿{"start":{"line":34,"column":15},"end":{"line":34,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿BinaryExpression
1202¿Identifier¿¿1892¿index¿¿¿{"start":{"line":34,"column":15},"end":{"line":34,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1203¿Identifier¿¿1892¿v99¿¿¿¿¿Identifier
1204¿BlockStatement¿¿1892¿¿¿¿¿¿BlockStatement
1205¿ReturnStatement¿¿1892¿¿¿¿{"start":{"line":36,"column":8},"end":{"line":36,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿ReturnStatement
1206¿Identifier¿¿1892¿array¿¿¿{"start":{"line":36,"column":15},"end":{"line":36,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1207¿BlockStatement¿¿1892¿¿¿¿{"start":{"line":30,"column":16},"end":{"line":37,"column":5},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿BlockStatement
1208¿VariableDeclarator¿¿1892¿v104¿¿¿{"start":{"line":38,"column":11},"end":{"line":38,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1209¿ArrayExpression¿¿1892¿¿¿¿{"start":{"line":38,"column":11},"end":{"line":38,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿ArrayExpression
1210¿ReturnStatement¿¿1892¿¿¿¿{"start":{"line":38,"column":4},"end":{"line":38,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿ReturnStatement
1211¿Identifier¿¿1892¿v104¿¿¿¿¿Identifier
1212¿BlockStatement¿¿1892¿¿¿¿{"start":{"line":29,"column":40},"end":{"line":39,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿BlockStatement
1213¿ExpressionStatement¿¿1890¿¿¿¿{"start":{"line":29,"column":0},"end":{"line":39,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿ExpressionStatement
1214¿AssignmentExpression¿=¿1890¿¿¿¿{"start":{"line":29,"column":0},"end":{"line":39,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿AssignmentExpression
