Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
700¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":126,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Program
734¿Identifier¿¿1185¿constants¿¿¿{"start":{"line":8,"column":19},"end":{"line":8,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
735¿VariableDeclarator¿¿1185¿constants¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
736¿LogicalExpression¿||¿1185¿¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿LogicalExpression
737¿Identifier¿¿1185¿v71¿¿¿¿¿Identifier
738¿Identifier¿¿1185¿fs¿¿¿{"start":{"line":8,"column":32},"end":{"line":8,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
739¿VariableDeclarator¿¿1185¿v72¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
740¿MemberExpression¿¿1185¿¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿MemberExpression
741¿Identifier¿¿1185¿process¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
742¿Identifier¿¿1185¿platform¿¿¿{"start":{"line":10,"column":29},"end":{"line":10,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
743¿VariableDeclarator¿¿1185¿isUsingWindows¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
744¿BinaryExpression¿==¿1185¿¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿BinaryExpression
745¿Identifier¿¿1185¿v72¿¿¿¿¿Identifier
746¿Literal¿string¿1185¿¿'win32'¿¿{"start":{"line":10,"column":41},"end":{"line":10,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Literal
747¿VariableDeclarator¿¿1185¿fileNotExists¿¿¿{"start":{"line":12,"column":4},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
748¿FunctionExpression¿¿1185¿anon¿¿¿{"start":{"line":12,"column":20},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿FunctionExpression
749¿Identifier¿¿0¿commandName¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
750¿Identifier¿¿0¿callback¿¿¿{"start":{"line":12,"column":42},"end":{"line":12,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
751¿VariableDeclarator¿¿1187¿v73¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
752¿MemberExpression¿¿1187¿¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿MemberExpression
753¿Identifier¿¿1187¿constants¿¿¿{"start":{"line":13,"column":24},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
754¿Identifier¿¿1187¿F_OK¿¿¿{"start":{"line":13,"column":34},"end":{"line":13,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
755¿VariableDeclarator¿¿1187¿v76¿¿¿{"start":{"line":14,"column":4},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
756¿FunctionExpression¿¿1187¿anon¿¿¿{"start":{"line":14,"column":4},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿FunctionExpression
757¿Identifier¿¿0¿err¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
758¿VariableDeclarator¿¿1189¿v74¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
759¿UnaryExpression¿!¿1189¿¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿UnaryExpression
760¿Identifier¿¿1189¿err¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
761¿VariableDeclarator¿¿1189¿v75¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
762¿CallExpression¿¿1189¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿CallExpression
763¿Identifier¿¿1189¿callback¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
764¿Identifier¿¿1189¿v74¿¿¿¿¿Identifier
765¿ExpressionStatement¿¿1189¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿ExpressionStatement
766¿Identifier¿¿1189¿v75¿¿¿¿¿Identifier
767¿BlockStatement¿¿1189¿¿¿¿{"start":{"line":14,"column":17},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿BlockStatement
768¿VariableDeclarator¿¿1187¿v77¿¿¿{"start":{"line":13,"column":4},"end":{"line":16,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
769¿CallExpression¿¿1187¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":16,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿CallExpression
770¿Identifier¿¿1187¿access¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
771¿Identifier¿¿1187¿commandName¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
772¿Identifier¿¿1187¿v73¿¿¿¿¿Identifier
773¿Identifier¿¿1187¿v76¿¿¿¿¿Identifier
774¿ExpressionStatement¿¿1187¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":16,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿ExpressionStatement
775¿Identifier¿¿1187¿v77¿¿¿¿¿Identifier
776¿BlockStatement¿¿1187¿¿¿¿{"start":{"line":12,"column":51},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿BlockStatement
777¿VariableDeclarator¿¿1185¿fileNotExistsSync¿¿¿{"start":{"line":19,"column":4},"end":{"line":26,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
778¿FunctionExpression¿¿1185¿anon¿¿¿{"start":{"line":19,"column":24},"end":{"line":26,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿FunctionExpression
779¿Identifier¿¿0¿commandName¿¿¿{"start":{"line":19,"column":33},"end":{"line":19,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
780¿TryStatement¿¿1191¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿TryStatement
781¿VariableDeclarator¿¿1191¿v78¿¿¿{"start":{"line":21,"column":32},"end":{"line":21,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
782¿MemberExpression¿¿1191¿¿¿¿{"start":{"line":21,"column":32},"end":{"line":21,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿MemberExpression
783¿Identifier¿¿1191¿constants¿¿¿{"start":{"line":21,"column":32},"end":{"line":21,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
784¿Identifier¿¿1191¿F_OK¿¿¿{"start":{"line":21,"column":42},"end":{"line":21,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
785¿VariableDeclarator¿¿1191¿v79¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
786¿CallExpression¿¿1191¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":47},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿CallExpression
787¿Identifier¿¿1191¿accessSync¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
788¿Identifier¿¿1191¿commandName¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
789¿Identifier¿¿1191¿v78¿¿¿¿¿Identifier
790¿ExpressionStatement¿¿1191¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿ExpressionStatement
791¿Identifier¿¿1191¿v79¿¿¿¿¿Identifier
792¿ReturnStatement¿¿1191¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿ReturnStatement
793¿Literal¿boolean¿1191¿¿false¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Literal
794¿BlockStatement¿¿1191¿¿¿¿{"start":{"line":20,"column":7},"end":{"line":23,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿BlockStatement
795¿CatchClause¿¿1191¿¿¿¿{"start":{"line":23,"column":5},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿CatchClause
796¿ReturnStatement¿¿1191¿¿¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿ReturnStatement
797¿Literal¿boolean¿1191¿¿true¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Literal
798¿BlockStatement¿¿1191¿¿¿¿{"start":{"line":23,"column":13},"end":{"line":25,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿BlockStatement
799¿Identifier¿¿1191¿e¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
800¿BlockStatement¿¿1191¿¿¿¿{"start":{"line":19,"column":45},"end":{"line":26,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿BlockStatement
801¿VariableDeclarator¿¿1185¿localExecutable¿¿¿{"start":{"line":28,"column":4},"end":{"line":33,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
802¿FunctionExpression¿¿1185¿anon¿¿¿{"start":{"line":28,"column":22},"end":{"line":33,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿FunctionExpression
803¿Identifier¿¿0¿commandName¿¿¿{"start":{"line":28,"column":31},"end":{"line":28,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
804¿Identifier¿¿0¿callback¿¿¿{"start":{"line":28,"column":44},"end":{"line":28,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
805¿VariableDeclarator¿¿1194¿v80¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
806¿MemberExpression¿¿1194¿¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿MemberExpression
807¿Identifier¿¿1194¿constants¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
808¿Identifier¿¿1194¿F_OK¿¿¿{"start":{"line":29,"column":34},"end":{"line":29,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
809¿VariableDeclarator¿¿1194¿v81¿¿¿{"start":{"line":29,"column":41},"end":{"line":29,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
810¿MemberExpression¿¿1194¿¿¿¿{"start":{"line":29,"column":41},"end":{"line":29,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿MemberExpression
811¿Identifier¿¿1194¿constants¿¿¿{"start":{"line":29,"column":41},"end":{"line":29,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
812¿Identifier¿¿1194¿X_OK¿¿¿{"start":{"line":29,"column":51},"end":{"line":29,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
813¿VariableDeclarator¿¿1194¿v82¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
814¿BinaryExpression¿|¿1194¿¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿BinaryExpression
815¿Identifier¿¿1194¿v80¿¿¿¿¿Identifier
816¿Identifier¿¿1194¿v81¿¿¿¿¿Identifier
817¿VariableDeclarator¿¿1194¿v85¿¿¿{"start":{"line":30,"column":8},"end":{"line":32,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
818¿FunctionExpression¿¿1194¿anon¿¿¿{"start":{"line":30,"column":8},"end":{"line":32,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿FunctionExpression
819¿Identifier¿¿0¿err¿¿¿{"start":{"line":30,"column":17},"end":{"line":30,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
820¿VariableDeclarator¿¿1196¿v83¿¿¿{"start":{"line":31,"column":23},"end":{"line":31,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
821¿UnaryExpression¿!¿1196¿¿¿¿{"start":{"line":31,"column":23},"end":{"line":31,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿UnaryExpression
822¿Identifier¿¿1196¿err¿¿¿{"start":{"line":31,"column":24},"end":{"line":31,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
823¿VariableDeclarator¿¿1196¿v84¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
824¿CallExpression¿¿1196¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿CallExpression
825¿Identifier¿¿1196¿callback¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
826¿Literal¿object¿1196¿¿null¿¿{"start":{"line":31,"column":17},"end":{"line":31,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Literal
827¿Identifier¿¿1196¿v83¿¿¿¿¿Identifier
828¿ExpressionStatement¿¿1196¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿ExpressionStatement
829¿Identifier¿¿1196¿v84¿¿¿¿¿Identifier
830¿BlockStatement¿¿1196¿¿¿¿{"start":{"line":30,"column":21},"end":{"line":32,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿BlockStatement
831¿VariableDeclarator¿¿1194¿v86¿¿¿{"start":{"line":29,"column":4},"end":{"line":32,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
832¿CallExpression¿¿1194¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":32,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿CallExpression
833¿Identifier¿¿1194¿access¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
834¿Identifier¿¿1194¿commandName¿¿¿{"start":{"line":29,"column":11},"end":{"line":29,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
835¿Identifier¿¿1194¿v82¿¿¿¿¿Identifier
836¿Identifier¿¿1194¿v85¿¿¿¿¿Identifier
837¿ExpressionStatement¿¿1194¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":32,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿ExpressionStatement
838¿Identifier¿¿1194¿v86¿¿¿¿¿Identifier
